ps_id,role_or_occupation_ref,ref_kind,temperament_weights,values_weights,motives,fears,risk_traits,fears_motives_note,initial_mood_rules,derivation_rule,source_refs,confidence
ps_occ_nov_occ_bishop_court_service,nov_occ_bishop_court_service,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 2}","{""piety"": 2}",[],[],"{""theft"": ""unspecified"", ""violence"": ""high_social_risk_not_violence"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_bishop_court_service,C
ps_occ_nov_occ_boyar_yard_manager,nov_occ_boyar_yard_manager,occupation,"{""calm"": 1, ""sociable"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_boyar_yard_manager,C
ps_occ_nov_occ_long_distance_merchant,nov_occ_long_distance_merchant,occupation,"{""calm"": 1, ""sociable"": 1, ""assertive"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""profit"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_long_distance_merchant,C
ps_occ_nov_occ_local_trader,nov_occ_local_trader,occupation,"{""calm"": 1, ""sociable"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""profit"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_local_trader,C
ps_occ_nov_occ_market_stall_seller,nov_occ_market_stall_seller,occupation,"{""calm"": 1, ""sociable"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""profit"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_market_stall_seller,C
ps_occ_nov_occ_merchant_clerk,nov_occ_merchant_clerk,occupation,"{""calm"": 1, ""sociable"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""profit"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_merchant_clerk,C
ps_occ_nov_occ_measurer_weigher,nov_occ_measurer_weigher,occupation,"{""calm"": 1, ""sociable"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""profit"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_measurer_weigher,C
ps_occ_nov_occ_storehouse_keeper,nov_occ_storehouse_keeper,occupation,"{""calm"": 1, ""sociable"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""profit"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_storehouse_keeper,C
ps_occ_nov_occ_debt_account_keeper,nov_occ_debt_account_keeper,occupation,"{""calm"": 1, ""sociable"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""profit"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_debt_account_keeper,C
ps_occ_nov_occ_blacksmith,nov_occ_blacksmith,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_blacksmith,C
ps_occ_nov_occ_carpenter,nov_occ_carpenter,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_carpenter,C
ps_occ_nov_occ_cooper,nov_occ_cooper,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_cooper,C
ps_occ_nov_occ_leatherworker,nov_occ_leatherworker,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_leatherworker,C
ps_occ_nov_occ_shoemaker,nov_occ_shoemaker,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_shoemaker,C
ps_occ_nov_occ_potter,nov_occ_potter,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_potter,C
ps_occ_nov_occ_weaver_cloth_worker,nov_occ_weaver_cloth_worker,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_weaver_cloth_worker,C
ps_occ_nov_occ_tailor_mender,nov_occ_tailor_mender,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_tailor_mender,C
ps_occ_nov_occ_boatbuilder,nov_occ_boatbuilder,occupation,"{""calm"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_boatbuilder,C
ps_occ_nov_occ_pitch_tar_worker,nov_occ_pitch_tar_worker,occupation,"{""calm"": 1, ""withdrawn"": 1, ""wary"": 2, ""hot_tempered"": 3}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_pitch_tar_worker,C
ps_occ_nov_occ_cart_driver,nov_occ_cart_driver,occupation,"{""calm"": 1, ""withdrawn"": 1, ""hot_tempered"": 3, ""wary"": 1}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_cart_driver,C
ps_occ_nov_occ_porter,nov_occ_porter,occupation,"{""calm"": 1, ""withdrawn"": 1, ""wary"": 2, ""hot_tempered"": 3}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_porter,C
ps_occ_nov_occ_landing_worker,nov_occ_landing_worker,occupation,"{""calm"": 1, ""withdrawn"": 1, ""wary"": 2, ""hot_tempered"": 3}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_landing_worker,C
ps_occ_nov_occ_boatman,nov_occ_boatman,occupation,"{""calm"": 1, ""withdrawn"": 1, ""hot_tempered"": 3, ""wary"": 1}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_boatman,C
ps_occ_nov_occ_helmsman,nov_occ_helmsman,occupation,"{""calm"": 1, ""withdrawn"": 1, ""hot_tempered"": 3, ""wary"": 1}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_helmsman,C
ps_occ_nov_occ_ferryman,nov_occ_ferryman,occupation,"{""calm"": 1, ""withdrawn"": 1, ""hot_tempered"": 3, ""wary"": 1}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_ferryman,C
ps_occ_nov_occ_route_guide,nov_occ_route_guide,occupation,"{""calm"": 1, ""withdrawn"": 1, ""hot_tempered"": 3, ""wary"": 1}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_route_guide,C
ps_occ_nov_occ_portage_worker,nov_occ_portage_worker,occupation,"{""calm"": 1, ""withdrawn"": 1, ""wary"": 2, ""hot_tempered"": 3}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_portage_worker,C
ps_occ_nov_occ_winter_road_worker,nov_occ_winter_road_worker,occupation,"{""calm"": 1, ""withdrawn"": 1, ""hot_tempered"": 3, ""wary"": 1}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_winter_road_worker,C
ps_occ_nov_occ_ploughman,nov_occ_ploughman,occupation,"{""calm"": 2, ""wary"": 2, ""hot_tempered"": 1}","{""kin_loyalty"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_ploughman,C
ps_occ_nov_occ_haymaker,nov_occ_haymaker,occupation,"{""calm"": 2, ""wary"": 2, ""hot_tempered"": 1}","{""kin_loyalty"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_haymaker,C
ps_occ_nov_occ_herder,nov_occ_herder,occupation,"{""calm"": 2, ""wary"": 2, ""hot_tempered"": 1}","{""kin_loyalty"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_herder,C
ps_occ_nov_occ_fisher,nov_occ_fisher,occupation,"{""calm"": 1, ""withdrawn"": 1, ""hot_tempered"": 3, ""wary"": 1}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_fisher,C
ps_occ_nov_occ_fish_weir_keeper,nov_occ_fish_weir_keeper,occupation,"{""calm"": 1, ""withdrawn"": 1, ""wary"": 2, ""hot_tempered"": 3}","{""custom"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_fish_weir_keeper,C
