sc_id,role,item_ref,resolves_to,name_ru,category,historical_confidence,generation_policy,frequency_class,weight,status
sc_scn005,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn005,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn005,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn006,required,ARC0021,matcult_item,Жилая клеть,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn006,required,ARC0017,matcult_item,Легкий хозяйственный сарай,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn006,required,ARC0001,matcult_item,Конюшня городской/усадебной постройки,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn006,required,MSC0046,matcult_item,Колотые дрова,miscellaneous,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn006,required,MSC0011,matcult_item,Городская мусорная яма,miscellaneous,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn006,allowed,LIV0005,matcult_item,Домашняя курица,livestock,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn006,allowed,LIV0016,matcult_item,Средневековая свинья,livestock,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn006,allowed,HOU0031,matcult_item,Долбленое ведро,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn006,allowed,HOU0019,matcult_item,Корыто долбленое,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn006,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn006,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn006,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn007,required,ARC0020,matcult_item,Однокамерный отапливаемый срубный дом,architecture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn007,required,ARC0001,matcult_item,Конюшня городской/усадебной постройки,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn007,required,STR0011,matcult_item,Небольшие деревянные мостки/причал,streets_and_infrastructure,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn007,required,STR0001,matcult_item,Великий мост XII–XIII века: деревянная мостовая трасса,streets_and_infrastructure,B,reference_required,ubiquitous,8,candidate
sc_scn007,required,TRD0047,matcult_item,Бочка мёда,trade,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn007,required,TRD0052,matcult_item,Тюк кожи,trade,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn007,required,TRD0037,matcult_item,Малые равноплечие весы купца,trade,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn007,allowed,WTR0038,matcult_item,Рыбацкая лодка с парой вёсел,water_transport,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn007,allowed,WTR0017,matcult_item,Боковое рулевое весло,water_transport,B,safe_with_constraints,contextual,2,candidate
sc_scn007,allowed,LTR0017,matcult_item,Двухколёсная грузовая телега,land_transport,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn007,allowed,LTR0028,matcult_item,Поперечина саней,land_transport,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn007,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn007,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn007,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn008,required,ARC0020,matcult_item,Однокамерный отапливаемый срубный дом,architecture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn008,required,ARC0018,matcult_item,Клеть-амбар,architecture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn008,required,ARC0002,matcult_item,Хлев для крупного и мелкого скота,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn008,required,AGR0023,matcult_item,Соха деревянная с железными сошниками,agriculture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn008,required,AGR0012,matcult_item,Железный серп,agriculture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn008,required,AGR0003,matcult_item,Деревянная лопата,agriculture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn008,required,LIV0024,matcult_item,Невысокая домашняя корова северного средневекового типа,livestock,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn008,required,LIV0030,matcult_item,Обозная лошадь,livestock,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn008,required,LIV0005,matcult_item,Домашняя курица,livestock,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn008,allowed,LTR0017,matcult_item,Двухколёсная грузовая телега,land_transport,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn008,allowed,LTR0028,matcult_item,Поперечина саней,land_transport,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn008,allowed,MSC0040,matcult_item,Навоз в конюшне/хлеву,miscellaneous,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn008,allowed,MSC0046,matcult_item,Колотые дрова,miscellaneous,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn008,allowed,MSC0001,matcult_item,Соломенная подстилка,miscellaneous,B,safe_with_constraints,contextual,2,candidate
sc_scn008,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn008,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn008,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn009,required,ARC0008,matcult_item,Церковь Спаса на Нередице в 1230 году,architecture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn009,required,ARC0018,matcult_item,Клеть-амбар,architecture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn009,required,ARC0001,matcult_item,Конюшня городской/усадебной постройки,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn009,required,REL0008,matcult_item,Нательный крест,religious_items,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn009,required,REL0001,matcult_item,Деревянная икона,religious_items,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn009,allowed,WRT0022,matcult_item,Книжная застёжка,writing,B,safe_with_constraints,contextual,2,candidate
sc_scn009,allowed,WRT0001,matcult_item,Пакет/связка документов в сундуке,writing,C,reference_required,contextual,2,candidate
sc_scn009,allowed,HOU0031,matcult_item,Долбленое ведро,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn009,allowed,HOU0002,matcult_item,Железный дверной замок,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn009,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn009,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn009,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn010,required,CRF0106,matcult_item,Кожевенное шило,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn010,required,CRF0050,matcult_item,Кожевенная игла,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn010,required,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn010,required,CRF0002,matcult_item,Наковальня-колода,crafts,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn010,required,FUR0001,matcult_item,Деревянная колыбель подвесная,furniture,C,reference_required,ubiquitous,8,candidate
sc_scn010,required,MSC0003,matcult_item,Обрезки кожи,miscellaneous,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn010,allowed,HOU0016,matcult_item,Плетёная корзина,household_items,B,safe_with_constraints,contextual,2,candidate
sc_scn010,allowed,HOU0015,matcult_item,Мешок тканевый,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn010,allowed,TRD0001,matcult_item,Купеческая печать-матрица — редкая,trade,C,reference_required,contextual,2,candidate
sc_scn010,allowed,TRD0003,matcult_item,Восковый круг/слиток,trade,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn010,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn010,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn010,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn011,required,CRF0121,matcult_item,Кузнечный горн,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn011,required,CRF0123,matcult_item,Наковальня-вставка,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn011,required,CRF0079,matcult_item,Кузнечный молот,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn011,required,CRF0082,matcult_item,Кузнечные клещи плоскогубые,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn011,required,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn011,required,MSC0005,matcult_item,Уголья и головни,miscellaneous,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn011,required,MSC0001,matcult_item,Соломенная подстилка,miscellaneous,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn011,allowed,CON0001,matcult_item,Железная дверная петля,construction,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn011,allowed,CON0002,matcult_item,Железный дверной пробой/накладка,construction,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn011,allowed,HOU0031,matcult_item,Долбленое ведро,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn011,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn011,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn011,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn012,required,CRF0020,matcult_item,Плотницкий топор узколезвийный,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn012,required,CRF0102,matcult_item,Тесло,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn012,required,CRF0098,matcult_item,Долото плотницкое,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn012,required,CRF0030,matcult_item,Ложечное сверло,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn012,required,CON0012,matcult_item,Подкладное бревно/лежень,construction,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn012,required,CON0035,matcult_item,Тёсаная доска,construction,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn012,required,MSC0035,matcult_item,Щепа плотницкого двора,miscellaneous,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn012,required,MSC0001,matcult_item,Соломенная подстилка,miscellaneous,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn012,allowed,CRF0049,matcult_item,Шнур разметочный,crafts,B,safe_with_constraints,contextual,2,candidate
sc_scn012,allowed,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn012,allowed,LTR0007,matcult_item,Волокуша из двух жердей,land_transport,B,safe_with_constraints,contextual,2,candidate
sc_scn012,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn012,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn012,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn013,required,CRF0096,matcult_item,Ручной гончарный круг,crafts,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn013,required,CRF0093,matcult_item,Гончарная печь,crafts,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn013,required,POT0019,matcult_item,Керамический горшок малый,pottery_and_vessels,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn013,required,POT0001,matcult_item,Деревянная крышка сосуда,pottery_and_vessels,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn013,required,POT0002,matcult_item,Деревянная ложка,pottery_and_vessels,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn013,required,MSC0007,matcult_item,Глина в яме/куче,miscellaneous,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn013,allowed,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn013,allowed,CRF0002,matcult_item,Наковальня-колода,crafts,B,safe_with_constraints,contextual,2,candidate
sc_scn013,allowed,CRF0003,matcult_item,Пекарная печь,crafts,B,safe_with_constraints,contextual,2,candidate
sc_scn013,allowed,MSC0001,matcult_item,Соломенная подстилка,miscellaneous,B,safe_with_constraints,contextual,2,candidate
sc_scn013,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn013,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn013,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn014,required,CRF0152,matcult_item,Ювелирный глиняный тигель,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn014,required,CRF0022,matcult_item,Литейная форма глиняная,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn014,required,CRF0153,matcult_item,Ювелирный молоток,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn014,required,CRF0147,matcult_item,Малые равноплечие весы ювелира,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn014,allowed,TRD0016,matcult_item,Рубленое серебро,trade,B,safe_with_constraints,contextual,2,candidate
sc_scn014,allowed,TRD0001,matcult_item,Купеческая печать-матрица — редкая,trade,C,reference_required,contextual,2,candidate
sc_scn014,allowed,MSC0005,matcult_item,Уголья и головни,miscellaneous,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn014,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn014,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn014,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn015,required,CRF0132,matcult_item,Глиняное пряслице,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn015,required,CRF0133,matcult_item,Деревянное веретено,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn015,required,CRF0127,matcult_item,Гребень для расчёсывания волокна,crafts,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn015,required,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn015,allowed,TRD0053,matcult_item,Тюк шерстяной ткани,trade,B,safe_with_constraints,contextual,2,candidate
sc_scn015,allowed,TRD0001,matcult_item,Купеческая печать-матрица — редкая,trade,C,reference_required,contextual,2,candidate
sc_scn015,allowed,HOU0016,matcult_item,Плетёная корзина,household_items,B,safe_with_constraints,contextual,2,candidate
sc_scn015,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn015,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn015,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn016,required,CRF0112,matcult_item,Скребок кожевника,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn016,required,CRF0002,matcult_item,Наковальня-колода,crafts,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn016,required,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn016,required,MSC0003,matcult_item,Обрезки кожи,miscellaneous,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn016,required,MSC0001,matcult_item,Соломенная подстилка,miscellaneous,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn016,allowed,POT0001,matcult_item,Деревянная крышка сосуда,pottery_and_vessels,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn016,allowed,POT0002,matcult_item,Деревянная ложка,pottery_and_vessels,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn016,allowed,HOU0031,matcult_item,Долбленое ведро,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn016,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn016,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn016,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn017,required,CRF0114,matcult_item,Косторезный нож,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn017,required,CRF0015,matcult_item,Косторезная пила/ножовка,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn017,required,CRF0030,matcult_item,Ложечное сверло,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn017,required,MSC0001,matcult_item,Соломенная подстилка,miscellaneous,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn017,allowed,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn017,allowed,CRF0002,matcult_item,Наковальня-колода,crafts,B,safe_with_constraints,contextual,2,candidate
sc_scn017,allowed,CRF0003,matcult_item,Пекарная печь,crafts,B,safe_with_constraints,contextual,2,candidate
sc_scn017,allowed,FUR0001,matcult_item,Деревянная колыбель подвесная,furniture,C,reference_required,contextual,2,candidate
sc_scn017,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn017,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn017,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn018,required,CRF0017,matcult_item,Сусловарочный котёл,crafts,C,reference_required,ubiquitous,8,candidate
sc_scn018,required,CRF0130,matcult_item,Пивоваренный чан,crafts,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn018,required,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn018,required,POT0001,matcult_item,Деревянная крышка сосуда,pottery_and_vessels,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn018,required,POT0002,matcult_item,Деревянная ложка,pottery_and_vessels,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn018,allowed,FOD0025,matcult_item,Жидкий мёд,food,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn018,allowed,FOD0051,matcult_item,Зерно ржи,food,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn018,allowed,MSC0046,matcult_item,Колотые дрова,miscellaneous,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn018,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn018,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn018,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn019,required,INT0007,matcult_item,Каменно-глиняная печь,interiors,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn019,required,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn019,required,CRF0002,matcult_item,Наковальня-колода,crafts,B,safe_with_constraints,ubiquitous,8,candidate
