item_id,exists,name_ru,category,historical_confidence,generation_policy,dimensions,source_ids
ARC0019,1,Двухкамерный сруб-пятистенок,architecture,A,safe_with_record_specific_reference,порядка 40–100 м² по сводным новгородским данным,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0020,1,Однокамерный отапливаемый срубный дом,architecture,A,safe_with_record_specific_reference,обычно примерно 16–80 м² по археологическим примерам; отдельный дом чаще в нижней части диапазона,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0021,1,Жилая клеть,architecture,B,safe_with_constraints,обычно один срубной модуль около 4–6 м по стороне; конкретный план по раскопу,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0022,1,Низкий подклет под жилым этажом,architecture,B,safe_with_constraints,"ориентир высоты около 1,5 м; не полноценный высокий каменный цоколь",SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0023,1,Сени между срубами,architecture,B,safe_with_constraints,по конкретному плану; обычно уже основной жилой камеры,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0024,1,Двускатная деревянная крыша жилого сруба,architecture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0025,1,Усадебная уборная/отхожее место,architecture,C,reference_required,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0026,1,Срубный погреб/холодное хранилище,architecture,B,safe_with_constraints,"известны глубокие срубные погреба; конкретная глубина по плану, не универсальна",SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC017
ARC0027,1,Срубный колодец,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC017
ARC0028,1,Деревянная ставня для малого окна,architecture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0029,1,Малое волоковое оконное отверстие,architecture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0030,1,Остекленное окно богатого жилого дома — спорная реконструкция,architecture,D,research_only,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0031,1,Дворовая ремесленная мастерская,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC019
ARM0001,1,Кожаная защита предплечья лучника,armor,C,reference_required,по внутренней стороне предплечья,SRC061 | SRC084 | SRC036 | SRC037 | SRC008
ARM0019,1,Кольчужная бармица,armor,B,safe_with_constraints,до плеч или короче,SRC036 | SRC037 | SRC008
CON0001,1,Железная дверная петля,construction,A,safe_with_record_specific_reference,десятки сантиметров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0002,1,Железный дверной пробой/накладка,construction,A,safe_with_record_specific_reference,ладонный–предплечный размер,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0003,1,Строительная верёвка,construction,A,safe_with_record_specific_reference,метры–десятки метров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0004,1,Деревянное ведро строительное,construction,A,safe_with_record_specific_reference,десятки литров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0005,1,Корзина для раствора/щебня,construction,B,safe_with_constraints,переносимый размер,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0007,1,Куча строительной щепы,construction,A,safe_with_record_specific_reference,россыпь/куча,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0008,1,Снятая кора,construction,A,safe_with_record_specific_reference,куча/полосы,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0009,1,Деревянный нагель,construction,A,safe_with_record_specific_reference,несколько–десятки сантиметров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0010,1,Кованый гвоздь малый,construction,A,safe_with_record_specific_reference,несколько сантиметров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0011,1,Кованый гвоздь строительный крупный,construction,A,safe_with_record_specific_reference,десятки сантиметров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0012,1,Подкладное бревно/лежень,construction,A,safe_with_record_specific_reference,по стене,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0013,1,Свая деревянная,construction,A,safe_with_record_specific_reference,от нескольких метров; диаметр по нагрузке,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0015,1,Бревно с чашей угловой рубки,construction,A,safe_with_record_specific_reference,по диаметру и стене,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0016,1,Валун фундаментный,construction,A,safe_with_record_specific_reference,от кулака до тяжёлого валуна,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0020,1,Известково-песчаный раствор,construction,A,safe_with_record_specific_reference,по кладке,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0022,1,Минеральный пигмент строительный/фресковый,construction,A,safe_with_record_specific_reference,малые порции,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0023,1,Фресковая штукатурка,construction,A,safe_with_record_specific_reference,миллиметры–сантиметры толщиной,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0024,1,Жердь строительная,construction,A,safe_with_record_specific_reference,несколько метров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0025,1,Береста кровельная/гидроизоляционная,construction,B,safe_with_constraints,по кровле/конструкции,SRC026 | SRC027 | SRC001 | SRC003 | SRC005 | SRC017
CON0026,1,Дёрн кровельный — осторожная реконструкция,construction,C,reference_required,по крыше,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0027,1,Кровельный тес,construction,A,safe_with_record_specific_reference,длина по скату; ширина зависит от расколотой/тесаной заготовки,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0028,1,Горбыль/обапол,construction,A,safe_with_record_specific_reference,по бревну,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0029,1,Венцовое бревно с чашей и пазом,construction,A,safe_with_record_specific_reference,по стене,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0030,1,Дрань/щеповая кровля,construction,B,safe_with_constraints,обычно десятки сантиметров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0031,1,Лемех деревянный кровельный — осторожно,construction,C,reference_required,десятки сантиметров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0032,1,Моховая конопатка сруба,construction,A,safe_with_record_specific_reference,линейный материал,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0033,1,Плаха — расколотое бревно,construction,A,safe_with_record_specific_reference,широкая длинная половина/сегмент,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0034,1,Строительное бревно окорённое,construction,A,safe_with_record_specific_reference,от нескольких до десятка метров,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0035,1,Тёсаная доска,construction,A,safe_with_record_specific_reference,"длина по заготовке, ширина 10–40+ см",SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0036,1,Известковый раствор с наполнителем,construction,A,safe_with_record_specific_reference,пластичная масса,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0037,1,Известняковый камень строительный,construction,A,safe_with_record_specific_reference,от щебня до крупного блока,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0041,1,Плинфа,construction,A,safe_with_record_specific_reference,по конкретному памятнику; не современный кирпич,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0042,1,Верёвочный подъёмный блок,construction,B,safe_with_constraints,ручной блок,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0043,1,Деревянные строительные леса,construction,B,safe_with_constraints,по высоте здания,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0044,1,Приставная строительная лестница,construction,A,safe_with_record_specific_reference,2–8+ м,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0046,1,Глина строительная,construction,A,safe_with_record_specific_reference,сыпучая/пластичная масса,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CON0047,1,Железная скоба строительная,construction,A,safe_with_record_specific_reference,10–60 см,SRC001 | SRC003 | SRC005 | SRC017 | SRC078 | SRC089
CRF0001,1,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,ручной/двуручный размер,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0002,1,Наковальня-колода,crafts,B,safe_with_constraints,примерно до колена/бедра кузнеца,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0003,1,Пекарная печь,crafts,B,safe_with_constraints,примерно 1–2 м,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC008
CRF0015,1,Косторезная пила/ножовка,crafts,A,safe_with_record_specific_reference,ручной размер,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0017,1,Сусловарочный котёл,crafts,C,reference_required,десятки–сотни литров,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC008
CRF0020,1,Плотницкий топор узколезвийный,crafts,A,safe_with_record_specific_reference,рукоять около 45–75 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0022,1,Литейная форма глиняная,crafts,A,safe_with_record_specific_reference,малый размер,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC062
CRF0030,1,Ложечное сверло,crafts,A,safe_with_record_specific_reference,десятки сантиметров,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0039,1,Кузнечная вода в кадке,crafts,B,safe_with_constraints,десятки литров,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0049,1,Шнур разметочный,crafts,B,safe_with_constraints,несколько метров,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0050,1,Кожевенная игла,crafts,A,safe_with_record_specific_reference,несколько сантиметров,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0063,1,Сушильная полка для сосудов,crafts,C,reference_required,по мастерской,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC024
CRF0079,1,Кузнечный молот,crafts,A,safe_with_record_specific_reference,головка ручного размера; рукоять около 25–45 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0082,1,Кузнечные клещи плоскогубые,crafts,A,safe_with_record_specific_reference,примерно 30–70 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0091,1,Глиняная заготовка сосуда,crafts,A,safe_with_record_specific_reference,по сосуду,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC024
CRF0093,1,Гончарная печь,crafts,B,safe_with_constraints,стационарная печь примерно 1–3 м,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC024
CRF0096,1,Ручной гончарный круг,crafts,B,safe_with_constraints,диск примерно 30–60 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC024
CRF0098,1,Долото плотницкое,crafts,A,safe_with_record_specific_reference,15–40 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0102,1,Тесло,crafts,A,safe_with_record_specific_reference,ручной инструмент 30–80 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0106,1,Кожевенное шило,crafts,A,safe_with_record_specific_reference,10–20 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0110,1,Дубильная яма или кадь,crafts,B,safe_with_constraints,крупная хозяйственная ёмкость,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0112,1,Скребок кожевника,crafts,A,safe_with_record_specific_reference,20–60 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0114,1,Косторезный нож,crafts,A,safe_with_record_specific_reference,10–25 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0121,1,Кузнечный горн,crafts,A,safe_with_record_specific_reference,обычно малый стационарный очаг в мастерской,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC067
CRF0123,1,Наковальня-вставка,crafts,A,safe_with_record_specific_reference,ладонная или несколько десятков сантиметров,SRC032 | SRC033 | SRC005 | SRC061 | SRC089
CRF0127,1,Гребень для расчёсывания волокна,crafts,B,safe_with_constraints,20–60 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC045
CRF0130,1,Пивоваренный чан,crafts,B,safe_with_constraints,десятки–сотни литров,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC008
CRF0131,1,Сушильня/солодовня,crafts,C,reference_required,небольшая постройка,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC045
CRF0132,1,Глиняное пряслице,crafts,A,safe_with_record_specific_reference,2–6 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC024
CRF0133,1,Деревянное веретено,crafts,A,safe_with_record_specific_reference,20–40 см,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC008
CRF0138,1,Отвес,crafts,B,safe_with_constraints,ручной,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC053
CRF0147,1,Малые равноплечие весы ювелира,crafts,A,safe_with_record_specific_reference,складной ручной комплект,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC053
CRF0152,1,Ювелирный глиняный тигель,crafts,A,safe_with_record_specific_reference,ладонный и меньше,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC024
CRF0153,1,Ювелирный молоток,crafts,A,safe_with_record_specific_reference,ручной,SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC062
FOD0025,1,Жидкий мёд,food,A,safe_with_record_specific_reference,малый сосуд/бочка,SRC028 | SRC040 | SRC041 | SRC044 | SRC075 | SRC050
FOD0037,1,Соль крупная,food,A,safe_with_record_specific_reference,ценный малый/товарный запас,SRC028 | SRC040 | SRC041 | SRC044 | SRC075 | SRC050
FOD0039,1,Лён-семя,food,A,safe_with_record_specific_reference,малый запас,SRC028 | SRC040 | SRC041 | SRC044 | SRC075 | SRC046
FOD0049,1,Густая зерновая каша в горшке,food,B,safe_with_constraints,бытовой горшок,SRC024 | SRC080 | SRC028 | SRC040 | SRC041 | SRC044
FOD0050,1,Зерно овса,food,A,safe_with_record_specific_reference,сыпучая масса,SRC028 | SRC040 | SRC041 | SRC044 | SRC075 | SRC046
FOD0051,1,Зерно ржи,food,A,safe_with_record_specific_reference,сыпучая масса,SRC028 | SRC040 | SRC041 | SRC044 | SRC075
FOD0052,1,Мука в мешке,food,A,safe_with_record_specific_reference,мешок/малая ёмкость,SRC028 | SRC040 | SRC041 | SRC044 | SRC075
FOD0056,1,Импортное вино в амфоре/бочке — редкий товар,food,C,reference_required,по сосуду,SRC028 | SRC040 | SRC041 | SRC044 | SRC075 | SRC052
FOD0059,1,Пиво/брага в клёпочной кадке,food,B,safe_with_constraints,кадка/кружка,SRC028 | SRC040 | SRC041 | SRC044 | SRC075 | SRC008
FOD0061,1,Дичь,food,A,safe_with_record_specific_reference,по виду,SRC028 | SRC040 | SRC041 | SRC044 | SRC075 | SRC046
FOR0001,1,Ров раннего Детинца — неопределенное состояние к 1230,fortifications,C,reference_required,по конкретной находке/плану; универсальный размер не задаётся,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0002,1,Деревянный переход через оборонительный ров,fortifications,C,reference_required,по ширине проезда,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0003,1,Деревянные ворота Детинца — осторожная реконструкция,fortifications,C,reference_required,по конкретной находке/плану; универсальный размер не задаётся,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0004,1,Деревянный засов крепостных/усадебных ворот,fortifications,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC014 | SRC015 | SRC016 | SRC071 | SRC031 | SRC001
FOR0005,1,Опорный столб и пятник воротной створки,fortifications,B,safe_with_constraints,строительный узел,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0006,1,Деревянная створка крепостных ворот,fortifications,C,reference_required,по ширине ворот; точные размеры неизвестны,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0007,1,Деревянный караульный навес у ворот,fortifications,C,reference_required,малое помещение или навес,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0011,1,Береговая срубная подпорная конструкция,fortifications,B,safe_with_constraints,локальный участок берега,SRC014 | SRC015 | SRC016 | SRC071 | SRC031 | SRC003
FOR0012,1,Острожная стена из вертикального частокола,fortifications,C,reference_required,высота и толщина не нормируются без конкретного археологического профиля,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0013,1,Дубовая срубная стена раннего Детинца,fortifications,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0014,1,Срубная клетчатая конструкция деревянной стены,fortifications,B,safe_with_constraints,по археологическому разрезу; универсальная высота не задаётся,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0015,1,Внутренняя деревянная лестница на боевой ход,fortifications,C,reference_required,узкая и крутая; точный размер по реконструкции стены,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FOR0016,1,Деревянная дозорная/боевая площадка на стене,fortifications,C,reference_required,по конкретной находке/плану; универсальный размер не задаётся,SRC014 | SRC015 | SRC016 | SRC071 | SRC031
FRN0001,1,Балтийский бронзовый подвес/фурнитура как контактный предмет,foreign_material_culture,B,safe_with_constraints,малый предмет,SRC048 | SRC049 | SRC050 | SRC051 | SRC075 | SRC076
FRN0002,1,Ливонский/балтийский боевой наконечник как импорт/личная вещь,foreign_material_culture,C,reference_required,по находке,SRC048 | SRC049 | SRC050 | SRC051 | SRC075 | SRC035
FRN0019,1,Западная поливная керамика,foreign_material_culture,A,safe_with_record_specific_reference,сосуд/фрагмент,SRC024 | SRC080 | SRC048 | SRC049 | SRC050 | SRC051
FRN0025,1,Русский предмет из другого княжества,foreign_material_culture,B,safe_with_constraints,по предмету,SRC048 | SRC049 | SRC050 | SRC051 | SRC075 | SRC008
FRN0028,1,Импортная дубовая бочка,foreign_material_culture,A,safe_with_record_specific_reference,десятки–сотни литров,SRC048 | SRC049 | SRC050 | SRC051 | SRC075
FRN0042,1,Готландский купеческий дорожный сундук,foreign_material_culture,B,safe_with_constraints,переносимый одним-двумя людьми,SRC048 | SRC050 | SRC049 | SRC051 | SRC075
FSH0001,1,Деревянный колот/дубинка для рыбы,fishing,C,reference_required,ручной размер,SRC025 | SRC039 | SRC005 | SRC032
FSH0003,1,Рама для вяления рыбы,fishing,B,safe_with_constraints,по двору/стану,SRC025 | SRC039 | SRC005 | SRC032 | SRC045
FSH0004,1,Трёхзубая рыболовная острога,fishing,A,safe_with_record_specific_reference,"древко несколько метров, головка ладонная",SRC025 | SRC039 | SRC005 | SRC032
FSH0006,1,Железный рыболовный крючок,fishing,A,safe_with_record_specific_reference,несколько сантиметров,SRC025 | SRC039 | SRC005 | SRC032
FSH0007,1,Берестяной поплавок сети,fishing,A,safe_with_record_specific_reference,несколько сантиметров,SRC026 | SRC027 | SRC025 | SRC039 | SRC005 | SRC032
FSH0013,1,Каменное грузило сети,fishing,A,safe_with_record_specific_reference,от десятков до сотен граммов,SRC025 | SRC039 | SRC005 | SRC032
FSH0017,1,Деревянная кадка для рыбы,fishing,A,safe_with_record_specific_reference,от бытовой до торговой,SRC025 | SRC039 | SRC005 | SRC032
FSH0024,1,Плетёная корзина для рыбы,fishing,A,safe_with_record_specific_reference,переносится одним человеком,SRC025 | SRC039 | SRC005 | SRC032 | SRC045
FSH0027,1,Ставная сеть,fishing,A,safe_with_record_specific_reference,от нескольких до десятков метров; ячея по виду рыбы,SRC025 | SRC039 | SRC005 | SRC032
FSH0028,1,Стол/доска для разделки рыбы,fishing,B,safe_with_constraints,рабочее место одного–двух человек,SRC025 | SRC039 | SRC005 | SRC032
FUR0001,1,Деревянная колыбель подвесная,furniture,C,reference_required,по конкретной находке/плану; универсальный размер не задаётся,SRC005 | SRC006 | SRC008 | SRC089 | SRC001
FUR0002,1,Длинная лавка на ножках,furniture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC005 | SRC006 | SRC008 | SRC089 | SRC001
FUR0003,1,Долбленый ларь,furniture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC005 | SRC006 | SRC008 | SRC089 | SRC001
FUR0004,1,Книжная подставка простого типа,furniture,C,reference_required,по конкретной находке/плану; универсальный размер не задаётся,SRC005 | SRC006 | SRC008 | SRC089 | SRC020
FUR0005,1,Колыбель на полозьях,furniture,C,reference_required,по конкретной находке/плану; универсальный размер не задаётся,SRC039 | SRC084 | SRC005 | SRC006 | SRC008 | SRC089
FUR0006,1,Ларь крупный,furniture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC005 | SRC006 | SRC008 | SRC089 | SRC001
FUR0007,1,Настенная открытая полка,furniture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC005 | SRC006 | SRC008 | SRC089 | SRC001
