table,domain,kind,note,ddl_file,content_columns,world_db_rows,v17_rows_attested_snapshot,v17_rows_added_after_snapshot,v17_import_stages,v17_imported,empty_in_v17
container_content_category_relations,containers,content,,10.sql,container_category_id content_category_id compatibility,0,94,0,gate1_item_container:94,yes,
container_content_profile_entries,containers,content,,10.sql,profile_id item_template_id item_category_id min_quantity max_quantity required weight,0,4,0,gate1_item_container:4,yes,
container_content_profiles,containers,content,,10.sql,container_template_id empty_allowed,0,18,0,gate1_item_container:18,yes,
container_template_facet_bindings,containers,content,,10.sql,container_template_id category_id facet requires_regional_permission,0,170,0,gate1_item_container:170,yes,
container_template_inventory_profiles,containers,content,,10.sql,container_template_id source_id mass_grams carry_form external_hand_cost inventory_role,0,18,0,gate1_item_container:18,yes,
container_template_source_bindings,containers,provenance_infra,,10.sql,container_template_id source_id evidence_class claim_scope valid_from valid_to notes,0,72,0,gate1_item_container:72,yes,
container_templates,containers,content,,10.sql,region_id category_id source_id capacity packing_slot_cost capacity_policy access_policy,0,18,0,gate1_item_container:18,yes,
g4_container_materialization_rules,containers,content,v2 per graph_node presence,11.sql,graph_node_id slot_rule_id container_template_id content_profile_id property_profile_id min_count max_count causal_basis_type causal_basis_id applicability valid_from valid_to weight,0,18,0,gate1_item_container:18,yes,
decision_command_catalog,decisions_llm,content,,09.sql,domain handler_id input_schema_id,0,0,0,,no,EMPTY
decision_policy_options,decisions_llm,content,,09.sql,policy_profile_id command_id option_order preconditions costs risk_metadata,0,0,0,,no,EMPTY
decision_policy_profiles,decisions_llm,content,,09.sql,region_id context_domain state_schema_version applicability,0,0,0,,no,EMPTY
llm_context_packs,decisions_llm,content,,06.sql,region_id title context_type summary included_tables included_record_ids prompt_text hard_constraints forbidden_assumptions known_gaps use_when do_not_use_when max_tokens_estimate,0,0,0,,no,EMPTY
llm_validation_rules,decisions_llm,content,,06.sql,region_id title validation_type rule_text applies_to_table applies_to_generation_step severity failure_message repair_instruction examples_valid examples_invalid,0,0,0,,no,EMPTY
region_gaps,decisions_llm,provenance_infra,known data gaps registry,06.sql,region_id title gap_type summary why_needed affected_tables priority risk_if_missing suggested_sources suggested_research_query current_workaround blocked_generation_steps,0,0,0,,no,EMPTY
price_bands,economy,content,,05.sql,region_id title item_or_service_type value_band normal_price_description cheap_condition expensive_condition scarcity_factors seasonal_modifiers war_modifiers road_modifiers status_modifiers trade_place_modifiers who_can_afford who_can_sell who_controls_supply barter_options tax_or_duty risk_of_fraud,0,0,0,,no,EMPTY
region_economy,economy,content,"production/resources/goods, incl. crafts",02.sql,region_id title economy_type resource_or_activity production_method seasonality required_landscape required_settlement_type required_tools required_roles labor_intensity wealth_level risk_level goods_produced goods_consumed goods_imported goods_exported trade_graph_edges market_access storage_requirements spoilage_or_loss_risk who_controls_it tax_or_duty social_status_link conflict_potential,0,0,0,,no,EMPTY
historical_anchors,history_events,world_instance,historical places/landmarks,06.sql,region_id place_id canonical_name display_name anchor_type summary historical_status period_start_year period_end_year approximate_bearing distance_band zone_of_influence access_graph_edges visible_signs economic_influence political_influence religious_influence military_influence trade_influence character_knowledge_common character_knowledge_trader character_knowledge_elite character_knowledge_clergy character_knowledge_outsider discovery_conditions llm_use_rules llm_forbidden_changes,28,28,0,gate1_seed,yes,
historical_event_phases,history_events,content,,07.sql,event_id region_id phase_name phase_order date_start date_end date_confidence trigger_condition summary visible_signs hidden_processes affected_places affected_graph_edges affected_roles affected_goods npc_behavior_changes price_changes security_changes law_changes rumor_templates delayed_event_rules what_character_can_know what_character_cannot_know,0,0,0,,no,EMPTY
historical_events,history_events,content,,07.sql,region_id title event_type period_start_year period_end_year approximate_date date_confidence historical_status summary cause participants affected_regions affected_places current_phase phase_logic local_signs economic_effect road_effect law_effect social_effect military_effect religious_effect npc_knowledge_effect rumor_effect what_commoners_know what_traders_know what_elites_know what_clergy_know what_outsiders_know hidden_truth_policy future_knowledge_forbidden,0,0,0,,no,EMPTY
historical_figures,history_events,world_instance,,07.sql,region_id title canonical_name alt_names figure_type social_status political_role religious_role military_role social_class_id role_archetype_id social_position_archetype_id period_start_year period_end_year summary region_of_influence linked_events linked_places current_location_policy direct_encounter_policy influence_method orders_or_effects reputation what_commoners_know what_traders_know what_elites_know what_clergy_know what_outsiders_know can_appear_directly appearance_conditions forbidden_uses,0,0,0,,no,EMPTY
g4_item_materialization_rules,items,content,v2 per graph_node presence,11.sql,graph_node_id slot_rule_id item_profile_id property_profile_id min_count max_count economic_basis causal_basis_type causal_basis_id applicability valid_from valid_to weight,0,9,0,gate1_item_container:9,yes,
item_classification_migration_inventory,items,migration_evidence,,10.sql,legacy_table_name legacy_record_id legacy_field_name legacy_value resolution_status resolved_category_id report_note,0,0,0,,no,EMPTY
item_profile_entries,items,content,,10.sql,profile_id item_template_id item_category_id slot_key min_quantity max_quantity required weight,0,102,0,gate1_item_container:102,yes,
item_profile_sets,items,content,,10.sql,region_id context_domain applicability,0,9,0,gate1_item_container:9,yes,
item_template_category_bindings,items,content,,10.sql,item_template_id category_id binding_kind packing_slot_cost packing_bundle_size exclusivity_group requires_regional_permission,0,842,0,gate1_item_container:842,yes,
item_template_inventory_profiles,items,content,mass/carry,10.sql,item_template_id source_id mass_grams carry_form external_hand_cost,0,102,0,gate1_item_container:102,yes,
item_template_quantity_profiles,items,content,,10.sql,item_template_id quantity_unit_id quantity_dimension minimum_quantity maximum_quantity default_quantity_policy mass_grams_per_unit stackable partial_consumption_allowed source_id,0,102,0,gate1_item_container:102,yes,
item_template_source_bindings,items,provenance_infra,,10.sql,item_template_id source_id evidence_class claim_scope valid_from valid_to notes,0,408,0,gate1_item_container:408,yes,
item_templates,items,content,,07.sql,region_id material_culture_id title item_type summary function typical_material weight_band size_band durability quality_band value_band rarity legal_status social_status_signal typical_owner_roles typical_holder_roles typical_locations typical_containers visibility_default access_default marking_default risk_default skill_use attribute_use possible_modifiers failure_risks damage_or_wear_rules category_id source_id,0,102,0,gate1_item_container:102,yes,
location_object_rules,items,content,object presence by place/location/building,08.sql,region_id place_template_id place_id location_type building_type object_category item_template_id probability_band required_reason required_owner required_holder visibility_default access_default legal_risk social_risk economic_justification can_be_generated must_be_pregenerated forbidden_without_reason container_policy hidden_policy,0,0,0,,no,EMPTY
quantity_unit_definitions,items,content,,10.sql,dimension canonical_unit conversion_policy,0,5,0,gate1_item_container:5,yes,
region_material_culture,items,content,material culture catalog,04.sql,region_id title material_category summary commonness status_level allowed_social_roles restricted_social_roles typical_places typical_owners typical_holders typical_materials typical_condition typical_quality typical_value_band typical_marks legal_status social_risk theft_risk trade_risk seasonality economic_source import_or_local,0,0,0,,no,EMPTY
graph_edge_knowledge_rules,knowledge_rumors,content,,08.sql,region_id graph_edge_id social_role_id occupation_id knowledge_level knowledge_source accuracy common_mistakes seasonal_limitations danger_awareness landmarks_known places_known_on_graph_edge can_guide_others will_share_for_free will_share_for_payment will_hide_or_lie,0,0,0,,no,EMPTY
region_knowledge_profiles,knowledge_rumors,content,,09.sql,region_id knowledge_category_id fact_table fact_record_id,0,0,0,,no,EMPTY
region_npc_knowledge,knowledge_rumors,content,,05.sql,region_id social_role_id occupation_id knowledge_type title summary knows_as_fact knows_as_rumor common_mistakes cannot_know taboo_topics dangerous_to_say who_they_trust who_they_fear regional_knowledge local_place_knowledge law_knowledge economy_knowledge religion_knowledge historical_knowledge route_knowledge social_order_knowledge price_knowledge speech_style_notes behavior_effect,0,0,0,,no,EMPTY
rumor_templates,knowledge_rumors,content,,05.sql,region_id title rumor_type summary source_role spread_places spread_graph_edges affected_roles linked_event_id linked_place_id linked_risk_id truth_status distortion_level what_is_visible what_is_hidden who_believes_it who_denies_it danger_of_repeating possible_effects expiration_or_update_rule,0,0,0,,no,EMPTY
legal_status_archetypes,law,content,,03.sql,title summary,8,8,0,gate1_seed,yes,
region_laws,law,content,,02.sql,region_id title law_type applies_to_statuses applies_to_roles applies_to_places period_start_year period_end_year summary rule_text custom_basis authority_enforcing punishment_or_consequence dispute_resolution property_effect violence_effect weapon_effect travel_effect trade_effect religious_effect who_knows_this npc_behavior_effect player_risk,0,0,0,,no,EMPTY
region_name_pool_entries,names,content,,09.sql,name_pool_id name_form name_category_id weight,0,0,0,,no,EMPTY
region_name_pools,names,content,,09.sql,region_id valid_from valid_to,0,0,0,,no,EMPTY
graph_edge_modifiers,nature,content,terrain/season movement multipliers,01.sql,title modifier_type applies_to_edge_type applies_to_terrain_type applies_to_season multiplier summary example landscape_template_id,49,49,0,gate1_seed,yes,
landscape_templates,nature,content,,01.sql,title parent_landscape_template_id landscape_group base_environment dominant_vegetation forest_type moisture_level relief_type soil_ground_type openness seasonal_stability summary base_movement_multiplier default_orientation_difficulty base_risk_level,70,70,0,gate1_seed,yes,
procedural_scene_compiled_records,nature,content,compiled JSON payloads: natural baseline/presentation/placement per G4; only nature content imported,21.sql,record_id record_kind family_candidate_ref payload payload_digest source_pack_digest,,0,0,item_catalog_import(natural baseline/presentation/placement + nature_successor 64),yes,
region_landscape_templates,nature,content,regional permission+weight,02.sql,region_id landscape_template_id is_allowed is_common is_dominant is_rare generation_weight allowed_scale_levels allowed_node_types regional_limits,34,34,0,gate1_seed,yes,
region_water_body_templates,nature,content,regional permission+weight,02.sql,region_id water_body_template_id is_allowed is_common is_dominant is_rare generation_weight allowed_scale_levels allowed_node_types regional_limits,24,24,0,gate1_seed,yes,
water_body_templates,nature,content,,01.sql,title summary water_body_type salinity flow_type typical_depth typical_width drinkable_default supports_boat supports_fishing supports_ford supports_ferry supports_bridge supports_winter_crossing freeze_pattern flood_risk base_crossing_risk navigation_use water_hazard_notes,41,41,0,gate1_seed,yes,
occupation_archetypes,occupations_skills,content,,03.sql,title summary,15,15,0,gate1_seed,yes,
occupation_skill_defaults,occupations_skills,content,,04.sql,occupation_archetype_id primary_skill_ids secondary_skill_ids gate_skill_ids forbidden_skill_ids default_level_logic,15,15,0,gate1_seed,yes,
region_occupations,occupations_skills,content,,04.sql,region_id title occupation_group occupation_archetype_id mapping_review_status mapping_confidence mapping_notes summary allowed_social_roles forbidden_social_roles typical_status typical_wealth typical_gender_age_rules required_location_types required_economy_types required_tools required_materials produced_goods services_provided seasonality work_rhythm income_logic typical_skills typical_attributes typical_clothing typical_equipment typical_risks typical_knowledge typical_contacts settlement_generation_weight npc_generation_weight rarity is_historical_fact is_generated_allowed,68,68,0,gate1_seed,yes,
role_occupation_rules,occupations_skills,content,,04.sql,role_archetype_id occupation_archetype_id is_allowed notes,26,26,0,gate1_seed,yes,
skill_catalog,occupations_skills,content,,04.sql,title summary,12,12,0,gate1_seed,yes,
class_role_rules,people_social,content,,03.sql,social_class_id role_archetype_id is_allowed notes,29,29,0,gate1_seed,yes,
dependency_archetypes,people_social,content,,03.sql,title summary,14,14,0,gate1_seed,yes,
g4_npc_materialization_rules,people_social,content,v2 per graph_node presence,11.sql,graph_node_id slot_rule_id npc_profile_set_id min_count max_count presence_reason causal_basis_type causal_basis_id applicability valid_from valid_to weight,0,0,0,,no,EMPTY
mobility_archetypes,people_social,content,,03.sql,title summary,8,8,0,gate1_seed,yes,
region_behavior_profiles,people_social,content,legacy v2 NPC line,09.sql,region_id behavior_option_id decision_policy_id,0,0,0,,no,EMPTY
region_demographic_profile_entries,people_social,content,sex/age weights,21.sql,demographic_profile_id facet option_id weight applicability,,6,0,appearance_v3:6,yes,
region_demographic_profiles,people_social,content,,09.sql,region_id demographic_option_id minimum_age maximum_age weight,0,1,0,appearance_v3:1,yes,
region_npc_archetypes,people_social,content,legacy v2 NPC line,09.sql,region_id social_role_id occupation_id legal_status_id mobility_id,0,0,0,,no,EMPTY
region_npc_generation_rules,people_social,content,legacy v2 NPC line,05.sql,region_id title npc_profile_type applies_to_place_types applies_to_location_types allowed_social_roles allowed_occupations forbidden_roles rarity_rules name_rules age_rules gender_rules status_rules wealth_rules clothing_rules equipment_rules speech_rules knowledge_rules fear_rules goal_rules authority_rules reaction_to_strangers reaction_to_violence reaction_to_theft reaction_to_trade reaction_to_law background_npc_minimum scene_npc_minimum key_npc_minimum,0,0,0,,no,EMPTY
region_npc_profile_sets,people_social,content,legacy v2 NPC line,09.sql,archetype_id demographic_profile_id name_pool_id appearance_profile_id clothing_profile_id equipment_profile_id knowledge_profile_id behavior_profile_id relationship_profile_id activity_profile_id schedule_profile_id profile_level,0,0,0,,no,EMPTY
region_relationship_profiles,people_social,content,legacy v2 NPC line,09.sql,region_id relationship_option_id constraints,0,0,0,,no,EMPTY
region_social_roles,people_social,content,,04.sql,region_id title role_group social_position_archetype_id social_class_id role_archetype_id legal_status_archetype_id dependency_archetype_id mobility_archetype_id mapping_review_status mapping_confidence mapping_notes status_level free_status dependency_type wealth_level legal_capacity mobility_level social_respect vulnerability_level allowed_occupations forbidden_occupations allowed_weapons forbidden_weapons allowed_places restricted_places property_rights travel_rights trade_rights court_rights tax_obligations service_obligations typical_clothing typical_equipment typical_knowledge typical_speech_register typical_fears typical_goals who_commands_them who_protects_them who_can_punish_them relation_to_church relation_to_power npc_generation_rules player_character_rules,71,71,0,gate1_seed,yes,
social_classes,people_social,content,,03.sql,title summary,10,10,0,gate1_seed,yes,
social_position_archetypes,people_social,content,,03.sql,title social_class_id role_archetype_id legal_status_archetype_id dependency_archetype_id mobility_archetype_id property_rights_model weapon_rights_model court_voice_model typical_power_over_others typical_power_over_them summary,30,30,0,gate1_seed,yes,
social_role_archetypes,people_social,content,,03.sql,title summary,16,16,0,gate1_seed,yes,
spatial_v3_g4_npc_composition_bindings,people_social,content,v3 NPC presence per G4 (min/max),24.sql,g4_id g4_version generation_template_id generation_template_version canonical_g5_id canonical_g5_version min_count max_count payload directness,,33,38,p12:33; capacity_v2:32; additional_start_owners:6,yes,
spatial_v3_npc_regional_context_profiles,people_social,content,v3,24.sql,payload directness,,6,5,p12:6; capacity_v2:5,yes,
spatial_v3_npc_runtime_profiles,people_social,content,v3 production NPC profiles (JSON payload),24.sql,profile_kind role_ref occupation_ref payload directness,,39,9,p12:39; capacity_v2:9,yes,
universal_archetype_proposals,people_social,content,proposal queue,04.sql,source_region_id proposal_type local_term why_existing_archetypes_not_enough proposed_archetype_payload affected_regions review_notes,0,0,0,,no,EMPTY
graph_edges,places,spatial_structure,v2 world graph edges,06.sql,from_node_id to_node_id reverse_edge_id scale_level edge_type base_gu base_distance_km base_time_minutes base_time_hours base_time_days route_template_id landscape_template_id water_body_template_id terrain_type route_surface seasonal_rule access_rule risk_level known_to_commoners known_to_traders known_to_elites known_to_clergy known_to_character_default requires_guide requires_boat requires_horse requires_sled requires_permission requires_orientation_check orientation_difficulty movement_risk_profile failure_consequences historical_status,30248,30248,0,gate1_seed,yes,
graph_nodes,places,spatial_structure,v2 G0-G4 world graph,06.sql,title node_type scale_level parent_node_id region_id place_id grid_x grid_y grid_z region_cell_code cell_shape region_cell_status cell_size_km crossing_base_gu crossing_base_time_hours primary_landscape_template_id secondary_landscape_template_ids landscape_mix_notes primary_water_body_template_id secondary_water_body_template_ids hydrology_notes land_use_template_ids place_template_id terrain_profile water_profile road_profile settlement_density dominant_content known_landmarks canonical_corridors neighbor_node_ids historical_status is_known_to_player_default is_known_to_character_default summary,11359,11359,0,gate1_seed,yes,
graph_scale_rules,places,content,scale G0-G5 rules,01.sql,scale_level title unit typical_edge_min typical_edge_max time_unit uses_gu uses_minutes summary,6,6,0,gate1_seed,yes,
land_use_templates,places,content,"land use (fields, hayfields, fishing grounds)",01.sql,title summary land_use_kind requires_settlement_nearby requires_water_nearby requires_specific_landscape compatible_landscape_template_ids compatible_water_body_template_ids seasonal_pattern labor_intensity economic_use visibility_effect movement_effect risk_effect,45,45,0,gate1_seed,yes,
place_generation_limits,places,content,limits,06.sql,region_id place_template_id max_total max_per_subregion min_total_if_region_active economic_basis_required route_basis_required water_basis_required authority_basis_required historical_anchor_basis_required allowed_near_place_types forbidden_near_place_types minimum_distance_band maximum_distance_band density_logic naming_policy duplication_policy,0,0,0,,no,EMPTY
place_locations,places,world_instance,,07.sql,region_id place_id title location_type summary function access_rules visibility_rules who_controls_access typical_npc_roles typical_objects typical_buildings typical_sounds typical_smells typical_risks social_rules law_risks connected_location_ids entry_points closed_zones public_private_level crowd_level light_level weather_exposure llm_generation_rules item_generation_rules npc_generation_rules,0,0,0,,no,EMPTY
place_minilocations,places,legacy_deprecated,deprecated by contract §13,07.sql,region_id place_id location_id title minilocation_type summary position_description access_rules visibility cover_or_hiding noise_level light_level weather_exposure nearby_objects nearby_npc_roles possible_actions movement_cost risk_notes connected_minilocation_ids anchor_ids,0,0,0,,no,EMPTY
place_templates,places,content,,01.sql,title summary place_kind default_node_type can_exist_inside_landscape requires_water_nearby requires_route_nearby requires_land_use compatible_landscape_template_ids compatible_water_body_template_ids compatible_route_template_ids compatible_land_use_template_ids typical_scale_level settlement_density_effect access_logic social_logic economic_logic defense_logic,64,64,0,gate1_seed,yes,
places,places,world_instance,,06.sql,region_id template_id canonical_name display_name alt_names place_type historical_status is_fixed_historical_place is_generated_place generation_source period_start_year period_end_year summary function_in_region economic_basis political_control religious_control legal_status owner_or_holder population_band wealth_level landscape water_access road_access defense_level market_level craft_level food_supply_level risk_level known_to_commoners known_to_traders known_to_elites known_to_clergy known_to_outsiders visible_description hidden_notes map_notes llm_generation_rules llm_forbidden_changes,0,0,0,,no,EMPTY
region_land_use_templates,places,content,regional permission+weight,02.sql,region_id land_use_template_id is_allowed is_common is_rare generation_weight allowed_scale_levels allowed_node_types regional_limits,31,31,0,gate1_seed,yes,
region_neighbors,places,content,,02.sql,region_id neighbor_region_id direction border_type connection_type trade_connection military_pressure political_relation cultural_relation religious_relation route_connection_summary known_to_commoners known_to_traders known_to_elites known_to_clergy,6,6,0,gate1_seed,yes,
region_place_generation_rules,places,content,limits,04.sql,region_id title template_type summary generation_allowed max_instances_per_region min_distance_from_major_place required_landscape required_economy required_route_access required_water_access seasonal_availability typical_population_band typical_household_count typical_wealth_level typical_authority typical_social_roles typical_occupations typical_buildings typical_animals typical_tools typical_goods typical_food_sources typical_risks typical_conflicts layout_rules naming_rules access_rules law_rules religion_rules trade_rules defense_rules npc_generation_rules item_generation_rules route_generation_rules historical_plausibility_rules,0,0,0,,no,EMPTY
region_place_templates,places,content,regional permission+weight,02.sql,region_id place_template_id is_allowed is_common is_rare generation_weight allowed_scale_levels allowed_node_types regional_limits,39,39,0,gate1_seed,yes,
regions,places,content,,02.sql,canonical_name display_name alt_names region_type parent_region_id period_start_year period_end_year summary geographic_scope natural_landscape climate_summary seasonal_rules waterways_summary roads_summary settlement_logic_summary political_summary ruling_power administrative_structure law_summary custom_summary religion_summary social_order_summary economy_summary military_pressure_summary historical_context_summary neighbor_regions external_pressure_summary common_risks_summary npc_common_knowledge_summary llm_generation_rules llm_forbidden_assumptions llm_context_summary validation_notes,7,7,0,gate1_seed,yes,
scene_anchors,places,legacy_deprecated,deprecated by contract §13,07.sql,region_id place_id location_id minilocation_id title anchor_type summary physical_description is_fixed is_movable is_container is_passage is_obstacle is_light_source is_cover is_dangerous access_rules visibility_rules ownership_status controller condition interaction_rules risk_notes linked_item_ids linked_graph_edge_ids,0,0,0,,no,EMPTY
spatial_v3_boundary_crossing_contracts,places,spatial_structure,v3 world topology,13.sql,boundary_kind route_id route_version route_point_id route_point_version inbound_segment_id inbound_segment_version outbound_segment_id outbound_segment_version from_context_digest to_context_digest transition_contract_id transition_contract_version switch_phase directionality,0,0,0,,no,EMPTY
spatial_v3_canonical_g5_connection_bindings,places,spatial_structure,v3 world topology,16.sql,parent_g4_id parent_g4_version from_canonical_g5_id from_canonical_g5_version to_canonical_g5_id to_canonical_g5_version connection_profile_id connection_profile_version from_scene_endpoint_slot_key to_scene_endpoint_slot_key reverse_binding_id reverse_binding_version source_pair_id source_pair_version,0,908,0,p12:908,yes,
spatial_v3_canonical_g5_connection_profiles,places,spatial_structure,v3 world topology,16.sql,profile_scope passage_type_id transition_environment_profile_id transition_environment_profile_version movement_orientation_profile_id movement_orientation_profile_version cost_kind action_units baseline_movement_method_id movement_method_cost_profile_id movement_method_cost_profile_version base_minutes dynamic_recheck_policy_id dynamic_recheck_policy_version capacity capacity_semantics_ref risk_profile_ref availability_condition_set_ref,0,15,0,p12:15,yes,
spatial_v3_g1_grid_cells,places,spatial_structure,v3 world topology,12.sql,node_id node_version root_g0_id root_g0_version grid_convention grid_x grid_y cell_code,0,1,0,p12:1,yes,
spatial_v3_g4_directional_exits,places,spatial_structure,v3 world topology,13.sql,g4_id g4_version direction_context_id exit_orientation_profile_id exit_orientation_profile_version exit_orientation_rule_id exit_orientation_rule_version exit_kind exit_canonical_g5_id exit_canonical_g5_version boundary_feature_entity_kind boundary_feature_entity_id boundary_feature_version,0,86,0,p12:86,yes,
spatial_v3_g4_entry_endpoint_bindings,places,spatial_structure,v3 world topology,16.sql,g4_id g4_version canonical_g5_id canonical_g5_version arrival_scene_endpoint_slot_key departure_scene_endpoint_slot_key source_pair_id source_pair_version,0,32,0,p12:32,yes,
spatial_v3_movement_orientation_profile_points,places,spatial_structure,v3 world topology,13.sql,profile_id profile_version ordinal progress_ppm local_azimuth_mdeg interpolation_to_next,0,0,0,,no,EMPTY
spatial_v3_movement_orientation_profiles,places,spatial_structure,v3 world topology,13.sql,reference_frame_id reference_frame_version profile_kind fixed_local_azimuth_mdeg vertical_direction reverse_profile_id reverse_profile_version,0,0,0,,no,EMPTY
spatial_v3_node_classes,places,spatial_structure,v3 world topology,12.sql,node_id node_version category_id class_ordinal,0,276,0,p12:276,yes,
spatial_v3_node_facets,places,spatial_structure,v3 world topology,12.sql,node_id node_version facet_category_id facet_ordinal,0,0,0,,no,EMPTY
spatial_v3_node_parents,places,spatial_structure,v3 world topology,12.sql,child_id child_version parent_id parent_version,0,275,0,p12:275,yes,
spatial_v3_nodes,places,spatial_structure,v3 world topology,12.sql,spatial_level stable_label_id primary_class_id evidence_status traversal_model,0,276,0,p12:276; capacity_v2:0,yes,
spatial_v3_orientation_reference_frames,places,spatial_structure,v3 world topology,13.sql,scope_entity_kind scope_entity_id scope_entity_version parent_frame_id parent_frame_version north_offset_mdeg,0,0,0,,no,EMPTY
spatial_v3_relative_orientations,places,spatial_structure,v3 world topology,13.sql,source_entity_kind source_entity_id source_entity_version target_entity_kind target_entity_id target_entity_version reference_frame_id reference_frame_version relation_kind bearing_center_mdeg bearing_half_width_mdeg distance_band_id,0,0,0,,no,EMPTY
spatial_v3_spatial_transition_allowed_route_kinds,places,spatial_structure,v3 world topology,13.sql,transition_contract_id transition_contract_version route_kind_id,0,0,0,,no,EMPTY
spatial_v3_spatial_transition_contracts,places,spatial_structure,v3 world topology,13.sql,transition_kind from_g0_id from_g0_version from_g1_id from_g1_version to_g0_id to_g0_version to_g1_id to_g1_version grid_delta_x grid_delta_y legal_customs_profile_id legal_customs_profile_version,0,0,0,,no,EMPTY
spatial_v3_topological_direction_contexts,places,spatial_structure,v3 world topology,16.sql,from_g4_id from_g4_version to_g4_id to_g4_version from_canonical_g5_id from_canonical_g5_version to_canonical_g5_id to_canonical_g5_version orientation_profile_id orientation_profile_version,0,86,0,p12:86,yes,
spatial_v3_topological_exit_orientation_rules,places,spatial_structure,v3 world topology,16.sql,rule_kind forbids_compass_inference,0,1,0,p12:1,yes,
spatial_v3_topological_movement_orientation_profiles,places,spatial_structure,v3 world topology,16.sql,orientation_kind vertical_direction forbids_compass_inference,0,4,0,p12:4,yes,
