hf_id,name_ru,office,office_start,office_end,period_note,event_refs,location_refs,significance,source_refs,confidence,status,note
hf_sql_r11,Волос Блудкинич,участник конфликта,1230-01-01,1230-12-31,1230,,Новгород,Убит на вече после обвинения в намерении поджечь двор Внезда.,"НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R11], sources=S01",A,candidate,
hf_sql_r12,Семён Борисович,"бывший посадник, сторонник Внезда",1230-01-01,1230-12-09,до 9 декабря 1230,,Новгород,"Убит после ухода партии Внезда; двор разграблен, жена захвачена.","НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R12], sources=S01",A,candidate,
hf_sql_r13,Прокша,новгородец/сторонник партии,1230-01-01,1230-12-31,1230,,Новгород,Дом сожжён в ходе городского конфликта.,"НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R13], sources=S01",A,candidate,
hf_sql_r14,Станила,иконописец,1230-01-01,1230-12-31,осень/зима 1230,,Новгород,"Организовал сбор умерших на телеге; летопись связывает с ним 3030 тел в скудельнице.","НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R14], sources=S01",A,candidate,
hf_draft_hist_npc_dalmat_archbishop,Далмат,архиепископ новгородский,1249-01-01,1250-12-31,1249-1250,,"сменяет церковный центр после Спиридона; для 1249-1250 влияет на владычный двор и церковный порядок",Релевантен только в самом конце рабочего периода.,"rus13tpl novgorod_key_npc_seeds_v1.json (draft, requires_human_historical_audit) — не найдено постраничной цитаты в книжных свидетельствах группы history-events-knowledge (servak history-events-knowledge.csv) в проходе 2026-09-26; source_note черновика: ""хронология новгородских архиепископов; требует ручной сверки точных дат перехода""",C,candidate,"office_start (1249-01-01) — грубое годовое размещение, а не установленная точная дата: точный месяц смены владыки после Спиридона в этом проходе не найден (source_note черновика: ""хронология новгородских архиепископов; требует ручной сверки точных дат перехода""). Пересечение со Спиридоном (см. README ограничения этого домена) — известный переходный артефакт, не ошибка данных."
hf_draft_hist_npc_mikhail_stepanich,Михаил Степанич,новгородский посадник / городской деятель,1230-01-01,1250-12-31,1230-1250,,"возможный представитель посадничьей среды периода; использовать осторожно","Имя встречается в контексте новгородских должностных лиц; требуется ручная проверка дат и идентификации.","rus13tpl novgorod_key_npc_seeds_v1.json (draft, requires_human_historical_audit) — не найдено постраничной цитаты в книжных свидетельствах группы history-events-knowledge (servak history-events-knowledge.csv) в проходе 2026-09-26; source_note черновика: ""нужна сверка по спискам посадников и летописным упоминаниям""",D,candidate-conflict,"КОНФЛИКТ: окно 1230-1250 как посадник перекрывает Внезда Водовика (до 1230-12-08) и Степана Твердиславича (с 1230-12-09), которые в НПЛ (S01, confidence A) занимают эту должность в эти годы. По стандартной посадничьей хронологии (Янин) в этом окне отдельного «Михаила Степанича» нет; вероятная ошибка исходного draft rus13tpl novgorod_key_npc_seeds_v1. Не утверждать без ручной проверки, кандидат на удаление."
hf_draft_hist_npc_batu_khan,Батый,монгольский правитель и военный лидер,1237-01-01,,1237-1243,,"не находится в Новгороде как обычный NPC, но создаёт страх, слухи, беженцев, рынок и княжескую зависимость","Влияет косвенно через монгольское нашествие, слухи, политические решения и общерусский кризис.","rus13tpl novgorod_key_npc_seeds_v1.json (draft, requires_human_historical_audit); книжные свидетельства группы датируют только отдельные факты: book:378072 §Хронология ¶861 ""7 февраля 1238 Батый взял Владимир""; book:220871 §Новгород во времена Александра Невского ¶393 ""1243: Батый вручил Ярославу ярлык на старшинство среди русских князей""",C,candidate,"office_end очищен (было 1243-12-31 — придуманная граница правления). 1237-1243 в этой строке — только диапазон, засвидетельствованный для взаимодействия с Новгородской землёй в книжных свидетельствах этой группы; общая дата смерти хана (~1255/56) в этом проходе не подтверждена постраничной цитатой и не вписана как точная."
hf_draft_hist_npc_birger_magnusson,Биргер Магнуссон,шведский полководец (титул ярла получил не ранее 1248 г.),1240-01-01,1240-12-31,1240-е,,"связан со слухами о шведской угрозе и Невском направлении; прямую роль в Невской битве отмечать осторожно","Фигура важна как возможный или спорный западный актор; не утверждать спорные детали без аудита.","rus13tpl novgorod_key_npc_seeds_v1.json (draft, requires_human_historical_audit) — не найдено постраничной цитаты в книжных свидетельствах группы history-events-knowledge (servak history-events-knowledge.csv) в проходе 2026-09-26; source_note черновика: ""участие Биргера в событиях 1240 года дискуссионно; нужен аудит""",C,candidate,"АНАХРОНИЗМ ИСПРАВЛЕН: строка называла Биргера «шведским ярлом» на 1240 г.; ярлом он стал не ранее 1248 г. (после 1240 г.), поэтому в эту роль для 1240 г. не годится. Его личное участие в Невской битве 1240 г. остаётся спорным (source_note черновика: ""участие Биргера в событиях 1240 года дискуссионно; нужен аудит"") — не утверждать как факт."
hf_draft_hist_npc_hermann_dorpat,Герман фон Буксгевден,епископ Дерпта | западный церковно-политический актор,1240-01-01,1242-12-31,1240-1242,,"влияет через угрозу западных земель, слухи о немцах, военную тревогу и церковно-политический страх","Использовать как внешний источник давления и слухов, не как случайного NPC.","rus13tpl novgorod_key_npc_seeds_v1.json (draft, requires_human_historical_audit) — не найдено постраничной цитаты в книжных свидетельствах группы history-events-knowledge (servak history-events-knowledge.csv) в проходе 2026-09-26; source_note черновика: ""контекст Ливонского давления и Дерптского епископства""",C,candidate,
hf_draft_hist_npc_andreas_von_velven,Андреас фон Вельвен,ливонский орденский магистр / западный военный актор,1240-01-01,1242-12-31,1240-1242,,возможная фигура западного давления на Псковско-Новгородское направление,"Использовать осторожно из-за необходимости сверки имени, должности и конкретных действий.","rus13tpl novgorod_key_npc_seeds_v1.json (draft, requires_human_historical_audit) — не найдено постраничной цитаты в книжных свидетельствах группы history-events-knowledge (servak history-events-knowledge.csv) в проходе 2026-09-26; source_note черновика: ""нужна ручная источниковедческая сверка по орденской хронологии""",C,candidate,источник сам отмечает неопределённость/спорность — см. relationship_to_novgorod/known_historical_context/source_note черновика
hf_draft_hist_npc_mindaugas,Миндовг,литовский князь,1240-01-01,1240-12-31,1240-е,,"влияет через слухи о литовских землях, военной тревоге, беглецах и западно-южных дорогах",В Новгороде действует только как внешний политико-военный контекст.,"rus13tpl novgorod_key_npc_seeds_v1.json (draft, requires_human_historical_audit) — не найдено постраничной цитаты в книжных свидетельствах группы history-events-knowledge (servak history-events-knowledge.csv) в проходе 2026-09-26; source_note черновика: ""общий балтийско-литовский контекст середины XIII века; локальные маршруты требуют аудита""",C,candidate,
hf_book_boris_negochevich,Борис (Негочевич),тысяцкий (предшественник Микиты Петриловича),1228-01-01,1230-12-08,"избран тысяцким в 1228 г.; бежал с Внездом Водовиком в Чернигов 8 дек. 1230",,Новгород,"Тысяцкий михайловской/водовиковской партии; бежал в Чернигов вместе с посадником Внездом Водовиком после падения его партии, тысяцкое досталось Миките Петриловичу.","book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶486 ""тысяцкий Борис бежал в 1230 г. с Водовиком из Торжка в Чернигов""; book:301539 §ПРОДОЛЖЕНИЕ МЕЖДОУСОБИЙ ¶4366; book:566839 §Глава II Русь и Ливония ¶648 ""избран тысяцким в 1228 г. вместо Вячеслава""",B,candidate,"Добавлен по требованию VERIFICATION.md (2026-09-26): предшественник hf_sql_r09 (Микита Петрилович), не покрыт sqlite.persons_1230 (окно той таблицы — 1229-12..1231, срез на момент смены власти). Другая книжная запись (book:566839 ¶661: ""бывший посадник (1219) убит 9 дек. 1230"") относится к иному лицу по имени Борис (бывший посадник 1219 г.) — не отождествлён с тысяцким Борисом Негочевичем в этой строке, чтобы не приписать ему чужую смерть без прямого подтверждения."
hf_book_antony_archbishop,Антоний,архиепископ Новгородский на покое (не действующий владыка в 1230-1250),,1232-10-08,"на покое к 1230 г. (Спиридон уже действующий архиепископ); умер 8 окт. 1232",,Новгород,"Предшественник Спиридона на архиепископской кафедре; к началу изучаемого периода уже отошёл от дел (""на покое""), болел перед смертью.","book:667380 §Приложение 2 Свод летописных известий о Новгородской земле ¶488 ""бывший на покое архиепископ Антоний скончался 8 октября 1232 г.""; book:566839 §Глава II Русь и Ливония ¶643 ""Антоний онемел и болел 6 лет 7 месяцев до смерти 8 окт. 1232""",B,candidate,"Добавлен по требованию VERIFICATION.md (2026-09-26). office_start не указан (unspecified): книжные свидетельства этой группы датируют только смерть (1232-10-08) и продолжительность болезни перед ней, не начало периода ""на покое"". Не действующий владыка в 1230-1250 — не занимает бакет ""архиепископ"" в validate_figures.cjs наравне со Спиридоном/Далматом."
