nm_id,name_ru,name_en,material_kind,category_code,scope,stock_unit,portion_mass_g,portion_desc_ru,stock_rule,renewal,operation,access_tool_refs,tool_required,season_winter,season_spring,season_summer,season_autumn,cue_visual,cue_touch,cue_smell,cue_sound,craft_process_refs,master_item_refs,v17_profile_ref,source_refs,confidence,note,status
nm_tree_bark,"Кора (ивовая, еловая, сосновая)","tree bark (willow, spruce, pine)",plant_bark,natural_material.plant.bark,universal,portion,500,охапка снятой коры,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",slow_decades,strip_bark,tool:knife|tool:axe,true,limited: с порубленных и валежных стволов,open: в сокодвижение отходит пластами,open,limited,"толстая чешуйчатая сосновая кора, серая ивовая, красно-бурая еловая","сосновая лёгкая и ломкая, ивовая гибкая","смола, горьковатая ива",треск,proc:net_floats|proc:tanning_bark|proc:fuel_heating,,,wk:claim:population-bark-float|wk:claim:population-pine-float|wk:claim:population-bark-input|wk:claim:population-bark-cut|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_bark_bast_collection,B,Дубление корой в Новгороде 1230 — C (не проверено в этом проходе).,candidate
nm_pine_resin,Сосновая живица (смола-сырец),pine oleoresin,plant_resin,natural_material.plant.resin,universal,portion,100,"комок застывшей живицы, собранный с подсочки или ран ствола","portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",seasonal_regrowth,collect_resin,tool:knife|tool:axe|tool:container_bucket_or_vessel,true,limited: только застывшие натёки,limited,open: течёт в тепло,limited,прозрачные и желтоватые натёки на ранах сосны,"липкая, тянется, пачкает руки",резкий смолистый,,proc:pitch_boiling|proc:caulking|proc:waterproof_coating,OMI00155|OMI00156|OMI00157|OMI00158,,wk:claim:construction-pine-resin-surfaces|wk:claim:construction-pine-resin-bast|wk:claim:pine-pitch-woven-basket-coating|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_resin_tar_pitch_production|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv,B,,candidate
nm_osmol_resinous_stumps,Осмол (смолистые сосновые пни и корни),resinous pine stumpwood,wood_resinous,natural_material.wood.osmol,universal,portion,3000,"охапка смолистых щепок, вырубленных из старого пня","portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",none,cut_osmol,tool:axe|tool:hands,true,limited: пни под снегом,open,open,open,"старые серые пни с красноватой, пропитанной смолой древесиной","тяжёлые, липкие на сколе",густой смолистый,глухой звон под топором,proc:pitch_boiling|proc:tinder|proc:torch_splints,OMI00150|OMI01816,,world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_resin_tar_pitch_production|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv|wk:claim:residual-tree-pinus-sylvestris-dry-infertile-soils,C,Слово «осмол» и промысел по пням — этнографическая аналогия поздних эпох; наличие смолистых пней — физически следует из сосняка.,candidate
nm_deadwood,Валежник,fallen deadwood,wood_dead,natural_material.wood.deadwood,universal,portion,50,порция v17: 50 г (единица item); вязанка = 60 порций,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",slow_natural_fall,gather_deadwood,tool:hands|tool:axe,false,limited: под снегом; доступно видимое над снегом,open: после схода снега,open,open,"упавшие сучья и стволы, серые и замшелые","сухой — лёгкий и ломкий, сырой — тяжёлый, трухлявый",прелая древесина,хруст,proc:fuel_heating|proc:tinder|proc:charcoal_burning,OMI00048,m2c_finite_deadwood_v1,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/m2c-finite-source-capability-candidate.json#finite_source_profiles|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood)|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_fuelwood_gathering|wk:claim:residual-traces-deadwood-feeding-signs|wk:claim:fuel-pit-charcoal-burning-wood-input,C,"Расширение v17-профиля; порция сохранена 50 г, чтобы не менять единицу. Правило свободного сбора — редакторское решение владельца.",candidate
nm_dry_brushwood,Сушняк и хворост,dry brushwood and dead standing twigs,wood_dead,natural_material.wood.brushwood,universal,portion,1500,охапка сухих веток и тонкого сухостоя,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",slow_natural_fall,gather_brushwood,tool:hands|tool:axe|tool:knife,false,limited: под снегом; доступно видимое над снегом,open: после схода снега,open,open,"серые безлистные ветки, сухие нижние сучья елей",ломается со щелчком,сухое дерево,сухой треск,proc:fuel_heating|proc:tinder|proc:wattle_fence,OMI00037,,world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_fuelwood_gathering|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood)|wk:claim:population-material-wood-moisture,C,Редакторская категория топлива; право сбора — по правилу владельца M2c.,candidate
nm_driftwood,Плавник,driftwood,wood_drift,natural_material.wood.driftwood,universal,portion,50,порция v17: 50 г (единица item),"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",annual_flood,salvage_driftwood,tool:hands|tool:axe,false,limited: вмёрз в лёд и под снегом,"limited: половодье приносит новый, но берег затоплен",open: на обсохших косах,open,обкатанные водой серебристо-серые стволы и коряги на косе,"гладкий, лёгкий сухой, тяжёлый мокрый",речная сырость,,proc:fuel_heating|proc:construction_reuse,OMI00050,m2c_finite_driftwood_v1,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/m2c-finite-source-capability-candidate.json#finite_source_profiles|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood)|wk:claim:candidate-river-flood-woody-debris-transport-retention-conditional|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv,C,Расширение v17-профиля (ранее только driftwood_bar).,candidate
nm_reeds,Тростник и камыш,common reed and bulrush stems,plant_stem,natural_material.plant.reed,universal,portion,50,порция v17: 50 г (единица item); сноп = 40 порций,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",annual,cut_reeds,tool:sickle|tool:knife,true,open: сухие стебли режут со льда,"limited: старые стебли поломаны, молодые не выросли",limited: зелёные стебли,open: сухие стебли,стена высоких стеблей с метёлками у воды,"жёсткие гладкие стебли, режут кожу","сырая зелень, тина",шелест на ветру,proc:reed_mat|proc:bedding_insulation,,m2c_finite_reeds_v1,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/m2c-finite-source-capability-candidate.json#finite_source_profiles|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood)|wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat|wk:claim:r6-suitable-prepared-reed-stems-can-be-interlaced-or-overlapped-and-bound-into-a-mat|wk:claim:reality-batch-01-wetland-reed-cutting-needs-clear-hand-and-foot-placement|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_reed_sedge_harvest,B,Зимний сбор со льда — по seasonal_pattern шаблона lu_reed_sedge_harvest (draft).,candidate
nm_sedge_grass,Осока и болотная трава,sedge and marsh grass,plant_stem,natural_material.plant.sedge,universal,portion,1000,охапка срезанной осоки,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",annual,cut_sedge,tool:sickle|tool:scythe|tool:knife,true,closed: под снегом,limited,open,open: до снега,кочки и полосы жёсткой сизо-зелёной травы,режущие края листьев,сырая трава,шуршание,proc:bedding_insulation|proc:fodder_hay,,,world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_reed_sedge_harvest|wk:claim:static-bedding-material-selection-depends-on-dryness-nonirritation-and-dust|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv),C,,candidate
nm_moss,Мох (сфагнум и лесные зелёные мхи),moss (sphagnum and forest feather mosses),moss,natural_material.plant.moss,universal,portion,500,охапка надранного мха,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",slow_years,gather_moss,tool:hands|tool:container_basket_or_box,false,closed: под снегом и примёрз,limited: мокрый,open,open,"зелёные, рыжие и красноватые подушки на земле и кочках","мягкий, мокрый держит воду как губка",свежий болотный,хлюпанье,proc:log_wall_caulking|proc:packing_stopper|proc:tinder,OMI01517|OMI01808|OMI01907,,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv|wk:claim:agriculture-fauna-tow-log-gaps,C,"Мох в пазах срубов — этнографическая аналогия; WK подтверждает конопатку пазов паклей, не мхом (gap: нужна страница Засурцева/МИА).",candidate
nm_willow_rods,Ивовые прутья (лоза),willow rods,plant_stem,natural_material.plant.withy,universal,portion,1000,пучок срезанных прутьев,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",annual_regrowth,cut_withies,tool:knife|tool:sickle|tool:axe,true,open: безлистные прутья режут и зимой,open,limited: в листве,open,кусты с длинными гибкими красноватыми и зеленоватыми прутьями у воды,"гибкие, упругие",горьковатая кора,свист прута,proc:basketry|proc:wattle_fence|proc:fish_trap_weaving,OMI00033|OMI00034,,wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json),B,,candidate
nm_spruce_roots,Еловые корни,spruce roots,plant_root,natural_material.plant.root,universal,portion,300,моток выкопанных и расщеплённых корней,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",slow_years,dig_roots,tool:knife|tool:zastup_ironshod|tool:hands,true,closed: промёрзло,limited,open,open,длинные тонкие корни под мхом у ели,"гибкие, после очистки гладкие",смолистая сырость,,proc:birchbark_containers|proc:lashing,OMI00140|OMI00141|OMI00143,,master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv,B,Корневой шов берестяной тары — MASTER (A для изделий).,candidate
nm_water,Вода,water,water,natural_material.water,universal,portion,10000,ведро воды,unbounded while the water body exists (no finite stock),unbounded_while_water_body,draw_water,tool:container_bucket_or_vessel|tool:hands|tool:axe,true,limited: из проруби; нужен топор или пешня,limited: мутная паводковая,open,open,речная — тёмная или мутная после дождей; ключевая — прозрачная,холодная,"речная, тинистая в старицах",плеск,proc:drinking_cooking|proc:clay_preparation|proc:bast_soaking|proc:flax_retting,,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)|wk:claim:research-boiling-alone-does-not-establish-fuel-or-toxic-chemical-water-drinkability|wk:claim:foundations-earth-20-groundwater-recharge-discharge,B,Годность воды для питья не утверждается (WK: кипячение не делает загрязнённую воду безопасной).,candidate
