row_id,g4_ref,g4_short,place_function,landscape_template_id,nm_id,role,frequency_class,weight,stock_portions,derivation,season_winter,season_spring,season_summer,season_autumn,access_note,source_refs,confidence,status
nmg4_central_current_split__sedge_grass,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_sedge_grass,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common,closed,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_reed_sedge_harvest|wk:claim:static-bedding-material-selection-depends-on-dryness-nonirritation-and-dust,C,candidate
nmg4_central_current_split__willow_rods,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_willow_rods,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common; nature member Salix (willow) -> common,open,open,limited,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv,C,candidate
nmg4_central_current_split__water,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_water,raw_material,ubiquitous,8,unbounded,landscape lt_low_alluvial_riverbank -> ubiquitous; water_body channel -> ubiquitous,limited,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)|wk:claim:research-boiling-alone-does-not-establish-fuel-or-toxic-chemical-water-drinkability,C,candidate
nmg4_central_navigation_reach__ground,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_ground_alluvial_silt_mud,ground,ubiquitous,8,,ground of lt_low_alluvial_riverbank (world_db soil_ground_type=alluvial_silt_mud); G4 surface class=alluvial_silt_mud,промерзает; у кромки воды под снегом может оставаться мокрым,,,,,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_low_alluvial_riverbank|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,C,candidate
nmg4_central_navigation_reach__clay,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_clay,raw_material,contextual,2,50,landscape lt_low_alluvial_riverbank -> contextual,closed,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|wk:claim:pottery-handmade-local-clay|wk:claim:secondary-clay-forms-through-water-transport-deposition,C,candidate
nmg4_central_navigation_reach__sand,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_sand,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common,closed,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)",C,candidate
nmg4_central_navigation_reach__gravel_pebbles,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_gravel_pebbles,raw_material,rare,1,25,landscape lt_low_alluvial_riverbank -> rare,closed,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)",C,candidate
nmg4_central_navigation_reach__boulders_fieldstone,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_boulders_fieldstone,raw_material,rare,1,25,landscape lt_low_alluvial_riverbank -> rare,limited,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)",C,candidate
nmg4_central_navigation_reach__river_silt,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_river_silt,raw_material,ubiquitous,8,200,landscape lt_low_alluvial_riverbank -> ubiquitous,closed,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|wk:claim:final-nature-slower-riparian-flow-can-permit-sediment-deposition",C,candidate
nmg4_central_navigation_reach__tree_bark,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_tree_bark,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common; nature member Salix (willow) -> common,limited,open,open,limited,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|wk:claim:population-bark-float|wk:claim:population-pine-float,C,candidate
nmg4_central_navigation_reach__deadwood,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_deadwood,raw_material,rare,1,25,landscape lt_low_alluvial_riverbank -> rare,limited,open,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|pr98:data/world-catalogs/novgorod/live-world-runtime-v17/m2c-finite-source-capability-candidate.json#finite_source_profiles|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood),C,candidate
nmg4_central_navigation_reach__dry_brushwood,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_dry_brushwood,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common,limited,open,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_fuelwood_gathering|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood),C,candidate
nmg4_central_navigation_reach__driftwood,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_driftwood,raw_material,contextual,2,50,landscape lt_low_alluvial_riverbank -> contextual,limited,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|pr98:data/world-catalogs/novgorod/live-world-runtime-v17/m2c-finite-source-capability-candidate.json#finite_source_profiles|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood),C,candidate
nmg4_central_navigation_reach__sedge_grass,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_sedge_grass,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common,closed,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_reed_sedge_harvest|wk:claim:static-bedding-material-selection-depends-on-dryness-nonirritation-and-dust,C,candidate
nmg4_central_navigation_reach__willow_rods,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_willow_rods,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common; nature member Salix (willow) -> common,open,open,limited,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv,C,candidate
nmg4_central_navigation_reach__water,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,river_reach,lt_low_alluvial_riverbank,nm_water,raw_material,ubiquitous,8,unbounded,landscape lt_low_alluvial_riverbank -> ubiquitous; water_body channel -> ubiquitous,limited,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)|wk:claim:research-boiling-alone-does-not-establish-fuel-or-toxic-chemical-water-drinkability,C,candidate
nmg4_channel_split_islet__ground,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_ground_alluvial_silt_clay,ground,ubiquitous,8,,ground of lt_alluvial_floodplain (world_db soil_ground_type=alluvial_silt_clay); G4 surface class=alluvial_silt_clay,промерзает плотной коркой; весной долго мокрый,,,,,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_alluvial_floodplain|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,C,candidate
nmg4_channel_split_islet__clay,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_clay,raw_material,common,4,100,landscape lt_alluvial_floodplain -> common; place_function island_head -> common,closed,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|wk:claim:pottery-handmade-local-clay|wk:claim:secondary-clay-forms-through-water-transport-deposition,C,candidate
nmg4_channel_split_islet__sand,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_sand,raw_material,common,4,100,landscape lt_alluvial_floodplain -> contextual; place_function island_head -> common,closed,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)",C,candidate
nmg4_channel_split_islet__river_silt,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_river_silt,raw_material,ubiquitous,8,200,landscape lt_alluvial_floodplain -> ubiquitous,closed,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|wk:claim:final-nature-slower-riparian-flow-can-permit-sediment-deposition",C,candidate
nmg4_channel_split_islet__tree_bark,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_tree_bark,raw_material,common,4,100,landscape lt_alluvial_floodplain -> contextual; nature member Salix (willow) -> common,limited,open,open,limited,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|wk:claim:population-bark-float|wk:claim:population-pine-float,C,candidate
nmg4_channel_split_islet__deadwood,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_deadwood,raw_material,rare,1,25,landscape lt_alluvial_floodplain -> rare,limited,open,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|pr98:data/world-catalogs/novgorod/live-world-runtime-v17/m2c-finite-source-capability-candidate.json#finite_source_profiles|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood),C,candidate
nmg4_channel_split_islet__dry_brushwood,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_dry_brushwood,raw_material,common,4,100,landscape lt_alluvial_floodplain -> common,limited,open,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_fuelwood_gathering|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood),C,candidate
nmg4_channel_split_islet__driftwood,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_driftwood,raw_material,common,4,100,landscape lt_alluvial_floodplain -> rare; place_function island_head -> common,limited,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|pr98:data/world-catalogs/novgorod/live-world-runtime-v17/m2c-finite-source-capability-candidate.json#finite_source_profiles|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood),C,candidate
nmg4_channel_split_islet__sedge_grass,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_sedge_grass,raw_material,common,4,100,landscape lt_alluvial_floodplain -> common; nature member wet-ground grass and sedge guild (unidentified) -> common,closed,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_reed_sedge_harvest|wk:claim:static-bedding-material-selection-depends-on-dryness-nonirritation-and-dust,C,candidate
nmg4_channel_split_islet__willow_rods,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_willow_rods,raw_material,common,4,100,landscape lt_alluvial_floodplain -> contextual; nature member Salix (willow) -> common,open,open,limited,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv,C,candidate
nmg4_channel_split_islet__water,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,island_head,lt_alluvial_floodplain,nm_water,raw_material,ubiquitous,8,unbounded,landscape lt_alluvial_floodplain -> contextual; water_body channel -> ubiquitous,limited,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)|wk:claim:research-boiling-alone-does-not-establish-fuel-or-toxic-chemical-water-drinkability,C,candidate
nmg4_driftwood_bar__ground,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,driftwood_bar,driftwood_bar,lt_low_alluvial_riverbank,nm_ground_alluvial_silt_mud,ground,ubiquitous,8,,ground of lt_low_alluvial_riverbank (world_db soil_ground_type=alluvial_silt_mud); G4 surface class=alluvial_silt_mud,промерзает; у кромки воды под снегом может оставаться мокрым,,,,,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_low_alluvial_riverbank|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,C,candidate
nmg4_driftwood_bar__clay,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,driftwood_bar,driftwood_bar,lt_low_alluvial_riverbank,nm_clay,raw_material,contextual,2,50,landscape lt_low_alluvial_riverbank -> contextual,closed,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar|wk:claim:pottery-handmade-local-clay|wk:claim:secondary-clay-forms-through-water-transport-deposition,C,candidate
