scope_ref,scale_class,household_estimate_text,field,ours,audit,verdict
main_street,g4_location_type,,items_notable_max vs significant_item_max,14,3,differs
market_link,g4_location_type,,items_notable_max vs significant_item_max,16,24,differs
market_square,g4_location_type,,items_notable_max vs significant_item_max,18,24,differs
master_corner,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
master_house,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
master_yard,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
measure_place,g4_location_type,,items_notable_max vs significant_item_max,18,24,differs
meeting_torg_spot,g4_location_type,,items_notable_max vs significant_item_max,20,24,differs
merchant_guest_yards,g4_location_type,,items_notable_max vs significant_item_max,20,24,differs
merchant_yards,g4_location_type,,items_notable_max vs significant_item_max,20,24,differs
monastery_approach,g4_location_type,,items_notable_max vs significant_item_max,16,18,differs
nets_and_tackle,g4_location_type,,items_notable_max vs significant_item_max,18,22,differs
north_south_road,g4_location_type,,items_notable_max vs significant_item_max,16,3,differs
opposite_landing,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
opposite_road,g4_location_type,,items_notable_max vs significant_item_max,16,3,differs
opposite_route,g4_location_type,,items_notable_max vs significant_item_max,16,3,differs
outer_bank,g4_location_type,,items_notable_max vs significant_item_max,,10,ours_gap
outer_gate,g4_location_type,,items_notable_max vs significant_item_max,20,3,differs
outer_road_exit,g4_location_type,,items_notable_max vs significant_item_max,16,3,differs
outgoing_tracks,g4_location_type,,items_notable_max vs significant_item_max,16,18,differs
poor_burnt_edges,g4_location_type,,items_notable_max vs significant_item_max,14,6,differs
poor_edge,g4_location_type,,items_notable_max vs significant_item_max,14,6,differs
poor_edge_yards,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
posad_yards,g4_location_type,,items_notable_max vs significant_item_max,20,45,differs
priest_yard,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
private_chambers,g4_location_type,,items_notable_max vs significant_item_max,18,14,differs
ravine_edge,g4_location_type,,items_notable_max vs significant_item_max,,6,ours_gap
refectory,g4_location_type,,items_notable_max vs significant_item_max,18,18,equal
repair_shelter,g4_location_type,,items_notable_max vs significant_item_max,20,22,differs
resource_line,g4_location_type,,items_notable_max vs significant_item_max,14,22,differs
rich_yards,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
river_edge,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
river_exit,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
river_landings,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
river_or_market_exit,g4_location_type,,items_notable_max vs significant_item_max,18,24,differs
road_approach,g4_location_type,,items_notable_max vs significant_item_max,16,3,differs
road_entry,g4_location_type,,items_notable_max vs significant_item_max,16,3,differs
road_exit,g4_location_type,,items_notable_max vs significant_item_max,16,3,differs
road_exits,g4_location_type,,items_notable_max vs significant_item_max,16,3,differs
road_or_landing_exit,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
road_to_ilmen,g4_location_type,,items_notable_max vs significant_item_max,16,3,differs
road_to_volkhov_north,g4_location_type,,items_notable_max vs significant_item_max,16,45,differs
roadside_shrine,g4_location_type,,items_notable_max vs significant_item_max,20,3,differs
salt_storage,g4_location_type,,items_notable_max vs significant_item_max,20,22,differs
secret_forest_path,g4_location_type,,items_notable_max vs significant_item_max,,5,ours_gap
senior_yard,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
servant_yards,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
service_admin_yards,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
service_yard,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
shallow_marker,g4_location_type,,items_notable_max vs significant_item_max,18,6,differs
shelter_huts,g4_location_type,,items_notable_max vs significant_item_max,18,18,equal
shelter_shed,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
shore_approach,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
slipway,g4_location_type,,items_notable_max vs significant_item_max,20,10,differs
small_church_corner,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
sofia_side_spine,g4_location_type,,items_notable_max vs significant_item_max,14,45,differs
stable_cattle,g4_location_type,,items_notable_max vs significant_item_max,20,6,differs
stable_yard,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
storage_granary_belts,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
storage_klet,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
storage_kleti,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
storage_shed,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
store_shed,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
store_yard,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
storehouses,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
street_connection,g4_location_type,,items_notable_max vs significant_item_max,14,3,differs
suburban_gardens,g4_location_type,,items_notable_max vs significant_item_max,18,6,differs
tar_pitch_corner,g4_location_type,,items_notable_max vs significant_item_max,20,22,differs
threshing_floor,g4_location_type,,items_notable_max vs significant_item_max,18,6,differs
timber_stack,g4_location_type,,items_notable_max vs significant_item_max,20,22,differs
tool_shed,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
tool_storage,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
town_gate,g4_location_type,,items_notable_max vs significant_item_max,,3,ours_gap
track_entry,g4_location_type,,items_notable_max vs significant_item_max,,3,ours_gap
trade_rows,g4_location_type,,items_notable_max vs significant_item_max,18,24,differs
trade_side_spine,g4_location_type,,items_notable_max vs significant_item_max,14,24,differs
treasury_klet,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
upstream_path,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
village_passage,g4_location_type,,items_notable_max vs significant_item_max,,3,ours_gap
volkhov_bridge_axis,g4_location_type,,items_notable_max vs significant_item_max,14,45,differs
waiting_bank,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
waiting_shelter,g4_location_type,,items_notable_max vs significant_item_max,16,18,differs
watch_and_fire_points,g4_location_type,,items_notable_max vs significant_item_max,,6,ours_gap
watch_corner,g4_location_type,,items_notable_max vs significant_item_max,,6,ours_gap
watch_place,g4_location_type,,items_notable_max vs significant_item_max,18,6,differs
water_channel,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
water_drain,g4_location_type,,items_notable_max vs significant_item_max,,10,ours_gap
water_edge,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
water_or_landing,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
water_place,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
water_route_exit,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
water_spot,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
weir_or_sadki,g4_location_type,,items_notable_max vs significant_item_max,18,18,equal
well_or_bank,g4_location_type,,items_notable_max vs significant_item_max,18,10,differs
well_or_pond,g4_location_type,,items_notable_max vs significant_item_max,20,10,differs
well_or_spring,g4_location_type,,items_notable_max vs significant_item_max,20,10,differs
well_or_stream,g4_location_type,,items_notable_max vs significant_item_max,,10,ours_gap
well_place,g4_location_type,,items_notable_max vs significant_item_max,14,10,differs
wood_stack,g4_location_type,,items_notable_max vs significant_item_max,20,18,differs
work_sheds,g4_location_type,,items_notable_max vs significant_item_max,20,22,differs
work_yard,g4_location_type,,items_notable_max vs significant_item_max,20,22,differs
work_yards,g4_location_type,,items_notable_max vs significant_item_max,20,22,differs
worker_huts,g4_location_type,,items_notable_max vs significant_item_max,18,22,differs
working_bank,g4_location_type,,items_notable_max vs significant_item_max,18,22,differs
working_yard,g4_location_type,,items_notable_max vs significant_item_max,20,22,differs
yard_gate,g4_location_type,,items_notable_max vs significant_item_max,20,14,differs
yaroslav_court_market_core,g4_location_type,,items_notable_max vs significant_item_max,20,45,differs
