pgl_id,scope_kind,scope_ref,scale_class,region_id,households_min,households_max,households_basis,household_estimate_text,household_kind_count,household_mix,residents_min,residents_max,residents_basis,npc_present_min,npc_present_max,g4_zones_min,g4_zones_max,items_notable_max,items_basis,containers_max,g5_anchor_max,rule_ref,v6_row_count,source_refs,gaps,confidence,status
pgl_pt_hamlet__ordinary_village__11,place_template,pt_hamlet,ordinary_village,region_novgorod_land,8,18,R1 range,примерно 8-18 дворов,3,1 старший двор; 5-12 обычных; 1-5 крайних/бедных,,,,,,10,10,,,,,scripts/build-generation-limits.mjs R1-R3,144,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_hamlet;scale_class=ordinary_village,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_hillfort_gorodishche__fortified_hillfort_or_old_site__12,place_template,pt_hillfort_gorodishche,fortified_hillfort_or_old_site,region_novgorod_land,0,20,R1 range,"0-20 дворов при использовании; может быть сторожевой, складской или убежищный узел",4,сторожевые/служилые; временные дворы; склад; окрестные крестьяне приходят при угрозе,,,,,,11,11,,,,,scripts/build-generation-limits.mjs R1-R3,5,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_hillfort_gorodishche;scale_class=fortified_hillfort_or_old_site,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_hunting_camp__resource_camp__13,place_template,pt_hunting_camp,resource_camp,region_novgorod_land,0,3,R1 range,0-3 временных двора/избы; постоянного поселения обычно нет,1,"промысловики, лесные работники, сторож или временная артель",,,,,,7,7,,,,,scripts/build-generation-limits.mjs R1-R3,48,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_hunting_camp;scale_class=resource_camp,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_isolated_farmstead__isolated_farmstead__14,place_template,pt_isolated_farmstead,isolated_farmstead,region_novgorod_land,1,3,R1 range,1-3 двора,1,один старший двор и 0-2 зависимых/родственных двора,,,,,,8,8,,,,,scripts/build-generation-limits.mjs R1-R3,18,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_isolated_farmstead;scale_class=isolated_farmstead,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_market_place__market_or_trade_node__15,place_template,pt_market_place,market_or_trade_node,region_novgorod_land,5,25,R1 range,5-25 постоянных дворов/клетей плюс сезонный или событийный приток людей,4,торговые/гостевые 30-50%; складские 20-30%; служебные 5-15%; жильё держателей 10-30%,,,,,,12,12,,,,,scripts/build-generation-limits.mjs R1-R3,33,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_market_place;scale_class=market_or_trade_node,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_monastery__monastery_complex__16,place_template,pt_monastery,monastery_complex,region_novgorod_land,,,,комплекс братии и служебных/монастырских дворов; дворовая численность задаётся сценой,5,монастырские кельи; хозяйственные служители; гости; зависимые работники; скотный и огородный двор,,,,,,13,13,,,,,scripts/build-generation-limits.mjs R1-R3,5,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_monastery;scale_class=monastery_complex,households: estimate text has no yard range;residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_pogost_center__church_pogost_center__17,place_template,pt_pogost_center,church_pogost_center,region_novgorod_land,8,25,R1 range,обычно 8-25 постоянных дворов при центре плюс приходская округа вокруг,4,церковный/причтовый 1-3; служебные/гостевые 1-4; крестьянские 5-18; торгово-сборные дворы по событию,,,,,,12,12,,,,,scripts/build-generation-limits.mjs R1-R3,21,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_pogost_center;scale_class=church_pogost_center,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_posad_suburb__urban_quarter_or_suburb__18,place_template,pt_posad_suburb,urban_quarter_or_suburb,region_novgorod_land,40,180,R1 range,примерно 40-180 дворов вдоль уличной оси,6,зажиточные 5-15%; ремесленные 35-60%; торговые 5-15%; церковные/служилые 3-8%; рядовые посадские 20-40%; бедные/окраинные 5-20%,,,,,,14,14,,,,,scripts/build-generation-limits.mjs R1-R3,1,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_posad_suburb;scale_class=urban_quarter_or_suburb,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_posad_suburb__urban_quarter_or_suburb__19,place_template,pt_posad_suburb,urban_quarter_or_suburb,region_novgorod_land,400,1200,R1 range,примерно 400-1200 дворов в крупной городской части/конце,6,зажиточные 5-15%; ремесленные 35-60%; торговые 5-15%; церковные/служилые 3-8%; рядовые посадские 20-40%; бедные/окраинные 5-20%,,,,,,14,14,,,,,scripts/build-generation-limits.mjs R1-R3,5,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_posad_suburb;scale_class=urban_quarter_or_suburb,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_posad_suburb__urban_quarter_or_suburb__20,place_template,pt_posad_suburb,urban_quarter_or_suburb,region_novgorod_land,60,250,R1 range,примерно 60-250 дворов в слободской или ремесленной части,6,зажиточные 5-15%; ремесленные 35-60%; торговые 5-15%; церковные/служилые 3-8%; рядовые посадские 20-40%; бедные/окраинные 5-20%,,,,,,14,14,,,,,scripts/build-generation-limits.mjs R1-R3,3,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_posad_suburb;scale_class=urban_quarter_or_suburb,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_posad_suburb__urban_quarter_or_suburb__21,place_template,pt_posad_suburb,urban_quarter_or_suburb,region_novgorod_land,80,400,R1 range,примерно 80-400 дворов в посадском участке,6,зажиточные 5-15%; ремесленные 35-60%; торговые 5-15%; церковные/служилые 3-8%; рядовые посадские 20-40%; бедные/окраинные 5-20%,,,,,,14,14,,,,,scripts/build-generation-limits.mjs R1-R3,9,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_posad_suburb;scale_class=urban_quarter_or_suburb,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_river_landing__water_crossing_or_landing__22,place_template,pt_river_landing,water_crossing_or_landing,region_novgorod_land,0,6,R1 range,"0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей",4,перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места,,,,,,9,10,,,,,scripts/build-generation-limits.mjs R1-R3,188,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_river_landing;scale_class=water_crossing_or_landing,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_rural_church_center__church_pogost_center__23,place_template,pt_rural_church_center,church_pogost_center,region_novgorod_land,8,25,R1 range,обычно 8-25 постоянных дворов при центре плюс приходская округа вокруг,4,церковный/причтовый 1-3; служебные/гостевые 1-4; крестьянские 5-18; торгово-сборные дворы по событию,,,,,,12,12,,,,,scripts/build-generation-limits.mjs R1-R3,10,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_rural_church_center;scale_class=church_pogost_center,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_saltworks__salt_production_site__24,place_template,pt_saltworks,salt_production_site,region_novgorod_land,1,12,R1 range,1-12 рабочих/служебных дворов и варничных зон,1,"варники, возчики, хранители дров/соли, сторож, хозяин промысла",,,,,,12,12,,,,,scripts/build-generation-limits.mjs R1-R3,1,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_saltworks;scale_class=salt_production_site,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_shipyard_boatyard__boatyard_or_shipyard__25,place_template,pt_shipyard_boatyard,boatyard_or_shipyard,region_novgorod_land,1,8,R1 range,1-8 мастерских/служебных дворов,1,"мастера, подручные, сторож, складские держатели, заказчики/купцы",,,,,,12,12,,,,,scripts/build-generation-limits.mjs R1-R3,3,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_shipyard_boatyard;scale_class=boatyard_or_shipyard,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_town__town__26,place_template,pt_town,town,region_novgorod_land,300,900,R1 range,примерно 300-900 дворов с соляным и приильменским хозяйственным профилем,6,торговые 10-20%; ремесленные 25-40%; служилые/дворовые 5-10%; церковные 3-7%; рядовые посадские 35-55%; окраинные и временные 5-15%,,,,,,18,18,,,,,scripts/build-generation-limits.mjs R1-R3,1,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_town;scale_class=town,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_town__town__27,place_template,pt_town,town,region_novgorod_land,600,1600,R1 range,примерно 600-1600 дворов как важный торгово-дорожный городовой узел,6,торговые 10-20%; ремесленные 25-40%; служилые/дворовые 5-10%; церковные 3-7%; рядовые посадские 35-55%; окраинные и временные 5-15%,,,,,,18,18,,,,,scripts/build-generation-limits.mjs R1-R3,1,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_town;scale_class=town,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_village__large_village_or_selo__28,place_template,pt_village,large_village_or_selo,region_novgorod_land,20,45,R1 range,примерно 20-45 дворов,4,1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе,,,,,,12,12,,,,,scripts/build-generation-limits.mjs R1-R3,198,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_village;scale_class=large_village_or_selo,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_wintering_hut__resource_camp__29,place_template,pt_wintering_hut,resource_camp,region_novgorod_land,0,3,R1 range,0-3 временных двора/избы; постоянного поселения обычно нет,1,"промысловики, лесные работники, сторож или временная артель",,,,,,7,7,,,,,scripts/build-generation-limits.mjs R1-R3,34,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_wintering_hut;scale_class=resource_camp,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pf_reality_batch_01_open_conditions,place_family,pf_reality_batch_01_open_conditions,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_reality_first_practical_conditions,place_family,pf_reality_first_practical_conditions,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_rural_yard,place_family,pf_rural_yard,,,,,,,,,,,,,,,,20,"R4 max of MASTER spawn profiles SPN004:16,SPN011:18,SPN020:16,SPN026:18,SPN028:16,SPN029:20,SPN035:16,SPN038:14,SPN039:20,SPN040:18,SPN042:14,SPN046:12",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_town_street,place_family,pf_town_street,,,,,,,,,,,,,,,,14,"R4 max of MASTER spawn profiles SPN005:10,SPN041:12,SPN042:14,SPN046:12",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_market_square,place_family,pf_market_square,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN006:18,SPN044:12",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_river_wharf,place_family,pf_river_wharf,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN022:18,SPN023:12,SPN024:18",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_town_courtyard,place_family,pf_town_courtyard,,,,,,,,,,,,,,,,20,"R4 max of MASTER spawn profiles SPN001:14,SPN002:10,SPN004:16,SPN011:18,SPN015:14,SPN017:18,SPN020:16,SPN026:18,SPN028:16,SPN029:20,SPN030:20,SPN033:14,SPN035:16,SPN038:14,SPN039:20,SPN040:18,SPN041:12,SPN042:14,SPN043:8,SPN045:14,SPN046:12",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_town_wall_edge,place_family,pf_town_wall_edge,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_riverbank,place_family,pf_riverbank,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN022:18,SPN025:18,SPN041:12,SPN046:12",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_river_channel,place_family,pf_river_channel,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN023:12,SPN024:18",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_floodplain_meadow,place_family,pf_floodplain_meadow,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_lake_shore,place_family,pf_lake_shore,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN022:18,SPN025:18,SPN041:12,SPN046:12",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_arable_field,place_family,pf_arable_field,,,,,,,,,,,,,,,,18,"R4 max of MASTER spawn profiles SPN037:18,SPN038:14",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_hay_meadow,place_family,pf_hay_meadow,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_broadleaf_woodland,place_family,pf_broadleaf_woodland,,,,,,,,,,,,,,,,16,"R4 max of MASTER spawn profiles SPN027:14,SPN028:16",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_conifer_woodland,place_family,pf_conifer_woodland,,,,,,,,,,,,,,,,16,"R4 max of MASTER spawn profiles SPN027:14,SPN028:16",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_mixed_woodland,place_family,pf_mixed_woodland,,,,,,,,,,,,,,,,16,"R4 max of MASTER spawn profiles SPN027:14,SPN028:16",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_forest_edge,place_family,pf_forest_edge,,,,,,,,,,,,,,,,16,"R4 max of MASTER spawn profiles SPN027:14,SPN028:16",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
pgl_pf_bog,place_family,pf_bog,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_marshy_stream,place_family,pf_marshy_stream,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_village_lane,place_family,pf_village_lane,,,,,,,,,,,,,,,,,,,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,items_notable_max: no MASTER spawn profile maps to this family;containers_max: no sourced basis,C,candidate
pgl_pf_peasant_homestead,place_family,pf_peasant_homestead,,,,,,,,,,,,,,,,20,"R4 max of MASTER spawn profiles SPN004:16,SPN011:18,SPN020:16,SPN026:18,SPN028:16,SPN029:20,SPN030:20,SPN035:16,SPN038:14,SPN039:20,SPN040:18,SPN041:12,SPN042:14,SPN046:12",,,scripts/build-generation-limits.mjs R4,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv; places-binding/places/crosswalk_master_location_archetypes.csv,containers_max: no sourced basis,C,candidate
