source_role_id,source_role_title,source_historical_term,source_role_group,source_freedom_status,source_dependency_type,proposed_social_position_archetype_id,proposed_social_class_id,proposed_role_archetype_id,proposed_legal_status_archetype_id,proposed_dependency_archetype_id,proposed_mobility_archetype_id,mapping_method,confidence,review_required,ambiguity_reason,blocking_issue
nov_role_merchant_clerk,купеческий приказчик,приказчик / доверенный,торговля,dependent,merchant_service,dependent_servant_household,dependent_commoner,elite_household_member,dependent,household_dependency,restricted_by_master,explicit_map,high,false,,
nov_role_trader,торговец,торговый человек,торговля,free,market_household,urban_merchant_trader,free_commoner,merchant_trader,free,none,locally_mobile,explicit_map,high,false,,
nov_role_foreign_guest,иноземный гость,немецкий / готский / заморский гость,торговля,free,foreign_trade_law,foreign_privileged_merchant_outsider,outsider_foreign,merchant_trader,privileged_foreign,no_local_guarantor,road_mobile,manual_map,high,false,,
nov_role_craftsman_master,мастер-ремесленник,мастер / ремесленник,город,free,craft_household,artisan_master_urban,free_commoner,artisan_master,free,none,locally_mobile,explicit_map,high,false,,
nov_role_journeyman,подмастерье,подмастерье,город,dependent,master_service,artisan_master_urban,free_commoner,artisan_master,free,none,locally_mobile,explicit_map,high,false,,
nov_role_apprentice,ученик,ученик,город,dependent,master_and_family,dependent_servant_household,dependent_commoner,elite_household_member,dependent,household_dependency,restricted_by_master,explicit_map,high,false,,
nov_role_householder,хозяин двора,хозяин двора,город,free,household_authority,free_urban_householder,free_commoner,common_householder,free,none,locally_mobile,explicit_map,high,false,,
nov_role_household_mistress,хозяйка двора,хозяйка,город,free,household_authority,free_urban_householder,free_commoner,common_householder,free,none,locally_mobile,explicit_map,high,false,,
nov_role_servant,слуга,слуга,зависимые,dependent,household_service,dependent_servant_household,dependent_commoner,elite_household_member,dependent,household_dependency,restricted_by_master,explicit_map,high,false,,
nov_role_hired_worker,наёмный работник,наёмник / работник,зависимые,free,hire_and_day_labor,rural_laborer_commoner,free_commoner,rural_laborer,free,none,locally_mobile,explicit_map,high,false,,
nov_role_port_worker,работник пристани,пристанский работник,дорога,free,port_labor,rural_laborer_commoner,free_commoner,rural_laborer,free,none,locally_mobile,explicit_map,high,false,,
nov_role_smerd_householder,смерд-домохозяин,смерд,село,free,community_and_dues,free_rural_householder_commoner,free_commoner,rural_householder,free,none,local_bound,manual_map,high,false,,
nov_role_dependent_peasant,зависимый крестьянин,зависимый человек,село,dependent,lord_monastery_or_debt,contract_dependent_laborer,dependent_commoner,rural_laborer,dependent,lord_dependency,locally_mobile,explicit_map,high,false,,
nov_role_ploughman,пахарь,пахарь / ратай,село,free,household_land,rural_laborer_commoner,free_commoner,rural_laborer,free,none,locally_mobile,explicit_map,high,false,,
nov_role_pastoral_worker,скотник,скотник / пастух,село,free,household_or_community,forest_water_producer_commoner,free_commoner,forest_or_water_producer,free,none,local_bound,explicit_map,high,false,,
nov_role_fisher,рыбак,рыбак,промысел,free,household_or_artel,forest_water_producer_commoner,free_commoner,forest_or_water_producer,free,none,local_bound,explicit_map,high,false,,
nov_role_hunter,охотник,ловец / охотник,промысел,free,promysel_custom,forest_water_producer_commoner,free_commoner,forest_or_water_producer,free,none,local_bound,explicit_map,high,false,,
nov_role_bortnik,бортник,бортник,промысел,free,promysel_rights,forest_water_producer_commoner,free_commoner,forest_or_water_producer,free,none,local_bound,explicit_map,high,false,,
nov_role_forest_promyslovik,лесной промысловик,промысловик,промысел,free,seasonal_artel,forest_water_producer_commoner,free_commoner,forest_or_water_producer,free,none,local_bound,explicit_map,high,false,,
nov_role_senokos_worker,сенокосец,сенокосец,село,free,household_or_community,rural_laborer_commoner,free_commoner,rural_laborer,free,none,locally_mobile,explicit_map,high,false,,
nov_role_miller,мельник,мельник,село,free,mill_holder,artisan_master_urban,free_commoner,artisan_master,free,none,locally_mobile,explicit_map,high,false,,
nov_role_monastery_worker,работник монастырского хозяйства,монастырский работник,церковь,dependent,monastery_service,dependent_servant_household,dependent_commoner,elite_household_member,dependent,household_dependency,restricted_by_master,explicit_map,high,false,,
nov_role_widow_householder,вдова-хозяйка,вдова,село,free,kin_and_household,free_rural_householder_commoner,free_commoner,rural_householder,free,none,local_bound,explicit_map,high,false,,
nov_role_youth_helper,подросток-помощник,отрок / подросток,село,dependent,family_household,rural_laborer_commoner,free_commoner,rural_laborer,free,none,locally_mobile,explicit_map,high,false,,
nov_role_old_household_member,старик на дворе,старик / старуха,село,dependent,family_household,free_rural_householder_commoner,free_commoner,rural_householder,free,none,local_bound,explicit_map,high,false,,
nov_role_archbishop,владыка новгородский,архиепископ / владыка,церковь,free,church_office,high_ecclesiastical_ruler,ecclesiastical_elite,cleric,ecclesiastical,office_service,regionally_mobile,explicit_map,high,false,,
nov_role_igumen,игумен,игумен,церковь,free,monastic_office,monastic_community_member,ecclesiastical_elite,monastic,ecclesiastical,monastic_rule,restricted_by_master,explicit_map,high,false,,
nov_role_priest,поп,поп / священник,церковь,free,parish_and_church,parish_cleric,ecclesiastical_elite,cleric,ecclesiastical,office_service,locally_mobile,explicit_map,high,false,,
nov_role_deacon,дьякон,дьякон,церковь,free,church_service,parish_cleric,ecclesiastical_elite,cleric,ecclesiastical,office_service,locally_mobile,explicit_map,high,false,,
nov_role_monk,монах,монах,церковь,dependent,monastic_rule,monastic_community_member,ecclesiastical_elite,monastic,ecclesiastical,monastic_rule,restricted_by_master,explicit_map,high,false,,
nov_role_novice,послушник,послушник,церковь,dependent,monastic_rule,monastic_community_member,ecclesiastical_elite,monastic,ecclesiastical,monastic_rule,restricted_by_master,explicit_map,high,false,,
nov_role_ponomar,пономарь,пономарь,церковь,free,church_service,dependent_servant_household,dependent_commoner,elite_household_member,dependent,household_dependency,restricted_by_master,explicit_map,high,false,,
nov_role_church_guard,церковный сторож,сторож церковный,церковь,free,church_service,guard_watchman_service,free_commoner,guard_watchman,dependent,office_service,locally_mobile,explicit_map,high,false,,
nov_role_church_scribe,церковный писец,писец,церковь,free,church_literacy,ecclesiastical_official_manager,ecclesiastical_elite,official_manager,ecclesiastical,office_service,locally_mobile,explicit_map,high,false,,
nov_role_pilgrim,богомолец,богомолец / паломник,церковь,free,religious_travel,traveler_guide_itinerant,free_commoner,traveler_outsider,free,none,road_mobile,explicit_map,high,false,,
nov_role_guide,проводник,проводник,дорога,free,local_knowledge,traveler_guide_itinerant,free_commoner,traveler_outsider,free,none,road_mobile,explicit_map,high,false,,
nov_role_ferryman,перевозчик,перевозчик,дорога,free,crossing_right,transport_worker_itinerant,free_commoner,traveler_outsider,free,none,road_mobile,explicit_map,high,false,,
nov_role_boatman,лодочник,лодочник,дорога,free,river_work,transport_worker_itinerant,free_commoner,traveler_outsider,free,none,road_mobile,explicit_map,high,false,,
nov_role_helmsman,кормщик,кормщик,дорога,free,river_navigation,transport_worker_itinerant,free_commoner,traveler_outsider,free,none,road_mobile,explicit_map,high,false,,
nov_role_cart_driver,возчик,возчик,дорога,free,transport_hire,transport_worker_itinerant,free_commoner,traveler_outsider,free,none,road_mobile,explicit_map,high,false,,
nov_role_winter_road_man,человек зимника,зимник / дорожный человек,дорога,free,seasonal_road_knowledge,transport_worker_itinerant,free_commoner,traveler_outsider,free,none,road_mobile,explicit_map,high,false,,
nov_role_portage_worker,человек волока,волочник / работник волока,дорога,free,portage_labor,transport_worker_itinerant,free_commoner,traveler_outsider,free,none,road_mobile,explicit_map,high,false,,
nov_role_merchant_companion,купеческий спутник,спутник купца,дорога,free,merchant_hire,dependent_servant_household,dependent_commoner,elite_household_member,dependent,household_dependency,restricted_by_master,explicit_map,high,false,,
nov_role_druzhina_companion,дружинный спутник,спутник дружины,дорога,free,military_service,armed_retainer_service,landholding_notable,armed_retainer,dependent,military_service,locally_mobile,explicit_map,high,false,,
nov_role_kholop,холоп,холоп,низкий_статус,slave,owner_control,unfree_household_dependent,unfree_dependent,elite_household_member,unfree,owner_control,restricted_by_master,manual_map,high,false,,
nov_role_debtor,должник,должник,низкий_статус,dependent,creditor_pressure,debt_dependent_commoner,dependent_commoner,rural_householder,dependent,debt_dependency,restricted_by_debt,manual_map,high,false,,
nov_role_runaway,беглый,беглый человек,низкий_статус,unclear,pursuit_and_no_guarantor,marginal_outcast_low_status,marginal_outcast,traveler_outsider,outcast,no_local_guarantor,fugitive,explicit_map,high,false,,
nov_role_orphan,сирота,сирота,низкий_статус,dependent,kin_or_guardian,dependent_servant_household,dependent_commoner,elite_household_member,dependent,household_dependency,restricted_by_master,explicit_map,high,false,,
nov_role_outsider,пришлый человек,пришлый,низкий_статус,variable,no_local_guarantor,displaced_status_lost_outsider,marginal_outcast,traveler_outsider,outcast,no_local_guarantor,no_guarantor,explicit_map,high,false,,
nov_role_izgoi,изгой,изгой,низкий_статус,unclear,lost_status,displaced_status_lost_outsider,marginal_outcast,traveler_outsider,outcast,no_local_guarantor,no_guarantor,manual_map,high,false,,
nov_role_captive,пленник,пленник,низкий_статус,slave,captor_control,captive_unfree_person,captive_unfree,traveler_outsider,captive,captor_control,restricted_by_master,explicit_map,high,false,,
nov_role_beggar,нищий,нищий,низкий_статус,free,alms_dependency,marginal_outcast_low_status,marginal_outcast,traveler_outsider,outcast,no_local_guarantor,fugitive,explicit_map,high,false,,
nov_role_sick_disabled,больной или увечный человек,увечный / больной,низкий_статус,variable,kin_church_alms,marginal_outcast_low_status,marginal_outcast,traveler_outsider,outcast,no_local_guarantor,fugitive,explicit_map,high,false,,
nov_role_no_guarantor,человек без поручителя,без поручителя,низкий_статус,variable,lack_of_guarantee,displaced_status_lost_outsider,marginal_outcast,traveler_outsider,outcast,no_local_guarantor,no_guarantor,explicit_map,high,false,,
