seasonality_id,record_type,record_id,item_id,month,availability,basis,historical_confidence,notes
SEA000040,ingredient,ING0004,FMA0003,apr,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000041,ingredient,ING0004,FMA0003,may,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000042,ingredient,ING0004,FMA0003,jun,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000043,ingredient,ING0004,FMA0003,jul,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000044,ingredient,ING0004,FMA0003,aug,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000045,ingredient,ING0004,FMA0003,sep,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000046,ingredient,ING0004,FMA0003,oct,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000047,ingredient,ING0004,FMA0003,nov,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000048,ingredient,ING0004,FMA0003,dec,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000049,ingredient,ING0005,FOD0051,jan,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000050,ingredient,ING0005,FOD0051,feb,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000051,ingredient,ING0005,FOD0051,mar,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000052,ingredient,ING0005,FOD0051,apr,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000053,ingredient,ING0005,FOD0051,may,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000054,ingredient,ING0005,FOD0051,jun,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000055,ingredient,ING0005,FOD0051,jul,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000056,ingredient,ING0005,FOD0051,aug,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000057,ingredient,ING0005,FOD0051,sep,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000058,ingredient,ING0005,FOD0051,oct,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000059,ingredient,ING0005,FOD0051,nov,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000060,ingredient,ING0005,FOD0051,dec,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000061,ingredient,ING0006,FOD0021,jan,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000062,ingredient,ING0006,FOD0021,feb,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000063,ingredient,ING0006,FOD0021,mar,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000064,ingredient,ING0006,FOD0021,apr,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000065,ingredient,ING0006,FOD0021,may,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000066,ingredient,ING0006,FOD0021,jun,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000067,ingredient,ING0006,FOD0021,jul,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000068,ingredient,ING0006,FOD0021,aug,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000069,ingredient,ING0006,FOD0021,sep,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000070,ingredient,ING0006,FOD0021,oct,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000071,ingredient,ING0006,FOD0021,nov,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000072,ingredient,ING0006,FOD0021,dec,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000073,ingredient,ING0007,FOD0022,jan,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000074,ingredient,ING0007,FOD0022,feb,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000075,ingredient,ING0007,FOD0022,mar,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000076,ingredient,ING0007,FOD0022,apr,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000077,ingredient,ING0007,FOD0022,may,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000078,ingredient,ING0007,FOD0022,jun,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000079,ingredient,ING0007,FOD0022,jul,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000080,ingredient,ING0007,FOD0022,aug,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000081,ingredient,ING0007,FOD0022,sep,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000082,ingredient,ING0007,FOD0022,oct,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000083,ingredient,ING0007,FOD0022,nov,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000084,ingredient,ING0007,FOD0022,dec,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000085,ingredient,ING0008,FOD0050,jan,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000086,ingredient,ING0008,FOD0050,feb,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000087,ingredient,ING0008,FOD0050,mar,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000088,ingredient,ING0008,FOD0050,apr,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000089,ingredient,ING0008,FOD0050,may,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000090,ingredient,ING0008,FOD0050,jun,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000091,ingredient,ING0008,FOD0050,jul,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000092,ingredient,ING0008,FOD0050,aug,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000093,ingredient,ING0008,FOD0050,sep,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000094,ingredient,ING0008,FOD0050,oct,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000095,ingredient,ING0008,FOD0050,nov,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000096,ingredient,ING0008,FOD0050,dec,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000097,ingredient,ING0009,FOD0023,jan,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000098,ingredient,ING0009,FOD0023,feb,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000099,ingredient,ING0009,FOD0023,mar,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000100,ingredient,ING0009,FOD0023,apr,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000101,ingredient,ING0009,FOD0023,may,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000102,ingredient,ING0009,FOD0023,jun,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000103,ingredient,ING0009,FOD0023,jul,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000104,ingredient,ING0009,FOD0023,aug,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000105,ingredient,ING0009,FOD0023,sep,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000106,ingredient,ING0009,FOD0023,oct,fresh_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000107,ingredient,ING0009,FOD0023,nov,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000108,ingredient,ING0009,FOD0023,dec,stored_available,grain_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000109,ingredient,ING0010,OMI01290,jan,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000110,ingredient,ING0010,OMI01290,feb,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000111,ingredient,ING0010,OMI01290,mar,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000112,ingredient,ING0010,OMI01290,apr,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000113,ingredient,ING0010,OMI01290,may,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000114,ingredient,ING0010,OMI01290,jun,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000115,ingredient,ING0010,OMI01290,jul,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000116,ingredient,ING0010,OMI01290,aug,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000117,ingredient,ING0010,OMI01290,sep,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000118,ingredient,ING0010,OMI01290,oct,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000119,ingredient,ING0010,OMI01290,nov,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000120,ingredient,ING0010,OMI01290,dec,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000121,ingredient,ING0011,OMI01291,jan,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000122,ingredient,ING0011,OMI01291,feb,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000123,ingredient,ING0011,OMI01291,mar,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000124,ingredient,ING0011,OMI01291,apr,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000125,ingredient,ING0011,OMI01291,may,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000126,ingredient,ING0011,OMI01291,jun,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000127,ingredient,ING0011,OMI01291,jul,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000128,ingredient,ING0011,OMI01291,aug,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000129,ingredient,ING0011,OMI01291,sep,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000130,ingredient,ING0011,OMI01291,oct,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000131,ingredient,ING0011,OMI01291,nov,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000132,ingredient,ING0011,OMI01291,dec,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000133,ingredient,ING0012,OMI01292,jan,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000134,ingredient,ING0012,OMI01292,feb,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000135,ingredient,ING0012,OMI01292,mar,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000136,ingredient,ING0012,OMI01292,apr,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000137,ingredient,ING0012,OMI01292,may,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000138,ingredient,ING0012,OMI01292,jun,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000139,ingredient,ING0012,OMI01292,jul,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000140,ingredient,ING0012,OMI01292,aug,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000141,ingredient,ING0012,OMI01292,sep,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000142,ingredient,ING0012,OMI01292,oct,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000143,ingredient,ING0012,OMI01292,nov,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000144,ingredient,ING0012,OMI01292,dec,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000145,ingredient,ING0013,OMI01293,jan,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000146,ingredient,ING0013,OMI01293,feb,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000147,ingredient,ING0013,OMI01293,mar,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000148,ingredient,ING0013,OMI01293,apr,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000149,ingredient,ING0013,OMI01293,may,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000150,ingredient,ING0013,OMI01293,jun,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000151,ingredient,ING0013,OMI01293,jul,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000152,ingredient,ING0013,OMI01293,aug,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000153,ingredient,ING0013,OMI01293,sep,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000154,ingredient,ING0013,OMI01293,oct,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000155,ingredient,ING0013,OMI01293,nov,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000156,ingredient,ING0013,OMI01293,dec,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000157,ingredient,ING0014,OMI01289,jan,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000158,ingredient,ING0014,OMI01289,feb,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000159,ingredient,ING0014,OMI01289,mar,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000160,ingredient,ING0014,OMI01289,apr,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000161,ingredient,ING0014,OMI01289,may,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000162,ingredient,ING0014,OMI01289,jun,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000163,ingredient,ING0014,OMI01289,jul,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000164,ingredient,ING0014,OMI01289,aug,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000165,ingredient,ING0014,OMI01289,sep,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000166,ingredient,ING0014,OMI01289,oct,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000167,ingredient,ING0014,OMI01289,nov,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000168,ingredient,ING0014,OMI01289,dec,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000169,ingredient,ING0015,OMI01294,jan,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000170,ingredient,ING0015,OMI01294,feb,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000171,ingredient,ING0015,OMI01294,mar,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000172,ingredient,ING0015,OMI01294,apr,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000173,ingredient,ING0015,OMI01294,may,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000174,ingredient,ING0015,OMI01294,jun,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000175,ingredient,ING0015,OMI01294,jul,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000176,ingredient,ING0015,OMI01294,aug,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000177,ingredient,ING0015,OMI01294,sep,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000178,ingredient,ING0015,OMI01294,oct,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000179,ingredient,ING0015,OMI01294,nov,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000180,ingredient,ING0015,OMI01294,dec,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000181,ingredient,ING0016,OMI01295,jan,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000182,ingredient,ING0016,OMI01295,feb,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000183,ingredient,ING0016,OMI01295,mar,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000184,ingredient,ING0016,OMI01295,apr,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000185,ingredient,ING0016,OMI01295,may,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000186,ingredient,ING0016,OMI01295,jun,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000187,ingredient,ING0016,OMI01295,jul,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000188,ingredient,ING0016,OMI01295,aug,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000189,ingredient,ING0016,OMI01295,sep,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000190,ingredient,ING0016,OMI01295,oct,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000191,ingredient,ING0016,OMI01295,nov,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000192,ingredient,ING0016,OMI01295,dec,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000193,ingredient,ING0017,OMI01298,jan,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000194,ingredient,ING0017,OMI01298,feb,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000195,ingredient,ING0017,OMI01298,mar,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000196,ingredient,ING0017,OMI01298,apr,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000197,ingredient,ING0017,OMI01298,may,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000198,ingredient,ING0017,OMI01298,jun,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000199,ingredient,ING0017,OMI01298,jul,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000200,ingredient,ING0017,OMI01298,aug,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000201,ingredient,ING0017,OMI01298,sep,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000202,ingredient,ING0017,OMI01298,oct,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000203,ingredient,ING0017,OMI01298,nov,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000204,ingredient,ING0017,OMI01298,dec,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000205,ingredient,ING0018,OMI01297,jan,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000206,ingredient,ING0018,OMI01297,feb,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000207,ingredient,ING0018,OMI01297,mar,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000208,ingredient,ING0018,OMI01297,apr,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000209,ingredient,ING0018,OMI01297,may,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000210,ingredient,ING0018,OMI01297,jun,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000211,ingredient,ING0018,OMI01297,jul,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000212,ingredient,ING0018,OMI01297,aug,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000213,ingredient,ING0018,OMI01297,sep,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000214,ingredient,ING0018,OMI01297,oct,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000215,ingredient,ING0018,OMI01297,nov,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000216,ingredient,ING0018,OMI01297,dec,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
