foreign_code,foreign_vocab,foreign_name,mt_ids,method,note
mat_pigment,buildings-interiors-containers/buildings/materials_vocab.csv,минеральный пигмент,mt_ochre;mt_carbon_black;mt_lazurite;mt_red_lead;mt_celadonite,vocab_manual,
mat_wood_peg,buildings-interiors-containers/buildings/materials_vocab.csv,деревянный нагель,mt_wood_generic,vocab_manual,нагель
mat_iron_nail,buildings-interiors-containers/buildings/materials_vocab.csv,кованый гвоздь,mt_iron,vocab_manual,
mat_iron_clamp,buildings-interiors-containers/buildings/materials_vocab.csv,железная скоба,mt_iron,vocab_manual,
mat_iron_hinge,buildings-interiors-containers/buildings/materials_vocab.csv,железная петля,mt_iron,vocab_manual,
mat_iron_hasp,buildings-interiors-containers/buildings/materials_vocab.csv,железный пробой/накладка,mt_iron,vocab_manual,
mat_iron_metal,buildings-interiors-containers/buildings/materials_vocab.csv,железо кованое (деталь),mt_iron,vocab_manual,
mat_rope,buildings-interiors-containers/buildings/materials_vocab.csv,верёвка (лён/конопля/лыко),mt_cordage;mt_hemp;mt_flax;mt_bast_linden,vocab_manual,
mat_wattle,buildings-interiors-containers/buildings/materials_vocab.csv,прутья (плетень),mt_wood_willow,vocab_manual,прутья плетня
mat_glass_fragment,buildings-interiors-containers/buildings/materials_vocab.csv,оконное стекло малыми кусками,mt_glass,vocab_manual,оконное стекло — ограничено (dl_glass_window_common)
mat_textile_felt,buildings-interiors-containers/buildings/materials_vocab.csv,шерстяная ткань/войлок,mt_wool;mt_felt,vocab_manual,
mat_earth,buildings-interiors-containers/buildings/materials_vocab.csv,грунт/земля,mt_earth,vocab_manual,
mat_boulder,buildings-interiors-containers/buildings/materials_vocab.csv,валун/бутовый камень,mt_fieldstone,vocab_manual,
mat_plank_hewn,buildings-interiors-containers/buildings/materials_vocab.csv,тёсаная доска,mt_wood_pine;mt_wood_spruce,vocab_manual,тёсаная доска; порода по умолчанию хвойная
mat_log_conifer,buildings-interiors-containers/buildings/materials_vocab.csv,хвойное строевое бревно (сосна/ель),mt_wood_pine;mt_wood_spruce,vocab_manual,хвойное бревно
органическое волокно,free_token,,mt_flax;mt_hemp;mt_bast_linden,ru_token,
растительное волокно,free_token,,mt_flax;mt_hemp;mt_bast_linden,ru_token,
пигмент,free_token,,mt_ochre;mt_carbon_black,ru_token,
fluvioglacial sand,free_token,,,out_of_scope:soil_class,
mat_plank_split,buildings-interiors-containers/buildings/materials_vocab.csv,плаха (расколотое бревно),mt_wood_pine;mt_wood_spruce,vocab_manual,плаха
mat_log_oak,buildings-interiors-containers/buildings/materials_vocab.csv,дубовое бревно,mt_wood_oak,ru_name_stem,
mat_shingle_oak,buildings-interiors-containers/buildings/materials_vocab.csv,дубовая кровельная дрань,mt_wood_oak,ru_name_stem,
mat_birch_bark,buildings-interiors-containers/buildings/materials_vocab.csv,береста листовая,mt_birch_bark,ru_name_stem,
mat_turf,buildings-interiors-containers/buildings/materials_vocab.csv,дёрн кровельный,mt_turf,ru_name_stem,
mat_straw,buildings-interiors-containers/buildings/materials_vocab.csv,солома,mt_straw,ru_name_stem,
mat_hay,buildings-interiors-containers/buildings/materials_vocab.csv,сено,mt_hay,ru_name_stem,
mat_moss,buildings-interiors-containers/buildings/materials_vocab.csv,мох (конопатка),mt_moss,ru_name_stem_partial,не распознано: конопатка
mat_clay,buildings-interiors-containers/buildings/materials_vocab.csv,глина строительная,mt_clay,ru_name_stem,
mat_sand,buildings-interiors-containers/buildings/materials_vocab.csv,песок,mt_quartz_sand,ru_name_stem,
mat_limestone,buildings-interiors-containers/buildings/materials_vocab.csv,известняк строительный,mt_limestone,ru_name_stem,
mat_plinfa,buildings-interiors-containers/buildings/materials_vocab.csv,плинфа,mt_plinfa,ru_name_stem,
mat_charcoal,buildings-interiors-containers/buildings/materials_vocab.csv,древесный уголь,mt_charcoal,ru_name_stem,
MAT001,clothing-appearance/garments/materials_colors.csv,Лён,mt_flax,ru_name_stem,
MAT002,clothing-appearance/garments/materials_colors.csv,Конопляное полотно,mt_hemp,ru_name_stem,
MAT003,clothing-appearance/garments/materials_colors.csv,Обычная шерстяная ткань,mt_wool,ru_name_stem,
MAT004,clothing-appearance/garments/materials_colors.csv,Тонкое импортное сукно,mt_wool,ru_name_stem,
MAT005,clothing-appearance/garments/materials_colors.csv,Войлок,mt_felt,ru_name_stem,
MAT006,clothing-appearance/garments/materials_colors.csv,Кожа крупного и мелкого рогатого скота,mt_leather_veg,ru_name_stem_partial,не распознано: мелкого рогатого скота
MAT007,clothing-appearance/garments/materials_colors.csv,Овчина,mt_sheepskin,ru_name_stem,
MAT008,clothing-appearance/garments/materials_colors.csv,Ценный мех,mt_fur,ru_name_stem,
MAT009,clothing-appearance/garments/materials_colors.csv,Шёлк,mt_silk,ru_name_stem,
MAT010,clothing-appearance/garments/materials_colors.csv,Золотная нить/золото-тканая деталь,mt_gold,ru_name_stem,
MAT011,clothing-appearance/garments/materials_colors.csv,Железо/сталь,mt_iron;mt_steel,ru_name_stem,
MAT012,clothing-appearance/garments/materials_colors.csv,Бронза/медный сплав,mt_bronze;mt_copper,ru_name_stem,
MAT013,clothing-appearance/garments/materials_colors.csv,Серебро,mt_silver,ru_name_stem,
MAT014,clothing-appearance/garments/materials_colors.csv,Золото и эмаль,mt_gold;mt_enamel,ru_name_stem,
MAT015,clothing-appearance/garments/materials_colors.csv,"Кость, рог и дерево",mt_bone;mt_horn;mt_wood_generic,ru_name_stem,
