binding_id,legacy_edge_id,edge_type,physical,bidirectional,legacy_scale_pair,target_mapping_kind
erbv3__contains_gn_nov_g3_xp017_yp026_r2_channel_split_islet,contains_gn_nov_g3_xp017_yp026_r2_channel_split_islet,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_driftwood_bar,contains_gn_nov_g3_xp017_yp026_r2_driftwood_bar,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_dry_island_ridge,contains_gn_nov_g3_xp017_yp026_r2_dry_island_ridge,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,contains_gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_east_flood_bypass,contains_gn_nov_g3_xp017_yp026_r2_east_flood_bypass,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_east_side_channel,contains_gn_nov_g3_xp017_yp026_r2_east_side_channel,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,contains_gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,contains_gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_forest_stream_route,contains_gn_nov_g3_xp017_yp026_r2_forest_stream_route,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_large_island_head,contains_gn_nov_g3_xp017_yp026_r2_large_island_head,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_mixing_reach,contains_gn_nov_g3_xp017_yp026_r2_mixing_reach,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_north_exposed_turn,contains_gn_nov_g3_xp017_yp026_r2_north_exposed_turn,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_north_outflow_reach,contains_gn_nov_g3_xp017_yp026_r2_north_outflow_reach,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_old_channel_pool,contains_gn_nov_g3_xp017_yp026_r2_old_channel_pool,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,contains_gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_reed_backwater,contains_gn_nov_g3_xp017_yp026_r2_reed_backwater,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_sheltered_inner_reach,contains_gn_nov_g3_xp017_yp026_r2_sheltered_inner_reach,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_sheltered_landing_terrace,contains_gn_nov_g3_xp017_yp026_r2_sheltered_landing_terrace,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_shifting_shoal_field,contains_gn_nov_g3_xp017_yp026_r2_shifting_shoal_field,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_south_entry_reach,contains_gn_nov_g3_xp017_yp026_r2_south_entry_reach,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_tributary_mouth,contains_gn_nov_g3_xp017_yp026_r2_tributary_mouth,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_vikhtuy_locality,contains_gn_nov_g3_xp017_yp026_r2_vikhtuy_locality,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_vikhtuy_resource_edge,contains_gn_nov_g3_xp017_yp026_r2_vikhtuy_resource_edge,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_vikhtuy_river_approach,contains_gn_nov_g3_xp017_yp026_r2_vikhtuy_river_approach,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_west_hidden_backwater,contains_gn_nov_g3_xp017_yp026_r2_west_hidden_backwater,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_west_side_channel,contains_gn_nov_g3_xp017_yp026_r2_west_side_channel,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_wet_conifer_tract,contains_gn_nov_g3_xp017_yp026_r2_wet_conifer_tract,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_zaostrovye_burial_area,contains_gn_nov_g3_xp017_yp026_r2_zaostrovye_burial_area,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_zaostrovye_landing,contains_gn_nov_g3_xp017_yp026_r2_zaostrovye_landing,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g3_xp017_yp026_r2_zaostrovye_settlement_center,contains_gn_nov_g3_xp017_yp026_r2_zaostrovye_settlement_center,contains,False,False,G2->G3,retained_hierarchy_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_current_split_fast_branch,contains_gn_nov_g4_xp017_yp026_r2_central_current_split_fast_branch,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_current_split_islet_margin,contains_gn_nov_g4_xp017_yp026_r2_central_current_split_islet_margin,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_current_split_rejoin_reach,contains_gn_nov_g4_xp017_yp026_r2_central_current_split_rejoin_reach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_current_split_slow_branch,contains_gn_nov_g4_xp017_yp026_r2_central_current_split_slow_branch,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_current_split_split_point,contains_gn_nov_g4_xp017_yp026_r2_central_current_split_split_point,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_current_split_upstream_nose,contains_gn_nov_g4_xp017_yp026_r2_central_current_split_upstream_nose,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_deep_thread,contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_deep_thread,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_downstream_approach,contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_downstream_approach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_lee_bank,contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_lee_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_observation_bank,contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_observation_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_shoal_margin,contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_shoal_margin,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_upstream_approach,contains_gn_nov_g4_xp017_yp026_r2_central_navigation_reach_upstream_approach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_downstream_tail,contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_downstream_tail,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_east_channel,contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_east_channel,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_high_bank,contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_high_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_upstream_tip,contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_upstream_tip,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_west_channel,contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_west_channel,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_wet_hollow,contains_gn_nov_g4_xp017_yp026_r2_channel_split_islet_wet_hollow,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_downstream_cut,contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_downstream_cut,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_driftwood_mass,contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_driftwood_mass,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_dry_cap,contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_dry_cap,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_shallow_pool,contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_shallow_pool,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_upstream_edge,contains_gn_nov_g4_xp017_yp026_r2_driftwood_bar_upstream_edge,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_camp_candidate,contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_camp_candidate,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_downstream_exit,contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_downstream_exit,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_forest_edge,contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_forest_edge,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_landing,contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_landing,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_ridge_crest,contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_ridge_crest,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_wet_hollow,contains_gn_nov_g4_xp017_yp026_r2_dry_island_ridge_wet_hollow,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_north_descent,contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_north_descent,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_pine_stand,contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_pine_stand,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_ridge_top,contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_ridge_top,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_sandy_hollow,contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_sandy_hollow,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_south_approach,contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_south_approach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_view_gap,contains_gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_view_gap,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_entrance,contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_entrance,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_exit,contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_exit,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_mud_bank,contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_mud_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_narrow_reach,contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_narrow_reach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_quiet_reach,contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_quiet_reach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_seasonal_barrier,contains_gn_nov_g4_xp017_yp026_r2_east_flood_bypass_seasonal_barrier,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_entrance,contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_entrance,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_exit,contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_exit,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_mud_bank,contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_mud_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_narrow_reach,contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_narrow_reach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_quiet_reach,contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_quiet_reach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_seasonal_barrier,contains_gn_nov_g4_xp017_yp026_r2_east_side_channel_seasonal_barrier,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_bog_edge,contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_bog_edge,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_dry_mound,contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_dry_mound,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_inlet,contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_inlet,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_overflow,contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_overflow,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_reed_margin,contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_reed_margin,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_shallow_basin,contains_gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_shallow_basin,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_forest_shelter,contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_forest_shelter,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_north_exit,contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_north_exit,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_ridge_path,contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_ridge_path,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_south_approach,contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_south_approach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_water_access,contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_water_access,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_wet_gap,contains_gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_wet_gap,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_bank_path,contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_bank_path,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_bog_crossing,contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_bog_crossing,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_fallen_timber,contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_fallen_timber,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_headwater_fork,contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_headwater_fork,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_lower_reach,contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_lower_reach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_pool,contains_gn_nov_g4_xp017_yp026_r2_forest_stream_route_pool,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_large_island_head_downstream_tail,contains_gn_nov_g4_xp017_yp026_r2_large_island_head_downstream_tail,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_large_island_head_east_channel,contains_gn_nov_g4_xp017_yp026_r2_large_island_head_east_channel,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_large_island_head_high_bank,contains_gn_nov_g4_xp017_yp026_r2_large_island_head_high_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_large_island_head_upstream_tip,contains_gn_nov_g4_xp017_yp026_r2_large_island_head_upstream_tip,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_large_island_head_west_channel,contains_gn_nov_g4_xp017_yp026_r2_large_island_head_west_channel,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_large_island_head_wet_hollow,contains_gn_nov_g4_xp017_yp026_r2_large_island_head_wet_hollow,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_current_shear,contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_current_shear,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_ice_edge,contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_ice_edge,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_inner_approach,contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_inner_approach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_lee_margin,contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_lee_margin,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_open_water,contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_open_water,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_outer_route,contains_gn_nov_g4_xp017_yp026_r2_mixing_reach_outer_route,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_deep_thread,contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_deep_thread,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_downstream_approach,contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_downstream_approach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_lee_bank,contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_lee_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_observation_bank,contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_observation_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_shoal_margin,contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_shoal_margin,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_upstream_approach,contains_gn_nov_g4_xp017_yp026_r2_north_exposed_turn_upstream_approach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_deep_thread,contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_deep_thread,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_downstream_approach,contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_downstream_approach,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_lee_bank,contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_lee_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_observation_bank,contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_observation_bank,contains,False,False,G3->G4,canonical_g5_parent_dependency
erbv3__contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_shoal_margin,contains_gn_nov_g4_xp017_yp026_r2_north_outflow_reach_shoal_margin,contains,False,False,G3->G4,canonical_g5_parent_dependency
