id,parent_g4_id,class_id,title,spatial_function_id,evidence_status,external_route_availability,legacy_id
cg5v3__gn_nov_g4_xp017_yp026_r2_central_navigation_reach_upstream_approach,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,spatial.g5.parcel,Верхний подход — Средний судоходный плёс,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_central_navigation_reach_upstream_approach
cg5v3__gn_nov_g4_xp017_yp026_r2_channel_split_islet_downstream_tail,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,spatial.g5.parcel,Нижняя оконечность — Островок у разделения русел,route_merge_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_channel_split_islet_downstream_tail
cg5v3__gn_nov_g4_xp017_yp026_r2_channel_split_islet_east_channel,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,spatial.g5.parcel,Восточный обход — Островок у разделения русел,route_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_channel_split_islet_east_channel
cg5v3__gn_nov_g4_xp017_yp026_r2_channel_split_islet_high_bank,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,spatial.g5.parcel,Высокая кромка — Островок у разделения русел,observation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_channel_split_islet_high_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_channel_split_islet_upstream_tip,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,spatial.g5.parcel,Верхняя оконечность — Островок у разделения русел,navigation_decision_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_channel_split_islet_upstream_tip
cg5v3__gn_nov_g4_xp017_yp026_r2_channel_split_islet_west_channel,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,spatial.g5.parcel,Западный обход — Островок у разделения русел,route_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_channel_split_islet_west_channel
cg5v3__gn_nov_g4_xp017_yp026_r2_channel_split_islet_wet_hollow,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,spatial.g5.parcel,Внутреннее понижение — Островок у разделения русел,wetland_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_channel_split_islet_wet_hollow
cg5v3__gn_nov_g4_xp017_yp026_r2_driftwood_bar_downstream_cut,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,spatial.g5.parcel,Нижний промыв,route_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_driftwood_bar_downstream_cut
cg5v3__gn_nov_g4_xp017_yp026_r2_driftwood_bar_driftwood_mass,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,spatial.g5.parcel,Полоса плавника,resource_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_driftwood_bar_driftwood_mass
cg5v3__gn_nov_g4_xp017_yp026_r2_driftwood_bar_dry_cap,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,spatial.g5.parcel,Сухая вершина гряды,rest_candidate,comparative_reconstruction,normal,gn_nov_g4_xp017_yp026_r2_driftwood_bar_dry_cap
cg5v3__gn_nov_g4_xp017_yp026_r2_driftwood_bar_shallow_pool,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,spatial.g5.parcel,Мелкий затон,resource_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_driftwood_bar_shallow_pool
cg5v3__gn_nov_g4_xp017_yp026_r2_driftwood_bar_upstream_edge,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,spatial.g5.parcel,Верхняя кромка наноса,hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_driftwood_bar_upstream_edge
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_island_ridge_camp_candidate,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,spatial.g5.parcel,Стояночная площадка,rest_candidate,comparative_reconstruction,normal,gn_nov_g4_xp017_yp026_r2_dry_island_ridge_camp_candidate
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_island_ridge_downstream_exit,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,spatial.g5.parcel,Нижний выход,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_island_ridge_downstream_exit
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_island_ridge_forest_edge,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,spatial.g5.parcel,Лесная кромка,resource_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_island_ridge_forest_edge
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_island_ridge_landing,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,spatial.g5.parcel,Береговая высадка,landing_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_island_ridge_landing
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_island_ridge_ridge_crest,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,spatial.g5.parcel,Гребень гривы,dry_route_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_island_ridge_ridge_crest
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_island_ridge_wet_hollow,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,spatial.g5.parcel,Влажная ложбина,hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_island_ridge_wet_hollow
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_north_descent,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,spatial.g5.parcel,Северный спуск,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_north_descent
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_pine_stand,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,spatial.g5.parcel,Сосновый участок,resource_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_pine_stand
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_ridge_top,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,spatial.g5.parcel,Сухой гребень,dry_route_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_ridge_top
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_sandy_hollow,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,spatial.g5.parcel,Песчаная ложбина,rest_candidate,comparative_reconstruction,normal,gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_sandy_hollow
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_south_approach,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,spatial.g5.parcel,Подход к гряде,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_south_approach
cg5v3__gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_view_gap,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,spatial.g5.parcel,Просвет обзора,observation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_dry_pine_ridge_view_gap
cg5v3__gn_nov_g4_xp017_yp026_r2_east_flood_bypass_entrance,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,spatial.g5.parcel,Вход в протоку — Восточный паводковый обход,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_flood_bypass_entrance
cg5v3__gn_nov_g4_xp017_yp026_r2_east_flood_bypass_exit,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,spatial.g5.parcel,Выход из протоки — Восточный паводковый обход,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_flood_bypass_exit
cg5v3__gn_nov_g4_xp017_yp026_r2_east_flood_bypass_mud_bank,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,spatial.g5.parcel,Илистый берег — Восточный паводковый обход,landing_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_flood_bypass_mud_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_east_flood_bypass_narrow_reach,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,spatial.g5.parcel,Узкий ход — Восточный паводковый обход,navigation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_flood_bypass_narrow_reach
cg5v3__gn_nov_g4_xp017_yp026_r2_east_flood_bypass_quiet_reach,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,spatial.g5.parcel,Тихий плёс — Восточный паводковый обход,shelter_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_flood_bypass_quiet_reach
cg5v3__gn_nov_g4_xp017_yp026_r2_east_flood_bypass_seasonal_barrier,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,spatial.g5.parcel,Сезонная преграда — Восточный паводковый обход,seasonal_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_flood_bypass_seasonal_barrier
cg5v3__gn_nov_g4_xp017_yp026_r2_east_side_channel_entrance,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,spatial.g5.parcel,Вход в протоку — Восточная боковая протока,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_side_channel_entrance
cg5v3__gn_nov_g4_xp017_yp026_r2_east_side_channel_exit,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,spatial.g5.parcel,Выход из протоки — Восточная боковая протока,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_side_channel_exit
cg5v3__gn_nov_g4_xp017_yp026_r2_east_side_channel_mud_bank,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,spatial.g5.parcel,Илистый берег — Восточная боковая протока,landing_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_side_channel_mud_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_east_side_channel_narrow_reach,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,spatial.g5.parcel,Узкий ход — Восточная боковая протока,navigation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_side_channel_narrow_reach
cg5v3__gn_nov_g4_xp017_yp026_r2_east_side_channel_quiet_reach,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,spatial.g5.parcel,Тихий плёс — Восточная боковая протока,shelter_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_side_channel_quiet_reach
cg5v3__gn_nov_g4_xp017_yp026_r2_east_side_channel_seasonal_barrier,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,spatial.g5.parcel,Сезонная преграда — Восточная боковая протока,seasonal_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_east_side_channel_seasonal_barrier
cg5v3__gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_bog_edge,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,spatial.g5.parcel,Болотная окраина,hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_bog_edge
cg5v3__gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_dry_mound,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,spatial.g5.parcel,Сухой бугор,rest_candidate,comparative_reconstruction,normal,gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_dry_mound
cg5v3__gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_inlet,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,spatial.g5.parcel,Паводковый вход,seasonal_route,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_inlet
cg5v3__gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_overflow,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,spatial.g5.parcel,Переливная протока,seasonal_route,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_overflow
cg5v3__gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_reed_margin,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,spatial.g5.parcel,Заросшая кромка,resource_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_reed_margin
cg5v3__gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_shallow_basin,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,spatial.g5.parcel,Мелководная котловина,wetland_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_flooded_interior_basin_shallow_basin
cg5v3__gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_forest_shelter,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,spatial.g5.parcel,Лесное укрытие,shelter_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_forest_shelter
cg5v3__gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_north_exit,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,spatial.g5.parcel,Северный сход,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_north_exit
cg5v3__gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_ridge_path,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,spatial.g5.parcel,Ход по гребню,dry_route_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_ridge_path
cg5v3__gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_south_approach,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,spatial.g5.parcel,Южный подход к гриве,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_south_approach
cg5v3__gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_water_access,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,spatial.g5.parcel,Спуск к воде,access_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_water_access
cg5v3__gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_wet_gap,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,spatial.g5.parcel,Мокрый разрыв,hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_floodplain_ridge_route_wet_gap
cg5v3__gn_nov_g4_xp017_yp026_r2_forest_stream_route_bank_path,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,spatial.g5.parcel,Тропа по берегу,route_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_forest_stream_route_bank_path
cg5v3__gn_nov_g4_xp017_yp026_r2_forest_stream_route_bog_crossing,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,spatial.g5.parcel,Болотный переход,hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_forest_stream_route_bog_crossing
cg5v3__gn_nov_g4_xp017_yp026_r2_forest_stream_route_fallen_timber,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,spatial.g5.parcel,Завал,hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_forest_stream_route_fallen_timber
cg5v3__gn_nov_g4_xp017_yp026_r2_forest_stream_route_headwater_fork,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,spatial.g5.parcel,Разделение истоков,orientation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_forest_stream_route_headwater_fork
cg5v3__gn_nov_g4_xp017_yp026_r2_forest_stream_route_lower_reach,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,spatial.g5.parcel,Нижний ручьевой ход,small_water_route,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_forest_stream_route_lower_reach
cg5v3__gn_nov_g4_xp017_yp026_r2_forest_stream_route_pool,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,spatial.g5.parcel,Лесной омут,resource_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_forest_stream_route_pool
cg5v3__gn_nov_g4_xp017_yp026_r2_large_island_head_downstream_tail,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,spatial.g5.parcel,Нижняя оконечность — Голова крупного пойменного острова,route_merge_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_large_island_head_downstream_tail
cg5v3__gn_nov_g4_xp017_yp026_r2_large_island_head_east_channel,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,spatial.g5.parcel,Восточный обход — Голова крупного пойменного острова,route_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_large_island_head_east_channel
cg5v3__gn_nov_g4_xp017_yp026_r2_large_island_head_high_bank,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,spatial.g5.parcel,Высокая кромка — Голова крупного пойменного острова,observation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_large_island_head_high_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_large_island_head_upstream_tip,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,spatial.g5.parcel,Верхняя оконечность — Голова крупного пойменного острова,navigation_decision_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_large_island_head_upstream_tip
cg5v3__gn_nov_g4_xp017_yp026_r2_large_island_head_west_channel,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,spatial.g5.parcel,Западный обход — Голова крупного пойменного острова,route_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_large_island_head_west_channel
cg5v3__gn_nov_g4_xp017_yp026_r2_large_island_head_wet_hollow,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,spatial.g5.parcel,Внутреннее понижение — Голова крупного пойменного острова,wetland_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_large_island_head_wet_hollow
cg5v3__gn_nov_g4_xp017_yp026_r2_mixing_reach_current_shear,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,spatial.g5.parcel,Полоса смешения течений,hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_mixing_reach_current_shear
cg5v3__gn_nov_g4_xp017_yp026_r2_mixing_reach_ice_edge,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,spatial.g5.parcel,Кромка морского льда,seasonal_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_mixing_reach_ice_edge
cg5v3__gn_nov_g4_xp017_yp026_r2_mixing_reach_inner_approach,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,spatial.g5.parcel,Внутренний подход,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_mixing_reach_inner_approach
cg5v3__gn_nov_g4_xp017_yp026_r2_mixing_reach_lee_margin,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,spatial.g5.parcel,Защищённая кромка,shelter_candidate,comparative_reconstruction,normal,gn_nov_g4_xp017_yp026_r2_mixing_reach_lee_margin
cg5v3__gn_nov_g4_xp017_yp026_r2_mixing_reach_open_water,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,spatial.g5.parcel,Открытая вода,exposure_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_mixing_reach_open_water
cg5v3__gn_nov_g4_xp017_yp026_r2_mixing_reach_outer_route,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,spatial.g5.parcel,Внешний ход,boundary_route_zone,regional_typology,blocked_pending_external_boundary,gn_nov_g4_xp017_yp026_r2_mixing_reach_outer_route
cg5v3__gn_nov_g4_xp017_yp026_r2_north_exposed_turn_deep_thread,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,spatial.g5.parcel,Глубокий ход — Открытый поворот устьевого хода,navigation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_exposed_turn_deep_thread
cg5v3__gn_nov_g4_xp017_yp026_r2_north_exposed_turn_downstream_approach,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,spatial.g5.parcel,Нижний подход — Открытый поворот устьевого хода,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_exposed_turn_downstream_approach
cg5v3__gn_nov_g4_xp017_yp026_r2_north_exposed_turn_lee_bank,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,spatial.g5.parcel,Подветренный береговой карман — Открытый поворот устьевого хода,shelter_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_exposed_turn_lee_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_north_exposed_turn_observation_bank,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,spatial.g5.parcel,Береговой ориентир — Открытый поворот устьевого хода,observation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_exposed_turn_observation_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_north_exposed_turn_shoal_margin,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,spatial.g5.parcel,Кромка мелей — Открытый поворот устьевого хода,river_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_exposed_turn_shoal_margin
cg5v3__gn_nov_g4_xp017_yp026_r2_north_exposed_turn_upstream_approach,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,spatial.g5.parcel,Верхний подход — Открытый поворот устьевого хода,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_exposed_turn_upstream_approach
cg5v3__gn_nov_g4_xp017_yp026_r2_north_outflow_reach_deep_thread,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,spatial.g5.parcel,Глубокий ход — Северный выходной плёс,navigation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_outflow_reach_deep_thread
cg5v3__gn_nov_g4_xp017_yp026_r2_north_outflow_reach_downstream_approach,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,spatial.g5.parcel,Нижний подход — Северный выходной плёс,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_outflow_reach_downstream_approach
cg5v3__gn_nov_g4_xp017_yp026_r2_north_outflow_reach_lee_bank,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,spatial.g5.parcel,Подветренный береговой карман — Северный выходной плёс,shelter_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_outflow_reach_lee_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_north_outflow_reach_observation_bank,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,spatial.g5.parcel,Береговой ориентир — Северный выходной плёс,observation_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_outflow_reach_observation_bank
cg5v3__gn_nov_g4_xp017_yp026_r2_north_outflow_reach_shoal_margin,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,spatial.g5.parcel,Кромка мелей — Северный выходной плёс,river_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_outflow_reach_shoal_margin
cg5v3__gn_nov_g4_xp017_yp026_r2_north_outflow_reach_upstream_approach,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,spatial.g5.parcel,Верхний подход — Северный выходной плёс,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_north_outflow_reach_upstream_approach
cg5v3__gn_nov_g4_xp017_yp026_r2_old_channel_pool_deep_pool,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,spatial.g5.parcel,Глубокий омут,resource_hazard_zone,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_old_channel_pool_deep_pool
cg5v3__gn_nov_g4_xp017_yp026_r2_old_channel_pool_dry_crossing,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,spatial.g5.parcel,Сухой переход,seasonal_route,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_old_channel_pool_dry_crossing
cg5v3__gn_nov_g4_xp017_yp026_r2_old_channel_pool_hidden_link,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,spatial.g5.parcel,Скрытая протока,exploration_route,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_old_channel_pool_hidden_link
cg5v3__gn_nov_g4_xp017_yp026_r2_old_channel_pool_old_mouth,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,spatial.g5.parcel,Старое устье,route_approach,regional_typology,normal,gn_nov_g4_xp017_yp026_r2_old_channel_pool_old_mouth
