role_id,role_title,social_rank,role_status,rights_class,weapon_rights_text,tier,access_level,basis,source_refs,confidence,status
nov_role_princely_druzhinnik,княжий дружинник,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",tool_weapon,permitted,matrix R_status × tool_weapon,tsv:role:nov_role_princely_druzhinnik#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_princely_druzhinnik,княжий дружинник,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",common_war,expected,"override: «дружинник ожидаемо вооружён»; основания — свод правил, TSV, библия и sqlite, а не первичный или археологический источник (верификация 2026-09-26)",statusrules:status_weapon | tsv:occ:nov_occ_druzhina_warrior#weapon_access | bible:§11 Роль №7 — дружинник | sqlite:social_groups:княжеская дружина,B,candidate
nov_role_princely_druzhinnik,княжий дружинник,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",elite_war,expected,"override: «дружинник ожидаемо вооружён»; основания — свод правил, TSV, библия и sqlite, а не первичный или археологический источник (верификация 2026-09-26)",statusrules:status_weapon | tsv:occ:nov_occ_druzhina_warrior#weapon_access | bible:§11 Роль №7 — дружинник | sqlite:social_groups:княжеская дружина,B,candidate
nov_role_junior_druzhinnik,младший дружинник,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_junior_druzhinnik#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_junior_druzhinnik,младший дружинник,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,expected,override: служебное оружие по приказу,statusrules:status_weapon | tsv:occ:nov_occ_druzhina_warrior#weapon_access | tsv:occ:nov_occ_junior_retainer#weapon_access,B,candidate
nov_role_junior_druzhinnik,младший дружинник,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_junior_druzhinnik#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_bishop_man,владычный человек,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_bishop_man#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_bishop_man,владычный человек,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_bishop_man#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_bishop_man,владычный человек,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_bishop_man#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_boyar_man,боярский человек,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_boyar_man#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_boyar_man,боярский человек,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_boyar_man#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_boyar_man,боярский человек,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_boyar_man#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_boyar,боярин,elite,approved,R_elite,"оружие допустимо как знак власти и охраны, но его применение политически рискованно",tool_weapon,permitted,matrix R_elite × tool_weapon,tsv:role:nov_role_boyar#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_boyar,боярин,elite,approved,R_elite,"оружие допустимо как знак власти и охраны, но его применение политически рискованно",common_war,permitted,matrix R_elite × common_war,tsv:role:nov_role_boyar#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_boyar,боярин,elite,approved,R_elite,"оружие допустимо как знак власти и охраны, но его применение политически рискованно",elite_war,expected,override: в походе; дружинное вооружение у части мужчин боярских родов,sqlite:social_groups:бояре | costume:AR004,B,candidate
nov_role_boyar_house_mistress,хозяйка боярского двора,high,usable_with_caution,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",tool_weapon,permitted,matrix R_status × tool_weapon,tsv:role:nov_role_boyar_house_mistress#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_boyar_house_mistress,хозяйка боярского двора,high,usable_with_caution,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",common_war,suspicious_without_reason,"override: TSV даёт класс R_status (personal boевое оружие permitted_with_reason), но она не боевая роль; временный override до правки роли в домене social_strata (известный пробел, items/README.md). Исправление верификации 2026-09-26",statusrules:status_weapon,C,candidate
nov_role_boyar_house_mistress,хозяйка боярского двора,high,usable_with_caution,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",elite_war,suspicious_without_reason,"override: TSV даёт класс R_status (personal boевое оружие permitted_with_reason), но она не боевая роль; временный override до правки роли в домене social_strata (известный пробел, items/README.md). Исправление верификации 2026-09-26",statusrules:status_weapon,C,candidate
nov_role_merchant_guest,гость-купец,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",tool_weapon,permitted,matrix R_status × tool_weapon,tsv:role:nov_role_merchant_guest#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_merchant_guest,гость-купец,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",common_war,permitted_with_reason,matrix R_status × common_war,tsv:role:nov_role_merchant_guest#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_merchant_guest,гость-купец,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",elite_war,permitted_with_reason,matrix R_status × elite_war,tsv:role:nov_role_merchant_guest#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_local_merchant,местный купец,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_local_merchant#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_local_merchant,местный купец,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_local_merchant#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_local_merchant,местный купец,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_local_merchant#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_merchant_clerk,купеческий приказчик,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_merchant_clerk#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_merchant_clerk,купеческий приказчик,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_merchant_clerk#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_merchant_clerk,купеческий приказчик,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_merchant_clerk#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_trader,торговец,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_trader#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_trader,торговец,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_trader#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_trader,торговец,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_trader#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_foreign_guest,иноземный гость,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",tool_weapon,permitted,matrix R_status × tool_weapon,tsv:role:nov_role_foreign_guest#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_foreign_guest,иноземный гость,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",common_war,permitted_with_reason,matrix R_status × common_war,tsv:role:nov_role_foreign_guest#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_foreign_guest,иноземный гость,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",elite_war,permitted_with_reason,matrix R_status × elite_war,tsv:role:nov_role_foreign_guest#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_craftsman_master,мастер-ремесленник,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_craftsman_master#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_craftsman_master,мастер-ремесленник,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_craftsman_master#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_craftsman_master,мастер-ремесленник,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_craftsman_master#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_journeyman,подмастерье,low,usable_with_caution,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_journeyman#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_journeyman,подмастерье,low,usable_with_caution,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_journeyman#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_journeyman,подмастерье,low,usable_with_caution,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_journeyman#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_apprentice,ученик,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_apprentice#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_apprentice,ученик,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_apprentice#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_apprentice,ученик,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_apprentice#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_householder,хозяин двора,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_householder#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_householder,хозяин двора,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_householder#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_householder,хозяин двора,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_householder#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_household_mistress,хозяйка двора,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_household_mistress#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_household_mistress,хозяйка двора,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_household_mistress#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_household_mistress,хозяйка двора,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_household_mistress#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_servant,слуга,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_servant#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_servant,слуга,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_servant#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_servant,слуга,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_servant#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_hired_worker,наёмный работник,low,usable_with_caution,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_hired_worker#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_hired_worker,наёмный работник,low,usable_with_caution,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_hired_worker#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_hired_worker,наёмный работник,low,usable_with_caution,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_hired_worker#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_port_worker,работник пристани,low,usable_with_caution,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_port_worker#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_port_worker,работник пристани,low,usable_with_caution,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_port_worker#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_port_worker,работник пристани,low,usable_with_caution,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_port_worker#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_smerd_householder,смерд-домохозяин,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_smerd_householder#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_smerd_householder,смерд-домохозяин,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_smerd_householder#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_smerd_householder,смерд-домохозяин,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_smerd_householder#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_dependent_peasant,зависимый крестьянин,dependent,usable_with_caution,R_order,"оружие только по работе, охране или приказу; самостоятельное ношение опасно",tool_weapon,by_order_only,matrix R_order × tool_weapon,tsv:role:nov_role_dependent_peasant#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_dependent_peasant,зависимый крестьянин,dependent,usable_with_caution,R_order,"оружие только по работе, охране или приказу; самостоятельное ношение опасно",common_war,by_order_only,matrix R_order × common_war,tsv:role:nov_role_dependent_peasant#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_dependent_peasant,зависимый крестьянин,dependent,usable_with_caution,R_order,"оружие только по работе, охране или приказу; самостоятельное ношение опасно",elite_war,by_order_only,matrix R_order × elite_war,tsv:role:nov_role_dependent_peasant#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_ploughman,пахарь,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_ploughman#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_ploughman,пахарь,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_ploughman#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_ploughman,пахарь,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_ploughman#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_pastoral_worker,скотник,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_pastoral_worker#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_pastoral_worker,скотник,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_pastoral_worker#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_pastoral_worker,скотник,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_pastoral_worker#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_fisher,рыбак,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_fisher#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_fisher,рыбак,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_fisher#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_fisher,рыбак,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_fisher#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_hunter,охотник,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,expected,"override: охотничье орудие — лук, стрелы, рогатина, нож (M2c)",tsv:occ:nov_occ_hunter_trapper#weapon_access | wk:claim:agriculture-fauna-ash-hunting-bow,B,candidate
nov_role_hunter,охотник,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_hunter#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_hunter,охотник,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_hunter#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_bortnik,бортник,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_bortnik#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_bortnik,бортник,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,suspicious_without_reason,matrix R_tool × common_war,tsv:role:nov_role_bortnik#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_bortnik,бортник,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_bortnik#weapon_rights | statusrules:status_weapon,B,candidate
