ref,title,url_or_path,confidence_hint,note,kind
nov1230db:S12,П. Н. Максимов. Архитектура Новгородской земли XII – начала XIII в.,https://middleages.totalarch.com/universal_history_of_architecture/novgorod/12_13_centuries,,"Дома, хоромы, типы храмов, материалы, планы и внешний вид.",nov1230db_source
nov1230db:S13,Софийский собор,https://novgorodmuseum.ru/muzei/sofijskij-sobor,,"Материалы, росписи и первоначальный облик собора.",nov1230db_source
nov1230db:S14,Никольский собор,https://novgorodmuseum.ru/muzei/nikolskij-sobor,,Каменный центр Ярославова дворища.,nov1230db_source
nov1230db:S15,Лёгкой поступью по мостовой. Обувь древнего Новгорода X–XV вв.,https://novgorodmuseum.ru/visit/sobytiya/legkoj-postupyu-po-mostovoj.-obuv-drevnego-novgoroda-x-xv-vv.,,Кожаная обувь и выделение сапожного ремесла в XII–XIII вв.,nov1230db_source
nov1230db:S16,Е. А. Рыбина. Мир вещей средневекового Новгорода,https://cyberleninka.ru/article/n/mir-veschey-srednevekovogo-novgoroda-po-arheologicheskim-nahodkam,,"Повседневные предметы, ремесло, импорт и быт.",nov1230db_source
nov1230db:S17,Novgorod in the 10th–14th centuries: city area evolution,https://www.academia.edu/74607322/Novgorod_in_10th_14th_centuries_city_area_evolution,,Динамика освоения городской территории и модель застройки.,nov1230db_source
nov1230db:S18,Усадьбы Т и У в Людином конце средневекового Новгорода,https://www.historystudies.msu.ru/ojs2/index.php/ISIS/article/view/50/133,,Структура усадеб и социальная интерпретация находок.,nov1230db_source
nov1230db:S19,От центров расселения к центрам власти: происхождение погостов,https://www.e-anthropology.com/Katalog/Istoria/STM_DWL_vcoM_OAZIavCJ20ZJ.aspx,,Ограничения ретроспекции погостской сети и её связь с расселением.,nov1230db_source
nov1230db:S20,О проекте «Древнерусские берестяные грамоты»,https://gramoty.ru/birchbark/about-site/,,"Описание корпуса, датировок и принципов публикации.",nov1230db_source
nov1230db:S21,Новгородское вече: старые концепции и новые данные,https://mse.msu.ru/history/17/book/text-17-02.pdf,,"Дискуссия о составе, масштабе и площадках веча.",nov1230db_source
nov1230db:S22,Новгородские тысяцкие в XIII в.,https://cyberleninka.ru/article/n/novgorodskie-tysyatskie-v-xiii-v,,Функции и персональный состав тысяцких.,nov1230db_source
nov1230db:S23,Договорные грамоты Новгорода с князьями: грамота 1264 г.,https://www.vostlit.info/Texts/Dokumenty/Russ/XIII/1260-1280/Gramoty_otn_Novgoroda_knjaz/index.htm,,Ближайший сохранившийся шаблон ограничений княжеской власти; не переносится дословно в 1230 г.,nov1230db_source
nov1230db:S24,Промыслы в средневековом Новгороде по археологическим материалам,https://cyberleninka.ru/article/n/promysly-v-srednevekovom-novgorode-po-arheologicheskim-materialam,,"Рыболовство, охота и промысловые инструменты.",nov1230db_source
nov1230db:S25,Продолжается изучение древнейшего каменного гражданского здания Новгорода,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/prodolzhaetsya-izuchenie-drevnejshego-kamennogo-grazhdanskogo-zdaniya-novgoroda,,Редкая каменная светская застройка и пределы утверждения о «деревянном городе».,nov1230db_source
nov1230db:S26,Археологи исследовали сруб первой половины XIII века,https://naukatv.ru/news/arkheologi_nashli_cherep_kozy_v_stene_sruba_xiii_veka_v_velikom_novgorode,,Пример сруба около 6×6 м и центральной печи; вероятно производственная постройка.,nov1230db_source
nov1230db:S27,М. Н. Тихомиров. Древнерусские города (фрагмент о Новгороде),https://historic.ru/books/item/f00/s00/z0000082/st015.shtml,,Число 4300 дворов в сообщении о пожаре 1211 г.; применяется критически.,nov1230db_source
nov1230db:S28,Работа Новгородской археологической экспедиции в 2021 году,https://www.hist.msu.ru/departments/8841/news/72958/,,"Стратифицированные комплексы, близкие к срезу 1230 г.",nov1230db_source
nov1230db:S29,Средневековые древности Новгородской земли: электронная база данных,https://portal.novsu.ru/archeology/,,Сопоставление типов находок и памятников региона.,nov1230db_source
nov1230db:S30,Историко-географический анализ границ Новгородской земли,https://cyberleninka.ru/article/n/istoriko-geograficheskiy-analiz-vnutrennih-i-vneshnih-granits-novgorodskoy-zemli-v-srednevekovyy-period,,Многослойность границ и речные коридоры.,nov1230db_source
nov1230db,"Новгородская земля и Великий Новгород в 1230 году (SQLite, 13.07.2026)",C:/Users/Slaven/Downloads/novgorod_1230(1) (1).sqlite,A-D per row,"curated db, not in repo",database
matcult,Novgorod1230 material culture dataset v1,Downloads/Novgorod1230_material_culture_dataset_v1.zip (catalog_items.csv 1137; scenes copied to sources/material-culture-scenes-v1),A-D per row,candidate,dataset
master,Novgorod1230 MASTER ARCHIVE v1,Downloads/Novgorod1230_MASTER_ARCHIVE_v1.zip,candidate,"spawn_profiles, workshop_profiles",dataset
wk,World Knowledge production-v1 (approved),data/world-catalogs/novgorod/world-knowledge/production-v1,approved,claim ids,repo
v5,item-container-120-v5 candidate tables (pending),data/knowledge-source/imports/item-container-120-v5/candidate/tables,pending,,repo
rus13tpl,rus13-novgorod-regional-templates (draft),tools/rus13-novgorod-regional-templates,draft,,repo
v6tsv,Graph v6 g3_places / naming_register (draft),DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv,draft,,repo
