nm_id,name_form,sex,people_ref,status_band,name_kind,frequency_class,variants,attestation,source_refs,confidence
nov_name_spiridon_v1,Спиридон,male,novgorod_rus,monastic,baptismal_or_vernacular,monastic_male,,"НПЛ, 1230 с. 276 архиепископ Спиридон",pr98:onomastics/onom_src_npl_1230#npl/1230/spiridon,A
nov_name_rostislav_v1,Ростислав,male,novgorod_rus,dynastic,baptismal_or_vernacular,dynastic_male,,"НПЛ, 1230 с. 276 сын Михаила Ростислав, посажен на столе",pr98:onomastics/onom_src_npl_1230#npl/1230/rostislav,A
nov_name_stefan_v1,Стефан,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,Степан,"НПЛ, 1230 с. 276 Стефан Твердиславич",pr98:onomastics/onom_src_npl_1230#npl/1230/stefan,A
nov_name_proksha_v1,Прокша,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,"НПЛ, 1230 с. 277 Прокша Лашнев",pr98:onomastics/onom_src_npl_1230#npl/1230/proksha,A
nov_name_volos_v1,Волос,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,"НПЛ, 1230 с. 277 Волос Блудкинич",pr98:onomastics/onom_src_npl_1230#npl/1230/volos,A
nov_name_anastasia_v1,Анастасия,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Настасья|Настка,Чайкина 2006 с. 34–35 Женские календарные имена и варианты,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/anastasia,A
nov_name_maria_v1,Мария,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Марья,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/maria,A
nov_name_khristina_v1,Христина,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Хрестина,Чайкина 2006 с. 34–35 Женские календарные имена и фонетические варианты,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/khristina,A
nov_name_efimya_v1,Ефимья,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Офимья,Чайкина 2006 с. 34–35 Женские календарные имена и варианты,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/efimya,A
nov_name_sofia_v1,София,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Софья,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/sofia,A
nov_name_evdokia_v1,Евдокия,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Овдокия|Овдотья,Чайкина 2006 с. 34–35 Женские календарные имена и фонетические варианты,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/evdokia,A
nov_name_uliana_v1,Ульяна,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Улиана,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/uliana,A
nov_name_fedosya_v1,Федосья,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Федосия,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/fedosya,A
nov_name_fevronia_v1,Феврония,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/fevronia,A
nov_name_marfa_v1,Марфа,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/marfa,A
nov_name_maremyana_v1,Маремьяна,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/maremyana,A
nov_name_domna_v1,Домна,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/domna,A
nov_name_anna_v1,Анна,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/anna,A
nov_name_fekla_v1,Фёкла,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Фекла,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/fekla,A
nov_name_marina_v1,Марина,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/marina,A
nov_name_mirofa_v1,Мирофа,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/mirofa,A
nov_name_katerina_v1,Катерина,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34–35 Женские календарные имена; №551/555,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/katerina,A
nov_name_efrosinya_v1,Ефросинья,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Офросенья,Чайкина 2006 с. 34–35 Единичные имена и фонетические варианты,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/efrosinya,A
nov_name_ulita_v1,Улита,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Единичные женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/ulita,A
nov_name_antonina_v1,Антонина,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Онтонина,Чайкина 2006 с. 34–35 Единичные имена; Онтонина №541,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/antonina,A
nov_name_irinia_v1,Ириния,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Единичные имена; Ириния №545,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/irinia,A
nov_name_fedora_v1,Федора,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Единичные женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/fedora,A
nov_name_aksinya_v1,Аксинья,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Оксинья,Чайкина 2006 с. 34–35 Оксинья №411,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/aksinya,A
nov_name_akulina_v1,Акулина,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Окулина,Чайкина 2006 с. 34–35 Окулина №560,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/akulina,A
nov_name_evgenia_v1,Евгения,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Единичные имена; Евгения №62,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/evgenia,A
nov_name_gravria_v1,Граврия,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Единичные женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/gravria,A
nov_name_olisava_v1,Олисава,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34–35 Олисава №503,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/olisava,A
nov_name_fetinya_v1,Фетинья,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Единичные женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/fetinya,A
nov_name_kharitonia_v1,Харитония,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Харитания,Чайкина 2006 с. 34–35 Харитания №682,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/kharitonia,A
nov_name_anisya_v1,Анисья,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Единичные женские календарные имена,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/anisya,A
nov_name_peredslava_v1,Передслава,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Некалендарные женские имена; №328,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/peredslava,A
nov_name_milyana_v1,Миляна,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Некалендарные женские имена; №541,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/milyana,A
nov_name_nezhka_v1,Нежка,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,,Чайкина 2006 с. 34 Некалендарные женские имена; №644,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/nezhka,A
