g3_id	title	place_template_id	scale_class	household_estimate	household_mix	site_extent_note	g4_target	historical_gameplay_profile
gn_nov_g1_00_02_g3_005_podbore_pristan	Подборье: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_02_g3_006_ruchi_derevnya	Верхние Ручьи: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_02_g3_007_malyy_bor_brod	Верхний Малый Бор: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_02_g3_008_verhnie_luga_selo	Верхние Луга: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_02_g3_009_nizhniy_pochinok_pristan	Верхнее Починье: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_02_g3_010_bereze_selo	Верхнее Березье: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_02_g3_011_luzhitsy_pristan	Верхние Лужицы: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_02_g3_012_selische_brod	Верхнее Селище: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_02_g3_013_pochinok_selo	Верхний Починок: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_02_g3_014_dubrovo_selo	Дуброво: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_02_g3_015_sosnovets_pristan	Сосновец: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_02_g3_016_mhovoe_derevnya	Верхнее Мховое: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_03_g3_001_selische_na_shelon_pristan	Селище на Шелони: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_03_g3_002_pochinok_na_shelon_brod	Починок на Шелони: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_03_g3_003_dubrovo_u_shelon_selo	Дуброво у Шелони: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_03_g3_004_sosnovets_u_shelon_selo	Сосновец у Шелони: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_03_g3_005_mhovoe_na_shelon_pristan	Мховое на Шелони: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_03_g3_006_ozerets_u_shelon_derevnya	Озерец у Шелони: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_03_g3_007_pleso_na_shelon_brod	Плесо на Шелони: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_03_g3_008_zalese_u_shelon_selo	Залесье у Шелони: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_03_g3_009_borok_na_shelon_pristan	Борок на Шелони: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_03_g3_010_navolok_u_shelon_selo	Наволок у Шелони: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_03_g3_011_glinka_na_shelon_pristan	Глинка на Шелони: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_03_g3_012_luki_na_shelon_brod	Луки на Шелони: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_03_g3_013_pogostok_u_shelon_selo	Погосток у Шелони: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_03_g3_014_rybnyy_stan_u_shelon_selo	Рыбный Стан у Шелони: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_03_g3_015_volchiy_bor_na_shelon_pristan	Волчий Бор на Шелони: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_03_g3_016_krivoy_ruchey_u_shelon_derevnya	Кривой Ручей у Шелони: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_04_g3_001_luki_selo	Верхние Луки: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_04_g3_002_pogostok_selo	Верхний Погосток: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_04_g3_003_rybnyy_stan_brod	Верхний Рыбный Стан: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_04_g3_004_volchiy_bor_brod	Верхний Волчий Бор: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_04_g3_005_krivoy_ruchey_derevnya	Кривой Ручей: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_04_g3_006_zimniy_stan_selo	Зимний Стан: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_04_g3_007_suhaya_griva_selo	Верхняя Сухая Грива: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_04_g3_008_chernyy_moh_brod	Верхний Чёрный Мох: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_05_g3_001_kamenka_na_volhov_brod	Верхняя Каменка на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_05_g3_002_zareche_na_volhov_brod	Верхнее Заречье на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_05_g3_003_podbore_u_volhov_derevnya	Подборье у Волхова: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_05_g3_004_ruchi_u_volhov_derevnya	Верхние Ручьи у Волхова: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_05_g3_005_malyy_bor_na_volhov_brod	Верхний Малый Бор на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_05_g3_006_verhnie_luga_ohotnichiy_stan	Верхние Луга: охотничий стан	pt_hunting_camp	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации
gn_nov_g1_00_05_g3_007_nizhniy_pochinok_na_volhov_brod	Нижний Починок на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_05_g3_008_bereze_u_volhov_derevnya	Верхнее Березье у Волхова: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_05_g3_009_luzhitsy_na_volhov_brod	Верхние Лужицы на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_05_g3_010_selische_u_volhov_derevnya	Верхнее Селище у Волхова: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_05_g3_011_pochinok_na_volhov_brod	Починок на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_05_g3_012_dubrovo_na_volhov_brod	Верхнее Дуброво на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_05_g3_013_sosnovets_u_volhov_derevnya	Сосновец у Волхова: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_05_g3_014_mhovoe_u_volhov_derevnya	Верхнее Мховое у Волхова: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
gn_nov_g1_00_05_g3_015_ozerets_na_volhov_brod	Озерец на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_05_g3_016_pleso_ohotnichiy_stan	Верхнее Плесо: охотничий стан	pt_hunting_camp	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации
gn_nov_g1_00_06_g3_001_dubrovo_na_volhov_brod	Нижнее Дуброво на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_06_g3_002_sosnovets_na_volhov_brod	Сосновец на Волхове: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_06_g3_003_mhovoe_u_volhov_derevnya	Нижнее Мховое у Волхова: деревня	pt_hamlet	ordinary_village	примерно 8-18 дворов	1 старший двор; 5-12 обычных; 1-5 крайних/бедных	деревня с проходом между дворами, хозяйственной полосой, колодцем/ручьём, амбарами, скотом, огородами и выходом к полю/лесу/дороге	10 G4-зон	компактная, но полноценная деревня с транзитом и хозяйственной логикой
