link_id,item_id,location_archetype,location_name_ru,context_anchor_item_ids,relation,spawn_frequency,availability_class,notes,record_scope
ILO000020,OMI00004,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000021,OMI00004,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000022,OMI00004,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000023,OMI00004,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000024,OMI00004,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000025,OMI00005,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000026,OMI00005,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000027,OMI00005,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000028,OMI00005,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000029,OMI00005,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000030,OMI00005,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000031,OMI00006,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000032,OMI00006,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000033,OMI00006,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000034,OMI00006,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000035,OMI00006,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000036,OMI00006,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000037,OMI00007,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000038,OMI00007,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000039,OMI00007,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000040,OMI00007,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000041,OMI00007,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000042,OMI00007,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000043,OMI00008,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000044,OMI00008,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000045,OMI00008,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000046,OMI00008,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000047,OMI00008,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000048,OMI00008,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000049,OMI00009,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000050,OMI00009,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000051,OMI00009,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000052,OMI00009,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000053,OMI00009,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000054,OMI00009,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000055,OMI00010,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000056,OMI00010,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000057,OMI00010,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000058,OMI00010,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000059,OMI00010,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000060,OMI00010,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000061,OMI00011,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000062,OMI00011,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000063,OMI00011,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000064,OMI00011,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000065,OMI00011,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000066,OMI00011,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000067,OMI00012,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000068,OMI00012,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000069,OMI00012,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000070,OMI00012,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000071,OMI00012,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000072,OMI00012,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000073,OMI00013,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000074,OMI00013,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000075,OMI00013,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000076,OMI00013,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000077,OMI00013,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000078,OMI00013,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000079,OMI00014,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000080,OMI00014,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000081,OMI00014,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000082,OMI00014,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000083,OMI00014,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000084,OMI00014,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000085,OMI00015,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000086,OMI00015,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000087,OMI00015,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000088,OMI00015,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000089,OMI00015,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000090,OMI00015,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000091,OMI00016,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000092,OMI00016,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000093,OMI00016,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000094,OMI00016,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000095,OMI00016,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000096,OMI00016,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,contextual,context_bound,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000097,OMI00017,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000098,OMI00017,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000099,OMI00017,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000100,OMI00017,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000101,OMI00017,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000102,OMI00017,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000103,OMI00018,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000104,OMI00018,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000105,OMI00018,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000106,OMI00018,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000107,OMI00018,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000108,OMI00018,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000109,CON0035,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,canonical_existing_reused
ILO000110,CON0035,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,canonical_existing_reused
ILO000111,CON0035,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,canonical_existing_reused
ILO000112,CON0035,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,canonical_existing_reused
ILO000113,CON0035,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,canonical_existing_reused
ILO000114,CON0035,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,canonical_existing_reused
ILO000115,OMI00020,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000116,OMI00020,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000117,OMI00020,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000118,OMI00020,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000119,OMI00020,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000120,OMI00020,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000121,OMI00021,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,ubiquitous,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
