cell_id	cell_code	status	settlement_density	primary_landscape_template_id	primary_water_body_template_id	agriculture_basis	water_fishing_basis	forest_promysel_basis	salt_basis	explicit_industry_basis	rural_settlement_cap_per_cell	fishing_place_cap_per_cell	forest_camp_cap_per_cell	authority_or_market_cap_per_cell	craft_industry_cap_per_cell	land_use_template_ids	place_template_ids_allowed	known_landmarks	economic_notes
gn_nov_g1_02_06	nov_g1_02_06	border	medium	lt_alluvial_floodplain	wb_large_river	true	true	false	false	false	3	3	0	1	1	"[""lu_inland_capture_fishing"", ""lu_hay_meadow_cutting"", ""lu_rainfed_arable""]"	"[""pt_monastery"", ""pt_river_landing"", ""pt_village"", ""pt_boat_landing""]"	"[""Волхов"", ""Хутынь""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_03_02	nov_g1_03_02	partial	low	lt_wet_lowland_forest	wb_medium_river	false	true	true	false	false	0	2	2	0	0	"[""lu_inland_capture_fishing"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""pt_fishing_station"", ""pt_hunting_camp"", ""pt_wintering_hut""]"	"[""Ловать"", ""Пола""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_03_03	nov_g1_03_03	active	medium_low	lt_alluvial_floodplain	wb_medium_river	true	true	false	false	false	2	3	0	0	0	"[""lu_inland_capture_fishing"", ""lu_fish_weir_trap_operation"", ""lu_hay_meadow_cutting""]"	"[""pt_river_landing"", ""pt_fishing_station"", ""pt_fish_weir_site"", ""pt_boat_landing""]"	"[""Ловать"", ""Пола"", ""Ильмень""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_03_04	nov_g1_03_04	active	medium	lt_marsh_lake_margin	wb_medium_river	true	true	false	false	false	3	3	0	1	1	"[""lu_inland_capture_fishing"", ""lu_fish_weir_trap_operation"", ""lu_hay_meadow_cutting""]"	"[""pt_river_landing"", ""pt_fishing_station"", ""pt_boat_landing""]"	"[""Мста"", ""Ильмень""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_03_05	nov_g1_03_05	active	medium	lt_boreal_mixed_forest	wb_medium_river	true	false	true	false	false	3	0	3	1	1	"[""lu_rainfed_arable"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""pt_hamlet"", ""pt_village"", ""pt_river_landing"", ""pt_pogost_center""]"	"[""Мста""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_03_06	nov_g1_03_06	border	low	lt_boreal_mixed_forest	wb_small_river	false	false	true	false	false	0	0	2	0	0	"[""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""pt_forest_work_camp"", ""pt_hunting_camp"", ""pt_wintering_hut""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_04_02	nov_g1_04_02	border	low	lt_boreal_mixed_forest	wb_small_river	false	false	true	false	false	0	0	2	0	0	"[""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_timber_felling""]"	"[""pt_hunting_camp"", ""pt_forest_work_camp"", ""pt_wintering_hut""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_04_03	nov_g1_04_03	partial	low	lt_boreal_mixed_forest	wb_medium_river	true	false	true	false	false	1	0	2	0	0	"[""lu_hunting_ground"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_hay_meadow_cutting""]"	"[""pt_river_landing"", ""pt_hamlet"", ""pt_forest_work_camp""]"	"[""Мста""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_04_04	nov_g1_04_04	partial	medium_low	lt_boreal_mixed_forest	wb_small_river	true	false	true	false	false	2	0	3	1	0	"[""lu_rainfed_arable"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fuelwood_gathering""]"	"[""pt_hamlet"", ""pt_village"", ""pt_pogost_center""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_04_05	nov_g1_04_05	border	low	lt_boreal_mixed_forest	wb_brook	false	false	true	false	false	0	0	2	0	0	"[""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_timber_felling""]"	"[""pt_forest_work_camp"", ""pt_hunting_camp"", ""pt_wintering_hut""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_05_03	nov_g1_05_03	border	low	lt_wooded_hills	wb_small_river	false	false	true	false	false	0	0	2	0	0	"[""lu_hunting_ground"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""pt_portage_place"", ""pt_forest_work_camp"", ""pt_wintering_hut""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_05_02	nov_g1_05_02	border	low	lt_wooded_hills	wb_brook	false	false	true	false	false	0	0	2	0	0	"[""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""pt_wintering_hut"", ""pt_hunting_camp"", ""pt_forest_work_camp""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_06_02	nov_g1_06_02	border	low	lt_boreal_mixed_forest	wb_small_river	true	false	true	false	false	1	0	2	0	0	"[""lu_hunting_ground"", ""lu_timber_felling"", ""lu_hay_meadow_cutting""]"	"[""pt_hamlet"", ""pt_river_landing"", ""pt_ford_place""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_06_01	nov_g1_06_01	border	medium_low	lt_boreal_mixed_forest	wb_medium_river	true	true	false	false	false	2	3	0	0	0	"[""lu_hay_meadow_cutting"", ""lu_rainfed_arable"", ""lu_inland_capture_fishing""]"	"[""pt_hamlet"", ""pt_village"", ""pt_ford_place"", ""pt_river_landing""]"	[]	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_07_01	nov_g1_07_01	border	medium	lt_mesic_meadow	wb_medium_river	true	true	false	false	false	3	3	0	1	1	"[""lu_rainfed_arable"", ""lu_hay_meadow_cutting"", ""lu_common_pasture"", ""lu_inland_capture_fishing""]"	"[""pt_village"", ""pt_market_place"", ""pt_crossroads"", ""pt_river_landing""]"	"[""Тверца""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
gn_nov_g1_08_00	nov_g1_08_00	border	medium_high	lt_alluvial_floodplain	wb_medium_river	true	true	false	false	false	4	3	0	1	1	"[""lu_rainfed_arable"", ""lu_hay_meadow_cutting"", ""lu_inland_capture_fishing""]"	"[""pt_market_town"", ""pt_town"", ""pt_fortified_town"", ""pt_river_landing"", ""pt_crossroads""]"	"[""Торжок / Торшок"", ""Тверца""]"	Capacity is derived from current G1 mask and settlement_density. It is a generation guard, not a reconstruction of exact settlement counts.
