place_generation_limit_id	rpgr_id	template_type	economic_group	required_economy_from_rule	matched_in_current_G1_mask	missing_in_current_G1_mask	critical_missing_in_current_G1_mask	max_total_after_update	max_per_subregion_after_update	status_after_update	basis_note
pgl_nov_pilgrimage_shrine	rpgr_nov_pilgrimage_shrine	pilgrimage_shrine	authority	[]	[]	[]	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_wintering_hut	rpgr_nov_wintering_hut	winter_hut	forest	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_reed_sedge_harvest"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fishpond_aquaculture"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		3	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_forest_work_camp	rpgr_nov_forest_work_camp	forest_work_camp	forest	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hunting_ground"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hunting_ground"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		3	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_hunting_camp	rpgr_nov_hunting_camp	hunting_camp	forest	"[""lu_fur_trapping_ground"", ""lu_hunting_ground"", ""lu_wild_food_gathering""]"	"[""lu_fur_trapping_ground"", ""lu_hunting_ground""]"	"[""lu_wild_food_gathering""]"	[]		3	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_fishing_station	rpgr_nov_fishing_station	fishing_station	water	"[""lu_inland_capture_fishing"", ""lu_reed_sedge_harvest""]"	"[""lu_inland_capture_fishing"", ""lu_reed_sedge_harvest""]"	[]	[]		3	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_fish_weir_site	rpgr_nov_fish_weir_site	fish_weir_site	water	"[""lu_fish_weir_trap_operation"", ""lu_inland_capture_fishing""]"	"[""lu_fish_weir_trap_operation"", ""lu_inland_capture_fishing""]"	[]	[]		3	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_river_landing	rpgr_nov_river_landing	river_landing	water	"[""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_hay_meadow_cutting"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest""]"	"[""lu_common_pasture"", ""lu_fish_weir_trap_operation"", ""lu_hay_meadow_cutting"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest""]"	"[""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fishpond_aquaculture"", ""lu_open_field_strip_cultivation""]"	[]		2	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_boat_landing	rpgr_nov_boat_landing	boat_landing	water	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_reed_sedge_harvest"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fishpond_aquaculture"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		2	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_market_place	rpgr_nov_market_place	market_site	urban	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fishpond_aquaculture"", ""lu_open_field_strip_cultivation"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_periodic_fairground	rpgr_nov_periodic_fairground	periodic_fairground	urban	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fishpond_aquaculture"", ""lu_open_field_strip_cultivation"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_town	rpgr_nov_town	town	urban	"[""lu_bark_bast_collection"", ""lu_bog_iron_extraction"", ""lu_charcoal_burning"", ""lu_clay_extraction"", ""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_saltmaking_saltern"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_watermill_water_management"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_saltmaking_saltern"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_bog_iron_extraction"", ""lu_charcoal_burning"", ""lu_clay_extraction"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fishpond_aquaculture"", ""lu_open_field_strip_cultivation"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_watermill_water_management"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]	2	1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_city_major_center	rpgr_nov_city_major_center	city_major_center	urban	"[""lu_bark_bast_collection"", ""lu_bog_iron_extraction"", ""lu_charcoal_burning"", ""lu_clay_extraction"", ""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_saltmaking_saltern"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_watermill_water_management"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_saltmaking_saltern"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_bog_iron_extraction"", ""lu_charcoal_burning"", ""lu_clay_extraction"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fishpond_aquaculture"", ""lu_open_field_strip_cultivation"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_watermill_water_management"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]	1	1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_fortified_town	rpgr_nov_fortified_town	fortified_town	urban	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fishpond_aquaculture"", ""lu_open_field_strip_cultivation"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_posad_suburb	rpgr_nov_posad_suburb	posad_suburb	urban	"[""lu_bark_bast_collection"", ""lu_bog_iron_extraction"", ""lu_charcoal_burning"", ""lu_clay_extraction"", ""lu_common_pasture"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_open_field_strip_cultivation"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_saltmaking_saltern"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_watermill_water_management"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_common_pasture"", ""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_kitchen_garden"", ""lu_rainfed_arable"", ""lu_reed_sedge_harvest"", ""lu_saltmaking_saltern"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_bog_iron_extraction"", ""lu_charcoal_burning"", ""lu_clay_extraction"", ""lu_fallow_rotation"", ""lu_fiber_crop_plot"", ""lu_fishpond_aquaculture"", ""lu_open_field_strip_cultivation"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_watermill_water_management"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]	1	1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_crossroads	rpgr_nov_crossroads	crossroads	route	[]	[]	[]	[]		2	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_ford_place	rpgr_nov_ford_place	ford	water	[]	[]	[]	[]		2	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_ferry_place	rpgr_nov_ferry_place	ferry	water	[]	[]	[]	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_bridge_place	rpgr_nov_bridge_place	bridge_site	water	[]	[]	[]	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_portage_place	rpgr_nov_portage_place	portage	route	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fish_weir_trap_operation"", ""lu_fishpond_aquaculture"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_reed_sedge_harvest"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	"[""lu_fish_weir_trap_operation"", ""lu_fuelwood_gathering"", ""lu_fur_trapping_ground"", ""lu_hunting_ground"", ""lu_inland_capture_fishing"", ""lu_reed_sedge_harvest"", ""lu_timber_felling"", ""lu_tree_beekeeping_bortnichestvo""]"	"[""lu_bark_bast_collection"", ""lu_charcoal_burning"", ""lu_fishpond_aquaculture"", ""lu_resin_tar_pitch_production"", ""lu_slash_burn_cultivation"", ""lu_wild_food_gathering"", ""lu_wood_pasture_silvopasture""]"	[]		1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_hillfort_gorodishche	rpgr_nov_hillfort_gorodishche	hillfort_gorodishche	other	[]	[]	[]	[]	1	1	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
pgl_nov_watchpost_guard_post	rpgr_nov_watchpost_guard_post	watch_post	route	[]	[]	[]	[]		2	usable_with_caution	Matched/missing economy is computed against novgorod_g1_historical_cell_mask_v1 land_use_template_ids.
