taxon_ref,name_lat,name_ru,kind,rank,fd_ids,expected_sibling_domain,sibling_id,source_refs,confidence,status
"taxon:mixed forest berries (Rubus, Vaccinium, Fragaria, Ribes)","mixed forest berries (Rubus, Vaccinium, Fragaria, Ribes)",лесные ягоды смесь,flora,group,"[""fd_forest_berries_generic"", ""fd_berries_dried"", ""fd_berry_juice""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001""]",C,candidate
taxon:Malus spp.,Malus spp.,яблоня,flora,genus,"[""fd_apple_local"", ""fd_apple_dried""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001"", ""wk:claim:household-apple-orchard""]",B,candidate
taxon:Corylus avellana,Corylus avellana,лещина,flora,species,"[""fd_hazelnut_whole"", ""fd_hazelnut_kernel"", ""fd_hazelnut_crushed""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044"", ""wk:claim:troitsky-gathered-plants-probably-link-to-southern-deciduous-woodland""]",B,candidate
taxon:Linum usitatissimum,Linum usitatissimum,лён,flora,species,"[""fd_flax_seed"", ""fd_flax_seed_crushed""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979"", ""wk:claim:agriculture-fauna-flax-hemp-cultivation""]",B,candidate
taxon:Cannabis sativa,Cannabis sativa,конопля,flora,species,"[""fd_hemp_seed""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979"", ""wk:claim:agriculture-fauna-flax-hemp-cultivation""]",B,candidate
taxon:Linum usitatissimum | Cannabis sativa (oil),Linum usitatissimum | Cannabis sativa (oil),масличные лён/конопля,flora,group,"[""fd_plant_oil""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979""]",C,candidate
taxon:Papaver somniferum,Papaver somniferum,мак (осторожно),flora,species,"[""fd_poppy_seed_uncertain""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Armoracia rusticana,Armoracia rusticana,хрен (осторожно),flora,species,"[""fd_horseradish_uncertain""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Pinus sylvestris,Pinus sylvestris,сосна обыкновенная (заболонь/кора),flora,species,"[""fd_pine_inner_bark_famine""]",flora_* / cultivated_plants (fl_id),,"[""ext:npl1950_6738_6739""]",B,candidate
taxon:Tilia cordata,Tilia cordata,липа (кора),flora,species,"[""fd_linden_bark_famine""]",flora_* / cultivated_plants (fl_id),,"[""ext:npl1950_6738_6739""]",B,candidate
"taxon:Ulmus spp. (U. glabra, U. laevis)","Ulmus spp. (U. glabra, U. laevis)","ильм, вяз (лист)",flora,genus,"[""fd_elm_leaves_famine""]",flora_* / cultivated_plants (fl_id),,"[""ext:npl1950_6738_6739""]",B,candidate
taxon:Bryophyta (species unknown),Bryophyta (species unknown),мох,flora,division,"[""fd_moss_famine""]",flora_* / cultivated_plants (fl_id),,"[""ext:npl1950_6738_6739""]",C,candidate
taxon:Apis mellifera,Apis mellifera,пчела медоносная (продукт),fauna,species,"[""fd_honey_liquid"", ""fd_honey_comb"", ""fd_honey_strained"", ""fd_honey_crystallized"", ""fd_honey_wort""]",fauna_* / livestock_husbandry (fa_id),,"[""wk:claim:agriculture-fauna-borts-honey""]",B,candidate
taxon:Bos taurus,Bos taurus,"корова, бык",fauna,species,"[""fd_milk_cow"", ""fd_cream"", ""fd_sour_milk"", ""fd_milk_curd"", ""fd_fresh_curd"", ""fd_whey"", ""fd_butter_fresh"", ""fd_butter_washed"", ""fd_buttermilk"", ""fd_fresh_cheese"", ""fd_pressed_fresh_cheese"", ""fd_aged_cheese_uncertain"", ""fd_beef"", ""fd_veal""]",fauna_* / livestock_husbandry (fa_id),,"[""wk:claim:environment-p1-cattle"", ""master-food:SRC040""]",B,candidate
taxon:Capra hircus,Capra hircus,коза,fauna,species,"[""fd_milk_goat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Ovis aries,Ovis aries,овца,fauna,species,"[""fd_milk_sheep""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Ovis aries | Capra hircus,Ovis aries | Capra hircus,мелкий рогатый скот,fauna,group,"[""fd_mutton_goat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",C,candidate
taxon:Sus scrofa f. domestica,Sus scrofa f. domestica,свинья,fauna,form,"[""fd_pork_lard"", ""fd_pork""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Equus caballus,Equus caballus,лошадь,fauna,species,"[""fd_horsemeat_emergency""]",fauna_* / livestock_husbandry (fa_id),,"[""wk:claim:environment-p1-horse-meat"", ""ext:npl1950_6738_6739""]",B,candidate
taxon:Gallus gallus f. domestica,Gallus gallus f. domestica,курица,fauna,form,"[""fd_egg_chicken"", ""fd_chicken_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Anser anser f. domestica,Anser anser f. domestica,гусь домашний,fauna,form,"[""fd_egg_goose"", ""fd_goose_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Anas platyrhynchos f. domestica,Anas platyrhynchos f. domestica,утка домашняя,fauna,form,"[""fd_egg_duck"", ""fd_duck_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Lepus timidus | Lepus europaeus,Lepus timidus | Lepus europaeus,заяц,fauna,genus,"[""fd_hare_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC041""]",B,candidate
taxon:Alces alces,Alces alces,лось,fauna,species,"[""fd_elk_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC041""]",B,candidate
taxon:Castor fiber,Castor fiber,бобр речной,fauna,species,"[""fd_beaver_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC042""]",B,candidate
taxon:Sus scrofa,Sus scrofa,кабан,fauna,species,"[""fd_wild_boar_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC041""]",B,candidate
taxon:Tetrao urogallus,Tetrao urogallus,глухарь,fauna,species,"[""fd_capercaillie_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Anatidae (wild),Anatidae (wild),дикие утки и гуси,fauna,family,"[""fd_waterfowl_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",C,candidate
taxon:domestic livestock (Bos | Sus | Ovis | Capra),domestic livestock (Bos | Sus | Ovis | Capra),домашний скот (мясо без вида),fauna,group,"[""fd_animal_fat"", ""fd_rendered_fat"", ""fd_meat_cut_large"", ""fd_meat_cut_small"", ""fd_meat_strip"", ""fd_liver"", ""fd_kidney"", ""fd_heart"", ""fd_tongue"", ""fd_stomach_cleaned"", ""fd_blood_animal"", ""fd_salted_meat"", ""fd_dried_meat"", ""fd_meat_brine"", ""fd_meat_drying_strip"", ""fd_broth_meat""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",C,candidate
taxon:Actinopterygii: freshwater fish (unspecified),Actinopterygii: freshwater fish (unspecified),речная и озёрная рыба,fauna,group,"[""fd_fish_generic"", ""fd_fish_gutted"", ""fd_fish_headless"", ""fd_fish_split"", ""fd_fish_salted"", ""fd_fish_dried"", ""fd_fish_smoked_uncertain"", ""fd_fish_lightly_salted"", ""fd_fish_roe_fresh"", ""fd_fish_roe_salted_uncertain"", ""fd_fish_milt"", ""fd_fish_brine_fresh"", ""fd_fish_brine_old"", ""fd_fish_drying_body"", ""fd_fish_salt_rubbed"", ""fd_broth_fish""]",fauna_* / livestock_husbandry (fa_id),,"[""wk:claim:population-fish-food"", ""master-food:SRC025""]",C,candidate
taxon:Esox lucius,Esox lucius,щука,fauna,species,"[""fd_pike""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Sander lucioperca,Sander lucioperca,судак,fauna,species,"[""fd_zander""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Cyprinidae,Cyprinidae,карповые,fauna,family,"[""fd_cyprinid""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",C,candidate
taxon:Abramis brama,Abramis brama,лещ,fauna,species,"[""fd_bream""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Rutilus rutilus,Rutilus rutilus,плотва,fauna,species,"[""fd_roach""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Perca fluviatilis,Perca fluviatilis,окунь,fauna,species,"[""fd_perch""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Gymnocephalus cernua,Gymnocephalus cernua,ёрш,fauna,species,"[""fd_ruff""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Silurus glanis,Silurus glanis,сом,fauna,species,"[""fd_catfish""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
taxon:Coregonus lavaretus s.l.,Coregonus lavaretus s.l.,сиг,fauna,species_complex,"[""fd_whitefish""]",fauna_* / livestock_husbandry (fa_id),,"[""ext:gramota147"", ""master-food:FSRC003""]",B,candidate
taxon:Acipenseridae,Acipenseridae,осетровые,fauna,family,"[""fd_sturgeon""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",C,candidate
taxon:Salmonidae,Salmonidae,лососевые,fauna,family,"[""fd_salmonid""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",C,candidate
taxon:Osmerus eperlanus (incl. f. spirinchus),Osmerus eperlanus (incl. f. spirinchus),"корюшка, снеток",fauna,species,"[""fd_smelt""]",fauna_* / livestock_husbandry (fa_id),,"[""master-food:SRC040""]",B,candidate
