fd_id,master_ingredient_id,name_ru,name_en,name_lat,source_taxon_ref,taxon_kind,food_category,ingredient_type,fasting_class,fasting_status,category_id,universal_category,region_id,origin,months_available,months_fresh,months_limited,season_profile,month_basis,access_by_class,storage_forms,storage_container_ids,shelf_life,spoilage_signs,spoilage_states,rarity,frequency_class,frequency_weight,relative_cost,famine_1230_role,recipe_evidence_type,source_refs,confidence,status,notes
fd_barley_groats,ING0011,Ячменная крупа,barley groats,Hordeum vulgare,taxon:Hordeum vulgare,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.barley_groats,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0011,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0011"", ""ext:kirjanova1979"", ""wk:claim:household-barley-commodity""]",A,candidate,
fd_oat_groats,ING0012,Овсяная крупа,oat groats,Avena sativa,taxon:Avena sativa,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.oat_groats,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0012,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0012"", ""ext:kirjanova1979""]",A,candidate,
fd_millet_groats,ING0013,Пшённая крупа,millet groats,Panicum miliaceum,taxon:Panicum miliaceum,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.millet_groats,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0013,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0013"", ""wk:claim:food-practices-millet-cleaning-waste"", ""ext:kirjanova1979""]",A,candidate,
fd_wheat_groats,ING0014,Пшеничная крупа грубого дробления,wheat groats,Triticum aestivum,taxon:Triticum aestivum,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.wheat_groats,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0014,"{""poor"": ""occasional"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,medium,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0014"", ""ext:npl1950_6738_6739"", ""sqlite:novgorod_1230:economy:пшеница"", ""ext:kirjanova1979""]",B,candidate,relative_cost поднят до medium: пшеница дороже ржи (НПЛ 1230: 40 против 20 гривен за кадь; «дорогой хлеб»); в master low расходилось с зерном (medium)
fd_rye_flour_coarse,ING0015,Грубая ржаная мука,rye flour coarse,Secale cereale,taxon:Secale cereale,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.rye_flour_coarse,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0015,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0015"", ""ext:kirjanova1979"", ""wk:claim:food-practices-rye-flour-bread"", ""ext:gramota943""]",A,candidate,
fd_rye_flour_fine,ING0016,Более тонко просеянная ржаная мука,rye flour fine,Secale cereale,taxon:Secale cereale,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.rye_flour_fine,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0016,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0016"", ""ext:kirjanova1979"", ""wk:claim:food-practices-rye-flour-bread"", ""ext:gramota943""]",B,candidate,
fd_wheat_flour,ING0017,Пшеничная мука,wheat flour,Triticum aestivum,taxon:Triticum aestivum,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.wheat_flour,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0017,"{""poor"": ""occasional"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,medium,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0017"", ""ext:npl1950_6738_6739"", ""sqlite:novgorod_1230:economy:пшеница"", ""ext:kirjanova1979""]",A,candidate,relative_cost поднят до medium: пшеница дороже ржи (НПЛ 1230: 40 против 20 гривен за кадь; «дорогой хлеб»); в master low расходилось с зерном (medium)
fd_barley_flour,ING0018,Ячменная мука,barley flour,Hordeum vulgare,taxon:Hordeum vulgare,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.barley_flour,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0018,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0018"", ""ext:kirjanova1979"", ""wk:claim:household-barley-commodity""]",A,candidate,
fd_oat_flour,ING0019,Овсяная мука,oat flour,Avena sativa,taxon:Avena sativa,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.oat_flour,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0019,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0019"", ""ext:kirjanova1979""]",A,candidate,
fd_mixed_flour,ING0020,Смешанная зерновая мука,mixed flour,,,,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.mixed_flour,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0020,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0020""]",B,candidate,
fd_bran,ING0021,Отруби,bran,,,,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.bran,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0021,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0021""]",A,candidate,
fd_rye_starter,ING0022,Густая ржаная закваска,rye starter,Secale cereale,taxon:Secale cereale,flora,dough_leaven,intermediate,plant,fasting_allowed,content_food.dough_leaven.rye_starter,true,novgorod_land,local,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",made_as_needed,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0022,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}",[],"[""HOU0019"", ""POT0018"", ""POT0021""]",hours to a few days depending on stage,"[""over_soured"", ""moldy"", ""putrid""]","[""spoiled""]",common,common,4,low,,comparative_reconstruction,"[""master-food:SRC008"", ""master-food:SRC044"", ""master-food:FSRC001"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0022"", ""ext:kirjanova1979"", ""wk:claim:food-practices-rye-flour-bread"", ""ext:gramota943""]",B,candidate,
fd_old_sour_dough,ING0023,Кусок старого кислого теста для закваски,old sour dough,,,,dough_leaven,intermediate,plant,fasting_allowed,content_food.dough_leaven.old_sour_dough,true,novgorod_land,local,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",made_as_needed,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0023,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}",[],"[""HOU0019"", ""POT0018"", ""POT0021""]",hours to a few days depending on stage,"[""over_soured"", ""moldy"", ""putrid""]","[""spoiled""]",common,common,4,low,,comparative_reconstruction,"[""master-food:SRC008"", ""master-food:SRC044"", ""master-food:FSRC001"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0023""]",B,candidate,
