ls_id,species_ref,name_ru,name_old_ru,sex,age_class,appearance_colors,size_ru,body_ru,housing,primary_uses,value_rp45,value_rezany,value_rank,value_basis,ownership_marks_pool_ref,category_ref,taxon_scope,region_id,source_refs,confidence,status,notes
ls_horse_foal,fa_dom_horse,Жеребёнок,жеребя,any,newborn,,малый,,при матке,,6 ногат,15,8,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.horse,universal,,src:russkaya-pravda-prostrannaya;master:n1230:material_item:liv0013,B,candidate,
ls_pig_sow,fa_dom_pig,Свинья,свинья,f,adult,тёмная; пятнистая; бурая,"мельче и подвижнее современной; длинноногая, узкотелая","щетинистая, вытянутое рыло",хлев/свинарник; летом выпас,"мясо, сало, переработка отходов",5 кун,5,9,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.pig,universal,,master:n1230:material_item:liv0016;src:russkaya-pravda-prostrannaya;src:sablin-2007-rurikovo;claim:livestock-swine-comparative-diet,A,candidate,доля свиньи в костях падает к XI–XII вв. (Саблин)
ls_pig_boar,fa_dom_pig,Хряк,вепрь (домашний),m,adult,как у свиней,"крупнее свиньи, клыки",,хлев,производитель,,,,,livestock_identification_marks.csv,cat:fauna.domestic.pig,universal,,master:n1230:material_item:liv0028,B,candidate,древнерусское название не проверено
ls_pig_piglet,fa_dom_pig,Поросёнок,порося,any,juvenile,полосатые или пятнистые (C),малый,,при свинье; в стужу в избе (этнография),"мясо, продажа на торгу",ногата,2.5,10,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.pig,universal,,src:russkaya-pravda-prostrannaya;master:n1230:material_item:liv0025;src:kochin-1965-agriculture,B,candidate,
ls_sheep_ewe,fa_dom_sheep,Овца,овца,f,adult,белая; серая; чёрная; бурая (натуральная шерсть),"небольшая, мельче современной мясной породы","грубая неоднородная шерсть, рога у части животных",хлев,"шерсть, овчина, мясо, молоко ограниченно",5 кун,5,9,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.sheep,universal,,master:n1230:material_item:liv0019;src:russkaya-pravda-prostrannaya;claim:harvest-sheep-shearing-scissors;claim:clothing-wool;claim:fauna-sheep-flocking,A,candidate,цвета шерсти — C; окрашенная шерсть в Новгороде (WK clothing-nerev-coloured-wool)
ls_sheep_ram,fa_dom_sheep,Баран,баран,m,adult,как у овец,"крупнее овцы, закрученные рога",,хлев,"производитель, мясо",ногата,2.5,10,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.sheep,universal,,src:russkaya-pravda-prostrannaya;master:n1230:material_item:liv0018,B,candidate,"баран — обычный натуральный корм должностных лиц (ст. 9, 74)"
ls_sheep_lamb,fa_dom_sheep,Ягнёнок,агнец; ягня,any,newborn,как у овец,малый,,при овце; в стужу в избе (этнография),,,,,,livestock_identification_marks.csv,cat:fauna.domestic.sheep,universal,,master:n1230:material_item:liv0029;claim:fauna-ewe-lamb-recognition;claim:mb14-practical-ewe-lamb-postbirth-observation,B,candidate,
ls_goat_doe,fa_dom_goat,Коза,коза,f,adult,белая; серая; бурая; пёстрая (C),небольшая,,хлев,"молоко, шерсть, мясо",,,,,livestock_identification_marks.csv,cat:fauna.domestic.goat,universal,,master:n1230:material_item:liv0010;src:sablin-2007-rurikovo;src:master-food-ingredients,B,candidate,на Рюриковом городище в XI–XII вв. достоверных костей козы нет — редка
ls_goat_buck,fa_dom_goat,Козёл,козел,m,adult,как у коз,,"борода, рога, запах",хлев,производитель,,,,,livestock_identification_marks.csv,cat:fauna.domestic.goat,universal,,master:n1230:material_item:liv0011,B,candidate,
ls_goat_kid,fa_dom_goat,Козлёнок,козля,any,newborn,,малый,,"прячется в укрытии, мать приходит кормить",,,,,,livestock_identification_marks.csv,cat:fauna.domestic.goat,universal,,master:n1230:material_item:liv0022;claim:fauna-doe-kid-care,B,candidate,
ls_chicken_hen,fa_dom_chicken,Курица,кур; куря,f,adult,пёстрая; бурая; белая; чёрная (C),"мелкая, без современной селекции",,хлев или клеть на насесте; гнездо для кладки,"яйца, мясо, перо",,,,,livestock_identification_marks.csv,cat:fauna.domestic.chicken,universal,,master:n1230:material_item:liv0005;claim:environment-p1-bird-taxa;claim:macro-b1819-laying-hens-can-use-nest-sites-for-egg-laying;claim:fauna-chicken-brooding,A,candidate,«две куры на день» — натуральный корм вирника (РП ст. 9)
ls_chicken_rooster,fa_dom_chicken,Петух,кур; петел,m,adult,"как у кур, ярче",,"гребень, шпоры",с курами,"приплод, «часы» двора",,,,,livestock_identification_marks.csv,cat:fauna.domestic.chicken,universal,,master:n1230:material_item:liv0006,B,candidate,
ls_goose,fa_dom_goose,Гусь домашний,гусь,any,adult,серо-белая неоднородная,"средний, по костным данным",,хлев; днём у воды,"мясо, жир, перо, яйца",,,,,livestock_identification_marks.csv,cat:fauna.domestic.goose,universal,,master:n1230:material_item:liv0012;claim:place-domestic-geese-can-move-as-a-flock-when-herded,B,candidate,"30 кун за гуся в ст. 81 РП — о птице из ловчей сети, для домашней цены не используется"
ls_duck,fa_dom_duck,Утка домашняя,утка,any,adult,как кряква или темнее (C),,,хлев; днём у воды,"мясо, яйца, перо",,,,,livestock_identification_marks.csv,cat:fauna.domestic.duck,universal,,master:n1230:material_item:liv0009;claim:environment-p1-bird-taxa,B,candidate,кости домашней утки не всегда отделимы от кряквы (WK)
ls_dog_yard,fa_dom_dog,Собака дворовая (лайкообразная),пес,any,adult,серая; рыжая; чёрная; пёстрая (C),до крупной лайки: около 60 см в холке (Рюриково городище),"густая шерсть, стоячие уши (C)","двор, под навесом","охрана, сигнал, сопровождение",,,,,livestock_identification_marks.csv,cat:fauna.domestic.dog,universal,,src:sablin-2007-rurikovo;master:n1230:material_item:liv0007;claim:fauna-mammals-domestic-dog-multimodal-communication,A,candidate,
ls_dog_hunting,fa_dom_dog,Собака охотничья (ловчий пёс),пес ловчий,any,adult,как у дворовых,небольшая–средняя,,двор охотника или княжой ловчий двор,"охота, поиск по следу",,,,,livestock_identification_marks.csv,cat:fauna.domestic.dog,universal,,master:n1230:material_item:liv0008;claim:macro-b20-rain-or-other-weather-can-alter-canine-scent-work-without-proving-a-trail-is-lost,B,candidate,
ls_cat,fa_dom_cat,Кошка,котка; кошка,any,adult,полосатая; однотонная,обычный домашний размер,"стройная, короткая–средняя шерсть","изба, клеть, амбар",ловля мышей,,,,,livestock_identification_marks.csv,cat:fauna.domestic.cat,universal,,master:n1230:material_item:liv0001;src:cats-novgorod-tver;src:sablin-2007-rurikovo;claim:place-cats-can-use-secluded-or-elevated-hiding-places,A,candidate,кошки в слоях Рюрикова городища с X в.
ls_pigeon,fa_dom_pigeon,Голубь городской,голубь,any,adult,сизая,,,под кровлями церквей и клетей,—,,,,,livestock_identification_marks.csv,cat:fauna.domestic.pigeon,universal,,master:n1230:material_item:liv0017;claim:place-rock-pigeons-can-use-sheltered-built-sites-and-congregate-around-food,C,candidate,MASTER: C; статус домашнего содержания не подтверждён
