fa_id,name_ru,name_old_ru,name_lat,name_en,family,group,migratory_status,category_ref,taxon_scope,region_id,presence_region_id,subregion_scope,water_body_template_refs,water_body_types,wb_frequency,named_waters,season_presence,habitat_presence_count,spawning_months,spawning_season_period,spawning_site,spawning_basis,fishing_methods,gear_refs,size_classes,food_ingredient_ref,look_ru,novgorod_evidence,source_refs,confidence,status,notes
fa_fish_chub,Голавль,,Squalius cephalus,Chub,Cyprinidae,omnivore,resident,cat:fauna.fish.omnivore,universal,,novgorod_land,novgorod_ilmen_core,wb_medium_river;wb_small_river;wb_rapid_section;wb_large_river,river;river_section,wb_medium_river:contextual;wb_small_river:contextual;wb_rapid_section:contextual;wb_large_river:rare,Мста; Ловать; Шелонь; малые реки,winter;spring_rasputitsa;summer;autumn,29,5-6,spring_rasputitsa;summer,быстрая вода над гравием в притоках,general,fm_hook_rod;fm_set_gillnet,master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0027,не найден,master:food_system:ING0134,лобастая рыба с крупной тёмной чешуёй,тепловодная группа бассейна (Кудерский),src:kudersky-ladoga-ichthyofauna;src:fishbase,B,candidate,
fa_fish_dace,Елец,елец,Leuciscus leuciscus,Common dace,Cyprinidae,omnivore,semi_migratory,cat:fauna.fish.omnivore,universal,,novgorod_land,novgorod_ilmen_core,wb_medium_river;wb_small_river;wb_large_river;wb_rapid_section;wb_brook;wb_river_channel,channel;river;river_section;stream,wb_medium_river:common;wb_small_river:common;wb_large_river:contextual;wb_rapid_section:common;wb_brook:contextual;wb_river_channel:contextual,Волхов; Мста; малые реки,winter;spring_rasputitsa;summer;autumn,41,4,spring_rasputitsa,"быстрая вода на мелком гравии, часто в малых притоках",general,fm_hook_rod;fm_trap_versha;fm_set_gillnet,master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0005;master:n1230:material_item:fsh0027,мелкая,master:food_system:ING0134,узкая серебристая рыбка с жёлтым глазом,в списке основных промысловых рыб Волхова (Тарасов),src:tarasov-2009-ladoga-fishing;src:fishbase,B,candidate,нерест одним из первых после ледохода
fa_fish_sabrefish,Чехонь,,Pelecus cultratus,Sichel,Cyprinidae,planktivore,semi_migratory,cat:fauna.fish.planktivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river,lake;river,wb_large_fresh_lake:contextual;wb_large_river:contextual,Ильмень; Волхов,winter;spring_rasputitsa;summer;autumn,29,5-6,spring_rasputitsa;summer,весной в толще воды посреди реки,fishbase_season+ice_out_rule,fm_set_gillnet;fm_seine_nevod,master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0030,не найден,master:food_system:ING0134,узкая серебряная рыба-«сабля» с прямой спиной,упомянута в перечнях рыб Ильменя; тепловодная группа (Кудерский),src:kudersky-ladoga-ichthyofauna;src:fishbase,C,candidate,средневековых свидетельств не найдено
fa_fish_bleak,Уклея,,Alburnus alburnus,Bleak,Cyprinidae,planktivore,resident,cat:fauna.fish.planktivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river;wb_medium_river;wb_small_river;wb_backwater;wb_small_fresh_lake,backwater;lake;river,wb_large_fresh_lake:common;wb_large_river:common;wb_medium_river:common;wb_small_river:contextual;wb_backwater:contextual;wb_small_fresh_lake:contextual,все крупные воды,winter;spring_rasputitsa;summer;autumn,37,5-6,spring_rasputitsa;summer,мелкие перекаты и каменистые берега,general,fm_hook_rod;fm_drag_net_bredni,master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0016,"мелкая (наживка, мелочь)",master:food_system:ING0134,мелкая блестящая рыбка стайками у поверхности,тепловодная группа бассейна (Кудерский); живец для жерлиц,src:kudersky-ladoga-ichthyofauna;src:fishbase,B,candidate,
fa_fish_tench,Линь,линь,Tinca tinca,Tench,Cyprinidae,benthivore,resident,cat:fauna.fish.benthivore,universal,,novgorod_land,novgorod_ilmen_core,wb_backwater;wb_oxbow_lake;wb_floodplain_lake;wb_small_fresh_lake;wb_marsh_channel;wb_large_fresh_lake,backwater;channel;floodplain_lake;lake;oxbow_lake,wb_backwater:contextual;wb_oxbow_lake:contextual;wb_floodplain_lake:contextual;wb_small_fresh_lake:contextual;wb_marsh_channel:rare;wb_large_fresh_lake:rare,"старицы, заводи",winter;spring_rasputitsa;summer;autumn,29,6-7,summer,густая трава в стоячей тёплой воде (19–20 °C),fishbase_months,fm_trap_versha;fm_set_gillnet;fm_hook_rod,master:n1230:material_item:fsh0005;master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0015,не найден,master:food_system:ING0134,толстая тёмно-зелёная рыба с мелкой чешуёй и красным глазом,"кости Ст. Ладоги 0,09%",src:tarasov-2009-ladoga-fishing;src:fishbase,A,candidate,FishBase: май–сентябрь по широте; для северо-запада взяты июнь–июль по порогу 19–20 °C
fa_fish_crucian,Карась,карась,Carassius carassius,Crucian carp,Cyprinidae,omnivore,resident,cat:fauna.fish.omnivore,universal,,novgorod_land,novgorod_ilmen_core,wb_oxbow_lake;wb_floodplain_lake;wb_small_fresh_lake;wb_marsh_pool;wb_marsh_channel;wb_moat_water;wb_backwater;wb_freshwater_pond;wb_reservoir_impoundment,backwater;channel;floodplain_lake;lake;marsh_pool;moat;oxbow_lake;pond;reservoir,wb_oxbow_lake:common;wb_floodplain_lake:common;wb_small_fresh_lake:common;wb_marsh_pool:contextual;wb_marsh_channel:contextual;wb_moat_water:contextual;wb_backwater:contextual;wb_freshwater_pond:contextual;wb_reservoir_impoundment:contextual,"старицы, пойменные и малые озёра",winter;spring_rasputitsa;summer;autumn,41,5-6,spring_rasputitsa;summer,мелководье с густой травой,fishbase_months,fm_trap_versha;fm_drag_net_bredni;fm_hook_rod,master:n1230:material_item:fsh0005;master:n1230:material_item:fsh0016;master:n1230:material_item:fsh0015,не найден,master:food_system:ING0134,круглая золотистая рыба стоячих вод,чешуя в Ст. Ладоге (2 экз.),src:tarasov-2009-ladoga-fishing;src:fishbase,A,candidate,"Серебряный карась (C. gibelio) — не аборигенный, в набор не включён"
fa_fish_wels,Сом,сом,Silurus glanis,Wels catfish,Siluridae,predator,resident,cat:fauna.fish.predator,universal,,novgorod_land,novgorod_ilmen_core,wb_large_river;wb_large_fresh_lake;wb_medium_river;wb_backwater,backwater;lake;river,wb_large_river:contextual;wb_large_fresh_lake:rare;wb_medium_river:rare;wb_backwater:rare,Волхов; Ильмень,winter;spring_rasputitsa;summer;autumn,33,6,summer,гнёзда в мелководье у корней ив,general,fm_longline_peremet;fm_hook_rod;fm_spear_ostroga,master:n1230:material_item:fsh0023;master:n1230:material_item:fsh0006;master:n1230:material_item:fsh0004,в костях Ст. Ладоги 47–86 см,master:food_system:ING0139,огромная гладкая тёмная рыба с усами и широкой пастью,"кости Ст. Ладоги 0,39%; в списке основных промысловых (Тарасов); есть в Волхове и Ильмене, редок в остальном бассейне (Кудерский)",src:tarasov-2009-ladoga-fishing;src:kudersky-ladoga-ichthyofauna;src:fishbase,A,candidate,донный перемёт на сома — пример Тарасова для нижнего Волхова (совр.)
fa_fish_burbot,Налим,налим,Lota lota,Burbot,Lotidae,predator,resident,cat:fauna.fish.predator,universal,,novgorod_land,novgorod_ilmen_core,wb_large_river;wb_medium_river;wb_large_fresh_lake;wb_small_river;wb_river_channel;wb_brook;wb_rapid_section,channel;lake;river;river_section;stream,wb_large_river:common;wb_medium_river:common;wb_large_fresh_lake:common;wb_small_river:contextual;wb_river_channel:contextual;wb_brook:rare;wb_rapid_section:contextual,Волхов; Ильмень; Мста,winter;spring_rasputitsa;summer;autumn,45,12-2,winter,"подо льдом ночью клубком на дне, при воде ниже 6 °C",fishbase_months,fm_longline_peremet;fm_trap_versha;fm_under_ice;fm_hook_rod,master:n1230:material_item:fsh0023;master:n1230:material_item:fsh0005;master:n1230:material_item:fsh0031;master:n1230:material_item:fsh0006,не найден,master:food_system:ING0134,скользкая пятнистая рыба с одним усиком на подбородке,"кости Ст. Ладоги 0,09%; в списке основных промысловых (Тарасов)",src:tarasov-2009-ladoga-fishing;src:fishbase,A,candidate,"FishBase: ноябрь–март; взят центр зимы. ING0134 не подходит по семейству — ссылки на продукт нет, см. gaps"
fa_fish_smelt_snetok,Снеток (озёрная корюшка),"снеток; курва (корюшка, по Тарасову)",Osmerus eperlanus,European smelt (lake form),Osmeridae,planktivore,semi_migratory,cat:fauna.fish.planktivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river,lake;river,wb_large_fresh_lake:common;wb_large_river:contextual,Ильмень; Волхов,winter;spring_rasputitsa;summer;autumn,29,4-5,spring_rasputitsa,"у берегов и в устьях после ледохода, икра липнет ко дну",fishbase_months,fm_seine_nevod;fm_set_gillnet;fm_under_ice,master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0031,мелкая рыбка до ладони,master:food_system:ING0143,крошечная прозрачная рыбка с огуречным запахом,«снетенные» тони на нижнем Волхове в писцовых книгах XV в.; снеток и корюшка из Ладоги заходят в Волхов (Тарасов); ильменский снеток — по современным данным,src:tarasov-2009-ladoga-fishing;src:master-food-ingredients;src:fishbase,B,candidate,FishBase: февраль–май по температуре; взяты апрель–май после ледохода. Ильменская жилая форма для XIII в. — вывод
fa_fish_whitefish_sig,Сиг волховский (сиголов),сиг,Coregonus lavaretus,Volkhov whitefish,Salmonidae (Coregoninae),benthivore,anadromous_lake,cat:fauna.fish.benthivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_river;wb_medium_river;wb_large_fresh_lake;wb_rapid_section,lake;river;river_section,wb_large_river:contextual;wb_medium_river:contextual;wb_large_fresh_lake:rare;wb_rapid_section:contextual,Волхов; Мста; Ловать; Шелонь (ход через Ильмень),autumn;winter,15,11-12,winter;autumn,гравий у берега на мелководье; основные нерестилища — в Мсте,fishbase_months,fm_seine_nevod;fm_set_gillnet;fm_weir_zakol;fm_spear_ostroga,master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0025;master:n1230:material_item:fsh0004,в костях Ст. Ладоги 35 и 60 см,master:food_system:ING0140,серебристая рыба с маленьким ртом и жировым плавничком,"поднимался из Ладоги по Волхову в Шелонь, Ловать и Мсту до 1926 г.; кости и 943 чешуи в Ст. Ладоге; сиговые тони XV в.; сиг в берестяных грамотах (№ 147)",src:tarasov-2009-ladoga-fishing;src:rybina-novgorod-crafts;src:master-food-ingredients;src:fishbase,A,candidate,FishBase даёт декабрь; ход осенью — Тарасов (осенние тони). Присутствие только в сезон хода
fa_fish_vendace,Ряпушка,репукса (по Тарасову),Coregonus albula,Vendace,Salmonidae (Coregoninae),planktivore,anadromous_lake,cat:fauna.fish.planktivore,universal,,novgorod_land,lower_volkhov_ladoga,wb_large_river,river,wb_large_river:rare,нижний Волхов (из Ладоги),autumn,6,10-11,autumn,у берегов озёр на 3–10 м; в реки заходит стаями конец августа — октябрь,fishbase_season+ice_out_rule,fm_seine_nevod;fm_set_gillnet,master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0027,мелкая,,мелкая серебристая сиговая рыбка,«репукса» в новгородских источниках (Тарасов); ладожская рыба,src:tarasov-2009-ladoga-fishing;src:kudersky-ladoga-ichthyofauna;src:fishbase,B,candidate,"в Ильмене и у Новгорода не как живая рыба, а как привозной продукт"
fa_fish_salmon,Лосось,лосось,Salmo salar,Atlantic salmon (Ladoga),Salmonidae,predator,anadromous,cat:fauna.fish.predator,universal,,novgorod_land,lower_volkhov_ladoga,wb_large_river;wb_rapid_section,river;river_section,wb_large_river:rare;wb_rapid_section:rare,нижний Волхов и реки Ладоги,summer;autumn,12,10-11,autumn,быстрые перекаты на гравии,general,fm_weir_zakol;fm_spear_ostroga;fm_set_gillnet,master:n1230:material_item:fsh0025;master:n1230:material_item:fsh0004;master:n1230:material_item:fsh0027,"крупная; 67 лососей ≈ 360 кг в дани (грамота № 92, по Рыбиной)",master:food_system:ING0142,крупная серебристая рыба с чёрными крапинами,"лосось в берестяных грамотах, в т. ч. дань лососями (№ 92); аборигенный вид Ладожского бассейна (Кудерский)",src:rybina-novgorod-crafts;src:kudersky-ladoga-ichthyofauna;wk:biology_physiology:fauna-atlantic-salmon;src:fishbase;claim:fauna-salmon-anadromy,B,candidate,ход лосося выше волховских порогов к Новгороду не подтверждён; у Новгорода — привозной продукт
fa_fish_brown_trout,Кумжа / ручьевая форель,,Salmo trutta,Brown trout,Salmonidae,predator,resident_or_lake_migratory,cat:fauna.fish.predator,universal,,novgorod_land,novgorod_ilmen_core,wb_brook;wb_rapid_section;wb_small_river,river;river_section;stream,wb_brook:rare;wb_rapid_section:rare;wb_small_river:rare,холодные ручьи и порожистые участки,winter;spring_rasputitsa;summer;autumn,32,10-11,autumn,быстрые ручьи на гравии,general,fm_hook_rod;fm_spear_ostroga;fm_trap_versha,master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0004;master:n1230:material_item:fsh0005,не найден,master:food_system:ING0142,пятнистая рыба с красными точками,аборигенный вид бассейна (Кудерский); новгородских средневековых свидетельств не найдено,src:kudersky-ladoga-ichthyofauna;src:fishbase,C,candidate,
fa_fish_grayling,Хариус,,Thymallus thymallus,Grayling,Salmonidae (Thymallinae),insectivore,resident,cat:fauna.fish.insectivore,universal,,novgorod_land,novgorod_ilmen_core,wb_rapid_section;wb_brook;wb_small_river,river;river_section;stream,wb_rapid_section:contextual;wb_brook:rare;wb_small_river:rare,Мста (пороги); холодные ручьи,winter;spring_rasputitsa;summer;autumn,32,4-5,spring_rasputitsa,перекаты на гравии,general,fm_hook_rod;fm_trap_versha,master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0005,не найден,master:food_system:ING0142,рыба с высоким пёстрым спинным плавником-«флагом»,аборигенный вид бассейна (Кудерский); порожистая Мста — место обитания по современным данным,src:kudersky-ladoga-ichthyofauna;src:fishbase,C,candidate,
