fpr_id,fa_id,taxon_table,scope_kind,pf_id,region_id,subregion_scope,season_period,frequency_class,weight,activity_state,basis,rule_ref,source_refs,confidence,status
fpr_fa_amph_common_frog__floodplain_meadow__autumn,fa_amph_common_frog,invertebrates_herps,place_family,floodplain_meadow,novgorod_land,novgorod_ilmen_core,autumn,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__floodplain_meadow__spring_rasputitsa,fa_amph_common_frog,invertebrates_herps,place_family,floodplain_meadow,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__floodplain_meadow__summer,fa_amph_common_frog,invertebrates_herps,place_family,floodplain_meadow,novgorod_land,novgorod_ilmen_core,summer,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__forest_edge__autumn,fa_amph_common_frog,invertebrates_herps,place_family,forest_edge,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__forest_edge__summer,fa_amph_common_frog,invertebrates_herps,place_family,forest_edge,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__forest_track__autumn,fa_amph_common_frog,invertebrates_herps,place_family,forest_track,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__forest_track__summer,fa_amph_common_frog,invertebrates_herps,place_family,forest_track,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__hay_meadow__autumn,fa_amph_common_frog,invertebrates_herps,place_family,hay_meadow,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__hay_meadow__summer,fa_amph_common_frog,invertebrates_herps,place_family,hay_meadow,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__hunting_ground__autumn,fa_amph_common_frog,invertebrates_herps,place_family,hunting_ground,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__hunting_ground__summer,fa_amph_common_frog,invertebrates_herps,place_family,hunting_ground,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__lake_shore__autumn,fa_amph_common_frog,invertebrates_herps,place_family,lake_shore,novgorod_land,novgorod_ilmen_core,autumn,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__lake_shore__spring_rasputitsa,fa_amph_common_frog,invertebrates_herps,place_family,lake_shore,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__lake_shore__summer,fa_amph_common_frog,invertebrates_herps,place_family,lake_shore,novgorod_land,novgorod_ilmen_core,summer,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__lake_shore__winter,fa_amph_common_frog,invertebrates_herps,place_family,lake_shore,novgorod_land,novgorod_ilmen_core,winter,contextual,2,dormant,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__marshy_stream__autumn,fa_amph_common_frog,invertebrates_herps,place_family,marshy_stream,novgorod_land,novgorod_ilmen_core,autumn,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__marshy_stream__spring_rasputitsa,fa_amph_common_frog,invertebrates_herps,place_family,marshy_stream,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__marshy_stream__summer,fa_amph_common_frog,invertebrates_herps,place_family,marshy_stream,novgorod_land,novgorod_ilmen_core,summer,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__marshy_stream__winter,fa_amph_common_frog,invertebrates_herps,place_family,marshy_stream,novgorod_land,novgorod_ilmen_core,winter,contextual,2,dormant,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__mixed_woodland__autumn,fa_amph_common_frog,invertebrates_herps,place_family,mixed_woodland,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__mixed_woodland__summer,fa_amph_common_frog,invertebrates_herps,place_family,mixed_woodland,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__orchard_garden__autumn,fa_amph_common_frog,invertebrates_herps,place_family,orchard_garden,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__orchard_garden__summer,fa_amph_common_frog,invertebrates_herps,place_family,orchard_garden,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__pasture__autumn,fa_amph_common_frog,invertebrates_herps,place_family,pasture,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__pasture__summer,fa_amph_common_frog,invertebrates_herps,place_family,pasture,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__river_channel__autumn,fa_amph_common_frog,invertebrates_herps,place_family,river_channel,novgorod_land,novgorod_ilmen_core,autumn,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__river_channel__spring_rasputitsa,fa_amph_common_frog,invertebrates_herps,place_family,river_channel,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__river_channel__summer,fa_amph_common_frog,invertebrates_herps,place_family,river_channel,novgorod_land,novgorod_ilmen_core,summer,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__river_wharf__autumn,fa_amph_common_frog,invertebrates_herps,place_family,river_wharf,novgorod_land,novgorod_ilmen_core,autumn,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__river_wharf__spring_rasputitsa,fa_amph_common_frog,invertebrates_herps,place_family,river_wharf,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__river_wharf__summer,fa_amph_common_frog,invertebrates_herps,place_family,river_wharf,novgorod_land,novgorod_ilmen_core,summer,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__riverbank__autumn,fa_amph_common_frog,invertebrates_herps,place_family,riverbank,novgorod_land,novgorod_ilmen_core,autumn,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__riverbank__spring_rasputitsa,fa_amph_common_frog,invertebrates_herps,place_family,riverbank,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__riverbank__summer,fa_amph_common_frog,invertebrates_herps,place_family,riverbank,novgorod_land,novgorod_ilmen_core,summer,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_toad__bog__spring_rasputitsa,fa_amph_common_toad,invertebrates_herps,place_family,bog,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__broadleaf_woodland__autumn,fa_amph_common_toad,invertebrates_herps,place_family,broadleaf_woodland,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__broadleaf_woodland__summer,fa_amph_common_toad,invertebrates_herps,place_family,broadleaf_woodland,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__cellar_granary__autumn,fa_amph_common_toad,invertebrates_herps,place_family,cellar_granary,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__cellar_granary__summer,fa_amph_common_toad,invertebrates_herps,place_family,cellar_granary,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__conifer_woodland__autumn,fa_amph_common_toad,invertebrates_herps,place_family,conifer_woodland,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__conifer_woodland__summer,fa_amph_common_toad,invertebrates_herps,place_family,conifer_woodland,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__ferry_landing__spring_rasputitsa,fa_amph_common_toad,invertebrates_herps,place_family,ferry_landing,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__fishing_camp__spring_rasputitsa,fa_amph_common_toad,invertebrates_herps,place_family,fishing_camp,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__floodplain_meadow__spring_rasputitsa,fa_amph_common_toad,invertebrates_herps,place_family,floodplain_meadow,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__forest_edge__autumn,fa_amph_common_toad,invertebrates_herps,place_family,forest_edge,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__forest_edge__summer,fa_amph_common_toad,invertebrates_herps,place_family,forest_edge,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__forest_track__autumn,fa_amph_common_toad,invertebrates_herps,place_family,forest_track,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__forest_track__summer,fa_amph_common_toad,invertebrates_herps,place_family,forest_track,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__hunting_ground__autumn,fa_amph_common_toad,invertebrates_herps,place_family,hunting_ground,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__hunting_ground__summer,fa_amph_common_toad,invertebrates_herps,place_family,hunting_ground,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__lake_shore__spring_rasputitsa,fa_amph_common_toad,invertebrates_herps,place_family,lake_shore,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__marshy_stream__spring_rasputitsa,fa_amph_common_toad,invertebrates_herps,place_family,marshy_stream,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__mixed_woodland__autumn,fa_amph_common_toad,invertebrates_herps,place_family,mixed_woodland,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__mixed_woodland__summer,fa_amph_common_toad,invertebrates_herps,place_family,mixed_woodland,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
fpr_fa_amph_common_toad__orchard_garden__autumn,fa_amph_common_toad,invertebrates_herps,place_family,orchard_garden,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate
