hc_id,household_profile_ref,household_type,wealth_band,species_ref,min_count,max_count,count_unit,conditional,ownership_state,rule_ref,source_text,source_refs,confidence,status
hc_wealth_merchant_yard__cat,wealth_merchant_yard,merchant_household,prosperous,fa_dom_cat,0,1,head,true,,HERD-CAT,лошади; сани; лодка при контексте,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_merchant_yard__horse,wealth_merchant_yard,merchant_household,prosperous,fa_dom_horse,1,2,head,false,,"HERD-PROSPEROUS (min >=1, max = 2 x anchor)",лошади; сани; лодка при контексте,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_boyar_yard__cat,wealth_boyar_yard,elite_household,elite,fa_dom_cat,0,1,head,true,,HERD-CAT,лошади; крупный скот; служебные животные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_boyar_yard__cattle,wealth_boyar_yard,elite_household,elite,fa_dom_cattle,3,,head,false,,HERD-ELITE (min = anchor max; max open: size set by estate/scene),лошади; крупный скот; служебные животные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_boyar_yard__dog,wealth_boyar_yard,elite_household,elite,fa_dom_dog,1,,head,false,,HERD-ELITE (min = anchor max; max open: size set by estate/scene),лошади; крупный скот; служебные животные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_boyar_yard__horse,wealth_boyar_yard,elite_household,elite,fa_dom_horse,1,,head,false,,HERD-ELITE (min = anchor max; max open: size set by estate/scene),лошади; крупный скот; служебные животные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_monastery_yard__cat,wealth_monastery_yard,monastery_household,elite,fa_dom_cat,0,1,head,true,,HERD-CAT,скот монастырского хозяйства,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_monastery_yard__cattle,wealth_monastery_yard,monastery_household,elite,fa_dom_cattle,3,,head,false,,HERD-ELITE (min = anchor max; max open: size set by estate/scene),скот монастырского хозяйства,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_monastery_yard__pig,wealth_monastery_yard,monastery_household,elite,fa_dom_pig,2,,head,false,,HERD-ELITE (min = anchor max; max open: size set by estate/scene),скот монастырского хозяйства,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_monastery_yard__sheep,wealth_monastery_yard,monastery_household,elite,fa_dom_sheep,8,,head,false,,HERD-ELITE (min = anchor max; max open: size set by estate/scene),скот монастырского хозяйства,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_church_yard__cat,wealth_church_yard,church_household,ordinary,fa_dom_cat,0,1,head,true,,HERD-CAT,small_livestock_if_attached_household,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_church_yard__goat,wealth_church_yard,church_household,ordinary,fa_dom_goat,0,1,head,true,,HERD-ANCHOR; COND (min 0),small_livestock_if_attached_household,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_church_yard__sheep,wealth_church_yard,church_household,ordinary,fa_dom_sheep,0,8,head,true,,HERD-ANCHOR; COND (min 0),small_livestock_if_attached_household,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_resource_camp__dog,wealth_resource_camp,resource_camp,camp,fa_dom_dog,0,,head,true,,"HERD-CAMP (travel/work animals, max open by party); COND (min 0)",собака при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_temporary_road_camp__cattle,wealth_temporary_road_camp,temporary_camp,camp,fa_dom_cattle,0,,head,false,,"HERD-CAMP (travel/work animals, max open by party)",лошади; волы; собаки при контексте,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_temporary_road_camp__dog,wealth_temporary_road_camp,temporary_camp,camp,fa_dom_dog,0,,head,true,,"HERD-CAMP (travel/work animals, max open by party); COND (min 0)",лошади; волы; собаки при контексте,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_temporary_road_camp__horse,wealth_temporary_road_camp,temporary_camp,camp,fa_dom_horse,0,,head,false,,"HERD-CAMP (travel/work animals, max open by party)",лошади; волы; собаки при контексте,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ruined_yard__cat,wealth_ruined_yard,ruined_household,poor,fa_dom_cat,0,1,head,true,,HERD-CAT,потеряны или единичные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_ruined_yard__cattle,wealth_ruined_yard,ruined_household,poor,fa_dom_cattle,0,1,head,true,,HERD-RUINED (0..1 of the ordinary set),потеряны или единичные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ruined_yard__chicken,wealth_ruined_yard,ruined_household,poor,fa_dom_chicken,0,1,гнездо (наседка с выводком/несушки),true,,HERD-RUINED (0..1 of the ordinary set),потеряны или единичные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ruined_yard__horse,wealth_ruined_yard,ruined_household,poor,fa_dom_horse,0,1,head,true,,HERD-RUINED (0..1 of the ordinary set),потеряны или единичные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ruined_yard__pig,wealth_ruined_yard,ruined_household,poor,fa_dom_pig,0,1,head,true,,HERD-RUINED (0..1 of the ordinary set),потеряны или единичные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ruined_yard__sheep,wealth_ruined_yard,ruined_household,poor,fa_dom_sheep,0,1,head,true,,HERD-RUINED (0..1 of the ordinary set),потеряны или единичные,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_burned_yard__cat,wealth_burned_yard,burned_household,poor,fa_dom_cat,0,1,head,true,,HERD-CAT,уцелевший скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_burned_yard__cattle,wealth_burned_yard,burned_household,poor,fa_dom_cattle,0,1,head,true,,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",уцелевший скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_burned_yard__pig,wealth_burned_yard,burned_household,poor,fa_dom_pig,0,1,head,true,,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",уцелевший скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_burned_yard__sheep,wealth_burned_yard,burned_household,poor,fa_dom_sheep,0,4,head,true,,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",уцелевший скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_widow_yard__cat,wealth_widow_yard,widow_household,poor,fa_dom_cat,0,1,head,true,,HERD-CAT,мелкий скот; корова при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_widow_yard__cattle,wealth_widow_yard,widow_household,poor,fa_dom_cattle,0,1,head,true,,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",мелкий скот; корова при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_widow_yard__goat,wealth_widow_yard,widow_household,poor,fa_dom_goat,0,1,head,false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",мелкий скот; корова при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_widow_yard__sheep,wealth_widow_yard,widow_household,poor,fa_dom_sheep,0,4,head,false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",мелкий скот; корова при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_dependent_yard__none,wealth_dependent_yard,dependent_household,none,none,0,0,head,false,not_owned_or_disputed,HERD-NONE,животные обычно не личные или спорные,src:rus13tpl-household-wealth,C,candidate
hc_wealth_fisher_yard__cat,wealth_fisher_yard,fisher_household,poor,fa_dom_cat,0,1,head,true,,HERD-CAT,лодка; собака; птица,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_fisher_yard__chicken,wealth_fisher_yard,fisher_household,poor,fa_dom_chicken,0,1,гнездо (наседка с выводком/несушки),false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",лодка; собака; птица,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_fisher_yard__dog,wealth_fisher_yard,fisher_household,poor,fa_dom_dog,0,1,head,false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",лодка; собака; птица,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_boatman_yard__cat,wealth_boatman_yard,water_transport_household,poor,fa_dom_cat,0,1,head,true,,HERD-CAT,лошадь редко; собака,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_boatman_yard__dog,wealth_boatman_yard,water_transport_household,poor,fa_dom_dog,0,1,head,false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",лошадь редко; собака,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_boatman_yard__horse,wealth_boatman_yard,water_transport_household,poor,fa_dom_horse,0,1,head,true,,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",лошадь редко; собака,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_hunter_promysel_yard__cat,wealth_hunter_promysel_yard,forest_household,poor,fa_dom_cat,0,1,head,true,,HERD-CAT,собака; мелкий скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_hunter_promysel_yard__dog,wealth_hunter_promysel_yard,forest_household,poor,fa_dom_dog,0,1,head,false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",собака; мелкий скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_hunter_promysel_yard__goat,wealth_hunter_promysel_yard,forest_household,poor,fa_dom_goat,0,1,head,false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",собака; мелкий скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_hunter_promysel_yard__sheep,wealth_hunter_promysel_yard,forest_household,poor,fa_dom_sheep,0,4,head,false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",собака; мелкий скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_pogost_service_yard__cat,wealth_pogost_service_yard,pogost_service_household,ordinary,fa_dom_cat,0,1,head,true,,HERD-CAT,рабочий скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_pogost_service_yard__cattle,wealth_pogost_service_yard,pogost_service_household,ordinary,fa_dom_cattle,0,3,head,true,,HERD-ANCHOR; COND (min 0),рабочий скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_guest_yard__cat,wealth_guest_yard,guest_lodging_household,ordinary,fa_dom_cat,0,1,head,true,,HERD-CAT,лошади постояльцев; собственный скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_guest_yard__cattle,wealth_guest_yard,guest_lodging_household,ordinary,fa_dom_cattle,1,3,head,false,,HERD-ANCHOR,лошади постояльцев; собственный скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_guest_yard__pig,wealth_guest_yard,guest_lodging_household,ordinary,fa_dom_pig,0,2,head,false,,HERD-ANCHOR,лошади постояльцев; собственный скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_guest_yard__sheep,wealth_guest_yard,guest_lodging_household,ordinary,fa_dom_sheep,0,8,head,false,,HERD-ANCHOR,лошади постояльцев; собственный скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_elderly_household__cat,wealth_elderly_household,elderly_household,poor,fa_dom_cat,0,1,head,true,,HERD-CAT,мелкий скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_elderly_household__goat,wealth_elderly_household,elderly_household,poor,fa_dom_goat,0,1,head,false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",мелкий скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_elderly_household__sheep,wealth_elderly_household,elderly_household,poor,fa_dom_sheep,0,4,head,false,,"HERD-POOR (max = floor(anchor/2), >=1; min 0)",мелкий скот,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_orphaned_household__cat,wealth_orphaned_household,orphaned_or_guarded_household,poor,fa_dom_cat,0,1,head,true,disputed,HERD-CAT,скот под спором,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_orphaned_household__cattle,wealth_orphaned_household,orphaned_or_guarded_household,poor,fa_dom_cattle,0,1,head,true,disputed,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",скот под спором,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_orphaned_household__pig,wealth_orphaned_household,orphaned_or_guarded_household,poor,fa_dom_pig,0,1,head,true,disputed,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",скот под спором,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_orphaned_household__sheep,wealth_orphaned_household,orphaned_or_guarded_household,poor,fa_dom_sheep,0,4,head,true,disputed,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",скот под спором,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_debt_burdened_yard__cat,wealth_debt_burdened_yard,debt_burdened_household,poor,fa_dom_cat,0,1,head,true,seizable,HERD-CAT,скот под угрозой изъятия,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_debt_burdened_yard__cattle,wealth_debt_burdened_yard,debt_burdened_household,poor,fa_dom_cattle,0,1,head,true,seizable,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",скот под угрозой изъятия,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_debt_burdened_yard__pig,wealth_debt_burdened_yard,debt_burdened_household,poor,fa_dom_pig,0,1,head,true,seizable,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",скот под угрозой изъятия,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_debt_burdened_yard__sheep,wealth_debt_burdened_yard,debt_burdened_household,poor,fa_dom_sheep,0,4,head,true,seizable,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",скот под угрозой изъятия,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
