fa_id,name_ru,name_lat,name_en,group,category_ref,taxon_scope,region_id,presence_region_id,flying,blood_feeding,nuisance_or_danger,perceptual_cues,season_peak,uses,active_seasons,habitat_presence_count,source_refs,confidence,status,notes
fa_ins_blackflies,Мошка,Simuliidae,Black flies,insect,cat:fauna.insect,universal,,novgorod_land,true,true,"болезненные укусы, отёки; мучает скот",мелкая чёрная мошкара лезет в глаза и за ворот днём у текучей воды,"начало лета, днём",,spring_rasputitsa;summer,10,claim:macro-b1819-blood-feeding-flies-can-provoke-defensive-behavior-in-cattle;wp:Мошки,C,candidate,личинки только в текущей воде — общая биология; видового источника нет
fa_ins_horseflies,Слепни и оводы,Tabanidae,Horse-flies,insect,cat:fauna.insect,universal,,novgorod_land,true,true,"болезненные укусы; скот сбивается в кучу, бьёт хвостами, бежит",жужжащие крупные мухи кружат вокруг лошадей в жаркий полдень,"июль, жаркие солнечные дни",,summer,8,wk:biology_physiology:macro-b1819-cattle-blood-feeding-flies;claim:macro-b1819-blood-feeding-flies-can-provoke-defensive-behavior-in-cattle,B,candidate,
fa_ins_biting_midges,Мокрецы,Ceratopogonidae,Biting midges,insect,cat:fauna.insect,universal,,novgorod_land,true,true,жгучие укусы в безветрие,невидимые мелкие жгучие укусы в тихий вечер у болота,летние вечера,,summer,3,wp:Мокрецы,C,candidate,источник по группе не найден (gap)
fa_arach_ticks,Клещи,Ixodidae (Ixodes),Ticks,arachnid,cat:fauna.arachnid,universal,,novgorod_land,false,true,присасывается; болезни не выводить,"клещ на одежде или на шее после травы и кустов, впивается в скот",май–июнь и конец лета,,spring_rasputitsa;summer;autumn,25,wk:biology_physiology:fauna-tick;claim:fauna-tick-questing;claim:fauna-tick-senses;claim:fauna-tick-feeding,B,candidate,
fa_ann_leeches,Пиявки,"Hirudinea (Hirudo, Haemopis и др.)",Leeches,annelid,cat:fauna.annelid,universal,,novgorod_land,false,true,присасываются к ногам в стоячей воде,чёрная пиявка на голени после брода через заводь,лето,,summer,6,wp:Пиявки,C,candidate,источник не найден (gap)
fa_ins_head_louse,Вошь головная,Pediculus humanus capitis,Head louse,insect,cat:fauna.insect,universal,,novgorod_land,false,true,зуд; вычёсывают частым гребнем,"чешут голову, вычёсывают гнид двусторонним частым гребнем","круглый год, сильнее зимой в тесноте",,winter;spring_rasputitsa;summer;autumn,16,src:master-material-culture;wp:Головная_вошь,C,candidate,прямых новгородских энтомологических данных не найдено; двусторонние гребни — массовая находка (связь с вычёсыванием — вывод)
fa_ins_body_louse,Вошь платяная,Pediculus humanus humanus,Body louse,insect,cat:fauna.insect,universal,,novgorod_land,false,true,зуд; держится в швах одежды,"прожаривают одежду в бане, выбирают из швов","зима, голод, дорога",,winter;spring_rasputitsa;summer;autumn,12,wp:Платяная_вошь,C,candidate,источник не найден (gap)
fa_ins_fleas,Блохи,Pulex irritans; Ctenocephalides spp.,Fleas,insect,cat:fauna.insect,universal,,novgorod_land,false,true,"укусы; держатся на собаках, кошках и в подстилке","красные точки укусов, собака чешется",тёплое время,,winter;spring_rasputitsa;summer;autumn,10,wp:Человеческая_блоха,C,candidate,источник не найден (gap)
fa_ins_bedbug,Клоп постельный,Cimex lectularius,Bed bug,insect,cat:fauna.insect,universal,,novgorod_land,false,true,ночные укусы,"сладковатый запах, укусы рядком по утрам",тёплая изба,,,4,wp:Постельный_клоп,C,candidate,датировка появления на Руси не подтверждена — только rare до проверки
fa_ins_house_fly,Муха комнатная,Musca domestica,House fly,insect,cat:fauna.insect,universal,,novgorod_land,true,false,"садится на пищу, рыбу, навоз","гуд мух над навозом, рыбой на вешалах и открытой пищей",лето,,spring_rasputitsa;summer;autumn,16,claim:research-exposed-fish-drying-depends-on-sun-heat-air-movement-and-invites-pests;wp:Комнатная_муха,C,candidate,видового источника нет; привлечение вредителей к вялящейся рыбе — WK
fa_ins_stable_fly,Муха-жигалка,Stomoxys calcitrans,Stable fly,insect,cat:fauna.insect,universal,,novgorod_land,true,true,кусает скот и людей в хлеву,кусачая муха в хлеву перед дождём,конец лета,,summer,3,claim:macro-b1819-blood-feeding-flies-can-provoke-defensive-behavior-in-cattle;wp:Осенняя_жигалка,C,candidate,
fa_ins_granary_weevil,Амбарный долгоносик,Sitophilus granarius,Granary weevil,insect,cat:fauna.insect,universal,,novgorod_land,false,false,портит зерно,"источенное зерно с мукой-трухой, мелкие бурые жучки",тёплое хранение,,winter;spring_rasputitsa;summer;autumn,16,wp:Амбарный_долгоносик,C,candidate,распространялся с хлебной торговлей в средневековой Европе; новгородские находки не проверены (gap)
fa_mamm_house_mouse,Мышь домовая,Mus musculus,House mouse,rodent_pest,cat:fauna.rodent_pest,universal,,novgorod_land,false,false,"портит запасы, грызёт мешки и кожу","шорох ночью, помёт и погрызы у ларя, запах мышей",осень–зима у запасов,,winter;spring_rasputitsa;summer;autumn,28,wk:biology_physiology:research-rodent-store-access;claim:research-rodents-are-drawn-to-available-food-water-and-nesting-sites;claim:research-enclosing-food-and-sealing-openings-can-reduce-rodent-access;master:n1230:material_item:liv0001;wp:Домовая_мышь,B,candidate,"кошка «для борьбы с грызунами» (MASTER LIV0001, A) косвенно подтверждает грызунов в дворах"
fa_mamm_striped_field_mouse,Мышь полевая,Apodemus agrarius,Striped field mouse,rodent_pest,cat:fauna.rodent_pest,universal,,novgorod_land,false,false,портит снопы и зерно в скирдах и овинах,"чёрная полоска по спине; норки на меже, ходы в снопах",уборка и зима,,winter;summer;autumn,12,claim:research-rodents-are-drawn-to-available-food-water-and-nesting-sites;wp:Полевая_мышь,C,candidate,видового источника нет
fa_mamm_voles,Полёвки,"Microtus spp., Myodes glareolus",Voles,rodent_pest,cat:fauna.rodent_pest,universal,,novgorod_land,false,false,портят стога и корни,"ходы под снегом, объеденные стога весной",годы «мышиных напастей»,,winter;spring_rasputitsa;summer;autumn,22,claim:research-rodents-are-drawn-to-available-food-water-and-nesting-sites;wp:Полёвки,C,candidate,видового источника нет
fa_mamm_black_rat,Крыса чёрная,Rattus rattus,Black rat,rodent_pest,cat:fauna.rodent_pest,universal,,novgorod_land,false,false,портит запасы,крупный тёмный грызун у пристани и в торговых клетях,—,,,12,src:askeyev-2021-black-rat;wp:Чёрная_крыса,C,candidate,в средневековье известна в Поволжье по торговым путям (Аскеев 2021); для Новгорода находок не найдено — только rare в городе и на пристанях до проверки. Серая крыса — анахронизм (denylist)
fa_ins_honeybee,"Пчела медоносная (лесная, бортевая)",Apis mellifera,Honey bee,insect,cat:fauna.insect,universal,,novgorod_land,true,false,жалит при тревоге у гнезда; дым снижает защиту,"гул у дупла-борти, пчёлы на цветах лугов и лип","лето, липовый цвет","мёд, воск (бортничество)",spring_rasputitsa;summer;autumn,15,wk:biology_physiology:fauna-honeybee;claim:fauna-bee-winter-cluster;claim:fauna-bee-swarming;claim:fauna-bee-diurnal;claim:agriculture-fauna-borts-honey;claim:agriculture-fauna-borts-wax;claim:static-bee-smoke-b09-smoke-can-temporarily-reduce-alarm-pheromone-perception-and-defense;claim:research-honeybee-foraging-requires-suitable-light-temperature-and-weather,A,candidate,зимой клуб в дупле — dormant; пасечных ульев как нормы для 1230 не выводить
fa_ins_bumblebees,Шмели,Bombus spp.,Bumblebees,insect,cat:fauna.insect,universal,,novgorod_land,true,false,жалит редко,басовитое жужжание над клевером,лето,,spring_rasputitsa;summer,9,wp:Шмели,C,candidate,источник не найден (gap)
fa_ins_wasps,Осы и шершни,"Vespula spp., Vespa crabro",Wasps and hornets,insect,cat:fauna.insect,universal,,novgorod_land,true,false,жалят у гнезда и у сладкого,"осы над мёдом, рыбой и падалицей; серое бумажное гнездо под стрехой",конец лета,,summer;autumn,12,wp:Осы;wp:Шершень_обыкновенный,C,candidate,источник не найден (gap)
fa_ins_wood_ants,Муравьи рыжие лесные,Formica rufa group,Red wood ants,insect,cat:fauna.insect,universal,,novgorod_land,false,false,"кусают, брызжут кислотой","большие хвойные муравейники у тропы, муравьиная дорожка",лето,,spring_rasputitsa;summer;autumn,14,wk:biology_physiology:ant-brood-care-and-relocation;claim:place-ant-workers-tend-immature-stages-and-some-larvae-form-cocoons,B,candidate,
fa_ins_dragonflies,Стрекозы,Odonata,Dragonflies,insect,cat:fauna.insect,universal,,novgorod_land,true,false,нет,"шорох крыльев над водой, пустые шкурки личинок на тростнике",солнечное лето,,summer,11,wk:biology_physiology:fauna-dragonfly;claim:fauna-dragonfly-lifecycle;claim:fauna-dragonfly-emergence;claim:fauna-dragonfly-adult-foraging,B,candidate,
fa_ins_mayflies,Подёнки,Ephemeroptera,Mayflies,insect,cat:fauna.insect,universal,,novgorod_land,true,false,нет,"вечерние рои над рекой, рыба «плавится» на поверхности",начало лета,корм рыбе,summer,4,wp:Подёнки,C,candidate,источник не найден (gap)
fa_ins_butterflies,"Бабочки (крапивница, лимонница, капустница и др.)","Lepidoptera (Aglais urticae, Gonepteryx rhamni, Pieris brassicae)",Butterflies,insect,cat:fauna.insect,universal,,novgorod_land,true,false,гусеницы капустницы объедают капусту,первая жёлтая лимонница в апреле; белянки над огородами,лето,,spring_rasputitsa;summer,9,wp:Крапивница_(бабочка);wp:Лимонница;wp:Капустная_белянка,C,candidate,источник не найден (gap)
fa_ins_cockchafer,Майский жук,Melolontha spp.,Cockchafer,insect,cat:fauna.insect,universal,,novgorod_land,true,false,личинки подгрызают корни,гудящие жуки в майских сумерках у берёз,май,,spring_rasputitsa;summer,8,wp:Майские_хрущи,C,candidate,источник не найден (gap)
fa_ins_dung_beetles,Навозники,"Geotrupidae, Aphodius spp.",Dung beetles,insect,cat:fauna.insect,universal,,novgorod_land,true,false,нет,жуки в коровьих лепёшках на выгоне и дороге,лето,,summer,4,wp:Навозники,C,candidate,источник не найден (gap)
fa_ins_grasshoppers,Кузнечики и кобылки,"Tettigoniidae, Acrididae",Grasshoppers,insect,cat:fauna.insect,universal,,novgorod_land,true,false,нет,стрекот в сухой траве в жару,вторая половина лета,наживка,summer;autumn,10,wp:Настоящие_кузнечики,C,candidate,источник не найден (gap)
fa_ins_glowworm,Светлячок,Lampyris noctiluca,Glow-worm,insect,cat:fauna.insect,universal,,novgorod_land,false,false,нет,зелёные огоньки в траве тёплой июльской ночью,"июль, ночь",,summer,3,wp:Обыкновенный_светляк,C,candidate,источник не найден (gap); flying=False — светятся бескрылые самки
fa_ins_bark_beetles,Короеды,Scolytinae (Ips typographus и др.),Bark beetles,insect,cat:fauna.insect,universal,,novgorod_land,true,false,портят ель и сложенный лес,"ходы-узоры под корой, бурая мука у комля",лето,,summer,2,wp:Короед-типограф,C,candidate,источник не найден (gap)
fa_ins_aphids,Тля,Aphidoidea,Aphids,insect,cat:fauna.insect,universal,,novgorod_land,false,false,сосёт соки огородных растений,"липкие листья, муравьи пасут тлю",лето,,summer,3,wp:Тли,C,candidate,в WK упоминается как группа (flora-fauna.json); claim id не найден
fa_arach_cross_spider,Паук-крестовик,Araneus diadematus,Cross spider,arachnid,cat:fauna.arachnid,universal,,novgorod_land,false,false,нет,"круглые сети в росе по утрам в конце лета, паутинки летят по ветру осенью",конец лета–осень,,summer;autumn,10,wk:biology_physiology:fauna-cross-spider;claim:fauna-cross-spider-web;claim:fauna-cross-spider-ballooning;claim:fauna-cross-spider-egg-sac,B,candidate,
fa_ann_earthworms,Дождевые черви,Lumbricidae,Earthworms,annelid,cat:fauna.annelid,universal,,novgorod_land,false,false,нет,выползают на дорогу после дождя,влажная тёплая погода,наживка,spring_rasputitsa;summer;autumn,29,wk:biology_physiology:fauna-earthworm;claim:fauna-earthworm-weather;claim:static-bait-b11-natural-freshwater-animal-bait-can-include-worms-minnows-or-crayfish,B,candidate,
fa_moll_snails_slugs,Улитки и слизни,Gastropoda terrestria,Snails and slugs,mollusc,cat:fauna.mollusc,universal,,novgorod_land,false,false,объедают капусту,"блестящие следы слизи, дырявые листья капусты после дождя",влажное лето,,summer;autumn,8,wk:biology_physiology:snail-slug-moisture-and-leaf-feeding;claim:place-garden-snails-and-slugs-can-favor-moist-sheltered-conditions;claim:place-garden-snails-and-slugs-can-feed-on-cabbage-leaves-and-leave-irregular-holes,B,candidate,
fa_moll_pond_snails,Прудовики и катушки,"Lymnaeidae, Planorbidae",Pond snails,mollusc,cat:fauna.mollusc,universal,,novgorod_land,false,false,нет,витые раковинки на подводных листьях и на берегу,лето,,summer,4,wp:Прудовики,C,candidate,источник не найден (gap)
fa_moll_river_mussels,Беззубки и перловицы,"Anodonta spp., Unio spp.",Swan and painter's mussels,mollusc,cat:fauna.mollusc,universal,,novgorod_land,false,false,нет,"створки раковин на песчаной отмели, борозды в иле",лето,створки как скребки/черпачки (проверить),summer;autumn,6,claim:static-bait-b11-mollusc-soft-tissue-can-be-bait-in-some-freshwater-angling-contexts;wp:Беззубки;wp:Перловицы,C,candidate,видового источника нет
fa_moll_pearl_mussel,Жемчужница пресноводная,Margaritifera margaritifera,Freshwater pearl mussel,mollusc,cat:fauna.mollusc,universal,,novgorod_land,false,false,нет,тёмные толстые раковины в чистой быстрой реке с галечным дном,лето,речной жемчуг (редко),summer,2,wk:biology_physiology:fauna-pearl-mussel;claim:fauna-mussel-filtration;claim:fauna-mussel-fish-host,C,candidate,нужны чистые реки с лососем или кумжей; для рек стартовой территории сомнительна — только rare
