source_id,title,source_type,url,description,supports,trust_level,notes
SRC024,А.Ф. Медведев. «Ручное метательное оружие VIII–XIV вв.»,научный археологический свод,https://archaeolog.ru/el-bib/el-cat/el-series/svod-arch/sai-e1-36_1966,"Академический свод луков, стрел и иных метательных средств по археологическим данным.",лук; стрелы; наконечники; колчан; охота и война,A–B / высокий,Органические детали лука/колчана реконструируются по совокупности источников.
SRC025,Церковь Спаса Преображения на Нередице: официальный музейный материал,первичная/почти первичная иконография,https://novgorodmuseum.ru/muzei/cerkov-spasa-v-neredicah,"Новгородский храм 1198 г., расписанный в 1199 г.; сохранившаяся и документированная монументальная живопись близкой эпохи.",общие силуэты одежд; плащи; церковное облачение; цветовые сочетания,A–B / высокий,"Иконография условна, сакральна и не является выкройкой; довоенные фотографии и реконструированные фрагменты следует различать."
SRC026,Wikimedia Commons: Nereditsa frescoes,репродукция первичной иконографии,https://commons.wikimedia.org/wiki/File:Nereditsa.jpg,Публично доступная репродукция фресок Нередицы; полезна как визуальный ориентир по складкам и силуэтам.,иконография; визуальный референс,B / высокий при правильной атрибуции,Проверять подпись конкретного файла и не смешивать оригинальную фреску с поздней копией/реставрацией.
SRC027,Wikimedia Commons: Mstislav Gospel,репродукция рукописной иконографии,https://commons.wikimedia.org/wiki/Category:Mstislav_Gospel,Миниатюры новгородского Мстиславова Евангелия начала XII в.; близкая по региону и эпохе иконография.,"силуэты, плащи, длиннополые одежды, церковная/княжеская репрезентация",B / высокий,Оклад и поздние переделки не использовать как костюм начала XIII в.; миниатюры условны.
SRC028,«О работах на Немецком дворе в Великом Новгороде»,официальное сообщение ИА РАН / археология,https://archaeolog.ru/press/articles/o-rabotakh-na-nemetskom-dvore-v-velikom-novgorode,"Археология Немецкого/Готского торгового двора: западные пряжки, накладки, кольца, рунические предметы и сезонные группы купцов.",немецкие и готландские купцы; западные поясные детали; торговые контакты,A / очень высокий,"Находка западной детали не означает, что весь костюм каждого приезжего был резко «иностранным»."
SRC029,«Новейшие археологические открытия в Великом Новгороде»,официальное сообщение ИА РАН / археология,https://archaeolog.ru/press/articles/noveyshie-arkheologicheskie-otkrytiya-v-velikom-novgorode,"Материалы городских усадеб, торговых связей и монет первой половины XIII в.",торговля; иностранные связи; социальный контекст,A / высокий,"Использовать для контекста, не как прямую типологию одежды."
SRC030,Новгородская археологическая экспедиция 2018 года,официальный отчёт ИА РАН / археология,https://archaeolog.ru/expeditions/expeditions-2018/novgorodskaya-ekspeditsiya-2018,"Городские усадьбы, предметы вооружения, печати, ремесленные и бытовые находки; сведения о социально неоднородных кварталах.",городская материальная культура; вооружение; социальная среда,A / высокий,Отчёт охватывает разные века; каждый пример требует проверки слоя.
SRC031,Новгородская археологическая экспедиция 2017 года,официальный отчёт ИА РАН / археология,https://archaeolog.ru/expeditions/expeditions-2017/novgorodskaya-arkheologicheskaya-ekspeditsiya-2017,"Археологические комплексы Новгорода, включая слой XIII в., торгово-таможенный контекст, массовые кожаные обрезки и предметы быта.",ремесло; кожа; городские усадьбы; торговля,A / высокий,Отчёт обзорный; формы предметов не всегда описаны.
SRC032,«Последние новости из мира новгородской археологии»,официальный музей / археология,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/poslednie-novosti-iz-mira-novgorodskoj-arheologii,"Материалы богатой усадьбы XII в.: колты, подвески рясен, кольца, браслеты и золотые детали.",элитный женский убор; городская знать; ювелирные изделия,A / высокий,"Часть комплекса раньше 1230; использовать как близкую предшествующую традицию, не как массовую норму."
SRC033,«О зимних работах Новгородской экспедиции ИА РАН»,официальное сообщение ИА РАН / археология,https://archaeolog.ru/press/articles/o-zimnikh-rabotakh-novgorodskoy-ekspeditsii-ia-ran,"Находки с богатой усадьбы: поясные детали, наконечники стрел, фрагменты обуви, рыболовные принадлежности.",пояса; стрелы; обувь; рыбацкая экипировка,A / высокий,Комплексы разновременные; датировку отдельной вещи проверять.
SRC034,Археология северорусской деревни X–XIII вв.,научный свод / археология сельской жизни,https://archaeolog.ru/el-bib/el-cat/el-series/arch-northrus-village/arch-northrus-village-2,Сравнительная база по материальной культуре сельских поселений севера Руси X–XIII вв.,крестьянский и промысловый контекст; простые материалы; инструменты,B / высокий,Не всё относится непосредственно к Новгородской земле; использовать как региональную аналогию.
SRC035,"Ю.М. Лесман. «Причудье, Ижорское плато и Юго-Восточное Приладожье…»",научная статья / археология пограничных культур,https://www.old.archeo.ru/izdaniya-1/rossiiskii-arheologicheskii-ezhegodnik/vypuski-ezhegodnika/pdf/21RAE1Lesman.pdf,"Археологические комплексы XI–XII вв. на северо-западных рубежах, включая украшения и культурные взаимодействия балто-финских групп.",водь; ижора; чудь/эсты; карельские и балто-финские украшения; пограничная материальная культура,B / высокий,"Главным образом XI–XII вв.; в 1230 применять как осторожную региональную преемственность, а не прямой городской стандарт."
SRC036,Е.В. Покровская. Балтийские и балто-финские вещи на усадьбах средневекового Новгорода,научная статья / археология контактов,https://www.old.archeo.ru/izdaniya-1/archaeological-news/contents-of-issues/arheologicheskie-vesti.-spb.-2021.-vypusk-31.-soderzhanie,Исследование вещей балтийского и балто-финского круга в городской среде Новгорода.,приезжие и культурные контакты; украшения; смешанная материальная среда,B / высокий,Проверять хронологию конкретных находок; не этнизировать владельца автоматически по одной вещи.
SRC037,«Ученые нашли в Старой Руссе могилу знатной иностранки»,предварительное сообщение о раскопках,https://ria.ru/20260825/nauka-2112759002.html,"Предварительная публикация 2026 г. о погребении конца XII – начала XIII вв. с нетипичным для местной среды набором: браслеты, лунницы, длинные булавки с цепочкой, спиральные украшения волос; обсуждается финно-угорская/балтийская связь.",редкий приезжий женский образ; цепные булавки; спиральные украшения; пограничные контакты,C / предварительный,Не рецензировано и не опубликовано полноценно; нельзя делать типовым костюмом новгородки или точно назначать этничность.
SRC038,Т.В. Савенкова. Гипотеза о понёве в древнерусском женском костюме,научная реконструкция / спорная интерпретация,https://www.gramota.net/en/article/hss20151942/fulltext,Попытка реконструировать поясную женскую одежду по археологическим и этнографическим данным.,гипотеза о поясной/понёвной форме,C / спорный,Не использовать как норму Новгорода 1230; только как явно помеченную альтернативную реконструкцию.
SRC039,Wikimedia Commons: 13th-century shoes,визуальный референс / музейные фотографии,https://commons.wikimedia.org/wiki/Category:13th-century_shoes,"Категория музейных фотографий обуви XIII в., включая новгородские экземпляры XII–XIII вв. из ГИМ.",визуальная форма обуви; швы; высота; силуэт,B / высокий при проверке карточки файла,Лицензию и атрибуцию проверять для каждого файла; категория включает разные регионы.
SRC040,Wikimedia Commons: 12th-century shoes,визуальный референс / музейные фотографии,https://commons.wikimedia.org/wiki/Category:12th-century_shoes,Сравнительные музейные фотографии обуви XII в.,переходные формы обуви; визуальные аналогии,B / средне-высокий,Не подменяет новгородскую атрибуцию; использовать только близкие по региону и конструкции экземпляры.
SRC041,Wikimedia Commons: «Шлем Ярослава II»,визуальный референс / музейный предмет,https://commons.wikimedia.org/wiki/File:Yaroslav_II_helmet.jpg,"Публичная репродукция известного элитного шлема типа IV, традиционно связываемого с Ярославом Всеволодовичем.",элитный шлем; полумаска; декоративная отделка,"B–C / предмет подлинный, атрибуция спорна",Не массовый новгородский шлем и не универсальный образ дружинника.
SRC042,Wikimedia Commons: 13th-century art in the State Historical Museum,визуальный референс / музейная коллекция,https://commons.wikimedia.org/wiki/Category:13th-century_art_in_the_State_Historical_Museum,Категория музейных предметов и репродукций XIII в.,сравнительная иконография; украшения; оружие; предметный контекст,B / зависит от карточки предмета,Каждый файл проверять отдельно; категория не специфична для Новгорода.
SRC043,"Государственная Третьяковская галерея. «Древнерусская живопись XII–XIII веков», т. 3",официальный музейный академический каталог,https://www.tretyakovgallery.ru/issues/drevnerusskaya-zhivopis-xii-xiii-vekov-/,Академический каталог древнерусской живописи XII–XIII вв. с научной атрибуцией и иллюстрациями.,иконография одежды; княжеские и церковные образы; цвет,A–B / высокий,"Сакральная условность, золото и орнамент не должны переноситься на повседневную одежду буквально."
SRC044,Д.О. Осипов. «Кожевенно-сапожное ремесло Великого Новгорода X–XVII вв.»,диссертационное исследование / археология,https://www.dissercat.com/content/kozhevenno-sapozhnoe-remeslo-velikogo-novgoroda-x-xvii-vv-kompleksnoe-issledovanie,Комплексное исследование кожевенного и сапожного ремесла Великого Новгорода.,технология обуви; кожа; мастерские; типология,A–B / высокий,"Большой хронологический диапазон; в датасете использованы только формы, допустимые в XII–первой половине XIII вв."
SRC045,Археологический центр Новгородского музея-заповедника,официальная музейная институция,https://novgorodmuseum.ru/muzei/centr-arheologicheskih-issledovanij,"Официальная страница центра, ведущего исследования и хранение археологического наследия Новгорода.",институциональная проверка; музейные коллекции; новые находки,A / высокий,"Используется как навигационный источник, а не как подтверждение отдельной формы."
SRC046,«В Великом Новгороде обнаружили редкую деталь боевого шлема военной элиты XIII–XIV веков»,официальный музей / предварительная археология,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/v-velikom-novgorode-obnaruzhili-redkuyu-detal-boevogo-shlema-voennoj-ehlity-xiii%E2%80%93xiv-vekov,Находка полумаски элитного шлема; предварительно вторая половина XIII – первая четверть XIV в.; сопоставляется с типом шлема из Лыкова.,элитные шлемы с полумаской; редкость воинского снаряжения,"B–C / официальный, но позднее 1230 и предварительно",Не переносить на 1230 как норму; полезно главным образом как предупреждение о редкости и статусности типа.
SRC047,«Коллекция находок с Нутного-IV археологического раскопа»,официальный музей / археология,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/-kollekciya-nahodok-s-nutnogo-iv-arheologicheskogo-raskopa,"Коллекция XI–XIV вв.: конское снаряжение, вооружение, ледоходные шипы, рыболовные грузила, детали меча и ремесленные инструменты.",рыболовство; вооружение; конское снаряжение; зимняя экипировка,A–B / высокий,Многие названные находки относятся к XIV в.; использовать только как сравнительный контекст при явной оговорке.
SRC048,Государственный Русский музей. Икона «Святые князья Борис и Глеб» и материалы реставрации,официальный музей / иконография,https://restoration.rusmuseum.ru/rest-icon-golubev-boris-gleb.htm,"Научно-реставрационное описание иконы XIII–XIV вв. с княжескими одеждами, плащами и оружием; отдельно фиксирует поздние поновления.",княжеская репрезентация; меч; плащи; цвет; ограничения иконографии,B / высокий с оговорками,Часть живописи поновлена; элитная сакральная иконография не равна бытовому костюму.
SRC049,"Мирный договор князя Ярослава Владимировича с немецкими послами, 1189–1199 гг.",первичный письменный источник / академическая публикация МГУ,https://hist.msu.ru/ER/Etext/RP/goth.htm,"Договор Новгорода с немецкими послами, готами/готландцами и «латинским языком». Помимо прямого подтверждения приезда немцев и готландцев, текст упоминает мятель и женский повой; срывание повоя и обнажение волос описано как тяжкое публичное унижение.",немецкие и готландские купцы; западные гости; мятель; повой; покрытие волос женщины; торгово-правовой контекст,A / очень высокий,"Текст договора датируется широким интервалом 1189–1199; подтверждает термины и социальную норму, но не точный крой одежды."
SRC050,Новгородская первая летопись старшего и младшего изводов. Академическое издание 1950 г.,первичный летописный источник / академическое издание,https://new.runivers.ru/articles/faces/novgorodskaya-pervaya-letopis-starshego-izvoda-61163/,"Новгородское летописание как базовый письменный контекст событий, княжеских, церковных, военных и межрегиональных связей XIII века.",исторический контекст 1230-х; русские из других княжеств; военные и церковные роли; северо-западные контакты,A / очень высокий для событий; низкий для деталей костюма,"Летопись не является каталогом одежды; используется для правдоподобия ролей и присутствия групп, а не для восстановления кроя."
