ref,title,url,kind,confidence_hint
costume:SRC012,Д.О. Осипов и др. «Кожаные туфли из погребений Георгиевского собора Юрьева монастыря Великого Новгорода»,https://archaeolog.ru/media/dissovet/OSIPOV_inf.pdf,научная статья / археология обуви,A / очень высокий
costume:SRC013,«В Великом Новгороде найдены каменные саркофаги домонгольского времени»,https://archaeolog.ru/en/press/articles/v-velikom-novgorode-naydeny-kamennye-sarkofagi-domongolskogo-vremeni,официальное сообщение ИА РАН / археология,A / очень высокий
costume:SRC014,«Древнерусские берестяные грамоты» — база данных,https://gramoty.ru/birchbark/document/list/,первичный письменный источник / научная база,A / очень высокий
costume:SRC015,Берестяная грамота №765,https://gramoty.ru/birchbark/document/show/novgorod/765/,первичный письменный источник,A / очень высокий
costume:SRC016,Берестяная грамота №429,https://gramoty.ru/birchbark/document/show/novgorod/429/,первичный письменный источник,A / высокий
costume:SRC017,Берестяная грамота №153,https://gramoty.ru/birchbark/document/show/novgorod/153/,первичный письменный источник,A / очень высокий
costume:SRC018,Берестяная грамота №438,https://gramoty.ru/birchbark/document/show/novgorod/438/,первичный письменный источник,A / очень высокий
costume:SRC019,Берестяная грамота №141,https://gramoty.ru/birchbark/document/show/novgorod/141/,первичный письменный источник / поздняя сравнительная аналогия,B / высокий как поздняя аналогия
costume:SRC020,Берестяная грамота №724,https://gramoty.ru/birchbark/document/show/novgorod/724/,первичный письменный источник,A / высокий
costume:SRC021,А.Н. Кирпичников. «Древнерусское оружие. Вып. I. Мечи и сабли IX–XIII вв.»,https://rodnovery.ru/images/knigi/Kirpichnikov_1_Mechi_sabli.pdf,научный археологический свод,A–B / высокий
costume:SRC022,"А.Н. Кирпичников. «Древнерусское оружие. Вып. II. Копья, сулицы, боевые топоры, булавы, кистени IX–XIII вв.»",https://klejn.archaeology.ru/Download/Kirpichnikov/Kirpichnikov_1966_Drevnerusskoje_2.pdf,научный археологический свод,A–B / высокий
costume:SRC023,"А.Н. Кирпичников. «Древнерусское оружие. Вып. III. Доспех, комплекс боевых средств IX–XIII вв.»",https://klejn.archaeology.ru/Download/Kirpichnikov/Kirpichnikov_1971_Drevnerusskoje_3.pdf,научный археологический свод,A–B / высокий
costume:SRC024,А.Ф. Медведев. «Ручное метательное оружие VIII–XIV вв.»,https://archaeolog.ru/el-bib/el-cat/el-series/svod-arch/sai-e1-36_1966,научный археологический свод,A–B / высокий
costume:SRC025,Церковь Спаса Преображения на Нередице: официальный музейный материал,https://novgorodmuseum.ru/muzei/cerkov-spasa-v-neredicah,первичная/почти первичная иконография,A–B / высокий
costume:SRC026,Wikimedia Commons: Nereditsa frescoes,https://commons.wikimedia.org/wiki/File:Nereditsa.jpg,репродукция первичной иконографии,B / высокий при правильной атрибуции
costume:SRC027,Wikimedia Commons: Mstislav Gospel,https://commons.wikimedia.org/wiki/Category:Mstislav_Gospel,репродукция рукописной иконографии,B / высокий
costume:SRC028,«О работах на Немецком дворе в Великом Новгороде»,https://archaeolog.ru/press/articles/o-rabotakh-na-nemetskom-dvore-v-velikom-novgorode,официальное сообщение ИА РАН / археология,A / очень высокий
costume:SRC029,«Новейшие археологические открытия в Великом Новгороде»,https://archaeolog.ru/press/articles/noveyshie-arkheologicheskie-otkrytiya-v-velikom-novgorode,официальное сообщение ИА РАН / археология,A / высокий
costume:SRC030,Новгородская археологическая экспедиция 2018 года,https://archaeolog.ru/expeditions/expeditions-2018/novgorodskaya-ekspeditsiya-2018,официальный отчёт ИА РАН / археология,A / высокий
costume:SRC031,Новгородская археологическая экспедиция 2017 года,https://archaeolog.ru/expeditions/expeditions-2017/novgorodskaya-arkheologicheskaya-ekspeditsiya-2017,официальный отчёт ИА РАН / археология,A / высокий
costume:SRC032,«Последние новости из мира новгородской археологии»,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/poslednie-novosti-iz-mira-novgorodskoj-arheologii,официальный музей / археология,A / высокий
costume:SRC033,«О зимних работах Новгородской экспедиции ИА РАН»,https://archaeolog.ru/press/articles/o-zimnikh-rabotakh-novgorodskoy-ekspeditsii-ia-ran,официальное сообщение ИА РАН / археология,A / высокий
costume:SRC034,Археология северорусской деревни X–XIII вв.,https://archaeolog.ru/el-bib/el-cat/el-series/arch-northrus-village/arch-northrus-village-2,научный свод / археология сельской жизни,B / высокий
costume:SRC035,"Ю.М. Лесман. «Причудье, Ижорское плато и Юго-Восточное Приладожье…»",https://www.old.archeo.ru/izdaniya-1/rossiiskii-arheologicheskii-ezhegodnik/vypuski-ezhegodnika/pdf/21RAE1Lesman.pdf,научная статья / археология пограничных культур,B / высокий
costume:SRC036,Е.В. Покровская. Балтийские и балто-финские вещи на усадьбах средневекового Новгорода,https://www.old.archeo.ru/izdaniya-1/archaeological-news/contents-of-issues/arheologicheskie-vesti.-spb.-2021.-vypusk-31.-soderzhanie,научная статья / археология контактов,B / высокий
costume:SRC037,«Ученые нашли в Старой Руссе могилу знатной иностранки»,https://ria.ru/20260825/nauka-2112759002.html,предварительное сообщение о раскопках,C / предварительный
costume:SRC038,Т.В. Савенкова. Гипотеза о понёве в древнерусском женском костюме,https://www.gramota.net/en/article/hss20151942/fulltext,научная реконструкция / спорная интерпретация,C / спорный
costume:SRC039,Wikimedia Commons: 13th-century shoes,https://commons.wikimedia.org/wiki/Category:13th-century_shoes,визуальный референс / музейные фотографии,B / высокий при проверке карточки файла
costume:SRC040,Wikimedia Commons: 12th-century shoes,https://commons.wikimedia.org/wiki/Category:12th-century_shoes,визуальный референс / музейные фотографии,B / средне-высокий
costume:SRC041,Wikimedia Commons: «Шлем Ярослава II»,https://commons.wikimedia.org/wiki/File:Yaroslav_II_helmet.jpg,визуальный референс / музейный предмет,"B–C / предмет подлинный, атрибуция спорна"
costume:SRC042,Wikimedia Commons: 13th-century art in the State Historical Museum,https://commons.wikimedia.org/wiki/Category:13th-century_art_in_the_State_Historical_Museum,визуальный референс / музейная коллекция,B / зависит от карточки предмета
costume:SRC043,"Государственная Третьяковская галерея. «Древнерусская живопись XII–XIII веков», т. 3",https://www.tretyakovgallery.ru/issues/drevnerusskaya-zhivopis-xii-xiii-vekov-/,официальный музейный академический каталог,A–B / высокий
costume:SRC044,Д.О. Осипов. «Кожевенно-сапожное ремесло Великого Новгорода X–XVII вв.»,https://www.dissercat.com/content/kozhevenno-sapozhnoe-remeslo-velikogo-novgoroda-x-xvii-vv-kompleksnoe-issledovanie,диссертационное исследование / археология,A–B / высокий
costume:SRC045,Археологический центр Новгородского музея-заповедника,https://novgorodmuseum.ru/muzei/centr-arheologicheskih-issledovanij,официальная музейная институция,A / высокий
costume:SRC046,«В Великом Новгороде обнаружили редкую деталь боевого шлема военной элиты XIII–XIV веков»,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/v-velikom-novgorode-obnaruzhili-redkuyu-detal-boevogo-shlema-voennoj-ehlity-xiii%E2%80%93xiv-vekov,официальный музей / предварительная археология,"B–C / официальный, но позднее 1230 и предварительно"
costume:SRC047,«Коллекция находок с Нутного-IV археологического раскопа»,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/-kollekciya-nahodok-s-nutnogo-iv-arheologicheskogo-raskopa,официальный музей / археология,A–B / высокий
costume:SRC048,Государственный Русский музей. Икона «Святые князья Борис и Глеб» и материалы реставрации,https://restoration.rusmuseum.ru/rest-icon-golubev-boris-gleb.htm,официальный музей / иконография,B / высокий с оговорками
costume:SRC049,"Мирный договор князя Ярослава Владимировича с немецкими послами, 1189–1199 гг.",https://hist.msu.ru/ER/Etext/RP/goth.htm,первичный письменный источник / академическая публикация МГУ,A / очень высокий
costume:SRC050,Новгородская первая летопись старшего и младшего изводов. Академическое издание 1950 г.,https://new.runivers.ru/articles/faces/novgorodskaya-pervaya-letopis-starshego-izvoda-61163/,первичный летописный источник / академическое издание,A / очень высокий для событий; низкий для деталей костюма
web:WEB01,"Д. О. Осипов. «К истории лаптя на Руси» (Наука и жизнь, 2007) — изложение позиции А. В. Курбатова: плетёная обувь в городском слое не ранее рубежа XV–XVI вв.; Осипов сомневается",https://www.nkj.ru/archive/articles/9322/,web research 2026-09-26,B
web:WEB02,Исследование новгородских браслетов из свинцового стекла (раскоп Козьмодемьянский 3),https://istina.msu.ru/publications/article/543978068/,web research 2026-09-26,B
web:WEB03,«Древний Новгород: прикладное искусство и археология» — раздел «Средневековые изделия из стекла и янтаря» (веб-копия),https://esoserver.narod.ru/Pagan/Dr_nov/dn_stekl.htm,web research 2026-09-26,B
web:WEB04,"Височные кольца (Седова М. В., «Ювелирные изделия древнего Новгорода X–XV вв.», фрагмент на booksite)",https://www.booksite.ru/fulltext/1/001/008/005/345.htm,web research 2026-09-26,B
web:WEB05,"М. М. Савенкова. «Понёвы из средневекового Новгорода (по материалам археологических раскопок)», 2015 — реконструкция декора понёв по тканям-рядинкам; датировка в аннотации не указана",https://www.gramota.net/article/hss20151942/fulltext,web research 2026-09-26,B
web:WEB06,"Русская Правда, Пространная редакция (штраф за вырванную бороду/ус)",https://www.hist.msu.ru/ER/Etext/RP,web research 2026-09-26,A
web:WEB07,История русских причёсок (Культура.РФ) — популярный обзор; только C,https://www.culture.ru/materials/253388/istoriya-russkikh-prichesok,web research 2026-09-26,C
sqlite:S01,"НПЛ, изд. 1950 (via novgorod_1230(1) (1).sqlite sources)",https://archive.org/details/novhorodskyj_litopys,primary,A
sqlite:S15,Лёгкой поступью по мостовой. Обувь древнего Новгорода X–XV вв.,https://novgorodmuseum.ru/visit/sobytiya/legkoj-postupyu-po-mostovoj.-obuv-drevnego-novgoroda-x-xv-vv.,museum,A
sqlite:S16,Е. А. Рыбина. Мир вещей средневекового Новгорода,https://cyberleninka.ru/article/n/mir-veschey-srednevekovogo-novgoroda-po-arheologicheskim-nahodkam,scholarly,B
sqlite:material_culture,C:/Users/Slaven/Downloads/novgorod_1230(1) (1).sqlite table material_culture (15 rows),,local curated db,A-B
sqlite:social_groups,C:/Users/Slaven/Downloads/novgorod_1230(1) (1).sqlite table social_groups (13 rows),,local curated db,A-B
risovalka,Документы/РИСОВАЛКА ВЕБ/novgorod_character_1230.md (copy: sources/character-bible-1230),,author research bible (candidate),B-C
wk:*/claim:*,"WK production-v1 clothing.json, historical-population.json, household-agriculture.json, settlement-craft.json, reconstructed-ordinary-lifeways-v1.json (approved)",data/world-catalogs/novgorod/world-knowledge/production-v1/,approved WK,per claim
source:clothing-rabinovich-1986,Рабинович М. Г. Древнерусская одежда IX–XIII вв.,https://www.booksite.ru/ancient/reader/human_3_02.htm,scholarly (WK),B
v17:*,"Novgorod-runtime (PR #98): m2c-npc/runtime-bindings.json, appearance-transfer-v3, packages/actors, approved-procedural-npc.js",,runtime contract,
