meal_set_id,slug,name_ru,recipe_ids,food_item_ids,drink_recipe_ids,drink_ids,social_scope,season,context,historical_confidence,modifier_ref,notes
MLS011,farmer_summer,Крестьянская летняя еда,"[""RCP0020"",""RCP0075"",""RCP0119""]","[""FOD0001"",""FMA0059"",""FOD0016""]","[""RCP0126""]","[""OMI01350""]","[""rural"",""common""]","[""summer""]",working_day_meal,C,,
MLS012,farmer_winter,Крестьянская зимняя еда,"[""RCP0020"",""RCP0087"",""RCP0267""]","[""FOD0001"",""FMA0058"",""FMA0078""]","[""RCP0243""]","[""FMA0001""]","[""rural"",""common""]","[""winter""]",working_day_meal,B,,
MLS013,military_camp,Походная лагерная еда,"[""RCP0069"",""RCP0266""]","[""FMA0054"",""FMA0078""]","[""RCP0243""]","[""FMA0001""]","[""military""]","[""spring"",""summer"",""autumn"",""winter""]",military_camp,B,,
MLS014,road_ration,Дорожный паёк без приготовления,"[""RCP0020"",""RCP0118""]","[""FOD0001""]","[""RCP0243""]","[""FMA0001""]","[""merchant"",""messenger"",""military"",""traveler""]","[""spring"",""summer"",""autumn"",""winter""]",travel,B,,"Дополняется физическими items сушёной рыбы, сыра, орехов или сушёных ягод при наличии; не гарантирует полный набор."
MLS015,winter_ration,Зимний рацион,"[""RCP0020"",""RCP0077"",""RCP0267"",""RCP0090""]","[""FOD0001"",""FMA0059"",""FMA0078"",""FMA0062""]","[""RCP0243""]","[""FMA0001""]","[""common"",""rural"",""urban""]","[""winter""]",winter_stored_food,B,,
MLS016,famine_1230,Голодный контекст 1230 года,"[""RCP0038"",""RCP0243""]","[""FMA0052"",""FMA0001""]",[],[],"[""poor"",""common""]","[""spring"",""summer"",""autumn"",""winter""]",famine_1230_context,C,famine_1230_context,"Не исторический рецепт, а минимальная игровая сборка при наличии хоть какого-то зерна; порция и доступ должны быть резко снижены."
MLS017,child_soft_food,Мягкая семейная пища ребёнка,"[""RCP0032"",""RCP0259""]","[""FOD0034"",""FMA0085""]","[""RCP0244""]","[""FOD0005""]","[""child"",""household""]","[""spring"",""summer"",""autumn"",""winter""]",family_meal,C,,Не современное отдельное детское меню; возраст и переносимость учитываются отдельно.
MLS018,elder_soft_food,Мягкая пища старика или больного,"[""RCP0029"",""RCP0090""]","[""FOD0036"",""FMA0062""]","[""RCP0243""]","[""FMA0001""]","[""elder"",""ill"",""household""]","[""spring"",""summer"",""autumn"",""winter""]",care_context,C,,"Не лечебное назначение, а игровая реконструкция мягкой еды."
MLS019,foreign_merchant_local,Еда приезжего купца в Новгороде,"[""RCP0021"",""RCP0168"",""RCP0245""]","[""FOD0002"",""FMA0079"",""FOD0056""]",[],[],"[""foreign_merchant"",""merchant""]","[""spring"",""summer"",""autumn"",""winter""]",foreign_local_hybrid,C,,Сочетает местную рыбу/хлеб с привозным вином; не утверждает конкретное этническое блюдо.
MLS020,autumn_harvest,Осенняя еда после уборки,"[""RCP0020"",""RCP0036"",""RCP0089""]","[""FOD0001"",""FOD0035"",""FMA0061""]","[""RCP0240""]","[""FOD0057""]","[""rural"",""common""]","[""autumn""]",harvest_context,B,,
MLS021,spring_lean_season,Весенний скудный рацион,"[""RCP0020"",""RCP0077"",""RCP0099""]","[""FOD0001"",""FMA0059"",""FMA0067""]","[""RCP0243""]","[""FMA0001""]","[""poor"",""common"",""rural""]","[""spring""]",lean_season,C,,Зелень только при безопасной идентификации и реальной доступности.
