link_id,recipe_id,ingredient_id,item_id,role,display_order
RIL000089,RCP0038,ING0003,FOD0037,optional,1
RIL000090,RCP0039,ING0010,OMI01290,required,1
RIL000091,RCP0039,ING0001,FMA0001,required,2
RIL000092,RCP0039,ING0003,FOD0037,optional,1
RIL000093,RCP0040,ING0010,OMI01290,required,1
RIL000094,RCP0040,ING0001,FMA0001,required,2
RIL000095,RCP0040,ING0003,FOD0037,optional,1
RIL000096,RCP0041,ING0014,OMI01289,required,1
RIL000097,RCP0041,ING0001,FMA0001,required,2
RIL000098,RCP0041,ING0003,FOD0037,optional,1
RIL000099,RCP0042,ING0014,OMI01289,required,1
RIL000100,RCP0042,ING0001,FMA0001,required,2
RIL000101,RCP0042,ING0003,FOD0037,optional,1
RIL000102,RCP0043,ING0014,OMI01289,required,1
RIL000103,RCP0043,ING0001,FMA0001,required,2
RIL000104,RCP0043,ING0003,FOD0037,optional,1
RIL000105,RCP0044,ING0011,OMI01291,required,1
RIL000106,RCP0044,ING0001,FMA0001,required,2
RIL000107,RCP0044,ING0089,FOD0005,required,3
RIL000108,RCP0044,ING0003,FOD0037,optional,1
RIL000109,RCP0045,ING0011,OMI01291,required,1
RIL000110,RCP0045,ING0001,FMA0001,required,2
RIL000111,RCP0045,ING0097,FOD0004,required,3
RIL000112,RCP0045,ING0003,FOD0037,optional,1
RIL000113,RCP0046,ING0011,OMI01291,required,1
RIL000114,RCP0046,ING0001,FMA0001,required,2
RIL000115,RCP0046,ING0085,FOD0025,required,3
RIL000116,RCP0046,ING0003,FOD0037,optional,1
RIL000117,RCP0047,ING0011,OMI01291,required,1
RIL000118,RCP0047,ING0001,FMA0001,required,2
RIL000119,RCP0047,ING0069,FOD0016,required,3
RIL000120,RCP0047,ING0003,FOD0037,optional,1
RIL000121,RCP0048,ING0011,OMI01291,required,1
RIL000122,RCP0048,ING0001,FMA0001,required,2
RIL000123,RCP0048,ING0041,FOD0041,required,3
RIL000124,RCP0048,ING0003,FOD0037,optional,1
RIL000125,RCP0049,ING0012,OMI01292,required,1
RIL000126,RCP0049,ING0001,FMA0001,required,2
RIL000127,RCP0049,ING0089,FOD0005,required,3
RIL000128,RCP0049,ING0003,FOD0037,optional,1
RIL000129,RCP0050,ING0012,OMI01292,required,1
RIL000130,RCP0050,ING0001,FMA0001,required,2
RIL000131,RCP0050,ING0097,FOD0004,required,3
RIL000132,RCP0050,ING0003,FOD0037,optional,1
RIL000133,RCP0051,ING0012,OMI01292,required,1
RIL000134,RCP0051,ING0001,FMA0001,required,2
RIL000135,RCP0051,ING0085,FOD0025,required,3
RIL000136,RCP0051,ING0003,FOD0037,optional,1
RIL000137,RCP0052,ING0012,OMI01292,required,1
RIL000138,RCP0052,ING0001,FMA0001,required,2
RIL000139,RCP0052,ING0069,FOD0016,required,3
RIL000140,RCP0052,ING0003,FOD0037,optional,1
RIL000141,RCP0053,ING0012,OMI01292,required,1
RIL000142,RCP0053,ING0001,FMA0001,required,2
RIL000143,RCP0053,ING0041,FOD0041,required,3
RIL000144,RCP0053,ING0003,FOD0037,optional,1
RIL000145,RCP0054,ING0013,OMI01293,required,1
RIL000146,RCP0054,ING0001,FMA0001,required,2
RIL000147,RCP0054,ING0089,FOD0005,required,3
RIL000148,RCP0054,ING0003,FOD0037,optional,1
RIL000149,RCP0055,ING0013,OMI01293,required,1
RIL000150,RCP0055,ING0001,FMA0001,required,2
RIL000151,RCP0055,ING0097,FOD0004,required,3
RIL000152,RCP0055,ING0003,FOD0037,optional,1
RIL000153,RCP0056,ING0013,OMI01293,required,1
RIL000154,RCP0056,ING0001,FMA0001,required,2
RIL000155,RCP0056,ING0085,FOD0025,required,3
RIL000156,RCP0056,ING0003,FOD0037,optional,1
RIL000157,RCP0057,ING0013,OMI01293,required,1
RIL000158,RCP0057,ING0001,FMA0001,required,2
RIL000159,RCP0057,ING0069,FOD0016,required,3
RIL000160,RCP0057,ING0003,FOD0037,optional,1
RIL000161,RCP0058,ING0013,OMI01293,required,1
RIL000162,RCP0058,ING0001,FMA0001,required,2
RIL000163,RCP0058,ING0041,FOD0041,required,3
RIL000164,RCP0058,ING0003,FOD0037,optional,1
RIL000165,RCP0059,ING0010,OMI01290,required,1
RIL000166,RCP0059,ING0001,FMA0001,required,2
RIL000167,RCP0059,ING0089,FOD0005,required,3
RIL000168,RCP0059,ING0003,FOD0037,optional,1
RIL000169,RCP0060,ING0010,OMI01290,required,1
RIL000170,RCP0060,ING0001,FMA0001,required,2
RIL000171,RCP0060,ING0097,FOD0004,required,3
RIL000172,RCP0060,ING0003,FOD0037,optional,1
RIL000173,RCP0061,ING0010,OMI01290,required,1
RIL000174,RCP0061,ING0001,FMA0001,required,2
RIL000175,RCP0061,ING0085,FOD0025,required,3
RIL000176,RCP0061,ING0003,FOD0037,optional,1
RIL000177,RCP0062,ING0010,OMI01290,required,1
RIL000178,RCP0062,ING0001,FMA0001,required,2
RIL000179,RCP0062,ING0069,FOD0016,required,3
RIL000180,RCP0062,ING0003,FOD0037,optional,1
RIL000181,RCP0063,ING0010,OMI01290,required,1
RIL000182,RCP0063,ING0001,FMA0001,required,2
RIL000183,RCP0063,ING0041,FOD0041,required,3
RIL000184,RCP0063,ING0003,FOD0037,optional,1
RIL000185,RCP0064,ING0014,OMI01289,required,1
RIL000186,RCP0064,ING0001,FMA0001,required,2
RIL000187,RCP0064,ING0089,FOD0005,required,3
RIL000188,RCP0064,ING0003,FOD0037,optional,1
RIL000189,RCP0065,ING0014,OMI01289,required,1
RIL000190,RCP0065,ING0001,FMA0001,required,2
RIL000191,RCP0065,ING0097,FOD0004,required,3
RIL000192,RCP0065,ING0003,FOD0037,optional,1
RIL000193,RCP0066,ING0014,OMI01289,required,1
RIL000194,RCP0066,ING0001,FMA0001,required,2
RIL000195,RCP0066,ING0085,FOD0025,required,3
RIL000196,RCP0066,ING0003,FOD0037,optional,1
RIL000197,RCP0067,ING0014,OMI01289,required,1
RIL000198,RCP0067,ING0001,FMA0001,required,2
RIL000199,RCP0067,ING0069,FOD0016,required,3
RIL000200,RCP0067,ING0003,FOD0037,optional,1
RIL000201,RCP0068,ING0014,OMI01289,required,1
RIL000202,RCP0068,ING0001,FMA0001,required,2
RIL000203,RCP0068,ING0041,FOD0041,required,3
RIL000204,RCP0068,ING0003,FOD0037,optional,1
RIL000205,RCP0069,ING0011,OMI01291,required,1
RIL000206,RCP0069,ING0001,FMA0001,required,2
RIL000207,RCP0069,ING0003,FOD0037,optional,1
RIL000208,RCP0069,ING0041,FOD0041,optional,2
RIL000209,RCP0070,ING0012,OMI01292,required,1
RIL000210,RCP0070,ING0001,FMA0001,required,2
RIL000211,RCP0070,ING0003,FOD0037,optional,1
RIL000212,RCP0070,ING0041,FOD0041,optional,2
RIL000213,RCP0071,ING0013,OMI01293,required,1
RIL000214,RCP0071,ING0001,FMA0001,required,2
RIL000215,RCP0071,ING0003,FOD0037,optional,1
RIL000216,RCP0071,ING0041,FOD0041,optional,2
RIL000217,RCP0072,ING0010,OMI01290,required,1
RIL000218,RCP0072,ING0001,FMA0001,required,2
RIL000219,RCP0072,ING0003,FOD0037,optional,1
RIL000220,RCP0072,ING0041,FOD0041,optional,2
RIL000221,RCP0073,ING0014,OMI01289,required,1
RIL000222,RCP0073,ING0001,FMA0001,required,2
RIL000223,RCP0073,ING0003,FOD0037,optional,1
RIL000224,RCP0073,ING0041,FOD0041,optional,2
RIL000225,RCP0074,ING0011,OMI01291,required,1
RIL000226,RCP0074,ING0001,FMA0001,required,2
RIL000227,RCP0074,ING0039,FOD0044,required,3
RIL000228,RCP0074,ING0003,FOD0037,optional,1
RIL000229,RCP0074,ING0041,FOD0041,optional,2
RIL000230,RCP0074,ING0042,FOD0045,optional,3
RIL000231,RCP0075,ING0012,OMI01292,required,1
RIL000232,RCP0075,ING0001,FMA0001,required,2
RIL000233,RCP0075,ING0041,FOD0041,required,3
RIL000234,RCP0075,ING0003,FOD0037,optional,1
RIL000235,RCP0075,ING0041,FOD0041,optional,2
RIL000236,RCP0075,ING0042,FOD0045,optional,3
RIL000237,RCP0076,ING0013,OMI01293,required,1
RIL000238,RCP0076,ING0001,FMA0001,required,2
RIL000239,RCP0076,ING0040,FOD0040,required,3
RIL000240,RCP0076,ING0003,FOD0037,optional,1
RIL000241,RCP0076,ING0041,FOD0041,optional,2
RIL000242,RCP0076,ING0042,FOD0045,optional,3
RIL000243,RCP0077,ING0010,OMI01290,required,1
RIL000244,RCP0077,ING0001,FMA0001,required,2
RIL000245,RCP0077,ING0046,FOD0028,required,3
RIL000246,RCP0077,ING0003,FOD0037,optional,1
RIL000247,RCP0077,ING0041,FOD0041,optional,2
RIL000248,RCP0077,ING0042,FOD0045,optional,3
RIL000249,RCP0078,ING0011,OMI01291,required,1
RIL000250,RCP0078,ING0001,FMA0001,required,2
RIL000251,RCP0078,ING0046,FOD0028,required,3
RIL000252,RCP0078,ING0003,FOD0037,optional,1
RIL000253,RCP0078,ING0041,FOD0041,optional,2
RIL000254,RCP0078,ING0042,FOD0045,optional,3
RIL000255,RCP0079,ING0011,OMI01291,required,1
RIL000256,RCP0079,ING0001,FMA0001,required,2
RIL000257,RCP0079,ING0131,FOD0010,required,3
RIL000258,RCP0079,ING0003,FOD0037,optional,1
RIL000259,RCP0079,ING0041,FOD0041,optional,2
RIL000260,RCP0079,ING0042,FOD0045,optional,3
RIL000261,RCP0080,ING0013,OMI01293,required,1
RIL000262,RCP0080,ING0001,FMA0001,required,2
RIL000263,RCP0080,ING0131,FOD0010,required,3
RIL000264,RCP0080,ING0003,FOD0037,optional,1
RIL000265,RCP0080,ING0041,FOD0041,optional,2
RIL000266,RCP0080,ING0042,FOD0045,optional,3
RIL000267,RCP0081,ING0011,OMI01291,required,1
RIL000268,RCP0081,ING0001,FMA0001,required,2
RIL000269,RCP0081,ING0106,FOD0030,required,3
RIL000270,RCP0081,ING0003,FOD0037,optional,1
RIL000271,RCP0081,ING0041,FOD0041,optional,2
RIL000272,RCP0081,ING0042,FOD0045,optional,3
RIL000273,RCP0082,ING0012,OMI01292,required,1
RIL000274,RCP0082,ING0001,FMA0001,required,2
RIL000275,RCP0082,ING0108,FOD0031,required,3
RIL000276,RCP0082,ING0003,FOD0037,optional,1
RIL000277,RCP0082,ING0041,FOD0041,optional,2
RIL000278,RCP0082,ING0042,FOD0045,optional,3
RIL000279,RCP0083,ING0013,OMI01293,required,1
RIL000280,RCP0083,ING0001,FMA0001,required,2
RIL000281,RCP0083,ING0109,FOD0029,required,3
RIL000282,RCP0083,ING0003,FOD0037,optional,1
RIL000283,RCP0083,ING0041,FOD0041,optional,2
RIL000284,RCP0083,ING0042,FOD0045,optional,3
RIL000285,RCP0084,ING0014,OMI01289,required,1
RIL000286,RCP0084,ING0001,FMA0001,required,2
RIL000287,RCP0084,ING0089,FOD0005,required,3
RIL000288,RCP0084,ING0003,FOD0037,optional,1
RIL000289,RCP0084,ING0041,FOD0041,optional,2
RIL000290,RCP0084,ING0042,FOD0045,optional,3
RIL000291,RCP0085,ING0046,FOD0028,required,1
RIL000292,RCP0085,ING0001,FMA0001,required,2
RIL000293,RCP0085,ING0003,FOD0037,optional,1
RIL000294,RCP0085,ING0041,FOD0041,optional,2
RIL000295,RCP0086,ING0047,OMI01448,required,1
RIL000296,RCP0086,ING0041,FOD0041,optional,1
RIL000297,RCP0086,ING0082,FOD0009,optional,2
RIL000298,RCP0086,ING0081,OMI01476,optional,3
RIL000299,RCP0086,ING0003,FOD0037,optional,4
RIL000300,RCP0087,ING0046,FOD0028,required,1
RIL000301,RCP0087,ING0001,FMA0001,required,2
RIL000302,RCP0087,ING0041,FOD0041,optional,1
RIL000303,RCP0087,ING0042,FOD0045,optional,2
RIL000304,RCP0087,ING0003,FOD0037,optional,3
RIL000305,RCP0088,ING0048,OMI01449,required,1
RIL000306,RCP0088,ING0001,FMA0001,required,2
RIL000307,RCP0088,ING0003,FOD0037,optional,1
RIL000308,RCP0088,ING0041,FOD0041,optional,2
RIL000309,RCP0089,ING0039,FOD0044,required,1
RIL000310,RCP0089,ING0003,FOD0037,optional,1
RIL000311,RCP0089,ING0097,FOD0004,optional,2
RIL000312,RCP0089,ING0085,FOD0025,optional,3
RIL000313,RCP0090,ING0039,FOD0044,required,1
RIL000314,RCP0090,ING0001,FMA0001,required,2
RIL000315,RCP0090,ING0003,FOD0037,optional,1
RIL000316,RCP0090,ING0041,FOD0041,optional,2
RIL000317,RCP0091,ING0039,FOD0044,required,1
RIL000318,RCP0091,ING0001,FMA0001,required,2
RIL000319,RCP0091,ING0041,FOD0041,optional,1
RIL000320,RCP0091,ING0042,FOD0045,optional,2
RIL000321,RCP0091,ING0003,FOD0037,optional,3
RIL000322,RCP0092,ING0039,FOD0044,required,1
RIL000323,RCP0092,ING0085,FOD0025,required,2
RIL000324,RCP0093,ING0040,FOD0040,required,1
RIL000325,RCP0093,ING0001,FMA0001,required,2
RIL000326,RCP0093,ING0041,FOD0041,optional,1
RIL000327,RCP0093,ING0003,FOD0037,optional,2
RIL000328,RCP0094,ING0040,FOD0040,required,1
RIL000329,RCP0094,ING0003,FOD0037,required,2
RIL000330,RCP0094,ING0001,FMA0001,optional,1
RIL000331,RCP0095,ING0041,FOD0041,required,1
RIL000332,RCP0095,ING0003,FOD0037,optional,1
RIL000333,RCP0096,ING0042,FOD0045,required,1
RIL000334,RCP0096,ING0003,FOD0037,optional,1
RIL000335,RCP0097,ING0041,FOD0041,required,1
RIL000336,RCP0097,ING0001,FMA0001,required,2
RIL000337,RCP0097,ING0003,FOD0037,optional,1
RIL000338,RCP0098,ING0044,FOD0042,required,1
RIL000339,RCP0098,ING0001,FMA0001,required,2
RIL000340,RCP0098,ING0003,FOD0037,optional,1
RIL000341,RCP0099,ING0053,FMA0005,required,1
RIL000342,RCP0099,ING0001,FMA0001,required,2
RIL000343,RCP0099,ING0011,OMI01291,optional,1
RIL000344,RCP0099,ING0041,FOD0041,optional,2
RIL000345,RCP0099,ING0003,FOD0037,optional,3
RIL000346,RCP0100,ING0054,FMA0006,required,1
RIL000347,RCP0100,ING0001,FMA0001,required,2
RIL000348,RCP0100,ING0011,OMI01291,optional,1
RIL000349,RCP0100,ING0041,FOD0041,optional,2
RIL000350,RCP0100,ING0003,FOD0037,optional,3
RIL000351,RCP0101,ING0055,FMA0007,required,1
RIL000352,RCP0101,ING0001,FMA0001,required,2
RIL000353,RCP0101,ING0011,OMI01291,optional,1
RIL000354,RCP0101,ING0041,FOD0041,optional,2
RIL000355,RCP0101,ING0003,FOD0037,optional,3
RIL000356,RCP0102,ING0056,FMA0008,required,1
RIL000357,RCP0102,ING0001,FMA0001,required,2
RIL000358,RCP0102,ING0011,OMI01291,optional,1
RIL000359,RCP0102,ING0041,FOD0041,optional,2
RIL000360,RCP0102,ING0003,FOD0037,optional,3
RIL000361,RCP0103,ING0057,FMA0009,required,1
RIL000362,RCP0103,ING0001,FMA0001,required,2
RIL000363,RCP0103,ING0011,OMI01291,optional,1
RIL000364,RCP0103,ING0041,FOD0041,optional,2
RIL000365,RCP0103,ING0003,FOD0037,optional,3
RIL000366,RCP0104,ING0058,FOD0014,required,1
RIL000367,RCP0104,ING0001,FMA0001,required,2
RIL000368,RCP0104,ING0041,FOD0041,optional,1
RIL000369,RCP0104,ING0003,FOD0037,optional,2
RIL000370,RCP0105,ING0058,FOD0014,required,1
RIL000371,RCP0106,ING0072,FOD0020,required,1
RIL000372,RCP0107,ING0060,FMA0010,required,1
RIL000373,RCP0108,ING0061,FMA0011,required,1
RIL000374,RCP0109,ING0062,FMA0012,required,1
RIL000375,RCP0110,ING0063,FMA0013,required,1
RIL000376,RCP0111,ING0067,FMA0017,required,1
RIL000377,RCP0112,ING0068,FMA0018,required,1
RIL000378,RCP0113,ING0060,FMA0010,required,1
RIL000379,RCP0113,ING0001,FMA0001,required,2
RIL000380,RCP0113,ING0085,FOD0025,optional,1
RIL000381,RCP0114,ING0061,FMA0011,required,1
RIL000382,RCP0114,ING0001,FMA0001,required,2
RIL000383,RCP0114,ING0085,FOD0025,optional,1
RIL000384,RCP0115,ING0062,FMA0012,required,1
RIL000385,RCP0115,ING0001,FMA0001,required,2
RIL000386,RCP0115,ING0085,FOD0025,optional,1
RIL000387,RCP0116,ING0063,FMA0013,required,1
RIL000388,RCP0116,ING0001,FMA0001,required,2
RIL000389,RCP0116,ING0085,FOD0025,optional,1
RIL000390,RCP0117,ING0069,FOD0016,required,1
RIL000391,RCP0117,ING0001,FMA0001,required,2
RIL000392,RCP0117,ING0085,FOD0025,optional,1
RIL000393,RCP0118,ING0154,FOD0001,required,1
RIL000394,RCP0118,ING0085,FOD0025,required,2
RIL000395,RCP0119,ING0069,FOD0016,required,1
RIL000396,RCP0119,ING0085,FOD0025,required,2
RIL000397,RCP0120,ING0075,OMI01462,required,1
RIL000398,RCP0121,ING0089,FOD0005,required,1
RIL000399,RCP0122,ING0093,FOD0003,required,1
RIL000400,RCP0123,ING0095,OMI01349,required,1
RIL000401,RCP0123,ING0003,FOD0037,optional,1
RIL000402,RCP0124,ING0101,OMI01360,required,1
RIL000403,RCP0124,ING0003,FOD0037,optional,1
RIL000404,RCP0125,ING0092,OMI01345,required,1
RIL000405,RCP0126,ING0096,OMI01350,required,1
RIL000406,RCP0127,ING0103,FOD0008,required,1
RIL000407,RCP0127,ING0001,FMA0001,required,2
RIL000408,RCP0128,ING0104,FMA0021,required,1
RIL000409,RCP0128,ING0001,FMA0001,required,2
RIL000410,RCP0129,ING0105,FMA0022,required,1
RIL000411,RCP0129,ING0001,FMA0001,required,2
RIL000412,RCP0130,ING0103,FOD0008,required,1
RIL000413,RCP0131,ING0106,FOD0030,required,1
RIL000414,RCP0131,ING0001,FMA0001,required,2
RIL000415,RCP0131,ING0003,FOD0037,optional,1
RIL000416,RCP0131,ING0041,FOD0041,optional,2
RIL000417,RCP0131,ING0042,FOD0045,optional,3
RIL000418,RCP0132,ING0106,FOD0030,required,1
RIL000419,RCP0132,ING0003,FOD0037,optional,1
RIL000420,RCP0132,ING0041,FOD0041,optional,2
RIL000421,RCP0132,ING0042,FOD0045,optional,3
RIL000422,RCP0132,ING0082,FOD0009,optional,4
RIL000423,RCP0133,ING0108,FOD0031,required,1
RIL000424,RCP0133,ING0001,FMA0001,required,2
RIL000425,RCP0133,ING0003,FOD0037,optional,1
RIL000426,RCP0133,ING0041,FOD0041,optional,2
RIL000427,RCP0133,ING0042,FOD0045,optional,3
RIL000428,RCP0134,ING0108,FOD0031,required,1
RIL000429,RCP0134,ING0003,FOD0037,optional,1
RIL000430,RCP0134,ING0041,FOD0041,optional,2
RIL000431,RCP0134,ING0042,FOD0045,optional,3
RIL000432,RCP0134,ING0082,FOD0009,optional,4
RIL000433,RCP0135,ING0109,FOD0029,required,1
RIL000434,RCP0135,ING0001,FMA0001,required,2
RIL000435,RCP0135,ING0003,FOD0037,optional,1
RIL000436,RCP0135,ING0041,FOD0041,optional,2
RIL000437,RCP0135,ING0042,FOD0045,optional,3
RIL000438,RCP0136,ING0109,FOD0029,required,1
RIL000439,RCP0136,ING0003,FOD0037,optional,1
RIL000440,RCP0136,ING0041,FOD0041,optional,2
RIL000441,RCP0136,ING0042,FOD0045,optional,3
RIL000442,RCP0136,ING0082,FOD0009,optional,4
RIL000443,RCP0137,ING0111,FMA0025,required,1
RIL000444,RCP0137,ING0001,FMA0001,required,2
RIL000445,RCP0137,ING0003,FOD0037,optional,1
RIL000446,RCP0137,ING0041,FOD0041,optional,2
RIL000447,RCP0137,ING0042,FOD0045,optional,3
RIL000448,RCP0138,ING0111,FMA0025,required,1
RIL000449,RCP0138,ING0003,FOD0037,optional,1
RIL000450,RCP0138,ING0041,FOD0041,optional,2
RIL000451,RCP0138,ING0042,FOD0045,optional,3
RIL000452,RCP0138,ING0082,FOD0009,optional,4
RIL000453,RCP0139,ING0112,FMA0026,required,1
RIL000454,RCP0139,ING0001,FMA0001,required,2
RIL000455,RCP0139,ING0003,FOD0037,optional,1
RIL000456,RCP0139,ING0041,FOD0041,optional,2
RIL000457,RCP0139,ING0042,FOD0045,optional,3
RIL000458,RCP0140,ING0112,FMA0026,required,1
RIL000459,RCP0140,ING0003,FOD0037,optional,1
RIL000460,RCP0140,ING0041,FOD0041,optional,2
RIL000461,RCP0140,ING0042,FOD0045,optional,3
RIL000462,RCP0140,ING0082,FOD0009,optional,4
RIL000463,RCP0141,ING0113,FMA0027,required,1
RIL000464,RCP0141,ING0001,FMA0001,required,2
RIL000465,RCP0141,ING0003,FOD0037,optional,1
RIL000466,RCP0141,ING0041,FOD0041,optional,2
RIL000467,RCP0141,ING0042,FOD0045,optional,3
RIL000468,RCP0142,ING0113,FMA0027,required,1
RIL000469,RCP0142,ING0003,FOD0037,optional,1
RIL000470,RCP0142,ING0041,FOD0041,optional,2
RIL000471,RCP0142,ING0042,FOD0045,optional,3
RIL000472,RCP0142,ING0082,FOD0009,optional,4
RIL000473,RCP0143,ING0114,FMA0028,required,1
RIL000474,RCP0143,ING0001,FMA0001,required,2
RIL000475,RCP0143,ING0003,FOD0037,optional,1
RIL000476,RCP0143,ING0041,FOD0041,optional,2
RIL000477,RCP0143,ING0042,FOD0045,optional,3
RIL000478,RCP0144,ING0114,FMA0028,required,1
RIL000479,RCP0144,ING0003,FOD0037,optional,1
RIL000480,RCP0144,ING0041,FOD0041,optional,2
RIL000481,RCP0144,ING0042,FOD0045,optional,3
RIL000482,RCP0144,ING0082,FOD0009,optional,4
RIL000483,RCP0145,ING0115,FMA0029,required,1
RIL000484,RCP0145,ING0001,FMA0001,required,2
RIL000485,RCP0145,ING0003,FOD0037,optional,1
RIL000486,RCP0145,ING0041,FOD0041,optional,2
RIL000487,RCP0145,ING0042,FOD0045,optional,3
RIL000488,RCP0146,ING0115,FMA0029,required,1
RIL000489,RCP0146,ING0003,FOD0037,optional,1
RIL000490,RCP0146,ING0041,FOD0041,optional,2
RIL000491,RCP0146,ING0042,FOD0045,optional,3
RIL000492,RCP0146,ING0082,FOD0009,optional,4
RIL000493,RCP0147,ING0117,FMA0031,required,1
RIL000494,RCP0147,ING0001,FMA0001,required,2
RIL000495,RCP0147,ING0003,FOD0037,optional,1
RIL000496,RCP0147,ING0041,FOD0041,optional,2
RIL000497,RCP0147,ING0042,FOD0045,optional,3
RIL000498,RCP0148,ING0117,FMA0031,required,1
RIL000499,RCP0148,ING0003,FOD0037,optional,1
RIL000500,RCP0148,ING0041,FOD0041,optional,2
RIL000501,RCP0148,ING0042,FOD0045,optional,3
RIL000502,RCP0148,ING0082,FOD0009,optional,4
RIL000503,RCP0149,ING0118,FMA0032,required,1
RIL000504,RCP0149,ING0001,FMA0001,required,2
RIL000505,RCP0149,ING0003,FOD0037,optional,1
RIL000506,RCP0149,ING0041,FOD0041,optional,2
RIL000507,RCP0149,ING0042,FOD0045,optional,3
RIL000508,RCP0150,ING0118,FMA0032,required,1
