presence_id,fa_id,category_ref,pf_id,region_id,season,frequency_class,weight,fit,state,activity_time,audible,observable_signs,refresh_class,rule_ref,source_refs,confidence,status
fhp_m_elk__winter_ice_crossing__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_winter_ice_crossing,novgorod_land,winter,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__mixed_woodland__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_mixed_woodland,novgorod_land,spring,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__conifer_woodland__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_conifer_woodland,novgorod_land,spring,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__bog__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_bog,novgorod_land,spring,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__marshy_stream__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_marshy_stream,novgorod_land,spring,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__forest_edge__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_forest_edge,novgorod_land,spring,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__broadleaf_woodland__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_broadleaf_woodland,novgorod_land,spring,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__floodplain_meadow__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_floodplain_meadow,novgorod_land,spring,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__lake_shore__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_lake_shore,novgorod_land,spring,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__riverbank__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_riverbank,novgorod_land,spring,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__river_channel__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_river_channel,novgorod_land,spring,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__hunting_ground__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_hunting_ground,novgorod_land,spring,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__forest_track__spring,fa_m_elk,fauna.mammal.ungulate.elk,pf_forest_track,novgorod_land,spring,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__mixed_woodland__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_mixed_woodland,novgorod_land,summer,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__conifer_woodland__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_conifer_woodland,novgorod_land,summer,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__bog__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_bog,novgorod_land,summer,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__marshy_stream__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_marshy_stream,novgorod_land,summer,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__forest_edge__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_forest_edge,novgorod_land,summer,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__broadleaf_woodland__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_broadleaf_woodland,novgorod_land,summer,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__floodplain_meadow__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_floodplain_meadow,novgorod_land,summer,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__lake_shore__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_lake_shore,novgorod_land,summer,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__riverbank__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_riverbank,novgorod_land,summer,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__river_channel__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_river_channel,novgorod_land,summer,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__hunting_ground__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_hunting_ground,novgorod_land,summer,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__forest_track__summer,fa_m_elk,fauna.mammal.ungulate.elk,pf_forest_track,novgorod_land,summer,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__mixed_woodland__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_mixed_woodland,novgorod_land,autumn,common,4,core,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__conifer_woodland__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_conifer_woodland,novgorod_land,autumn,common,4,core,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__bog__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_bog,novgorod_land,autumn,common,4,core,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__marshy_stream__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_marshy_stream,novgorod_land,autumn,common,4,core,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__forest_edge__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_forest_edge,novgorod_land,autumn,common,4,core,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__broadleaf_woodland__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_broadleaf_woodland,novgorod_land,autumn,contextual,2,marginal,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__floodplain_meadow__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_floodplain_meadow,novgorod_land,autumn,contextual,2,marginal,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__lake_shore__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_lake_shore,novgorod_land,autumn,contextual,2,marginal,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__riverbank__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_riverbank,novgorod_land,autumn,contextual,2,marginal,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__river_channel__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_river_channel,novgorod_land,autumn,contextual,2,marginal,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__hunting_ground__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_hunting_ground,novgorod_land,autumn,common,4,core,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__forest_track__autumn,fa_m_elk,fauna.mammal.ungulate.elk,pf_forest_track,novgorod_land,autumn,contextual,2,marginal,active,crepuscular,true,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_wild_boar__broadleaf_woodland__winter,fa_m_wild_boar,fauna.mammal.ungulate.wild_boar,pf_broadleaf_woodland,novgorod_land,winter,rare,1,core,active,nocturnal,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_MASTER_FOOD#ING0117;SRC_VALDAY_NP;SRC_WK_FAUNA;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,candidate
fhp_m_wild_boar__mixed_woodland__winter,fa_m_wild_boar,fauna.mammal.ungulate.wild_boar,pf_mixed_woodland,novgorod_land,winter,rare,1,core,active,nocturnal,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_MASTER_FOOD#ING0117;SRC_VALDAY_NP;SRC_WK_FAUNA;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,candidate
fhp_m_wild_boar__forest_edge__winter,fa_m_wild_boar,fauna.mammal.ungulate.wild_boar,pf_forest_edge,novgorod_land,winter,rare,1,marginal,active,nocturnal,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_MASTER_FOOD#ING0117;SRC_VALDAY_NP;SRC_WK_FAUNA;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,candidate
fhp_m_wild_boar__floodplain_meadow__winter,fa_m_wild_boar,fauna.mammal.ungulate.wild_boar,pf_floodplain_meadow,novgorod_land,winter,rare,1,marginal,active,nocturnal,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_MASTER_FOOD#ING0117;SRC_VALDAY_NP;SRC_WK_FAUNA;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,candidate
fhp_m_wild_boar__marshy_stream__winter,fa_m_wild_boar,fauna.mammal.ungulate.wild_boar,pf_marshy_stream,novgorod_land,winter,rare,1,marginal,active,nocturnal,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_MASTER_FOOD#ING0117;SRC_VALDAY_NP;SRC_WK_FAUNA;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,candidate
fhp_m_wild_boar__arable_field__winter,fa_m_wild_boar,fauna.mammal.ungulate.wild_boar,pf_arable_field,novgorod_land,winter,rare,1,marginal,active,nocturnal,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_MASTER_FOOD#ING0117;SRC_VALDAY_NP;SRC_WK_FAUNA;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,candidate
fhp_m_wild_boar__hunting_ground__winter,fa_m_wild_boar,fauna.mammal.ungulate.wild_boar,pf_hunting_ground,novgorod_land,winter,rare,1,core,active,nocturnal,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_MASTER_FOOD#ING0117;SRC_VALDAY_NP;SRC_WK_FAUNA;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,candidate
