category_id,domain,facet,stable_code,parent_category_id,name_ru,name_en,region_id,universal,source_refs,status
fauna.mammal.marine_mammal.ladoga_ringed_seal,fauna,taxon,fauna.mammal.marine_mammal.ladoga_ringed_seal,fauna.mammal.marine_mammal,Ладожская нерпа,Ladoga ringed seal,,true,SRC_RYBINA2015,candidate
fauna.bird.waterbird,fauna,taxon_group,fauna.bird.waterbird,fauna.bird,Гагары и поганки,waterbird,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.heron,fauna,taxon_group,fauna.bird.heron,fauna.bird,Цапли и аисты,heron,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.crane,fauna,taxon_group,fauna.bird.crane,fauna.bird,Журавли,crane,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.rail,fauna,taxon_group,fauna.bird.rail,fauna.bird,Пастушковые,rail,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.waterfowl,fauna,taxon_group,fauna.bird.waterfowl,fauna.bird,"Гусеобразные (лебеди, гуси, утки)",waterfowl,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.raptor,fauna,taxon_group,fauna.bird.raptor,fauna.bird,Хищные птицы,raptor,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.gamebird,fauna,taxon_group,fauna.bird.gamebird,fauna.bird,Куриные (боровая и полевая дичь),gamebird,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.wader,fauna,taxon_group,fauna.bird.wader,fauna.bird,Кулики,wader,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.gull,fauna,taxon_group,fauna.bird.gull,fauna.bird,Чайки и крачки,gull,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.pigeon,fauna,taxon_group,fauna.bird.pigeon,fauna.bird,Голуби,pigeon,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.other,fauna,taxon_group,fauna.bird.other,fauna.bird,"Прочие (кукушка, козодой, стриж, зимородок)",other,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.owl,fauna,taxon_group,fauna.bird.owl,fauna.bird,Совы,owl,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.woodpecker,fauna,taxon_group,fauna.bird.woodpecker,fauna.bird,Дятлы,woodpecker,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.songbird,fauna,taxon_group,fauna.bird.songbird,fauna.bird,Воробьиные певчие,songbird,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.corvid,fauna,taxon_group,fauna.bird.corvid,fauna.bird,Врановые,corvid,,true,fauna-mammals-birds/README.md,candidate
fauna.bird.waterbird.black_throated_loon,fauna,taxon,fauna.bird.waterbird.black_throated_loon,fauna.bird.waterbird,Чернозобая гагара,Black-throated loon,,true,SRC_PANT2001,candidate
fauna.bird.waterbird.great_crested_grebe,fauna,taxon,fauna.bird.waterbird.great_crested_grebe,fauna.bird.waterbird,Чомга,Great crested grebe,,true,SRC_PANT2001,candidate
fauna.bird.heron.bittern,fauna,taxon,fauna.bird.heron.bittern,fauna.bird.heron,Большая выпь,Eurasian bittern,,true,SRC_PANT2001,candidate
fauna.bird.heron.grey_heron,fauna,taxon,fauna.bird.heron.grey_heron,fauna.bird.heron,Серая цапля,Grey heron,,true,SRC_PANT2001,candidate
fauna.bird.heron.black_stork,fauna,taxon,fauna.bird.heron.black_stork,fauna.bird.heron,Чёрный аист,Black stork,,true,SRC_PANT2001,candidate
fauna.bird.crane.common_crane,fauna,taxon,fauna.bird.crane.common_crane,fauna.bird.crane,Серый журавль,Common crane,,true,SRC_GOROBETS2017,candidate
fauna.bird.rail.corncrake,fauna,taxon,fauna.bird.rail.corncrake,fauna.bird.rail,Коростель,Corn crake,,true,SRC_PANT2001,candidate
fauna.bird.rail.spotted_crake,fauna,taxon,fauna.bird.rail.spotted_crake,fauna.bird.rail,Погоныш,Spotted crake,,true,SRC_PANT2001,candidate
fauna.bird.rail.coot,fauna,taxon,fauna.bird.rail.coot,fauna.bird.rail,Лысуха,Eurasian coot,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.whooper_swan,fauna,taxon,fauna.bird.waterfowl.whooper_swan,fauna.bird.waterfowl,Лебедь-кликун,Whooper swan,,true,SRC_GOROBETS2017,candidate
fauna.bird.waterfowl.bewicks_swan,fauna,taxon,fauna.bird.waterfowl.bewicks_swan,fauna.bird.waterfowl,Малый лебедь,Bewick's swan,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.greylag_goose,fauna,taxon,fauna.bird.waterfowl.greylag_goose,fauna.bird.waterfowl,Серый гусь,Greylag goose,,true,SRC_GOROBETS2017,candidate
fauna.bird.waterfowl.white_fronted_goose,fauna,taxon,fauna.bird.waterfowl.white_fronted_goose,fauna.bird.waterfowl,Белолобый гусь,Greater white-fronted goose,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.bean_goose,fauna,taxon,fauna.bird.waterfowl.bean_goose,fauna.bird.waterfowl,Гуменник,Bean goose,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.mallard,fauna,taxon,fauna.bird.waterfowl.mallard,fauna.bird.waterfowl,Кряква,Mallard,,true,SRC_WK_BIRDRES,candidate
fauna.bird.waterfowl.teal,fauna,taxon,fauna.bird.waterfowl.teal,fauna.bird.waterfowl,Чирок-свистунок,Eurasian teal,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.wigeon,fauna,taxon,fauna.bird.waterfowl.wigeon,fauna.bird.waterfowl,Свиязь,Eurasian wigeon,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.pintail,fauna,taxon,fauna.bird.waterfowl.pintail,fauna.bird.waterfowl,Шилохвость,Northern pintail,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.garganey,fauna,taxon,fauna.bird.waterfowl.garganey,fauna.bird.waterfowl,Чирок-трескунок,Garganey,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.shoveler,fauna,taxon,fauna.bird.waterfowl.shoveler,fauna.bird.waterfowl,Широконоска,Northern shoveler,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.tufted_duck,fauna,taxon,fauna.bird.waterfowl.tufted_duck,fauna.bird.waterfowl,Хохлатая чернеть,Tufted duck,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.goldeneye,fauna,taxon,fauna.bird.waterfowl.goldeneye,fauna.bird.waterfowl,Гоголь,Common goldeneye,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.smew,fauna,taxon,fauna.bird.waterfowl.smew,fauna.bird.waterfowl,Луток,Smew,,true,SRC_PANT2001,candidate
fauna.bird.waterfowl.goosander,fauna,taxon,fauna.bird.waterfowl.goosander,fauna.bird.waterfowl,Большой крохаль,Goosander,,true,SRC_PANT2001,candidate
fauna.bird.raptor.osprey,fauna,taxon,fauna.bird.raptor.osprey,fauna.bird.raptor,Скопа,Osprey,,true,SRC_PANT2001,candidate
fauna.bird.raptor.honey_buzzard,fauna,taxon,fauna.bird.raptor.honey_buzzard,fauna.bird.raptor,Осоед,European honey buzzard,,true,SRC_PANT2001,candidate
fauna.bird.raptor.black_kite,fauna,taxon,fauna.bird.raptor.black_kite,fauna.bird.raptor,Чёрный коршун,Black kite,,true,SRC_PANT2001,candidate
fauna.bird.raptor.white_tailed_eagle,fauna,taxon,fauna.bird.raptor.white_tailed_eagle,fauna.bird.raptor,Орлан-белохвост,White-tailed eagle,,true,SRC_ZIN2012,candidate
fauna.bird.raptor.goshawk,fauna,taxon,fauna.bird.raptor.goshawk,fauna.bird.raptor,Ястреб-тетеревятник,Northern goshawk,,true,SRC_GOROBETS2017,candidate
fauna.bird.raptor.sparrowhawk,fauna,taxon,fauna.bird.raptor.sparrowhawk,fauna.bird.raptor,Ястреб-перепелятник,Eurasian sparrowhawk,,true,SRC_PANT2001,candidate
fauna.bird.raptor.rough_legged_buzzard,fauna,taxon,fauna.bird.raptor.rough_legged_buzzard,fauna.bird.raptor,Зимняк,Rough-legged buzzard,,true,SRC_PANT2001,candidate
fauna.bird.raptor.common_buzzard,fauna,taxon,fauna.bird.raptor.common_buzzard,fauna.bird.raptor,Канюк,Common buzzard,,true,SRC_PANT2001,candidate
fauna.bird.raptor.greater_spotted_eagle,fauna,taxon,fauna.bird.raptor.greater_spotted_eagle,fauna.bird.raptor,Большой подорлик,Greater spotted eagle,,true,SRC_PANT2001,candidate
fauna.bird.raptor.golden_eagle,fauna,taxon,fauna.bird.raptor.golden_eagle,fauna.bird.raptor,Беркут,Golden eagle,,true,SRC_PANT2001,candidate
fauna.bird.raptor.hen_harrier,fauna,taxon,fauna.bird.raptor.hen_harrier,fauna.bird.raptor,Полевой лунь,Hen harrier,,true,SRC_PANT2001,candidate
fauna.bird.raptor.marsh_harrier,fauna,taxon,fauna.bird.raptor.marsh_harrier,fauna.bird.raptor,Болотный лунь,Western marsh harrier,,true,SRC_PANT2001,candidate
fauna.bird.raptor.kestrel,fauna,taxon,fauna.bird.raptor.kestrel,fauna.bird.raptor,Обыкновенная пустельга,Common kestrel,,true,SRC_PANT2001,candidate
fauna.bird.raptor.merlin,fauna,taxon,fauna.bird.raptor.merlin,fauna.bird.raptor,Дербник,Merlin,,true,SRC_PANT2001,candidate
fauna.bird.raptor.hobby,fauna,taxon,fauna.bird.raptor.hobby,fauna.bird.raptor,Чеглок,Eurasian hobby,,true,SRC_PANT2001,candidate
fauna.bird.raptor.peregrine,fauna,taxon,fauna.bird.raptor.peregrine,fauna.bird.raptor,Сапсан,Peregrine falcon,,true,SRC_PANT2001,candidate
fauna.bird.raptor.gyrfalcon,fauna,taxon,fauna.bird.raptor.gyrfalcon,fauna.bird.raptor,Кречет,Gyrfalcon,,true,SRC_PANT2001,candidate
fauna.bird.gamebird.grey_partridge,fauna,taxon,fauna.bird.gamebird.grey_partridge,fauna.bird.gamebird,Серая куропатка,Grey partridge,,true,SRC_PANT2001,candidate
fauna.bird.gamebird.quail,fauna,taxon,fauna.bird.gamebird.quail,fauna.bird.gamebird,Перепел,Common quail,,true,SRC_PANT2001,candidate
fauna.bird.gamebird.willow_ptarmigan,fauna,taxon,fauna.bird.gamebird.willow_ptarmigan,fauna.bird.gamebird,Белая куропатка,Willow ptarmigan,,true,SRC_PANT2001,candidate
fauna.bird.gamebird.capercaillie,fauna,taxon,fauna.bird.gamebird.capercaillie,fauna.bird.gamebird,Глухарь,Western capercaillie,,true,SRC_GOROBETS2017,candidate
fauna.bird.gamebird.black_grouse,fauna,taxon,fauna.bird.gamebird.black_grouse,fauna.bird.gamebird,Тетерев,Black grouse,,true,SRC_GOROBETS2017,candidate
fauna.bird.gamebird.hazel_grouse,fauna,taxon,fauna.bird.gamebird.hazel_grouse,fauna.bird.gamebird,Рябчик,Hazel grouse,,true,SRC_PANT2001,candidate
fauna.bird.wader.little_ringed_plover,fauna,taxon,fauna.bird.wader.little_ringed_plover,fauna.bird.wader,Малый зуёк,Little ringed plover,,true,SRC_PANT2001,candidate
fauna.bird.wader.lapwing,fauna,taxon,fauna.bird.wader.lapwing,fauna.bird.wader,Чибис,Northern lapwing,,true,SRC_PANT2001,candidate
fauna.bird.wader.wood_sandpiper,fauna,taxon,fauna.bird.wader.wood_sandpiper,fauna.bird.wader,Фифи,Wood sandpiper,,true,SRC_PANT2001,candidate
fauna.bird.wader.redshank,fauna,taxon,fauna.bird.wader.redshank,fauna.bird.wader,Травник,Common redshank,,true,SRC_PANT2001,candidate
fauna.bird.wader.common_sandpiper,fauna,taxon,fauna.bird.wader.common_sandpiper,fauna.bird.wader,Перевозчик,Common sandpiper,,true,SRC_PANT2001,candidate
fauna.bird.wader.ruff,fauna,taxon,fauna.bird.wader.ruff,fauna.bird.wader,Турухтан,Ruff,,true,SRC_PANT2001,candidate
fauna.bird.wader.great_snipe,fauna,taxon,fauna.bird.wader.great_snipe,fauna.bird.wader,Дупель,Great snipe,,true,SRC_PANT2001,candidate
fauna.bird.wader.snipe,fauna,taxon,fauna.bird.wader.snipe,fauna.bird.wader,Бекас,Common snipe,,true,SRC_PANT2001,candidate
fauna.bird.wader.woodcock,fauna,taxon,fauna.bird.wader.woodcock,fauna.bird.wader,Вальдшнеп,Eurasian woodcock,,true,SRC_PANT2001,candidate
fauna.bird.wader.curlew,fauna,taxon,fauna.bird.wader.curlew,fauna.bird.wader,Большой кроншнеп,Eurasian curlew,,true,SRC_PANT2001,candidate
fauna.bird.wader.black_tailed_godwit,fauna,taxon,fauna.bird.wader.black_tailed_godwit,fauna.bird.wader,Большой веретенник,Black-tailed godwit,,true,SRC_PANT2001,candidate
fauna.bird.gull.common_gull,fauna,taxon,fauna.bird.gull.common_gull,fauna.bird.gull,Сизая чайка,Common gull,,true,SRC_PANT2001,candidate
fauna.bird.gull.black_headed_gull,fauna,taxon,fauna.bird.gull.black_headed_gull,fauna.bird.gull,Озёрная чайка,Black-headed gull,,true,SRC_PANT2001,candidate
fauna.bird.gull.black_tern,fauna,taxon,fauna.bird.gull.black_tern,fauna.bird.gull,Чёрная крачка,Black tern,,true,SRC_PANT2001,candidate
fauna.bird.gull.common_tern,fauna,taxon,fauna.bird.gull.common_tern,fauna.bird.gull,Речная крачка,Common tern,,true,SRC_PANT2001,candidate
fauna.bird.pigeon.rock_dove,fauna,taxon,fauna.bird.pigeon.rock_dove,fauna.bird.pigeon,Сизый голубь,Rock dove (feral pigeon),,true,SRC_ZIN2025,candidate
fauna.bird.pigeon.stock_dove,fauna,taxon,fauna.bird.pigeon.stock_dove,fauna.bird.pigeon,Клинтух,Stock dove,,true,SRC_PANT2001,candidate
fauna.bird.pigeon.wood_pigeon,fauna,taxon,fauna.bird.pigeon.wood_pigeon,fauna.bird.pigeon,Вяхирь,Common wood pigeon,,true,SRC_PANT2001,candidate
fauna.bird.other.cuckoo,fauna,taxon,fauna.bird.other.cuckoo,fauna.bird.other,Обыкновенная кукушка,Common cuckoo,,true,SRC_PANT2001,candidate
fauna.bird.owl.eagle_owl,fauna,taxon,fauna.bird.owl.eagle_owl,fauna.bird.owl,Филин,Eurasian eagle-owl,,true,SRC_PANT2001,candidate
fauna.bird.owl.pygmy_owl,fauna,taxon,fauna.bird.owl.pygmy_owl,fauna.bird.owl,Воробьиный сыч,Eurasian pygmy owl,,true,SRC_PANT2001,candidate
fauna.bird.owl.great_grey_owl,fauna,taxon,fauna.bird.owl.great_grey_owl,fauna.bird.owl,Бородатая неясыть,Great grey owl,,true,SRC_PANT2001,candidate
fauna.bird.owl.tawny_owl,fauna,taxon,fauna.bird.owl.tawny_owl,fauna.bird.owl,Серая неясыть,Tawny owl,,true,SRC_PANT2001,candidate
fauna.bird.owl.ural_owl,fauna,taxon,fauna.bird.owl.ural_owl,fauna.bird.owl,Длиннохвостая неясыть,Ural owl,,true,SRC_PANT2001,candidate
fauna.bird.owl.long_eared_owl,fauna,taxon,fauna.bird.owl.long_eared_owl,fauna.bird.owl,Ушастая сова,Long-eared owl,,true,SRC_PANT2001,candidate
fauna.bird.owl.short_eared_owl,fauna,taxon,fauna.bird.owl.short_eared_owl,fauna.bird.owl,Болотная сова,Short-eared owl,,true,SRC_PANT2001,candidate
fauna.bird.owl.tengmalms_owl,fauna,taxon,fauna.bird.owl.tengmalms_owl,fauna.bird.owl,Мохноногий сыч,Tengmalm's owl,,true,SRC_PANT2001,candidate
fauna.bird.other.nightjar,fauna,taxon,fauna.bird.other.nightjar,fauna.bird.other,Козодой,European nightjar,,true,SRC_PANT2001,candidate
fauna.bird.other.swift,fauna,taxon,fauna.bird.other.swift,fauna.bird.other,Чёрный стриж,Common swift,,true,SRC_PANT2001,candidate
fauna.bird.other.kingfisher,fauna,taxon,fauna.bird.other.kingfisher,fauna.bird.other,Зимородок,Common kingfisher,,true,SRC_PANT2001,candidate
fauna.bird.woodpecker.wryneck,fauna,taxon,fauna.bird.woodpecker.wryneck,fauna.bird.woodpecker,Вертишейка,Eurasian wryneck,,true,SRC_PANT2001,candidate
fauna.bird.woodpecker.black_woodpecker,fauna,taxon,fauna.bird.woodpecker.black_woodpecker,fauna.bird.woodpecker,Желна,Black woodpecker,,true,SRC_PANT2001,candidate
fauna.bird.woodpecker.grey_headed_woodpecker,fauna,taxon,fauna.bird.woodpecker.grey_headed_woodpecker,fauna.bird.woodpecker,Седой дятел,Grey-headed woodpecker,,true,SRC_PANT2001,candidate
fauna.bird.woodpecker.great_spotted_woodpecker,fauna,taxon,fauna.bird.woodpecker.great_spotted_woodpecker,fauna.bird.woodpecker,Большой пёстрый дятел,Great spotted woodpecker,,true,SRC_PANT2001,candidate
fauna.bird.woodpecker.white_backed_woodpecker,fauna,taxon,fauna.bird.woodpecker.white_backed_woodpecker,fauna.bird.woodpecker,Белоспинный дятел,White-backed woodpecker,,true,SRC_PANT2001,candidate
fauna.bird.woodpecker.lesser_spotted_woodpecker,fauna,taxon,fauna.bird.woodpecker.lesser_spotted_woodpecker,fauna.bird.woodpecker,Малый пёстрый дятел,Lesser spotted woodpecker,,true,SRC_PANT2001,candidate
fauna.bird.woodpecker.three_toed_woodpecker,fauna,taxon,fauna.bird.woodpecker.three_toed_woodpecker,fauna.bird.woodpecker,Трёхпалый дятел,Eurasian three-toed woodpecker,,true,SRC_PANT2001,candidate
fauna.bird.songbird.woodlark,fauna,taxon,fauna.bird.songbird.woodlark,fauna.bird.songbird,Лесной жаворонок,Woodlark,,true,SRC_PANT2001,candidate
fauna.bird.songbird.skylark,fauna,taxon,fauna.bird.songbird.skylark,fauna.bird.songbird,Полевой жаворонок,Eurasian skylark,,true,SRC_PANT2001,candidate
