presence_id,fl_id,name_lat,name_ru,pf_id,wk_family_ref,region_id,season,frequency_class,weight,probability_ppm,probability_rule_ref,habitat_role,class_rule_ref,derivation,refresh_class,seasonal_state,visible_above_snow,basis_ru,source_refs,confidence,status
flp_pinus_sylvestris__forest_edge__summer,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_forest_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge],region_novgorod_land,summer,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen,yes,светолюбива; опушки боров — вторичное местообитание (C),src:src_wiki_pinus_sylvestris,C,candidate
flp_pinus_sylvestris__forest_edge__autumn,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_forest_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge],region_novgorod_land,autumn,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe,yes,светолюбива; опушки боров — вторичное местообитание (C),src:src_wiki_pinus_sylvestris,C,candidate
flp_pinus_sylvestris__forest_track__winter,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_forest_track,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_track],region_novgorod_land,winter,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;fruit_ripe;seed_release,yes,"overlay from pf_conifer_woodland (capped at component): K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__forest_track__spring,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_forest_track,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_track],region_novgorod_land,spring,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;seed_release,yes,"overlay from pf_conifer_woodland (capped at component): K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__forest_track__summer,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_forest_track,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_track],region_novgorod_land,summer,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen,yes,"overlay from pf_conifer_woodland (capped at component): K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__forest_track__autumn,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_forest_track,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_track],region_novgorod_land,autumn,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;fruit_ripe,yes,"overlay from pf_conifer_woodland (capped at component): K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__hunting_ground__winter,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_hunting_ground,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=hunting_ground],region_novgorod_land,winter,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;fruit_ripe;seed_release,yes,"overlay from pf_conifer_woodland (capped at component): K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__hunting_ground__spring,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_hunting_ground,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=hunting_ground],region_novgorod_land,spring,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;seed_release,yes,"overlay from pf_conifer_woodland (capped at component): K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__hunting_ground__summer,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_hunting_ground,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=hunting_ground],region_novgorod_land,summer,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen,yes,"overlay from pf_conifer_woodland (capped at component): K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__hunting_ground__autumn,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_hunting_ground,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=hunting_ground],region_novgorod_land,autumn,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;fruit_ripe,yes,"overlay from pf_conifer_woodland (capped at component): K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__lake_shore__winter,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_lake_shore,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore],region_novgorod_land,winter,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe;seed_release,yes,W: сухие пески (песчаные берега) (C),src:src_wiki_pinus_sylvestris,C,candidate
flp_pinus_sylvestris__lake_shore__spring,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_lake_shore,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore],region_novgorod_land,spring,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;seed_release,yes,W: сухие пески (песчаные берега) (C),src:src_wiki_pinus_sylvestris,C,candidate
flp_pinus_sylvestris__lake_shore__summer,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_lake_shore,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore],region_novgorod_land,summer,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen,yes,W: сухие пески (песчаные берега) (C),src:src_wiki_pinus_sylvestris,C,candidate
flp_pinus_sylvestris__lake_shore__autumn,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_lake_shore,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore],region_novgorod_land,autumn,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe,yes,W: сухие пески (песчаные берега) (C),src:src_wiki_pinus_sylvestris,C,candidate
flp_pinus_sylvestris__mixed_woodland__winter,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_mixed_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=mixed_woodland],region_novgorod_land,winter,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe;seed_release,yes,"K: лес по преимуществу хвойный, сосна в меньшем количестве, чем ель",src:src_kolchin_1968,B,candidate
flp_pinus_sylvestris__mixed_woodland__spring,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_mixed_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=mixed_woodland],region_novgorod_land,spring,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;seed_release,yes,"K: лес по преимуществу хвойный, сосна в меньшем количестве, чем ель",src:src_kolchin_1968,B,candidate
flp_pinus_sylvestris__mixed_woodland__summer,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_mixed_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=mixed_woodland],region_novgorod_land,summer,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen,yes,"K: лес по преимуществу хвойный, сосна в меньшем количестве, чем ель",src:src_kolchin_1968,B,candidate
flp_pinus_sylvestris__mixed_woodland__autumn,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_mixed_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=mixed_woodland],region_novgorod_land,autumn,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe,yes,"K: лес по преимуществу хвойный, сосна в меньшем количестве, чем ель",src:src_kolchin_1968,B,candidate
flp_picea_abies__broadleaf_woodland__winter,fl_ts_picea_abies,Picea abies,ель европейская,pf_broadleaf_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=broadleaf_woodland],region_novgorod_land,winter,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;seed_release,yes,VP: богатые ельники с неморальными видами — ель в составе,src:src_valdaypark_flora,B,candidate
flp_picea_abies__broadleaf_woodland__spring,fl_ts_picea_abies,Picea abies,ель европейская,pf_broadleaf_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=broadleaf_woodland],region_novgorod_land,spring,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;flowering;seed_release,yes,VP: богатые ельники с неморальными видами — ель в составе,src:src_valdaypark_flora,B,candidate
flp_picea_abies__broadleaf_woodland__summer,fl_ts_picea_abies,Picea abies,ель европейская,pf_broadleaf_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=broadleaf_woodland],region_novgorod_land,summer,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen,yes,VP: богатые ельники с неморальными видами — ель в составе,src:src_valdaypark_flora,B,candidate
flp_picea_abies__broadleaf_woodland__autumn,fl_ts_picea_abies,Picea abies,ель европейская,pf_broadleaf_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=broadleaf_woodland],region_novgorod_land,autumn,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe,yes,VP: богатые ельники с неморальными видами — ель в составе,src:src_valdaypark_flora,B,candidate
flp_picea_abies__conifer_woodland__winter,fl_ts_picea_abies,Picea abies,ель европейская,pf_conifer_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland],region_novgorod_land,winter,ubiquitous,8,1000000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,edificator,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;seed_release,yes,"K: лес Новгородской земли главным образом из ели, по низинам на плодородных землях; VP: ельники 34,9 %",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_picea_abies__conifer_woodland__spring,fl_ts_picea_abies,Picea abies,ель европейская,pf_conifer_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland],region_novgorod_land,spring,ubiquitous,8,1000000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,edificator,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;flowering;seed_release,yes,"K: лес Новгородской земли главным образом из ели, по низинам на плодородных землях; VP: ельники 34,9 %",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_picea_abies__conifer_woodland__summer,fl_ts_picea_abies,Picea abies,ель европейская,pf_conifer_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland],region_novgorod_land,summer,ubiquitous,8,1000000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,edificator,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen,yes,"K: лес Новгородской земли главным образом из ели, по низинам на плодородных землях; VP: ельники 34,9 %",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_picea_abies__conifer_woodland__autumn,fl_ts_picea_abies,Picea abies,ель европейская,pf_conifer_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland],region_novgorod_land,autumn,ubiquitous,8,1000000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,edificator,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe,yes,"K: лес Новгородской земли главным образом из ели, по низинам на плодородных землях; VP: ельники 34,9 %",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_picea_abies__forest_edge__winter,fl_ts_picea_abies,Picea abies,ель европейская,pf_forest_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge],region_novgorod_land,winter,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;seed_release,yes,"теневынослива, на опушках — примесь (C)",src:src_wiki_picea_abies,C,candidate
flp_picea_abies__forest_edge__spring,fl_ts_picea_abies,Picea abies,ель европейская,pf_forest_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge],region_novgorod_land,spring,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;flowering;seed_release,yes,"теневынослива, на опушках — примесь (C)",src:src_wiki_picea_abies,C,candidate
flp_picea_abies__forest_edge__summer,fl_ts_picea_abies,Picea abies,ель европейская,pf_forest_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge],region_novgorod_land,summer,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen,yes,"теневынослива, на опушках — примесь (C)",src:src_wiki_picea_abies,C,candidate
flp_picea_abies__forest_edge__autumn,fl_ts_picea_abies,Picea abies,ель европейская,pf_forest_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge],region_novgorod_land,autumn,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe,yes,"теневынослива, на опушках — примесь (C)",src:src_wiki_picea_abies,C,candidate
flp_picea_abies__forest_track__winter,fl_ts_picea_abies,Picea abies,ель европейская,pf_forest_track,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_track],region_novgorod_land,winter,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;seed_release,yes,"overlay from pf_conifer_woodland (capped at component): K: лес Новгородской земли главным образом из ели, по низинам на плодородных землях; VP: ельники 34,9 %",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_picea_abies__forest_track__spring,fl_ts_picea_abies,Picea abies,ель европейская,pf_forest_track,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_track],region_novgorod_land,spring,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;flowering;seed_release,yes,"overlay from pf_conifer_woodland (capped at component): K: лес Новгородской земли главным образом из ели, по низинам на плодородных землях; VP: ельники 34,9 %",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_picea_abies__forest_track__summer,fl_ts_picea_abies,Picea abies,ель европейская,pf_forest_track,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_track],region_novgorod_land,summer,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen,yes,"overlay from pf_conifer_woodland (capped at component): K: лес Новгородской земли главным образом из ели, по низинам на плодородных землях; VP: ельники 34,9 %",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_picea_abies__forest_track__autumn,fl_ts_picea_abies,Picea abies,ель европейская,pf_forest_track,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_track],region_novgorod_land,autumn,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;fruit_ripe,yes,"overlay from pf_conifer_woodland (capped at component): K: лес Новгородской земли главным образом из ели, по низинам на плодородных землях; VP: ельники 34,9 %",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_picea_abies__hunting_ground__winter,fl_ts_picea_abies,Picea abies,ель европейская,pf_hunting_ground,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=hunting_ground],region_novgorod_land,winter,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,overlay:pf_conifer_woodland,none,evergreen;seed_release,yes,"overlay from pf_conifer_woodland (capped at component): K: лес Новгородской земли главным образом из ели, по низинам на плодородных землях; VP: ельники 34,9 %",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
