src_id,kind,reliability,title,url,locator_note
src_wiki_ulmus_glabra,encyclopedia,B,Вяз шершавый — Википедия,https://ru.wikipedia.org/wiki/Вяз_шершавый,
src_wiki_ulmus_laevis,encyclopedia,B,Вяз гладкий — Википедия,https://ru.wikipedia.org/wiki/Вяз_гладкий,
src_wiki_acer_platanoides,encyclopedia,B,Клён остролистный — Википедия,https://ru.wikipedia.org/wiki/Клён_остролистный,
src_wiki_sorbus_aucuparia,encyclopedia,B,Рябина обыкновенная — Википедия,https://ru.wikipedia.org/wiki/Рябина_обыкновенная,
src_wiki_prunus_padus,encyclopedia,B,Черёмуха обыкновенная — Википедия,https://ru.wikipedia.org/wiki/Черёмуха_обыкновенная,
src_wiki_malus_sylvestris,encyclopedia,B,Яблоня лесная — Википедия,https://ru.wikipedia.org/wiki/Яблоня_лесная,
src_wiki_salix_alba,encyclopedia,B,Ива белая — Википедия,https://ru.wikipedia.org/wiki/Ива_белая,
src_wiki_salix_caprea,encyclopedia,B,Ива козья — Википедия,https://ru.wikipedia.org/wiki/Ива_козья,
src_wiki_salix_pentandra,encyclopedia,B,Ива пятитычинковая — Википедия,https://ru.wikipedia.org/wiki/Ива_пятитычинковая,
src_wiki_salix_cinerea,encyclopedia,B,Ива пепельная — Википедия,https://ru.wikipedia.org/wiki/Ива_пепельная,
src_wiki_salix_aurita,encyclopedia,B,Ива ушастая — Википедия,https://ru.wikipedia.org/wiki/Ива_ушастая,
src_wiki_salix_triandra,encyclopedia,B,Ива трёхтычинковая — Википедия,https://ru.wikipedia.org/wiki/Ива_трёхтычинковая,
src_wiki_salix_viminalis,encyclopedia,B,Ива прутовидная — Википедия,https://ru.wikipedia.org/wiki/Ива_прутовидная,
src_wiki_salix_myrsinifolia,encyclopedia,B,Ива мирзинолистная — Википедия,https://ru.wikipedia.org/wiki/Ива_мирзинолистная,
src_wiki_salix_rosmarinifolia,encyclopedia,B,Ива розмаринолистная — Википедия,https://ru.wikipedia.org/wiki/Ива_розмаринолистная,
src_wiki_corylus_avellana,encyclopedia,B,Лещина обыкновенная — Википедия,https://ru.wikipedia.org/wiki/Лещина_обыкновенная,
src_wiki_juniperus_communis,encyclopedia,B,Можжевельник обыкновенный — Википедия,https://ru.wikipedia.org/wiki/Можжевельник_обыкновенный,
src_wiki_frangula_alnus,encyclopedia,B,Крушина ломкая — Википедия,https://ru.wikipedia.org/wiki/Крушина_ломкая,
src_plantarium_frangula_alnus,botanical_database,B,"Плантариум: Frangula alnus (местообитания: берега, окраины низинных болот, пойменные кустарники, заболоченные и мелколиственные леса)",http://www.plantarium.ru/page/view/item/16521.html,
src_wiki_viburnum_opulus,encyclopedia,B,Калина обыкновенная — Википедия,https://ru.wikipedia.org/wiki/Калина_обыкновенная,
src_wiki_rosa_majalis,encyclopedia,B,Шиповник майский — Википедия,https://ru.wikipedia.org/wiki/Шиповник_майский,
src_wiki_daphne_mezereum,encyclopedia,B,Волчеягодник обыкновенный — Википедия,https://ru.wikipedia.org/wiki/Волчеягодник_обыкновенный,
src_wiki_lonicera_xylosteum,encyclopedia,B,Жимолость лесная (настоящая) — Википедия,https://ru.wikipedia.org/wiki/Жимолость_лесная,
src_wiki_euonymus_verrucosus,encyclopedia,B,Бересклет бородавчатый — Википедия,https://ru.wikipedia.org/wiki/Бересклет_бородавчатый,
src_wiki_calluna_vulgaris,encyclopedia,B,Вереск обыкновенный — Википедия,https://ru.wikipedia.org/wiki/Вереск_обыкновенный,
src_wiki_rhododendron_tomentosum,encyclopedia,B,Багульник болотный — Википедия,https://ru.wikipedia.org/wiki/Багульник_болотный,
src_wiki_chamaedaphne_calyculata,encyclopedia,B,Хамедафна — Википедия,https://ru.wikipedia.org/wiki/Хамедафна,
src_wiki_andromeda_polifolia,encyclopedia,B,Подбел многолистный — Википедия,https://ru.wikipedia.org/wiki/Подбел_многолистный,
src_plantarium_betula_nana,botanical_database,B,"Плантариум: Betula nana (Красные книги: Тверская, Псковская, Ярославская обл. и др.; Новгородская обл. в списке нет)",http://www.plantarium.ru/page/view/item/6568.html,
src_wiki_myrica_gale,encyclopedia,B,Восковница обыкновенная — Википедия (побережья морей и берега озёр; редкий вид Ленинградской обл. и Карелии),https://ru.wikipedia.org/wiki/Восковница_обыкновенная,
src_wiki_acer_negundo,encyclopedia,B,Клён ясенелистный — Википедия (родина — Северная Америка),https://ru.wikipedia.org/wiki/Клён_ясенелистный,
src_wiki_robinia_pseudoacacia,encyclopedia,B,Робиния ложноакациевая — Википедия (родина — Северная Америка),https://ru.wikipedia.org/wiki/Робиния_ложноакациевая,
src_wiki_aesculus_hippocastanum,encyclopedia,B,Конский каштан обыкновенный — Википедия (родина — Балканы),https://ru.wikipedia.org/wiki/Конский_каштан_обыкновенный,
src_wiki_syringa_vulgaris,encyclopedia,B,Сирень обыкновенная — Википедия (родина — Балканы),https://ru.wikipedia.org/wiki/Сирень_обыкновенная,
src_wiki_populus_balsamifera,encyclopedia,B,Тополь бальзамический — Википедия (родина — Северная Америка),https://ru.wikipedia.org/wiki/Тополь_бальзамический,
src_wiki_quercus_rubra,encyclopedia,B,Дуб красный — Википедия (родина — Северная Америка),https://ru.wikipedia.org/wiki/Дуб_красный,
src_wiki_picea_pungens,encyclopedia,B,Ель колючая — Википедия (родина — Северная Америка),https://ru.wikipedia.org/wiki/Ель_колючая,
src_wiki_amelanchier_spicata,encyclopedia,B,Ирга колосистая — Википедия (родина — Северная Америка),https://ru.wikipedia.org/wiki/Ирга_колосистая,
src_wiki_sorbaria_sorbifolia,encyclopedia,B,"Рябинник рябинолистный — Википедия (Сибирь, Дальний Восток, Восточная Азия)",https://ru.wikipedia.org/wiki/Рябинник_рябинолистный,
src_wiki_caragana_arborescens,encyclopedia,B,"Карагана древовидная — Википедия (Сибирь, Казахстан, Монголия)",https://ru.wikipedia.org/wiki/Карагана_древовидная,
src_wiki_ulmus_pumila,encyclopedia,B,Вяз приземистый — Википедия (Восточная Азия),https://ru.wikipedia.org/wiki/Вяз_приземистый,
src_vinogradova_2010_black_book,scholarly_monograph,B,"Виноградова Ю. К., Майоров С. Р., Хорун Л. В. Чёрная книга флоры Средней России. М.: ГЕОС, 2010 (52 наиболее вредоносных инвазионных вида)",https://bigenc.ru/b/chiornaia-kniga-flory-srednei-4d62c8,
src_world_db_landscape_templates,project_draft_table,C (draft),world_db.world_base.landscape_templates.dominant_vegetation for region_novgorod_land (snapshot 2026-09-26),file:scripts/src/world_db_landscape_templates_snapshot.tsv,
src_pr98_richness_v1,project_candidate,C (candidate_approval_pending),"pr98:data/world-catalogs/novgorod/m2c-natural/nature-richness-candidate-v1.json (Pinus, Picea, Betula, Salix, Alnus, Sphagnum, Phragmites; weights 8/4/2/1)",file:C:/Users/Slaven/Documents/Novgorod-runtime/data/world-catalogs/novgorod/m2c-natural/nature-richness-candidate-v1.json,
src_wiki_sambucus_racemosa,encyclopedia,B,Бузина красная — Википедия («Для Европейской части России бузина красная является адвентивным растением»),https://ru.wikipedia.org/wiki/Бузина_красная,
src_rdeysky_letopis_2012,protected_area_official_report,"B (modern, Novgorod Oblast)","Летопись природы ГПЗ «Рдейский» за 2012 год, т. 11: заброшенные поля и канавы зарастают древесно-кустарниковой растительностью из пород, предпочитаемых лосем — осины, ив, березы, реже рябины",https://rdeysky.org/sites/default/files/Летопись-природы-ФГБУ-ГПЗ-Рдейский-2012.pdf,
