wood_ru,lat,fl_id,fl_id_also,origin,artefact_count,share_of_909,origin_note,source_refs,locator,confidence,caveat
берёза,Betula pendula,fl_ts_betula_pendula,fl_ts_betula_pubescens,local,66,0.0726,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
липа,Tilia cordata,fl_ts_tilia_cordata,,local,24,0.0264,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
ольха,Alnus glutinosa,fl_ts_alnus_glutinosa,fl_ts_alnus_incana,local,40,0.0440,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
ива,Salix,,,local,12,0.0132,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
осина,Populus tremula,fl_ts_populus_tremula,,local,7,0.0077,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
вяз,Ulmus laevis,fl_ts_ulmus_laevis,,local,9,0.0099,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
ильм,Ulmus glabra,fl_ts_ulmus_glabra,,local,4,0.0044,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
лещина,Corylus avellana,fl_ts_corylus_avellana,,local,10,0.0110,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
рябина,Sorbus aucuparia,fl_ts_sorbus_aucuparia,,local,9,0.0099,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
яблоня,Malus sylvestris,fl_ts_malus_sylvestris,,local,6,0.0066,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
груша,Pyrus,,,local_or_central_rus,7,0.0077,"Колчин относит к «местным, из лесов Новгородской земли или центральных районов Руси»; дикорастущая груша в Новгородской земле источниками коллектора не подтверждена — не включена в trees_shrubs.csv",src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
черёмуха,Prunus padus,fl_ts_prunus_padus,,local,2,0.0022,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
бересклет,Euonymus verrucosus,fl_ts_euonymus_verrucosus,,local,1,0.0011,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
каштан,Castanea sativa,,,imported,2,0.0022,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
бук,Fagus,,,imported,1,0.0011,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
грецкий орех,Juglans regia,,,imported,1,0.0011,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
