source_id,title,authors,year,source_type,url,description,supports,region_scope,period_scope,trust_level,access_note,notes
SRC020,Георгиевский собор Юрьева монастыря: историко-культурная панорама,ИА РАН,1119–1130-е,официальный академический ресурс / архитектура,https://archaeolog.ru/en/press/events/georgievskiy-sobor-yureva-monastyrya-istoriko-kulturnaya-panorama,собор 1119; фрески 1120–1130-х; монастырская архитектура и утварь,собор 1119; фрески 1120–1130-х; монастырская архитектура и утварь,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC021,Росписи Георгиевского собора XII века,,XII в.,официальный музей / монументальная живопись,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/v-novgorodskom-muzee-zapovednike-otrestavriruyut-novye-fragmenty-rospisej-georgievskogo-sobora-xii--veka,ранние фрески; пол; интерьер; хронология новгородских росписей,ранние фрески; пол; интерьер; хронология новгородских росписей,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,
SRC022,Церковь Петра и Павла на Сильнище,,,официальное сообщение ИА РАН / архитектурная археология,https://archaeolog.ru/press/articles/arkheologiya-u-sten-tserkvi-petra-i-pavla-na-silnishche-v-novgorode,полностью сохранившийся храм второй половины XII в.; погребения и строительный контекст,полностью сохранившийся храм второй половины XII в.; погребения и строительный контекст,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC023,Пантелеймонов монастырь: домонгольский каменный собор 1207 года,,1207,официальный музей / архитектурная реконструкция,https://novgorodmuseum.ru/nauka/kompleksnaya-restavraciya-mndz-%C2%ABvitoslavlicy%C2%BB,малый монастырский храм; новгородский четырёхстолпный трёхапсидный одноглавый тип,малый монастырский храм; новгородский четырёхстолпный трёхапсидный одноглавый тип,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC024,Керамика средневекового Новгорода: музейная выставка,,,официальный музей / археологический каталог,https://novgorodmuseum.ru/visit/sobytiya/keramika-srednevekovogo-novgoroda,горшки; миски; светильники; сосуды; игрушки; пряслица; гончарный круг,горшки; миски; светильники; сосуды; игрушки; пряслица; гончарный круг,Великий Новгород и Новгородская земля,X–XVII вв.; для 1230 только ранние формы,A / высокий,Публичная веб-страница/библиографическая карточка,
SRC025,Рыболовный промысел в Новгородской земле,,,официальный музей / археология,https://novgorodmuseum.ru/visit/sobytiya/rybolovnyj-promysel-v-novgorodskoj-zemle,сети; поплавки; грузила; крючки; остроги; ловушки; рыба и лодки,сети; поплавки; грузила; крючки; остроги; ловушки; рыба и лодки,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC026,Музей письменности,,,официальный музей / археология письменности,https://novgorodmuseum.ru/visit/sobytiya/muzej-pismennosti,береста; писала; книги; печати; письменные принадлежности,береста; писала; книги; печати; письменные принадлежности,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,
SRC027,Древнерусские берестяные грамоты: научная база,"НИУ ВШЭ, Институт славяноведения РАН",,первичный письменный источник / научная база,https://gramoty.ru/birchbark/document/list/,"лексика вещей, товаров, транспорта, пищи, хозяйства и управления; датировки грамот","лексика вещей, товаров, транспорта, пищи, хозяйства и управления; датировки грамот",Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC028,Берестяная грамота №718,,,первичный письменный источник,https://gramoty.ru/birchbark/document/show/novgorod/718/,мёд; коровы; туши; горшок масла; сани; попоны; мешки; ткань; хозяйственная опись,мёд; коровы; туши; горшок масла; сани; попоны; мешки; ткань; хозяйственная опись,Великий Новгород и Новгородская земля,"1220–1240, вероятно несколько раньше",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC029,Берестяная грамота №616,,,первичный письменный источник,https://gramoty.ru/birchbark/document/show/novgorod/616/,ладья; перевозка; порожний/гружёный рейс; торговая логистика,ладья; перевозка; порожний/гружёный рейс; торговая логистика,Великий Новгород и Новгородская земля,1220–1240,A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC030,Берестяная грамота №73,,,первичный письменный источник,https://gramoty.ru/birchbark/document/show/novgorod/73/,гривны; долговая запись; денежно-весовая практика,гривны; долговая запись; денежно-весовая практика,Великий Новгород и Новгородская земля,1220–1240,A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC031,Новгородская первая летопись старшего и младшего изводов,,издание 1950,первичный письменный источник / летопись,https://imwerden.de/publ-4542.html,мост; городские события; постройки; голод 1230; военные и церковные реалии,мост; городские события; постройки; голод 1230; военные и церковные реалии,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная электронная копия научного издания,"Летописная запись подтверждает событие/термин, но не всегда конструктивную форму предмета."
SRC032,Железообрабатывающее ремесло Новгорода Великого,Б.А. Колчин,1953,академическая монография / археометаллургия,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-1953/kolchin-1953,кузнечное производство; инструменты; металл; технология; изделия,кузнечное производство; инструменты; металл; технология; изделия,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC033,Ремесло Древней Руси,Б.А. Рыбаков,1948,академическая монография / синтез,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-1948/rybakov-1948,кузнечное; ювелирное; гончарное; деревообработка; строительство; ремесленные инструменты,кузнечное; ювелирное; гончарное; деревообработка; строительство; ремесленные инструменты,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC034,Древнерусское оружие. Вып. I. Мечи и сабли. IX–XIII вв.,А.Н. Кирпичников,1966,академический археологический свод,https://archaeolog.ru/el-bib/el-cat/el-series/svod-arch?show=references,мечи; клинки; гарды; навершия; ножны; датировки,мечи; клинки; гарды; навершия; ножны; датировки,Древняя Русь; Новгородские находки и северо-западные аналогии,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC035,"Древнерусское оружие. Вып. II. Копья, сулицы, боевые топоры, булавы, кистени",А.Н. Кирпичников,1966,академический археологический свод,https://archaeolog.ru/el-bib/el-cat/el-series/svod-arch?show=references,копья; топоры; булавы; кистени; типология наконечников,копья; топоры; булавы; кистени; типология наконечников,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / очень высокий,Публичная веб-страница/библиографическая карточка,URL раздела каталога; библиографическая запись также присутствует в полном перечне САИ.
SRC036,"Древнерусское оружие. Вып. III. Доспех, комплекс боевых средств",А.Н. Кирпичников,1971,академический археологический свод,https://archaeolog.ru/el-bib/el-cat/el-series/svod-arch?show=references,кольчуги; шлемы; щиты; пластинчатая защита; воинский комплекс,кольчуги; шлемы; щиты; пластинчатая защита; воинский комплекс,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC037,"Ручное метательное оружие: лук, стрелы, самострел. VIII–XIV вв.",А.Ф. Медведев,1966,академический археологический свод,https://archaeolog.ru/el-bib/el-cat/el-series/svod-arch/sai-e1-36_1966,луки; стрелы; наконечники; колчаны; самострелы; датировки,луки; стрелы; наконечники; колчаны; самострелы; датировки,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC038,Снаряжение всадника и верхового коня на Руси IX–XIII вв.,А.Н. Кирпичников,1973,академический археологический свод,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-1973,седла; стремена; удила; шпоры; узда; конская упряжь; плети,седла; стремена; удила; шпоры; узда; конская упряжь; плети,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC039,Водный и сухопутный транспорт средневекового Новгорода X–XV вв.,Г.Е. Дубровин,2000,академическая монография / археология транспорта,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-2000,лодки; суда; детали судостроения; телеги; колёса; сани; транспортная инфраструктура,лодки; суда; детали судостроения; телеги; колёса; сани; транспортная инфраструктура,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC040,Animals and Archaeology in Northern Medieval Russia,"M. Brisbane, M. Maltby et al.",2020,академическая коллективная монография / археозоология,https://www.jstor.org/stable/j.ctv138wsxr,крупный и мелкий скот; лошади; свиньи; птица; рыба; охота; шкуры; промысловые животные,крупный и мелкий скот; лошади; свиньи; птица; рыба; охота; шкуры; промысловые животные,Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC041,From bovid to beaver: mammal exploitation in Medieval northwest Russia,Mark Maltby,2017,рецензируемая академическая глава / археозоология,https://academic.oup.com/edited-volume/34661/chapter-abstract/295340039,мелкорослый скот; молоко и мясо; свиньи; овцы/козы; лошади; меховой промысел,мелкорослый скот; молоко и мясо; свиньи; овцы/козы; лошади; меховой промысел,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,
SRC042,Horseflesh and beaver pelts: faunal studies in Medieval Novgorod,Mark Maltby,2017,академическая публикация / археозоология,https://eprints.bournemouth.ac.uk/30013/,городские конюшни; лошади как транспорт и пища; кожа; костяные коньки; бобр,городские конюшни; лошади как транспорт и пища; кожа; костяные коньки; бобр,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,
SRC043,Cats in medieval Novgorod and Tver,,,рецензируемая научная статья / остеоархеология,https://onlinelibrary.wiley.com/doi/10.1002/oa.2637,размер и использование домашних кошек; городской контекст,размер и использование домашних кошек; городской контекст,Великий Новгород и Новгородская земля,средневековый Новгород; даты комплексов уточнять по статье,A / высокий,Публичная веб-страница/библиографическая карточка,
SRC044,Растительные макроостатки из средневекового Новгорода,,,рецензируемая научная статья / археоботаника,https://archaeolog.ru/media/periodicals/rossiiskaya-arheologiya/2024/RA_2024_4_Mazei.pdf,зерновые; сорные растения; пищевые растения; городской санитарный контекст,зерновые; сорные растения; пищевые растения; городской санитарный контекст,Великий Новгород и Новгородская земля,середина XIII в.; близкая аналогия к 1230,A / высокий,PDF,
SRC045,Археология севернорусской деревни X–XIII вв. Том II: материальная культура,,2008,академическая коллективная монография,https://archaeolog.ru/el-bib/el-cat/el-series/arch-northrus-village/arch-northrus-village-2,сельские дома; земледелие; инвентарь; посуда; ремёсла; транспорт,сельские дома; земледелие; инвентарь; посуда; ремёсла; транспорт,Северная Русь; сравнительный сельский контекст,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC046,"Археология севернорусской деревни X–XIII вв. Том III: палеоэкология, общество, культура",,2009,академическая коллективная монография,https://archaeolog.ru/el-bib/el-cat/el-series/arch-northrus-village/arch-northrus-village-3,ландшафт; животноводство; сельское хозяйство; общество; природные ресурсы,ландшафт; животноводство; сельское хозяйство; общество; природные ресурсы,Северная Русь; сравнительный сельский контекст,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC047,Восточные славяне в VI–XIII вв.,В.В. Седов,1982,академический синтетический свод,https://archaeolog.ru/el-bib/el-cat/el-series/arch-sssr/archaeologyussr_02,поселения; хозяйство; соседние финно-угорские и балтские группы; материальная культура,поселения; хозяйство; соседние финно-угорские и балтские группы; материальная культура,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC048,Личные имена и футарк: рунические надписи из Великого Новгорода,,,официальное сообщение ИА РАН / археология Немецкого двора,https://archaeolog.ru/press/news/lichnye-imena-i-futark-prochitany-runicheskie-nadpisi-iz-velikogo-novgoroda,готландцы; скандинавы; ранний Немецкий двор; рунические предметы,готландцы; скандинавы; ранний Немецкий двор; рунические предметы,Великий Новгород и Новгородская земля,1160–1170-е и XII–XIII вв.,A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC049,О работах на Немецком дворе в Великом Новгороде,,,официальное сообщение ИА РАН / археология,https://archaeolog.ru/en/press/articles/o-rabotakh-na-nemetskom-dvore-v-velikom-novgorode,торговая фактория; немецкие и готландские купцы; здания и предметы двора,торговая фактория; немецкие и готландские купцы; здания и предметы двора,Великий Новгород и Новгородская земля,XII–XVI вв.; ранние слои особенно важны,A / высокий,Публичная веб-страница/библиографическая карточка,
SRC050,Договор Новгорода с Готским берегом и немецкими городами,,,первичный письменный источник / дипломатический акт,https://hist.msu.ru/ER/Etext/RP/goth.htm,немецкие и готландские купцы; пребывание и торговля; правовые условия,немецкие и готландские купцы; пребывание и торговля; правовые условия,Великий Новгород и Новгородская земля,1189–1199,A / очень высокий,Публичная веб-страница/библиографическая карточка,
SRC051,Произведения западного художественного ремесла в Восточной Европе X–XIV вв.,В.П. Даркевич,1966,академический археологический свод,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-1966,западные импорты; литургические и бытовые предметы; металлические изделия,западные импорты; литургические и бытовые предметы; металлические изделия,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC052,Керамика Востока на Руси IX–XVII вв.,В.Ю. Коваль,2010,академическая монография / импортная керамика,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-2010/koval-2010,восточная импортная керамика; сосуды; торговые связи; хронология импорта,восточная импортная керамика; сосуды; торговые связи; хронология импорта,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,
SRC053,Создан топографический свод древнерусских торговых пломб,,2024,официальное сообщение ИА РАН / сфрагистика,https://archaeolog.ru/press/news/sozdan-topograficheskiy-svod-nakhodok-drevnerusskikh-torgovykh-plomb,свинцовые пломбы; товарный контроль; торговля; Новгород,свинцовые пломбы; товарный контроль; торговля; Новгород,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,
SRC054,Византийские монеты и их имитации из новгородской боярской усадьбы,,,официальный музей / нумизматика,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/vizantijskie-monety-i-ih-imitacii-iz-novgorodskoj-boyarskoj-usadby,редкие монеты/имитации; элитная усадьба; конец XII – первая треть XIII в.,редкие монеты/имитации; элитная усадьба; конец XII – первая треть XIII в.,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,
SRC055,Деревянный процессионный крест XII века,,,официальный музей / археология религии,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/derevyannyj-krest-xii-veka,деревянный крест; церковная процессия; резьба; религиозная утварь,деревянный крест; церковная процессия; резьба; религиозная утварь,Великий Новгород и Новгородская земля,XII в.,A / высокий,Публичная веб-страница/библиографическая карточка,
SRC056,История Новгорода и Новгородской земли с древнейших времён до конца XVII века,,,официальная музейная экспозиция,https://novgorodmuseum.ru/visit/sobytiya/istoriya-novgoroda-i-novgorodskoj-zemli-s-drevnejshih-vremen-do-konca-xvii-veka,широкий обзор археологии; быт; оружие; ремёсла; торговля,широкий обзор археологии; быт; оружие; ремёсла; торговля,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий,Публичная веб-страница/библиографическая карточка,Формы конкретных предметов проверять по датировке экспоната.
SRC057,Выставка «Рисуем археологию»,,2025,официальная академическая выставка / визуальная документация,https://archaeolog.ru/en/press/exhibitions/risuem-arkheologiyu-novgorod,научные рисунки археологических находок; графическая форма предметов,научные рисунки археологических находок; графическая форма предметов,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A–B / высокий как визуальная документация,Публичная веб-страница/библиографическая карточка,
SRC058,Центр музыкальных древностей В.И. Поветкина,,,специализированный научно-реконструкторский центр,https://www.centrpovetkina.ru/,гусли; свирели; гудки; археологические музыкальные инструменты; научные реконструкции,гусли; свирели; гудки; археологические музыкальные инструменты; научные реконструкции,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",B / высокий как реконструктивный визуальный источник,Публичная веб-страница/библиографическая карточка,
SRC059,Новгородские находки с изображениями и деталями гуслей,,,официальное сообщение ИА РАН / археология музыки,https://archaeolog.ru/press/articles/n268,шлемовидные гусли; изображения музыкальных инструментов; Северо-Западная Русь,шлемовидные гусли; изображения музыкальных инструментов; Северо-Западная Русь,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / высокий,Публичная веб-страница/библиографическая карточка,
SRC060,Новгородская волынка XII–XIII вв.,,,научная находка / вторичная карточка с библиографией,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%BB%D1%8B%D0%BD%D0%BA%D0%B0_XII-XIII_%D0%B2%D0%B2.,кожаный мешок волынки; форма птицы; патрубки; элитная усадьба,кожаный мешок волынки; форма птицы; патрубки; элитная усадьба,Великий Новгород и Новгородская земля,середина XII – первая четверть XIII в.,B / вспомогательный,Публичная веб-страница/библиографическая карточка,Используется как указатель на научную публикацию; не подменяет её. Трубки не сохранились.
SRC061,Средневековые кожаные изделия из коллекции Новгородского музея,,,официальный музей / археология,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/srednevekovye-kozhanye-izdeliya-iz-arheologicheskoj-kollekcii-novgorodskogo-muzeya-zapovednika-na-vystavke-v-tatarstane,сумки; кошели; футляры; чехлы; кожа и кожевенное ремесло,сумки; кошели; футляры; чехлы; кожа и кожевенное ремесло,Великий Новгород и Новгородская земля,XI–XV вв.; форму конкретного предмета датировать отдельно,A / высокий,Публичная веб-страница/библиографическая карточка,
SRC062,Ювелирные изделия Древнего Новгорода X–XV вв.,М.В. Седова,1981,академическая монография / археологический каталог,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-1981/sedova-1981,металлические изделия; ремесло; амулеты; кресты; торговые связи; этнокультурные контакты,металлические изделия; ремесло; амулеты; кресты; торговые связи; этнокультурные контакты,Великий Новгород и Новгородская земля,"X–XIII вв. или более широкий диапазон, уточнён в записи",A / очень высокий,Публичная веб-страница/библиографическая карточка,
