link_id,profession_id,location_id,relation,confidence,source_ids
PLL000087,PRO0029,ARC0031,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000088,PRO0029,INT0019,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000089,PRO0029,ARC0031,required_building,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000090,PRO0030,ARC0031,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000091,PRO0030,INT0019,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000092,PRO0030,ARC0031,required_building,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000093,PRO0031,ARC0031,main,C,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000094,PRO0031,INT0019,main,C,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000095,PRO0031,ARC0031,required_building,C,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000096,PRO0032,ARC0031,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000097,PRO0032,INT0019,main,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000098,PRO0032,ARC0031,required_building,B,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
PLL000099,PRO0033,ARC0031,main,A,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000100,PRO0033,STR0013,main,A,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000101,PRO0033,ARC0031,required_building,A,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000102,PRO0034,ARC0031,main,A,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000103,PRO0034,STR0013,main,A,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000104,PRO0034,ARC0031,required_building,A,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000105,PRO0035,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000106,PRO0035,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000107,PRO0035,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000108,PRO0036,ARC0031,main,A,"[""SRC001"",""SRC003"",""SRC005"",""SRC009"",""SRC013"",""SRC078"",""SRC089"",""SRC102""]"
PLL000109,PRO0036,STR0007,main,A,"[""SRC001"",""SRC003"",""SRC005"",""SRC009"",""SRC013"",""SRC078"",""SRC089"",""SRC102""]"
PLL000110,PRO0036,STR0011,main,A,"[""SRC001"",""SRC003"",""SRC005"",""SRC009"",""SRC013"",""SRC078"",""SRC089"",""SRC102""]"
PLL000111,PRO0036,ARC0020,main,A,"[""SRC001"",""SRC003"",""SRC005"",""SRC009"",""SRC013"",""SRC078"",""SRC089"",""SRC102""]"
PLL000112,PRO0037,STR0011,main,B,"[""SRC001"",""SRC005"",""SRC039"",""SRC089""]"
PLL000113,PRO0037,STR0010,main,B,"[""SRC001"",""SRC005"",""SRC039"",""SRC089""]"
PLL000114,PRO0037,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC039"",""SRC089""]"
PLL000115,PRO0037,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC039"",""SRC089""]"
PLL000116,PRO0038,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000117,PRO0038,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000118,PRO0038,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000119,PRO0039,ARC0031,main,A,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000120,PRO0039,STR0013,main,A,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000121,PRO0039,ARC0031,required_building,A,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000122,PRO0040,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000123,PRO0040,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000124,PRO0040,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000125,PRO0041,ARC0031,main,C,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000126,PRO0041,STR0013,main,C,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000127,PRO0041,ARC0031,required_building,C,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000128,PRO0042,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000129,PRO0042,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000130,PRO0042,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000131,PRO0043,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000132,PRO0043,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000133,PRO0043,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000134,PRO0044,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000135,PRO0044,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000136,PRO0044,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000137,PRO0045,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000138,PRO0045,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000139,PRO0045,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000140,PRO0046,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000141,PRO0046,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000142,PRO0046,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000143,PRO0047,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000144,PRO0047,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000145,PRO0047,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000146,PRO0048,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000147,PRO0048,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000148,PRO0048,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000149,PRO0049,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000150,PRO0049,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000151,PRO0049,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000152,PRO0050,ARC0031,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000153,PRO0050,STR0013,main,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000154,PRO0050,ARC0031,required_building,B,"[""SRC001"",""SRC005"",""SRC006"",""SRC008"",""SRC089""]"
PLL000155,PRO0051,ARC0031,main,A,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000156,PRO0051,INT0019,main,A,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000157,PRO0051,ARC0031,required_building,A,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000158,PRO0052,ARC0031,main,B,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000159,PRO0052,INT0019,main,B,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000160,PRO0052,ARC0031,required_building,B,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000161,PRO0053,ARC0031,main,B,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000162,PRO0053,INT0019,main,B,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000163,PRO0053,ARC0031,required_building,B,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000164,PRO0054,ARC0031,main,B,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000165,PRO0054,INT0019,main,B,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000166,PRO0054,ARC0031,required_building,B,"[""SRC001"",""SRC008"",""SRC089""]"
PLL000167,PRO0055,ARC0031,main,A,"[""SRC001"",""SRC024"",""SRC089"",""SRC102""]"
PLL000168,PRO0055,INT0044,main,A,"[""SRC001"",""SRC024"",""SRC089"",""SRC102""]"
PLL000169,PRO0055,ARC0031,required_building,A,"[""SRC001"",""SRC024"",""SRC089"",""SRC102""]"
PLL000170,PRO0056,ARC0031,main,B,"[""SRC001"",""SRC024"",""SRC089"",""SRC102""]"
PLL000171,PRO0056,INT0044,main,B,"[""SRC001"",""SRC024"",""SRC089"",""SRC102""]"
PLL000172,PRO0056,ARC0031,required_building,B,"[""SRC001"",""SRC024"",""SRC089"",""SRC102""]"
PLL000173,PRO0057,ARC0031,main,C,"[""SRC001"",""SRC024"",""SRC089"",""SRC102""]"
PLL000174,PRO0057,INT0044,main,C,"[""SRC001"",""SRC024"",""SRC089"",""SRC102""]"
PLL000175,PRO0057,ARC0031,required_building,C,"[""SRC001"",""SRC024"",""SRC089"",""SRC102""]"
PLL000176,PRO0058,INT0019,main,A,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000177,PRO0058,ARC0020,main,A,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000178,PRO0058,ARC0031,main,A,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000179,PRO0058,ARC0020,required_building,A,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000180,PRO0059,INT0019,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000181,PRO0059,ARC0020,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000182,PRO0059,ARC0031,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000183,PRO0059,ARC0020,required_building,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000184,PRO0060,INT0019,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000185,PRO0060,ARC0020,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000186,PRO0060,ARC0031,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000187,PRO0060,ARC0020,required_building,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000188,PRO0061,INT0019,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000189,PRO0061,ARC0020,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000190,PRO0061,ARC0031,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000191,PRO0061,ARC0020,required_building,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000192,PRO0062,INT0019,main,C,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000193,PRO0062,ARC0020,main,C,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000194,PRO0062,ARC0031,main,C,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000195,PRO0062,ARC0020,required_building,C,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000196,PRO0063,INT0019,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000197,PRO0063,ARC0020,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000198,PRO0063,ARC0031,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000199,PRO0063,ARC0020,required_building,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000200,PRO0064,INT0019,main,A,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000201,PRO0064,ARC0020,main,A,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000202,PRO0064,ARC0031,main,A,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000203,PRO0064,ARC0020,required_building,A,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000204,PRO0065,INT0019,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000205,PRO0065,ARC0020,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000206,PRO0065,ARC0031,main,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000207,PRO0065,ARC0020,required_building,B,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000208,PRO0066,INT0020,main,B,"[""SRC001"",""SRC025"",""SRC039"",""SRC045""]"
PLL000209,PRO0066,STR0011,main,B,"[""SRC001"",""SRC025"",""SRC039"",""SRC045""]"
PLL000210,PRO0066,ARC0031,main,B,"[""SRC001"",""SRC025"",""SRC039"",""SRC045""]"
PLL000211,PRO0066,ARC0031,required_building,B,"[""SRC001"",""SRC025"",""SRC039"",""SRC045""]"
PLL000212,PRO0067,INT0020,main,A,"[""SRC001"",""SRC025"",""SRC039"",""SRC045""]"
PLL000213,PRO0067,STR0011,main,A,"[""SRC001"",""SRC025"",""SRC039"",""SRC045""]"
PLL000214,PRO0067,ARC0031,main,A,"[""SRC001"",""SRC025"",""SRC039"",""SRC045""]"
PLL000215,PRO0067,ARC0031,required_building,A,"[""SRC001"",""SRC025"",""SRC039"",""SRC045""]"
PLL000216,PRO0068,INT0019,main,C,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000217,PRO0068,ARC0020,main,C,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000218,PRO0068,ARC0031,main,C,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000219,PRO0068,ARC0020,required_building,C,"[""SRC001"",""SRC008"",""SRC045"",""SRC089""]"
PLL000220,PRO0069,MSC0036,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000221,PRO0069,STR0010,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000222,PRO0069,ARC0031,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000223,PRO0070,MSC0036,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000224,PRO0070,STR0010,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000225,PRO0070,ARC0031,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000226,PRO0071,MSC0036,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000227,PRO0071,STR0010,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000228,PRO0071,ARC0031,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000229,PRO0072,MSC0036,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000230,PRO0072,STR0010,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000231,PRO0072,ARC0031,main,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000232,PRO0073,MSC0036,main,C,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000233,PRO0073,STR0010,main,C,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000234,PRO0073,ARC0031,main,C,"[""SRC033"",""SRC045"",""SRC046"",""SRC102""]"
PLL000235,PRO0074,ARC0031,main,B,"[""SRC001"",""SRC003"",""SRC005"",""SRC009"",""SRC013"",""SRC078"",""SRC089"",""SRC102""]"
PLL000236,PRO0074,STR0007,main,B,"[""SRC001"",""SRC003"",""SRC005"",""SRC009"",""SRC013"",""SRC078"",""SRC089"",""SRC102""]"
PLL000237,PRO0074,STR0011,main,B,"[""SRC001"",""SRC003"",""SRC005"",""SRC009"",""SRC013"",""SRC078"",""SRC089"",""SRC102""]"
PLL000238,PRO0074,ARC0020,main,B,"[""SRC001"",""SRC003"",""SRC005"",""SRC009"",""SRC013"",""SRC078"",""SRC089"",""SRC102""]"
PLL000239,PRO0075,ARC0031,main,B,"[""SRC001"",""SRC003"",""SRC005"",""SRC009"",""SRC013"",""SRC078"",""SRC089"",""SRC102""]"
