economic_link_id,source_profession,relation,target_profession,item_ids,description,historical_confidence,source_ids
ECO00013,PRO0069,supplies,PRO0004,"[""CRF0118""]",Углежог снабжает сырьём роль «Кузнец земледельческих орудий».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00014,PRO0265,supplies,PRO0004,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Кузнец земледельческих орудий».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00015,PRO0004,sells_to,PRO0147,"[""AGR0012"",""AGR0013"",""AGR0024"",""AGR0025""]",Кузнец земледельческих орудий передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00016,PRO0004,sells_to,PRO0306,"[""AGR0012"",""AGR0013"",""AGR0024"",""AGR0025""]",Кузнец земледельческих орудий передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00017,PRO0069,supplies,PRO0005,"[""CRF0118""]",Углежог снабжает сырьём роль «Кузнец судовых заклёпок и крепежей».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00018,PRO0265,supplies,PRO0005,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Кузнец судовых заклёпок и крепежей».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00019,PRO0005,sells_to,PRO0147,"[""CRF0009"",""WTR0021"",""WTR0023"",""CON0047""]",Кузнец судовых заклёпок и крепежей передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00020,PRO0005,sells_to,PRO0306,"[""CRF0009"",""WTR0021"",""WTR0023"",""CON0047""]",Кузнец судовых заклёпок и крепежей передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00021,PRO0069,supplies,PRO0006,"[""CRF0118""]","Углежог снабжает сырьём роль «Кузнец замков, ключей и скоб».",B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00022,PRO0265,supplies,PRO0006,"[""CRF0119""]","Торговец железом и крицами снабжает сырьём роль «Кузнец замков, ключей и скоб».",B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00023,PRO0006,sells_to,PRO0147,"[""HOU0002"",""TRD0057"",""HOU0032"",""HOU0033""]","Кузнец замков, ключей и скоб передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».",A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00024,PRO0006,sells_to,PRO0306,"[""HOU0002"",""TRD0057"",""HOU0032"",""HOU0033""]","Кузнец замков, ключей и скоб передаёт продукт роли «Княжеский дружинник».",A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00025,PRO0069,supplies,PRO0007,"[""CRF0118""]",Углежог снабжает сырьём роль «Кузнец мелких железных изделий».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00026,PRO0265,supplies,PRO0007,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Кузнец мелких железных изделий».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00027,PRO0007,sells_to,PRO0147,"[""CON0010"",""HOU0032"",""HOU0033""]",Кузнец мелких железных изделий передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00028,PRO0007,sells_to,PRO0306,"[""CON0010"",""HOU0032"",""HOU0033""]",Кузнец мелких железных изделий передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00029,PRO0069,supplies,PRO0008,"[""CRF0118""]",Углежог снабжает сырьём роль «Кузнец-оружейник».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00030,PRO0265,supplies,PRO0008,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Кузнец-оружейник».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00031,PRO0008,sells_to,PRO0147,"[""WPN0003"",""WPN0021"",""WPN0036""]",Кузнец-оружейник передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00032,PRO0008,sells_to,PRO0306,"[""WPN0003"",""WPN0021"",""WPN0036""]",Кузнец-оружейник передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00033,PRO0069,supplies,PRO0009,"[""CRF0118""]",Углежог снабжает сырьём роль «Изготовитель наконечников стрел и болтов».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00034,PRO0265,supplies,PRO0009,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Изготовитель наконечников стрел и болтов».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00035,PRO0009,sells_to,PRO0147,"[""WPN0003"",""WPN0004"",""WPN0005"",""WPN0036""]",Изготовитель наконечников стрел и болтов передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00036,PRO0009,sells_to,PRO0306,"[""WPN0003"",""WPN0004"",""WPN0005"",""WPN0036""]",Изготовитель наконечников стрел и болтов передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00037,PRO0069,supplies,PRO0010,"[""CRF0118""]",Углежог снабжает сырьём роль «Изготовитель наконечников копий и сулиц».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00038,PRO0265,supplies,PRO0010,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Изготовитель наконечников копий и сулиц».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00039,PRO0010,sells_to,PRO0147,"[""WPN0021"",""WPN0022"",""WPN0034"",""WPN0051""]",Изготовитель наконечников копий и сулиц передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00040,PRO0010,sells_to,PRO0306,"[""WPN0021"",""WPN0022"",""WPN0034"",""WPN0051""]",Изготовитель наконечников копий и сулиц передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00041,PRO0069,supplies,PRO0011,"[""CRF0118""]",Углежог снабжает сырьём роль «Кольчужник и ремонтник кольчуги».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00042,PRO0265,supplies,PRO0011,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Кольчужник и ремонтник кольчуги».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00043,PRO0011,sells_to,PRO0147,"[""ARM0009"",""ARM0010"",""ARM0013"",""ARM0026""]",Кольчужник и ремонтник кольчуги передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00044,PRO0011,sells_to,PRO0306,"[""ARM0009"",""ARM0010"",""ARM0013"",""ARM0026""]",Кольчужник и ремонтник кольчуги передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00045,PRO0069,supplies,PRO0012,"[""CRF0118""]",Углежог снабжает сырьём роль «Ремонтник металлического и ременного доспеха».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00046,PRO0265,supplies,PRO0012,"[""CRF0119""]",Торговец железом и крицами снабжает сырьём роль «Ремонтник металлического и ременного доспеха».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00047,PRO0012,sells_to,PRO0147,"[""ARM0026"",""ARM0009"",""ARM0010""]",Ремонтник металлического и ременного доспеха передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00048,PRO0012,sells_to,PRO0306,"[""ARM0026"",""ARM0009"",""ARM0010""]",Ремонтник металлического и ременного доспеха передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00049,PRO0069,supplies,PRO0013,"[""CRF0118""]","Углежог снабжает сырьём роль «Кузнец, обслуживающий подковы и конскую упряжь».",B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00050,PRO0265,supplies,PRO0013,"[""CRF0119""]","Торговец железом и крицами снабжает сырьём роль «Кузнец, обслуживающий подковы и конскую упряжь».",B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00051,PRO0013,sells_to,PRO0147,"[""HRS0022"",""HRS0030"",""HRS0023"",""HRS0024""]","Кузнец, обслуживающий подковы и конскую упряжь передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».",A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00052,PRO0013,sells_to,PRO0306,"[""HRS0022"",""HRS0030"",""HRS0023"",""HRS0024""]","Кузнец, обслуживающий подковы и конскую упряжь передаёт продукт роли «Княжеский дружинник».",A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00053,PRO0266,supplies,PRO0014,"[""CRF0149"",""CRF0068"",""CRF0046""]",Торговец цветными металлами снабжает сырьём роль «Литейщик цветных металлов».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00054,PRO0014,sells_to,PRO0254,"[""REL0008"",""CRF0041""]",Литейщик цветных металлов передаёт продукт роли «Крупный новгородский купец».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC029""]"
ECO00055,PRO0014,sells_to,PRO0340,"[""REL0008"",""CRF0041""]",Литейщик цветных металлов передаёт продукт роли «Боярыня / знатная владелица имущества».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC031""]"
ECO00056,PRO0014,sells_to,PRO0078,"[""REL0008"",""CRF0041""]",Литейщик цветных металлов передаёт продукт роли «Мастер церковной металлической утвари».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
ECO00057,PRO0014,sells_to,PRO0463,"[""REL0008"",""CRF0041""]",Литейщик цветных металлов передаёт продукт роли «Иностранный посол».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC048"",""SRC049"",""SRC050""]"
ECO00058,PRO0266,supplies,PRO0015,"[""CRF0149"",""CRF0068"",""CRF0046""]",Торговец цветными металлами снабжает сырьём роль «Мастер медных и бронзовых изделий».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00059,PRO0015,sells_to,PRO0254,"[""REL0008"",""CRF0041""]",Мастер медных и бронзовых изделий передаёт продукт роли «Крупный новгородский купец».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC029""]"
ECO00060,PRO0015,sells_to,PRO0340,"[""REL0008"",""CRF0041""]",Мастер медных и бронзовых изделий передаёт продукт роли «Боярыня / знатная владелица имущества».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC031""]"
ECO00061,PRO0015,sells_to,PRO0078,"[""REL0008"",""CRF0041""]",Мастер медных и бронзовых изделий передаёт продукт роли «Мастер церковной металлической утвари».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
ECO00062,PRO0015,sells_to,PRO0463,"[""REL0008"",""CRF0041""]",Мастер медных и бронзовых изделий передаёт продукт роли «Иностранный посол».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC048"",""SRC049"",""SRC050""]"
ECO00063,PRO0266,supplies,PRO0016,"[""CRF0149"",""CRF0068"",""CRF0046""]",Торговец цветными металлами снабжает сырьём роль «Серебряных дел мастер».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00064,PRO0016,sells_to,PRO0254,"[""REL0008"",""CRF0041""]",Серебряных дел мастер передаёт продукт роли «Крупный новгородский купец».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC029""]"
ECO00065,PRO0016,sells_to,PRO0340,"[""REL0008"",""CRF0041""]",Серебряных дел мастер передаёт продукт роли «Боярыня / знатная владелица имущества».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC031""]"
ECO00066,PRO0016,sells_to,PRO0078,"[""REL0008"",""CRF0041""]",Серебряных дел мастер передаёт продукт роли «Мастер церковной металлической утвари».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
ECO00067,PRO0016,sells_to,PRO0463,"[""REL0008"",""CRF0041""]",Серебряных дел мастер передаёт продукт роли «Иностранный посол».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC048"",""SRC049"",""SRC050""]"
ECO00068,PRO0266,supplies,PRO0017,"[""CRF0149"",""CRF0068"",""CRF0046""]",Торговец цветными металлами снабжает сырьём роль «Ювелир».,A,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00069,PRO0017,sells_to,PRO0254,"[""REL0008"",""CRF0041""]",Ювелир передаёт продукт роли «Крупный новгородский купец».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC029""]"
ECO00070,PRO0017,sells_to,PRO0340,"[""REL0008"",""CRF0041""]",Ювелир передаёт продукт роли «Боярыня / знатная владелица имущества».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC031""]"
ECO00071,PRO0017,sells_to,PRO0078,"[""REL0008"",""CRF0041""]",Ювелир передаёт продукт роли «Мастер церковной металлической утвари».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
ECO00072,PRO0017,sells_to,PRO0463,"[""REL0008"",""CRF0041""]",Ювелир передаёт продукт роли «Иностранный посол».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC048"",""SRC049"",""SRC050""]"
ECO00073,PRO0266,supplies,PRO0018,"[""CRF0149"",""CRF0068"",""CRF0046""]",Торговец цветными металлами снабжает сырьём роль «Изготовитель металлической проволоки».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00074,PRO0018,sells_to,PRO0254,"[""REL0008"",""CRF0041""]",Изготовитель металлической проволоки передаёт продукт роли «Крупный новгородский купец».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC029""]"
ECO00075,PRO0018,sells_to,PRO0340,"[""REL0008"",""CRF0041""]",Изготовитель металлической проволоки передаёт продукт роли «Боярыня / знатная владелица имущества».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC031""]"
ECO00076,PRO0018,sells_to,PRO0078,"[""REL0008"",""CRF0041""]",Изготовитель металлической проволоки передаёт продукт роли «Мастер церковной металлической утвари».,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
ECO00077,PRO0018,sells_to,PRO0463,"[""REL0008"",""CRF0041""]",Изготовитель металлической проволоки передаёт продукт роли «Иностранный посол».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC048"",""SRC049"",""SRC050""]"
ECO00078,PRO0266,supplies,PRO0019,"[""CRF0149"",""CRF0068"",""CRF0046""]",Торговец цветными металлами снабжает сырьём роль «Изготовитель малых весов и гирек».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00079,PRO0019,sells_to,PRO0254,"[""REL0008"",""CRF0041""]",Изготовитель малых весов и гирек передаёт продукт роли «Крупный новгородский купец».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC029""]"
ECO00080,PRO0019,sells_to,PRO0340,"[""REL0008"",""CRF0041""]",Изготовитель малых весов и гирек передаёт продукт роли «Боярыня / знатная владелица имущества».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC031""]"
ECO00081,PRO0019,sells_to,PRO0078,"[""REL0008"",""CRF0041""]",Изготовитель малых весов и гирек передаёт продукт роли «Мастер церковной металлической утвари».,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
ECO00082,PRO0019,sells_to,PRO0463,"[""REL0008"",""CRF0041""]",Изготовитель малых весов и гирек передаёт продукт роли «Иностранный посол».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC048"",""SRC049"",""SRC050""]"
ECO00083,PRO0266,supplies,PRO0020,"[""CRF0149"",""CRF0068"",""CRF0046""]",Торговец цветными металлами снабжает сырьём роль «Мастер перегородчатой эмали».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00084,PRO0020,sells_to,PRO0254,"[""REL0008"",""CRF0041""]",Мастер перегородчатой эмали передаёт продукт роли «Крупный новгородский купец».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC029""]"
ECO00085,PRO0020,sells_to,PRO0340,"[""REL0008"",""CRF0041""]",Мастер перегородчатой эмали передаёт продукт роли «Боярыня / знатная владелица имущества».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC031""]"
ECO00086,PRO0020,sells_to,PRO0078,"[""REL0008"",""CRF0041""]",Мастер перегородчатой эмали передаёт продукт роли «Мастер церковной металлической утвари».,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
ECO00087,PRO0020,sells_to,PRO0463,"[""REL0008"",""CRF0041""]",Мастер перегородчатой эмали передаёт продукт роли «Иностранный посол».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC048"",""SRC049"",""SRC050""]"
ECO00088,PRO0021,sells_to,PRO0254,"[""CRF0041""]",Мастер стеклянных бус передаёт продукт роли «Крупный новгородский купец».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC029""]"
ECO00089,PRO0021,sells_to,PRO0340,"[""CRF0041""]",Мастер стеклянных бус передаёт продукт роли «Боярыня / знатная владелица имущества».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC031""]"
ECO00090,PRO0021,sells_to,PRO0078,"[""CRF0041""]",Мастер стеклянных бус передаёт продукт роли «Мастер церковной металлической утвари».,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
ECO00091,PRO0021,sells_to,PRO0463,"[""CRF0041""]",Мастер стеклянных бус передаёт продукт роли «Иностранный посол».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC048"",""SRC049"",""SRC050""]"
ECO00092,PRO0266,supplies,PRO0022,"[""CRF0149"",""CRF0068"",""CRF0046""]",Торговец цветными металлами снабжает сырьём роль «Полировщик и отделочник металлических изделий».,B,"[""SRC027"",""SRC028"",""SRC029"",""SRC030"",""SRC050"",""SRC053"",""SRC072"",""SRC093""]"
ECO00093,PRO0022,sells_to,PRO0254,"[""REL0008"",""CRF0041""]",Полировщик и отделочник металлических изделий передаёт продукт роли «Крупный новгородский купец».,A,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC029""]"
ECO00094,PRO0022,sells_to,PRO0340,"[""REL0008"",""CRF0041""]",Полировщик и отделочник металлических изделий передаёт продукт роли «Боярыня / знатная владелица имущества».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC027"",""SRC028"",""SRC031""]"
ECO00095,PRO0022,sells_to,PRO0078,"[""REL0008"",""CRF0041""]",Полировщик и отделочник металлических изделий передаёт продукт роли «Мастер церковной металлической утвари».,C,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102""]"
ECO00096,PRO0022,sells_to,PRO0463,"[""REL0008"",""CRF0041""]",Полировщик и отделочник металлических изделий передаёт продукт роли «Иностранный посол».,B,"[""SRC001"",""SRC062"",""SRC063"",""SRC085"",""SRC102"",""SRC048"",""SRC049"",""SRC050""]"
ECO00097,PRO0069,supplies,PRO0023,"[""CRF0118""]",Углежог снабжает сырьём роль «Точильщик железных инструментов».,B,"[""SRC033"",""SRC045"",""SRC046"",""SRC102"",""SRC001"",""SRC032"",""SRC089""]"
ECO00098,PRO0023,sells_to,PRO0147,[],Точильщик железных инструментов передаёт продукт роли «Крестьянский хозяин с несколькими занятиями».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC028"",""SRC044"",""SRC045""]"
ECO00099,PRO0023,sells_to,PRO0306,[],Точильщик железных инструментов передаёт продукт роли «Княжеский дружинник».,A,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102"",""SRC031"",""SRC034"",""SRC035""]"
ECO00100,PRO0026,supplies,PRO0024,"[""TRD0010""]",Кожевник снабжает сырьём роль «Сапожник».,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
ECO00101,PRO0027,supplies,PRO0024,"[""TRD0010""]",Дубильщик кож снабжает сырьём роль «Сапожник».,A,"[""SRC001"",""SRC061"",""SRC084"",""SRC089""]"
