activity_id,name_ru,description_ru,profession_ids,role_ids,location_ids,held_item_ids,used_item_ids,environment_item_ids,consumed_item_ids,produced_item_ids,animal_ids,transport_ids,season_scope,weather_scope,time_of_day,duration_estimate,physical_intensity,pose_hint,previous_activity_ids,next_activity_ids,historical_confidence,source_ids,state_modifiers,prompt_hint
ACT00011,Кузнец ножей и мелких лезвий: подготовить горн и топливо,"Кузнец ножей и мелких лезвий подготавливает горн, древесный уголь, воду и исправный инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0003""]",[],"[""ARC0031"",""INT0044""]","[""CRF0121"",""CRF0117""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""dawn"",""morning""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,tending_fire,[],"[""ACT00012""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец ножей и мелких лезвий; подготовить горн и топливо; pose tending_fire; held items CRF0121, CRF0117; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00012,Кузнец ножей и мелких лезвий: нагреть заготовку,"Кузнец ножей и мелких лезвий кладёт железную заготовку в горн и раздувает мехи до рабочего нагрева. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0003""]",[],"[""ARC0031"",""INT0044""]","[""CRF0117"",""CRF0118""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,tending_fire,"[""ACT00011""]","[""ACT00013""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец ножей и мелких лезвий; нагреть заготовку; pose tending_fire; held items CRF0117, CRF0118; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00013,Кузнец ножей и мелких лезвий: ковать изделие,"Кузнец ножей и мелких лезвий переносит нагретую заготовку на наковальню и формует ударами молота. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0003""]",[],"[""ARC0031"",""INT0044""]","[""CRF0118"",""CRF0119""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0118""]",[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00012""]","[""ACT00014""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец ножей и мелких лезвий; ковать изделие; pose hammering; held items CRF0118, CRF0119; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00014,"Кузнец ножей и мелких лезвий: пробить, обрезать и довести","Кузнец ножей и мелких лезвий пробивает отверстия, обрубает лишнее, при необходимости правит и затачивает. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0003""]",[],"[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0120""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]",[],"[""HOU0013"",""WPN0042"",""WPN0069""]",[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00013""]","[""ACT00015""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец ножей и мелких лезвий; пробить, обрезать и довести; pose hammering; held items CRF0119, CRF0120; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00015,Кузнец ножей и мелких лезвий: убрать изделие и обслужить инструмент,"Кузнец ножей и мелких лезвий охлаждает или откладывает готовую работу, сортирует отходы и проверяет инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0003""]",[],"[""ARC0031"",""INT0044""]","[""CRF0120"",""CRF0079""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day"",""evening""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,carrying,"[""ACT00014""]",[],B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец ножей и мелких лезвий; убрать изделие и обслужить инструмент; pose carrying; held items CRF0120, CRF0079; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00016,Кузнец земледельческих орудий: подготовить горн и топливо,"Кузнец земледельческих орудий подготавливает горн, древесный уголь, воду и исправный инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0004""]",[],"[""ARC0031"",""INT0044""]","[""CRF0121"",""CRF0117""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""dawn"",""morning""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,tending_fire,[],"[""ACT00017""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец земледельческих орудий; подготовить горн и топливо; pose tending_fire; held items CRF0121, CRF0117; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00017,Кузнец земледельческих орудий: нагреть заготовку,"Кузнец земледельческих орудий кладёт железную заготовку в горн и раздувает мехи до рабочего нагрева. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0004""]",[],"[""ARC0031"",""INT0044""]","[""CRF0117"",""CRF0118""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,tending_fire,"[""ACT00016""]","[""ACT00018""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец земледельческих орудий; нагреть заготовку; pose tending_fire; held items CRF0117, CRF0118; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00018,Кузнец земледельческих орудий: ковать изделие,"Кузнец земледельческих орудий переносит нагретую заготовку на наковальню и формует ударами молота. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0004""]",[],"[""ARC0031"",""INT0044""]","[""CRF0118"",""CRF0119""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0118""]",[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00017""]","[""ACT00019""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец земледельческих орудий; ковать изделие; pose hammering; held items CRF0118, CRF0119; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00019,"Кузнец земледельческих орудий: пробить, обрезать и довести","Кузнец земледельческих орудий пробивает отверстия, обрубает лишнее, при необходимости правит и затачивает. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0004""]",[],"[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0120""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]",[],"[""AGR0012"",""AGR0013"",""AGR0024"",""AGR0025""]",[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00018""]","[""ACT00020""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец земледельческих орудий; пробить, обрезать и довести; pose hammering; held items CRF0119, CRF0120; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00020,Кузнец земледельческих орудий: убрать изделие и обслужить инструмент,"Кузнец земледельческих орудий охлаждает или откладывает готовую работу, сортирует отходы и проверяет инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0004""]",[],"[""ARC0031"",""INT0044""]","[""CRF0120"",""CRF0079""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day"",""evening""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,carrying,"[""ACT00019""]",[],B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец земледельческих орудий; убрать изделие и обслужить инструмент; pose carrying; held items CRF0120, CRF0079; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00021,Кузнец судовых заклёпок и крепежей: подготовить горн и топливо,"Кузнец судовых заклёпок и крепежей подготавливает горн, древесный уголь, воду и исправный инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0005""]",[],"[""ARC0031"",""INT0044""]","[""CRF0121"",""CRF0117""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""dawn"",""morning""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,tending_fire,[],"[""ACT00022""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец судовых заклёпок и крепежей; подготовить горн и топливо; pose tending_fire; held items CRF0121, CRF0117; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00022,Кузнец судовых заклёпок и крепежей: нагреть заготовку,"Кузнец судовых заклёпок и крепежей кладёт железную заготовку в горн и раздувает мехи до рабочего нагрева. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0005""]",[],"[""ARC0031"",""INT0044""]","[""CRF0117"",""CRF0118""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,tending_fire,"[""ACT00021""]","[""ACT00023""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец судовых заклёпок и крепежей; нагреть заготовку; pose tending_fire; held items CRF0117, CRF0118; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00023,Кузнец судовых заклёпок и крепежей: ковать изделие,"Кузнец судовых заклёпок и крепежей переносит нагретую заготовку на наковальню и формует ударами молота. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0005""]",[],"[""ARC0031"",""INT0044""]","[""CRF0118"",""CRF0119""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0118""]",[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00022""]","[""ACT00024""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец судовых заклёпок и крепежей; ковать изделие; pose hammering; held items CRF0118, CRF0119; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00024,"Кузнец судовых заклёпок и крепежей: пробить, обрезать и довести","Кузнец судовых заклёпок и крепежей пробивает отверстия, обрубает лишнее, при необходимости правит и затачивает. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0005""]",[],"[""ARC0031"",""INT0044""]","[""CRF0119"",""CRF0120""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119"",""CRF0081"",""CRF0082""]","[""ARC0031"",""INT0044""]",[],"[""CRF0009"",""WTR0021"",""WTR0023"",""CON0047""]",[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,hammering,"[""ACT00023""]","[""ACT00025""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец судовых заклёпок и крепежей; пробить, обрезать и довести; pose hammering; held items CRF0119, CRF0120; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00025,Кузнец судовых заклёпок и крепежей: убрать изделие и обслужить инструмент,"Кузнец судовых заклёпок и крепежей охлаждает или откладывает готовую работу, сортирует отходы и проверяет инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0005""]",[],"[""ARC0031"",""INT0044""]","[""CRF0120"",""CRF0079""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""day"",""evening""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,carrying,"[""ACT00024""]",[],B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец судовых заклёпок и крепежей; убрать изделие и обслужить инструмент; pose carrying; held items CRF0120, CRF0079; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00026,"Кузнец замков, ключей и скоб: подготовить горн и топливо","Кузнец замков, ключей и скоб подготавливает горн, древесный уголь, воду и исправный инструмент. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0006""]",[],"[""ARC0031"",""INT0044""]","[""CRF0121"",""CRF0117""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""dawn"",""morning""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}",medium,tending_fire,[],"[""ACT00027""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец замков, ключей и скоб; подготовить горн и топливо; pose tending_fire; held items CRF0121, CRF0117; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
ACT00027,"Кузнец замков, ключей и скоб: нагреть заготовку","Кузнец замков, ключей и скоб кладёт железную заготовку в горн и раздувает мехи до рабочего нагрева. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.","[""PRO0006""]",[],"[""ARC0031"",""INT0044""]","[""CRF0117"",""CRF0118""]","[""CRF0121"",""CRF0117"",""CRF0118"",""CRF0119""]","[""ARC0031"",""INT0044""]",[],[],[],[],"[""spring"",""summer"",""autumn"",""winter""]","[""indoors_or_sheltered""]","[""morning"",""day""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}",heavy,tending_fire,"[""ACT00026""]","[""ACT00028""]",B,"[""SRC001"",""SRC032"",""SRC033"",""SRC089"",""SRC102""]","[""normal_1230"",""famine_1230""]","Novgorod around 1230; Кузнец замков, ключей и скоб; нагреть заготовку; pose tending_fire; held items CRF0117, CRF0118; location refs ARC0031, INT0044; no fantasy, no later folk costume, no modern equipment."
