of_id,clothing_profile_id,costume_class,class_name_ru,role_refs,sex_categories,age_categories,seasons,marital_status,status_band,default_condition_state,required_clothing_slot_refs,runtime_selectable,slot_base_garment,slot_lower_garment,slot_outer_garment,slot_over_garment_winter,slot_cloak,slot_waist,slot_waist_garment,slot_apron,slot_headwear,slot_head_under,slot_headband,slot_handwear,slot_leg_wrap,slot_foot_layer,slot_insole,slot_footwear,slot_over_footwear,slot_footwear_attachment,provenance,source_refs,confidence,status
of_water_male_warm_any,nov_clothing_water_v1,water,"рыбак, лодочник, перевозчик",nov_role_boatman|nov_role_ferryman|nov_role_fisher|nov_role_helmsman,male,young_adult|adult|middle_aged|old,summer,any,low,serviceable,base_garment|lower_garment|waist|footwear,true,gm_gm002,gm_gm004,,,,gm_ac001,,,,,,,,,,gm_fw002,,,"CMB005,CMB006 (male; FW018 ice cleat excluded R7; base shirt R3; belt R5); risovalka §7; female=poor kit",costume:CMB005|costume:CMB006|risovalka|claim:clothing-shirt-principal-garment,B,candidate
of_water_male_cool_any,nov_clothing_water_v1,water,"рыбак, лодочник, перевозчик",nov_role_boatman|nov_role_ferryman|nov_role_fisher|nov_role_helmsman,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,low,serviceable,base_garment|lower_garment|outer_garment|waist|headwear|foot_layer|footwear,true,gm_gm002,gm_gm004,gm_gm003,,,gm_ac001,,,gm_hw002,,,,,gm_fw016,,gm_fw002,,,"CMB005,CMB006 (male; FW018 ice cleat excluded R7; base shirt R3; belt R5); risovalka §7; female=poor kit",costume:CMB005|costume:CMB006|risovalka|claim:clothing-shirt-principal-garment,B,candidate
of_water_male_cold_any,nov_clothing_water_v1,water,"рыбак, лодочник, перевозчик",nov_role_boatman|nov_role_ferryman|nov_role_fisher|nov_role_helmsman,male,young_adult|adult|middle_aged|old,winter,any,low,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|waist|headwear|foot_layer|footwear,true,gm_gm002,gm_gm005,gm_gm003,gm_gm008,,gm_ac001,,,gm_hw003,,,,,gm_fw015,,gm_fw001,,,"CMB005,CMB006 (male; FW018 ice cleat excluded R7; base shirt R3; belt R5); risovalka §7; female=poor kit",costume:CMB005|costume:CMB006|risovalka|claim:clothing-shirt-principal-garment,B,candidate
of_water_female_warm_married,nov_clothing_water_v1,water,"рыбак, лодочник, перевозчик",nov_role_boatman|nov_role_ferryman|nov_role_fisher|nov_role_helmsman,female,young_adult|adult|middle_aged|old,summer,married,low,serviceable,base_garment|outer_garment|waist|headwear|head_under|footwear,true,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw007,gm_hw006,,,,,,gm_fw002,,,"CMB005,CMB006 (male; FW018 ice cleat excluded R7; base shirt R3; belt R5); risovalka §7; female=poor kit",costume:CMB005|costume:CMB006|risovalka|claim:clothing-shirt-principal-garment,B,candidate
of_water_female_warm_unmarried,nov_clothing_water_v1,water,"рыбак, лодочник, перевозчик",nov_role_boatman|nov_role_ferryman|nov_role_fisher|nov_role_helmsman,female,young_adult|adult|middle_aged|old,summer,unmarried,low,serviceable,base_garment|outer_garment|waist|headwear|footwear,false,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw010,,,,,,,gm_fw002,,,"CMB005,CMB006 (male; FW018 ice cleat excluded R7; base shirt R3; belt R5); risovalka §7; female=poor kit",costume:CMB005|costume:CMB006|risovalka|claim:clothing-shirt-principal-garment,B,candidate
of_water_female_cool_married,nov_clothing_water_v1,water,"рыбак, лодочник, перевозчик",nov_role_boatman|nov_role_ferryman|nov_role_fisher|nov_role_helmsman,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,married,low,serviceable,base_garment|outer_garment|cloak|waist|headwear|head_under|foot_layer|footwear,true,gm_gf002,,gm_gf004,,gm_gf014,gm_ac002,,,gm_hw007,gm_hw006,,,,gm_fw016,,gm_fw002,,,"CMB005,CMB006 (male; FW018 ice cleat excluded R7; base shirt R3; belt R5); risovalka §7; female=poor kit",costume:CMB005|costume:CMB006|risovalka|claim:clothing-shirt-principal-garment,B,candidate
of_water_female_cool_unmarried,nov_clothing_water_v1,water,"рыбак, лодочник, перевозчик",nov_role_boatman|nov_role_ferryman|nov_role_fisher|nov_role_helmsman,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,unmarried,low,serviceable,base_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,false,gm_gf002,,gm_gf004,,gm_gf014,gm_ac002,,,gm_hw010,,,,,gm_fw016,,gm_fw002,,,"CMB005,CMB006 (male; FW018 ice cleat excluded R7; base shirt R3; belt R5); risovalka §7; female=poor kit",costume:CMB005|costume:CMB006|risovalka|claim:clothing-shirt-principal-garment,B,candidate
of_water_female_cold_married,nov_clothing_water_v1,water,"рыбак, лодочник, перевозчик",nov_role_boatman|nov_role_ferryman|nov_role_fisher|nov_role_helmsman,female,young_adult|adult|middle_aged|old,winter,married,low,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|head_under|foot_layer|insole|footwear,true,gm_gf002,,gm_gf004,gm_gf008,,gm_ac002,,,gm_hw011,gm_hw006,,,,gm_fw015,gm_fw013,gm_fw001,,,"CMB005,CMB006 (male; FW018 ice cleat excluded R7; base shirt R3; belt R5); risovalka §7; female=poor kit",costume:CMB005|costume:CMB006|risovalka|claim:clothing-shirt-principal-garment,B,candidate
of_water_female_cold_unmarried,nov_clothing_water_v1,water,"рыбак, лодочник, перевозчик",nov_role_boatman|nov_role_ferryman|nov_role_fisher|nov_role_helmsman,female,young_adult|adult|middle_aged|old,winter,unmarried,low,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|foot_layer|insole|footwear,false,gm_gf002,,gm_gf004,gm_gf008,,gm_ac002,,,gm_hw010,,,,,gm_fw015,gm_fw013,gm_fw001,,,"CMB005,CMB006 (male; FW018 ice cleat excluded R7; base shirt R3; belt R5); risovalka §7; female=poor kit",costume:CMB005|costume:CMB006|risovalka|claim:clothing-shirt-principal-garment,B,candidate
of_forest_male_warm_any,nov_clothing_forest_v1,forest,"охотник, лесной промысловик, проводник",nov_role_bortnik|nov_role_forest_promyslovik|nov_role_guide|nov_role_hunter,male,young_adult|adult|middle_aged|old,summer,any,low,serviceable,base_garment|lower_garment|waist|footwear,true,gm_gm002,gm_gm004,,,,gm_ac001,,,,,,,,,,gm_fw004,,,CMB009 (hunter; weapons excluded R7; base shirt R3); cold layer CMB009 optional GM008; female=rural kit,costume:CMB009|claim:clothing-shirt-principal-garment,B,candidate
of_forest_male_cool_any,nov_clothing_forest_v1,forest,"охотник, лесной промысловик, проводник",nov_role_bortnik|nov_role_forest_promyslovik|nov_role_guide|nov_role_hunter,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,low,serviceable,base_garment|lower_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,true,gm_gm002,gm_gm004,gm_gm003,,gm_gm012,gm_ac001,,,gm_gm013,,,,,gm_fw016,,gm_fw008,,,CMB009 (hunter; weapons excluded R7; base shirt R3); cold layer CMB009 optional GM008; female=rural kit,costume:CMB009|claim:clothing-shirt-principal-garment,B,candidate
of_forest_male_cold_any,nov_clothing_forest_v1,forest,"охотник, лесной промысловик, проводник",nov_role_bortnik|nov_role_forest_promyslovik|nov_role_guide|nov_role_hunter,male,young_adult|adult|middle_aged|old,winter,any,low,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|cloak|waist|headwear|foot_layer|footwear,true,gm_gm002,gm_gm005,gm_gm003,gm_gm008,gm_gm012,gm_ac001,,,gm_hw003,,,,,gm_fw015,,gm_fw008,,,CMB009 (hunter; weapons excluded R7; base shirt R3); cold layer CMB009 optional GM008; female=rural kit,costume:CMB009|claim:clothing-shirt-principal-garment,B,candidate
of_forest_female_warm_married,nov_clothing_forest_v1,forest,"охотник, лесной промысловик, проводник",nov_role_bortnik|nov_role_forest_promyslovik|nov_role_guide|nov_role_hunter,female,young_adult|adult|middle_aged|old,summer,married,low,serviceable,base_garment|outer_garment|waist|headwear|head_under|footwear,true,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw007,gm_hw006,,,,,,gm_fw001,,,CMB009 (hunter; weapons excluded R7; base shirt R3); cold layer CMB009 optional GM008; female=rural kit,costume:CMB009|claim:clothing-shirt-principal-garment,B,candidate
of_forest_female_warm_unmarried,nov_clothing_forest_v1,forest,"охотник, лесной промысловик, проводник",nov_role_bortnik|nov_role_forest_promyslovik|nov_role_guide|nov_role_hunter,female,young_adult|adult|middle_aged|old,summer,unmarried,low,serviceable,base_garment|outer_garment|waist|headwear|footwear,false,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw010,,,,,,,gm_fw001,,,CMB009 (hunter; weapons excluded R7; base shirt R3); cold layer CMB009 optional GM008; female=rural kit,costume:CMB009|claim:clothing-shirt-principal-garment,B,candidate
of_forest_female_cool_married,nov_clothing_forest_v1,forest,"охотник, лесной промысловик, проводник",nov_role_bortnik|nov_role_forest_promyslovik|nov_role_guide|nov_role_hunter,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,married,low,serviceable,base_garment|outer_garment|waist|headwear|head_under|foot_layer|footwear,true,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw007,gm_hw006,,,,gm_fw016,,gm_fw001,,,CMB009 (hunter; weapons excluded R7; base shirt R3); cold layer CMB009 optional GM008; female=rural kit,costume:CMB009|claim:clothing-shirt-principal-garment,B,candidate
of_forest_female_cool_unmarried,nov_clothing_forest_v1,forest,"охотник, лесной промысловик, проводник",nov_role_bortnik|nov_role_forest_promyslovik|nov_role_guide|nov_role_hunter,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,unmarried,low,serviceable,base_garment|outer_garment|waist|headwear|foot_layer|footwear,false,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw010,,,,,gm_fw016,,gm_fw001,,,CMB009 (hunter; weapons excluded R7; base shirt R3); cold layer CMB009 optional GM008; female=rural kit,costume:CMB009|claim:clothing-shirt-principal-garment,B,candidate
of_forest_female_cold_married,nov_clothing_forest_v1,forest,"охотник, лесной промысловик, проводник",nov_role_bortnik|nov_role_forest_promyslovik|nov_role_guide|nov_role_hunter,female,young_adult|adult|middle_aged|old,winter,married,low,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|head_under|foot_layer|insole|footwear,true,gm_gf002,,gm_gf004,gm_gf008,,gm_ac002,,,gm_hw011,gm_hw006,,,,gm_fw015,gm_fw013,gm_fw001,,,CMB009 (hunter; weapons excluded R7; base shirt R3); cold layer CMB009 optional GM008; female=rural kit,costume:CMB009|claim:clothing-shirt-principal-garment,B,candidate
of_forest_female_cold_unmarried,nov_clothing_forest_v1,forest,"охотник, лесной промысловик, проводник",nov_role_bortnik|nov_role_forest_promyslovik|nov_role_guide|nov_role_hunter,female,young_adult|adult|middle_aged|old,winter,unmarried,low,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|foot_layer|insole|footwear,false,gm_gf002,,gm_gf004,gm_gf008,,gm_ac002,,,gm_hw010,,,,,gm_fw015,gm_fw013,gm_fw001,,,CMB009 (hunter; weapons excluded R7; base shirt R3); cold layer CMB009 optional GM008; female=rural kit,costume:CMB009|claim:clothing-shirt-principal-garment,B,candidate
of_urban_middle_male_warm_any,nov_clothing_urban_middle_v1,urban_middle,ремесленник / рядовой горожанин среднего достатка,nov_role_apprentice|nov_role_craftsman_master|nov_role_guard|nov_role_household_mistress|nov_role_householder|nov_role_journeyman|nov_role_trader,male,young_adult|adult|middle_aged|old,summer,any,middle,serviceable,base_garment|lower_garment|waist|footwear,true,gm_gm001,gm_gm004,,,,gm_ac001,,,,,,,,,,gm_fw002,,,"CMB003,CMB016 base (male; GM003 dropped in summer R1); CMB029,CMB030 (female); winter R2",costume:CMB003|costume:CMB016|costume:CMB029|costume:CMB030,B,candidate
of_urban_middle_male_cool_any,nov_clothing_urban_middle_v1,urban_middle,ремесленник / рядовой горожанин среднего достатка,nov_role_apprentice|nov_role_craftsman_master|nov_role_guard|nov_role_household_mistress|nov_role_householder|nov_role_journeyman|nov_role_trader,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,middle,serviceable,base_garment|lower_garment|outer_garment|waist|headwear|foot_layer|footwear,true,gm_gm001,gm_gm004,gm_gm003,,,gm_ac001,,,gm_hw001,,,,,gm_fw016,,gm_fw002,,,"CMB003,CMB016 base (male; GM003 dropped in summer R1); CMB029,CMB030 (female); winter R2",costume:CMB003|costume:CMB016|costume:CMB029|costume:CMB030,B,candidate
of_urban_middle_male_cold_any,nov_clothing_urban_middle_v1,urban_middle,ремесленник / рядовой горожанин среднего достатка,nov_role_apprentice|nov_role_craftsman_master|nov_role_guard|nov_role_household_mistress|nov_role_householder|nov_role_journeyman|nov_role_trader,male,young_adult|adult|middle_aged|old,winter,any,middle,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|waist|headwear|insole|footwear,true,gm_gm001,gm_gm005,gm_gm003,gm_gm008,,gm_ac001,,,gm_hw003,,,,,,gm_fw013,gm_fw007,,,"CMB003,CMB016 base (male; GM003 dropped in summer R1); CMB029,CMB030 (female); winter R2",costume:CMB003|costume:CMB016|costume:CMB029|costume:CMB030,B,candidate
