role_ref,role_title_ru,social_rank,role_status,costume_class,clothing_profile_id,note,source_refs,confidence,status
nov_role_smerd_householder,смерд-домохозяин,low,approved,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_smerd_householder,B,candidate
nov_role_dependent_peasant,зависимый крестьянин,dependent,usable_with_caution,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_dependent_peasant,B,candidate
nov_role_ploughman,пахарь,low,approved,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_ploughman,B,candidate
nov_role_pastoral_worker,скотник,low,approved,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_pastoral_worker,B,candidate
nov_role_fisher,рыбак,low,approved,water,nov_clothing_water_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_fisher,B,candidate
nov_role_hunter,охотник,low,approved,forest,nov_clothing_forest_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_hunter,B,candidate
nov_role_bortnik,бортник,low,approved,forest,nov_clothing_forest_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_bortnik,B,candidate
nov_role_forest_promyslovik,лесной промысловик,low,approved,forest,nov_clothing_forest_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_forest_promyslovik,B,candidate
nov_role_senokos_worker,сенокосец,low,approved,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_senokos_worker,B,candidate
nov_role_miller,мельник,middle,usable_with_caution,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_miller,B,candidate
nov_role_monastery_worker,работник монастырского хозяйства,low,approved,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_monastery_worker,B,candidate
nov_role_widow_householder,вдова-хозяйка,low,approved,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_widow_householder,B,candidate
nov_role_youth_helper,подросток-помощник,low,approved,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_youth_helper,B,candidate
nov_role_old_household_member,старик на дворе,low,approved,rural,nov_clothing_rural_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_old_household_member,B,candidate
nov_role_archbishop,владыка новгородский,elite,approved,monastic,nov_clothing_monastic_v1,"владыка — монашествующий; повседневный монашеский комплект, литургический — в outfits_liturgy",data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_archbishop,C,candidate
nov_role_igumen,игумен,high,approved,monastic,nov_clothing_monastic_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_igumen,C,candidate
nov_role_priest,поп,middle,approved,priest,nov_clothing_priest_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_priest,C,candidate
nov_role_deacon,дьякон,middle,approved,priest,nov_clothing_priest_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_deacon,C,candidate
nov_role_monk,монах,middle,approved,monastic,nov_clothing_monastic_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_monk,C,candidate
nov_role_novice,послушник,low,approved,monastic,nov_clothing_monastic_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_novice,C,candidate
nov_role_ponomar,пономарь,low,usable_with_caution,priest,nov_clothing_priest_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_ponomar,C,candidate
nov_role_church_guard,церковный сторож,low,approved,poor,nov_clothing_poor_v1,"низкий статус, свободный — бедный комплект",data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_church_guard,B,candidate
nov_role_church_scribe,церковный писец,middle,usable_with_caution,priest,nov_clothing_priest_v1,риск: писец может быть мирянином; взят комплект причта (C),data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_church_scribe,C,candidate
nov_role_pilgrim,богомолец,low,usable_with_caution,traveler,nov_clothing_traveler_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_pilgrim,B,candidate
nov_role_guide,проводник,low,approved,forest,nov_clothing_forest_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_guide,B,candidate
nov_role_ferryman,перевозчик,low,approved,water,nov_clothing_water_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_ferryman,B,candidate
nov_role_boatman,лодочник,low,approved,water,nov_clothing_water_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_boatman,B,candidate
nov_role_helmsman,кормщик,middle,usable_with_caution,water,nov_clothing_water_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_helmsman,B,candidate
nov_role_cart_driver,возчик,low,approved,traveler,nov_clothing_traveler_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_cart_driver,B,candidate
nov_role_winter_road_man,человек зимника,low,usable_with_caution,traveler,nov_clothing_traveler_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_winter_road_man,B,candidate
nov_role_portage_worker,человек волока,low,usable_with_caution,poor,nov_clothing_poor_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_portage_worker,B,candidate
nov_role_merchant_companion,купеческий спутник,low,approved,traveler,nov_clothing_traveler_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_merchant_companion,B,candidate
nov_role_druzhina_companion,дружинный спутник,middle,usable_with_caution,warrior,nov_clothing_warrior_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_druzhina_companion,B,candidate
nov_role_kholop,холоп,dependent,approved,poor,nov_clothing_poor_v1,sqlite social_groups: «материальный облик зависит от двора» (A) — базовый бедный комплект,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_kholop,B,candidate
nov_role_debtor,должник,low,approved,poor,nov_clothing_poor_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_debtor,B,candidate
nov_role_runaway,беглый,outcast,approved,destitute,nov_clothing_destitute_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_runaway,B,candidate
nov_role_orphan,сирота,low,approved,poor,nov_clothing_poor_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_orphan,B,candidate
nov_role_outsider,пришлый человек,variable,approved,poor,nov_clothing_poor_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_outsider,B,candidate
nov_role_izgoi,изгой,outcast,usable_with_caution,destitute,nov_clothing_destitute_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_izgoi,B,candidate
nov_role_captive,пленник,dependent,approved,destitute,nov_clothing_destitute_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_captive,B,candidate
nov_role_beggar,нищий,outcast,approved,destitute,nov_clothing_destitute_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_beggar,B,candidate
nov_role_sick_disabled,больной или увечный человек,low,approved,destitute,nov_clothing_destitute_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_sick_disabled,B,candidate
nov_role_no_guarantor,человек без поручителя,outcast,usable_with_caution,poor,nov_clothing_poor_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_no_guarantor,B,candidate
