location_archetype,name_ru,item_location_link_count,spawn_profiles_max_items,pf_ids,mapping_status,note,source_refs,confidence,status
military_camp,военный лагерь или обоз,402,SPN034:10;SPN036:14,,not_applicable,not_applicable: no place-first family for a military camp or baggage train (WK military-first-cartography is separate; gap),data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=military_camp; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
monastery,монастырь и его хозяйство,212,SPN032:16;SPN033:14,pf_monastery_yard,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=monastery; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
pier,"береговой спуск, мостки или причал",534,SPN022:18;SPN023:12;SPN024:18,pf_river_wharf;pf_ferry_landing,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=pier; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
poor_house,,0,SPN002:10;SPN043:8,pf_dwelling_interior,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=poor_house; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
pottery_workshop,гончарная мастерская и печь,151,SPN014:20,pf_ordinary_workshop,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=pottery_workshop; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
refuse_area,"мусорная яма, навозная куча или край двора",879,SPN040:18;SPN041:12,pf_town_courtyard;pf_peasant_homestead,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=refuse_area; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
riverbank,берег реки или озера,194,SPN022:18;SPN025:18;SPN041:12;SPN046:12,pf_riverbank;pf_lake_shore,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=riverbank; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
road,дорога или путь,198,SPN034:10;SPN035:16,pf_road,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=road; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
scribe_area,"место письма, счёта или хранения грамот",259,SPN033:14,pf_dwelling_interior;pf_church_interior,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=scribe_area; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
stable,конюшня,115,SPN020:16,pf_outbuildings,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=stable; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
storehouse,"клеть, амбар или склад",1663,SPN003:12;SPN007:20;SPN009:16;SPN018:18;SPN019:16;SPN026:18;SPN032:16;SPN038:14;SPN044:12,pf_cellar_granary;pf_outbuildings,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=storehouse; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
street,улица и мостовая,149,SPN005:10;SPN041:12;SPN042:14;SPN046:12,pf_town_street,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=street; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
textile_work_area,домашняя или мастерская текстильная рабочая зона,127,SPN015:14;SPN016:16,pf_dwelling_interior;pf_ordinary_workshop,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=textile_work_area; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
torg,Торг и торговое место,597,SPN006:18;SPN044:12,pf_market_square,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=torg; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
urban_house,жилой городской дом,1207,SPN001:14;SPN002:10;SPN015:14;SPN017:18;SPN033:14;SPN042:14;SPN043:8;SPN045:14,pf_dwelling_interior;pf_town_courtyard,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=urban_house; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
wealthy_house,,0,SPN003:12,pf_dwelling_interior,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=wealthy_house; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
workshop,ремесленная мастерская,1485,SPN008:18;SPN009:16;SPN010:14;SPN012:16;SPN013:16;SPN014:20;SPN016:16;SPN018:18;SPN024:18;SPN031:14;SPN039:20,pf_ordinary_workshop,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=workshop; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
yard,городской или сельский двор,1226,SPN004:16;SPN011:18;SPN020:16;SPN026:18;SPN028:16;SPN029:20;SPN035:16;SPN038:14;SPN039:20;SPN040:18;SPN042:14;SPN046:12,pf_town_courtyard;pf_peasant_homestead;pf_rural_yard,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=yard; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
