node_ref,node_level,parent_node_ref,region_id,pf_id,pf_secondary,landscape_template_id,land_use_template_id,place_template_id,water_body_template_id,landscape_regional_link_ids,water_regional_link_ids,authoring_axes,scene_template_refs,binding_basis,binding_status,gaps,source_refs,source_status,confidence,status
g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route@1,G4,,region_novgorod_land,pf_marshy_stream,pf_road;pf_forest_track;pf_village_lane;pf_reality_batch_01_open_conditions;pf_riverbank;pf_forest_edge;pf_hunting_ground;pf_mixed_woodland;pf_river_channel,lt_wet_lowland_forest,,,wb_brook,rlt_novgorod_wet_lowland_forest,rwbt_novgorod_brook,landscape=river_channel; land_use=forest_resource_use; function=forest_stream,stfv3__g5_dry_route_v1@1;stfv3__g5_general_hazard_v1@1;stfv3__g5_observation_orientation_v1@1;stfv3__g5_resource_v1@1;stfv3__g5_water_navigation_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.forest_stream applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_forest_stream_route].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_forest_stream_route].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_forest_stream_route;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head@1,G4,,region_novgorod_land,pf_riverbank,pf_road;pf_forest_track;pf_village_lane;pf_forest_edge;pf_river_channel;pf_floodplain_meadow;pf_bog,lt_alluvial_floodplain,,,wb_river_channel,rlt_novgorod_alluvial_floodplain,rwbt_novgorod_river_channel,landscape=island; land_use=low_intensity_natural_use; function=island_head,stfv3__g5_dry_route_v1@1;stfv3__g5_observation_orientation_v1@1;stfv3__g5_water_navigation_v1@1;stfv3__g5_wetland_flood_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.island_head applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_large_island_head].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_large_island_head].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_large_island_head;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach@1,G4,,region_novgorod_land,pf_river_channel,pf_town_wall_edge;pf_field_margin;pf_forest_edge;pf_reality_batch_01_open_conditions;pf_road;pf_forest_track;pf_riverbank;pf_winter_ice_crossing;pf_floodplain_meadow;pf_fishing_camp,lt_alluvial_floodplain,,,wb_estuary,rlt_novgorod_alluvial_floodplain,,landscape=estuary; land_use=low_intensity_natural_use; function=estuary_mixing,stfv3__g5_boundary_access_v1@1;stfv3__g5_general_hazard_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_seasonal_route_hazard_v1@1;stfv3__g5_shelter_rest_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.estuary_mixing applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_mixing_reach].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_mixing_reach].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_mixing_reach;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn@1,G4,,region_novgorod_land,pf_river_channel,pf_riverbank;pf_forest_edge;pf_road;pf_forest_track;pf_fishing_camp,lt_low_alluvial_riverbank,,,wb_river_channel,rlt_novgorod_low_alluvial_riverbank,rwbt_novgorod_river_channel,landscape=river_channel; land_use=waterway_access; function=river_reach,stfv3__g5_observation_orientation_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_shelter_rest_v1@1;stfv3__g5_water_hazard_v1@1;stfv3__g5_water_navigation_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.river_reach applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_north_exposed_turn].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_north_exposed_turn].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_north_exposed_turn;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach@1,G4,,region_novgorod_land,pf_river_channel,pf_riverbank;pf_forest_edge;pf_road;pf_forest_track;pf_fishing_camp,lt_low_alluvial_riverbank,,,wb_river_channel,rlt_novgorod_low_alluvial_riverbank,rwbt_novgorod_river_channel,landscape=river_channel; land_use=waterway_access; function=river_reach,stfv3__g5_observation_orientation_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_shelter_rest_v1@1;stfv3__g5_water_hazard_v1@1;stfv3__g5_water_navigation_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.river_reach applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_north_outflow_reach].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_north_outflow_reach].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_north_outflow_reach;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool@1,G4,,region_novgorod_land,pf_marshy_stream,pf_mixed_woodland;pf_forest_edge;pf_reality_batch_01_open_conditions;pf_bog;pf_hunting_ground;pf_riverbank;pf_road;pf_forest_track;pf_winter_ice_crossing;pf_floodplain_meadow,lt_freshwater_marsh,,,wb_backwater,rlt_novgorod_freshwater_marsh,rwbt_novgorod_backwater,landscape=backwater_wetland; land_use=waterway_access; function=old_channel,stfv3__g5_exploration_concealment_v1@1;stfv3__g5_general_hazard_v1@1;stfv3__g5_resource_hazard_v1@1;stfv3__g5_resource_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_seasonal_route_hazard_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.old_channel applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_old_channel_pool].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_old_channel_pool].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_old_channel_pool;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach@1,G4,,region_novgorod_land,pf_river_channel,pf_town_wall_edge;pf_field_margin;pf_forest_edge;pf_reality_batch_01_open_conditions;pf_road;pf_forest_track;pf_riverbank;pf_winter_ice_crossing;pf_floodplain_meadow;pf_fishing_camp,lt_alluvial_floodplain,,,wb_nearshore_sea,rlt_novgorod_alluvial_floodplain,,landscape=estuary; land_use=waterway_access; function=outer_exposed,stfv3__g5_boundary_access_v1@1;stfv3__g5_general_hazard_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_seasonal_route_hazard_v1@1;stfv3__g5_shelter_rest_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.outer_exposed applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_outer_exposed_approach].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_outer_exposed_approach].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_outer_exposed_approach;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater@1,G4,,region_novgorod_land,pf_marshy_stream,pf_mixed_woodland;pf_forest_edge;pf_reality_batch_01_open_conditions;pf_hunting_ground;pf_riverbank;pf_road;pf_forest_track;pf_winter_ice_crossing;pf_floodplain_meadow,lt_freshwater_marsh,,,wb_backwater,rlt_novgorod_freshwater_marsh,rwbt_novgorod_backwater,landscape=backwater_wetland; land_use=low_intensity_natural_use; function=reed_backwater,stfv3__g5_exploration_concealment_v1@1;stfv3__g5_general_hazard_v1@1;stfv3__g5_resource_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_seasonal_route_hazard_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.reed_backwater applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_reed_backwater].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_reed_backwater].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_reed_backwater;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_inner_reach@1,G4,,region_novgorod_land,pf_river_channel,pf_riverbank;pf_forest_edge;pf_road;pf_forest_track;pf_fishing_camp,lt_low_alluvial_riverbank,,,wb_river_channel,rlt_novgorod_low_alluvial_riverbank,rwbt_novgorod_river_channel,landscape=river_channel; land_use=waterway_access; function=river_reach,stfv3__g5_observation_orientation_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_shelter_rest_v1@1;stfv3__g5_water_hazard_v1@1;stfv3__g5_water_navigation_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.river_reach applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_sheltered_inner_reach].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_sheltered_inner_reach].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_sheltered_inner_reach;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_landing_terrace@1,G4,,region_novgorod_land,pf_ferry_landing,pf_road;pf_forest_track;pf_village_lane;pf_riverbank;pf_river_wharf;pf_hunting_ground;pf_mixed_woodland;pf_winter_ice_crossing;pf_floodplain_meadow;pf_fishing_camp;pf_forest_edge,lt_gentle_hills,,,wb_river_channel,rlt_novgorod_gentle_hills,rwbt_novgorod_river_channel,landscape=ridge; land_use=waterway_access; function=landing_terrace,stfv3__g5_dry_route_v1@1;stfv3__g5_landing_transition_v1@1;stfv3__g5_resource_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_seasonal_route_hazard_v1@1;stfv3__g5_shelter_rest_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.landing_terrace applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_sheltered_landing_terrace].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_sheltered_landing_terrace].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_sheltered_landing_terrace;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
