tr_id,kind,name_ru,facts_summary,hazard_keywords,period,fact_count,source_refs,confidence,status
trv_022,sledge,сани,"season: Зимний путь был удобнее летнего; в северных болотистых районах сани использовали почти круглый год | material: Полоз — длинный дубовый брус с загнутым передком, 75–340 см; головку украшали | description: Пять типов саней: грузовые универсальные, легковые пассажирские, беговые с высокой грядкой, возок, ручные/детские салазки",,c1230,3,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1276;book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1278;book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1284,B,candidate
trv_023,sledge,сани грузовые (дровни),"dimensions: Грузовые сани 250–340 см длиной, платформа ~25 см высотой; внизу напоминали дровни | description: Кузов шириной равен ходу саней — удлинённый ящик с высокой задней стенкой",,c1230,2,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1285,B,candidate
trv_024,sledge,сани пассажирские,dimensions: Облегчённые пассажирские сани 190–250 см,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1286,B,candidate
trv_025,sledge,сани-возок,description: Возок — сани с большим крытым кузовом; более 50 копылов с высокой планкой в слоях с X в.,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1287,B,candidate
trv_026,sledge,салазки грузовые,"dimensions: Салазки для лёгкой поклажи 80–100 см длиной, до 45 см шириной",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1288,B,candidate
trv_027,portage,волокуша,"use: Волокуши-оглобли в древности — только для вывоза леса, брёвен и теса",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1289,B,candidate
trv_028,harness_part,оглобля,"dimensions: Оглобля — жердь 250–290 см, диаметр 7–9 см, надевалась на первый копыл",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1283,B,candidate
trv_029,harness_part,хомут,dating: Жёсткий хомут известен на Руси со 2-й пол. X в. | dimensions: Клешни хомута стандартны: длина 53 см ± 2 см; форма не менялась десять веков,,c1230,2,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1293;book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1292,B,candidate
trv_030,harness_part,дуга,"dimensions: Дуга 55–65 см высотой; без дуги сани запрягать можно, в соху или волокушу — только с дугой",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1295,B,candidate
trv_031,cart,телега,"presence_in_region: На севере саней было гораздо больше, чем колёсных повозок, но телеги использовались повсеместно | description: Повозки четырёхколёсные; телеги возили грузы, женщин и детей",,c1230,2,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1296;book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1297,B,candidate
trv_032,cart,колесо тележное,"dating: Новгородские колёса XI в. со спицами совершенны, не отличаются от лучших колёс XIX в.; железной оковки обода нет | dimensions: Ступица 40–46 см длиной, дубовые спицы 36–46 см; сплошных колёс в находках нет",,c1230,2,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1297;book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1299,B,candidate
trv_033,cart,тележная ось,dimensions: Оси — дубовые брусья 145–170 см; колесо фиксировали чеками,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1306,B,candidate
trv_034,ski_skate,лыжи,"dating: Скоростные парные лыжи (до 2 м, ширина 8 см) — в Новгороде в слоях XIII–XIV вв. | dimensions: Средневековые скоростные лыжи до 2 м длиной, ширина 8 см, толщина 1 см, под ногой 3 см | description: Архаичная лыжа XI в. — короткая (160 см) и широкая (14 см), тихоходная",,c1230;medieval_general,3,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1316;book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1315;book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1314,B,candidate
trv_035,ski_skate,коньки костяные,"description: Коньки костяные, с приподнятым носком и полированной подошвой, крепились ремнями через отверстия",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1317,B,candidate
trv_036,road_or_route,сухопутные дороги,description: Преобладание водных путей и слабое развитие сухопутных дорог характерны для средневековья,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1318,B,candidate
trv_037,riding,верховая езда (скорость),"quantity: Мономах около ста раз ездил из Чернигова в Киев за один день, до вечерни (≈140 км)",,medieval_general,1,book:641342 §ПОУЧЕНИЕ ВЛАДИМИРА МОНОМАХА > ПЕРЕВОД > РАССКАЗ МОНОМАХА О СВОЕЙ ЖИЗНИ ¶1818,A,candidate
trv_038,road_or_route,путь из варяг в греки,"description: ПВЛ: из Днепра волок до Ловати, по Ловати в Ильмень, из Ильменя Волхов в Нево, оттуда в море Варяжское",,c1230,1,book:641342 §ПОВЕСТЬ ВРЕМЕННЫХ ЛЕТ > ПЕРЕВОД ¶831,A,candidate
trv_039,portage,волок (катки),technique: При переправе судов через волоки обычно пользовались катками,,medieval_general,1,book:641342 §[notes] > 294 ¶2161,B,candidate
trv_040,sledge,сани (погребальные),"taboo_or_custom: Покойника везли на санях в любое время года — элемент похоронного обряда | name_form: «Седя на санех» — «в преклонных годах, на краю смерти»",,c1230,2,book:641342 §[notes] > 505 ¶2372;book:641342 §[notes] > 1036 ¶2904,B,candidate
trv_041,ferry_crossing,перевоз,description: ПВЛ: у Киева был перевоз через Днепр («На перевоз на Киев»); Кия считали перевозчиком,,medieval_general,1,book:641342 §ПОВЕСТЬ ВРЕМЕННЫХ ЛЕТ > ПЕРЕВОД ¶834,A,candidate
trv_042,watercraft_or_part,"ладья, челн, струг (Русская Правда)","price: Пространная Правда ст. 79: за кражу ладьи 60 кун продажи; морская ладья 3 гривны, набойная 2, челн 20 кун, струг гривна",,c1230,1,book:641351 §РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ОРИГИНАЛ ¶2708,A,candidate
trv_043,bridge,мостник,"price: Мостнику: за новый мост по ногате с 10 локтей, за починку по куне с городни; ехал с отроком на двух конях, 4 лукна овса в неделю",,c1230,1,book:641351 §РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ОРИГИНАЛ ¶2726,A,candidate
trv_044,logistics_role_or_price,конь (цена),"price: Краткая Правда ст. 28: княжий конь с пятном 3 гривны, смердий 2 гривны, кобыла 60 резан",,c1230,1,book:641351 §РУССКАЯ ПРАВДА (КРАТКАЯ РЕДАКЦИЯ) > ОРИГИНАЛ ¶2553,A,candidate
trv_045,hazard_river_rapids,волховские пороги: порожане (лоцманы),social_rule: Зимние гости у Порога извещали старосту порожан; утром приходили проводники; на ладьи брать только сильных и достойных мужей | price: Каждому перевозчику-порожанину 8 куньих мордок и кусок ткани (или 3 мордки); летом каждая лодья даёт 4 хлеба и чашку масла,порог,c1230,2,book:566840 §Приложения > № 15/1. Немецкий проект торгового договора Новгорода с Любеком и Готландом (латинская грамота)[906] ¶1447;book:566840 §Приложения > № 15/1. Немецкий проект торгового договора Новгорода с Любеком и Готландом (латинская грамота)[906] ¶1449,B,candidate
trv_046,toll_point,Гостинополье (мыт),"price: В Гостинополье: судно с товаром — марка кун, с тяжёлым грузом (мясо, мука, пшеница, солод) — полмарки, с продовольствием — ничего",,c1230,1,book:566840 §Приложения > № 15/1. Немецкий проект торгового договора Новгорода с Любеком и Готландом (латинская грамота)[906] ¶1449,B,candidate
trv_047,ferry_crossing,ладья наёмная (перевозка по Волхову/Неве),"price: Наёмная лодья от Невы — плата и окорок или 5 марок кун; от Ладоги/устья Волхова — половина | social_rule: Если лодья разобьётся — за лодью не платят, но гость платит за пройденный путь и несёт убыток",,c1230,2,book:566840 §Приложения > № 15/1. Немецкий проект торгового договора Новгорода с Любеком и Готландом (латинская грамота)[906] ¶1450;book:566840 §Приложения > № 15/1. Немецкий проект торгового договора Новгорода с Любеком и Готландом (латинская грамота)[906] ¶1452,B,candidate
trv_048,logistics_role_or_price,подводы в Новгороде,"price: По прибытии в Новгород подводы готовы: 15 кун с лодьи до Немецкого двора, 10 кун — готам",,c1230,1,book:566840 §Приложения > № 15/1. Немецкий проект торгового договора Новгорода с Любеком и Готландом (латинская грамота)[906] ¶1454,B,candidate
trv_049,other,зимние и летние гости,season: Иноземные купцы ездили двумя «поездами» — зимним и летним; ссоры одного поезда не касались другого,,c1230,1,book:566840 §Приложения > № 15/1. Немецкий проект торгового договора Новгорода с Любеком и Готландом (латинская грамота)[906] ¶1462,B,candidate
trv_050,logistics_role_or_price,путь гостя в войну,"social_rule: При войне Новгорода с соседями гостю не препятствовать, в поход не привлекать",,c1230,1,book:566840 §Приложения > № 15/1. Немецкий проект торгового договора Новгорода с Любеком и Готландом (латинская грамота)[906] ¶1464,B,candidate
trv_051,other,лес для судов,social_rule: Гости могут рубить лес и мачты по обоим берегам Невы,,c1230,1,book:566840 §Приложения > № 15/1. Немецкий проект торгового договора Новгорода с Любеком и Готландом (латинская грамота)[906] ¶1444,B,candidate
trv_052,hazard_river_rapids,"лоцман (Нева, Ладога)",price: Лоцману на Неву и обратно — 5 марок кун или окорок на прокорм; Новгород–Ладога и обратно — 3 марки или пол-окорока,,c1230,1,book:566840 §Приложения > № 15/2. Русский проект торгового договора Новгорода с Любеком и Готландом (немецкая грамота)[998] ¶1495,B,candidate
trv_053,logistics_role_or_price,возчики в Новгороде,"price: Возчикам: с ладьи с берега в Немецкий двор 15 кун, в Готский 10 кун; за вывоз полмарки кун",,c1230,1,book:566840 §Приложения > № 15/2. Русский проект торгового договора Новгорода с Любеком и Готландом (немецкая грамота)[998] ¶1501,B,candidate
trv_054,road_or_route,путь по суше и воде,"social_rule: Кто приехал по Неве — возвращается по Неве, кто сухим путём — сухим путём",,c1230,1,book:566840 §Приложения > № 15/2. Русский проект торгового договора Новгорода с Любеком и Готландом (немецкая грамота)[998] ¶1515,B,candidate
trv_055,road_law,суд над вором в пути,"social_rule: Вора, пойманного между Котлином и Ладогой, судят в Ладоге; между Ладогой и Новгородом — в Новгороде",,c1230,1,book:566840 §Приложения > № 15/2. Русский проект торгового договора Новгорода с Любеком и Готландом (немецкая грамота)[998] ¶1489,B,candidate
trv_056,other,волховские пороги,"description: Пороги на 19 км: груз с коггов перегружали на новгородские ладьи; вели местные лоцманы (forskarlar) | description: Олеарий (XVII в.): лодки тащили через пороги на канатах сотней людей, пассажиры шли берегом; бывали крушения",порог,c1230;medieval_general,2,book:804838 §III. Варяги на Руси > 6. Остров Хольмгард > 6.1. Путь по Волхову ¶3323;book:804838 §III. Варяги на Руси > 6. Остров Хольмгард > 6.1. Путь по Волхову ¶3322,B,candidate
trv_057,road_or_route,дневной переход по реке,quantity: Средний дневной переход по реке ~16 км (по расстановке никольских храмов на Волхове),,medieval_general,1,book:804838 §III. Варяги на Руси > 6. Остров Хольмгард > 6.1. Путь по Волхову ¶3326,B,candidate
trv_058,other,Волхов (средний участок),"description: Выше Городища Волхов — широкий медленный разлив в несколько сот метров с рукавами, среди болотистой низменности (~80 км до Чудова)",,modern_reference,1,book:804838 §III. Варяги на Руси > 6. Остров Хольмгард > 6.1. Путь по Волхову ¶3332,B,candidate
trv_059,other,сторожевой городок на реке,"description: Малые городища на Волхове — заставы: десяток-дюжина воинов, надзор, сбор пошлин, стоянка кораблей",,c1230,1,book:804838 §III. Варяги на Руси > 6. Остров Хольмгард > 6.1. Путь по Волхову ¶3329,B,candidate
trv_060,bridge,уличная мостовая (Новгород),"description: Мостовая: три продольные лаги 10–12 м, поперёк плахи из расколотых брёвен; ширина 4–5 м в XIII–XIV вв. | quantity: Мостовая служила 15–30 лет; новую клали поверх старой, уровень поднимался на 15–25 см; до 30 ярусов | dating: Первая мостовая Черницыной улицы — 938 г., Великой — 953 г. | description: Города лесной зоны на глинистой морене — улицы сырые, без мостовых и дренажа нельзя",,c1230;medieval_general,4,book:622242 §Глава четвертая Сооружения > Инженерные сооружения Б.А. Колчин ¶1247;book:622242 §Глава четвертая Сооружения > Инженерные сооружения Б.А. Колчин ¶1248;book:622242 §Глава четвертая Сооружения > Инженерные сооружения Б.А. Колчин ¶1246;book:622242 §Глава четвертая Сооружения > Инженерные сооружения Б.А. Колчин ¶1244,B,candidate
trv_061,bridge,Устав о мостех,social_rule: «Устав князя Ярослава о мостех» (1265–66) распределял мощение улиц между всеми жителями и пригородными сёлами,,medieval_general,1,book:622242 §Глава четвертая Сооружения > Инженерные сооружения Б.А. Колчин ¶1250,B,candidate
trv_062,hospitality,гостеприимство в пути,"social_rule: Мономах: в пути не давать отрокам вредить сёлам и посевам; где остановитесь — напоить и накормить нищего | social_rule: Более всего чтить гостя — простолюдина, знатного или посла; если не подарком, то пищей и питьём: гости разносят славу",,c1230,2,book:641342 §ПОУЧЕНИЕ ВЛАДИМИРА МОНОМАХА > ПЕРЕВОД > ПОУЧЕНИЕ ¶1786,A,candidate
trv_063,hospitality,странноприимница,"description: Новгородский список устава Владимира (кон. XIII в.) называет «гостинницы, странноприимницы» при церкви — приют для путников и больных",,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶100,B,candidate
