tl_id,name_ru,name_en,craft_group,category_id,category_status,item_template_ref,wk_concept_ref,matcult_refs,material,material_class,size_class,mass_band,mass_band_range,mass_basis,mass_attested,v5_policy_mass_g,v5_policy_band,used_in_process_refs,used_by_occupations,in_workshops,workplace_pf_id,condition_states,mark_slots,region_id,source_refs,confidence,status,note
tl_saw_bone,косторезная пилка,bone saw,bone,cat_item_object_saw_v1,existing_v5,item_tpl_nov_saw_v1,wk:material_culture:saw,CRF0015,mt_iron;mt_steel;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,500,M2,pc_bone_comb,,ws_bone_carver,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:matcult-catalog-v1;src:smirnova1998-bone,B,candidate,Опилки и отпилы в отходах костерезов (Смирнова).
tl_drawknife,скобель,drawknife,carpentry,cat_item_object_drawknife_v1,proposed_new,,wk:material_culture:drawknife,CRF0029,mt_iron;mt_steel;mt_wood_generic,metal,long_hand,M2,"300 г–1,5 кг",rule:metalxlong_hand,,,,pc_cooperage;pc_self_bow;pc_timber_felling;pc_sledge_making;wk:craft_technology:woodworking,nov_occ_carpenter;nov_occ_cooper,ws_cooper;ws_carpenter_yard,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,claim:occupation-wood-drawknife;src:kolchin1959-iron,A,candidate,18 скобелей в выборке Колчина.
tl_plane,струг (наструг),plane-like tool,carpentry,cat_item_object_plane_v1,proposed_new,,wk:material_culture:plane-like-tool,CRF0060,mt_wood_generic;mt_iron;mt_steel,wood,hand,M1,50–300 г,rule:woodxhand,,,,wk:craft_technology:woodworking,nov_occ_carpenter,ws_carpenter_yard,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:occupation-wood-plane;src:kolchin1957-city,A,candidate,
tl_nail_puller,гвоздодёр,nail puller,carpentry,cat_item_object_nail_puller_v1,proposed_new,,,,mt_iron,metal,hand,M1,50–300 г,rule:metalxhand,,,,,nov_occ_carpenter,ws_carpenter_yard,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1959-iron;src:kolchin1957-city,B,candidate,15 гвоздодёров в выборке Колчина.
tl_wedge,клин деревянный или железный,wedge,carpentry,cat_item_object_wedge_v1,existing_v5,item_tpl_nov_wedge_v1,,CRF0087,mt_wood_oak;mt_iron,wood,hand,M1,50–300 г,rule:woodxhand,,300,M2,pc_log_building;pc_board_hewing;pc_cooperage;pc_timber_felling;pc_street_paving,nov_occ_carpenter;nov_occ_cooper;nov_occ_portage_worker;nov_occ_forest_worker;nov_occ_miller,ws_cooper;ws_carpenter_yard,town_courtyard,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1;claim:mb14-practical-wet-wood-splitting-needs-grain-and-restraint,B,candidate,Раскол брёвен на плахи.
tl_mallet,"киянка, колотушка",mallet,carpentry,cat_item_object_wooden_mallet_v1,existing_v5,item_tpl_nov_wooden_mallet_v1,,CRF0053;CRF0088,mt_wood_oak;mt_wood_birch,wood,long_hand,M2,"300 г–1,5 кг",rule:woodxlong_hand,,700,M2,pc_felting;pc_log_building;pc_board_hewing;pc_plank_boat;pc_boat_repair;pc_cooperage;pc_street_paving;pc_sledge_making,nov_occ_carpenter;nov_occ_cooper;nov_occ_boatbuilder;nov_occ_miller,ws_cooper;ws_carpenter_yard;ws_boatyard,town_courtyard,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_marking_cord,разметочный шнур и мерная верёвка,marking and measuring cord,carpentry,cat_item_object_marking_cord_v1,proposed_new,,,CRF0049;CRF0137,mt_cordage;mt_carbon_black,light,soft_goods,M0,<50 г,estimated_physical,"шнур и мерная верёвка, тонкие, оценочно ок. 40 г",,,pc_log_building,nov_occ_carpenter,ws_carpenter_yard,town_courtyard,serviceable;worn;frayed_or_torn;wet;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_compass_divider,циркуль разметочный,dividers,carpentry,cat_item_object_compass_divider_v1,proposed_new,,,CRF0048,mt_iron,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_nonferrous_casting;pc_seal_matrix;pc_bone_comb,,ws_bone_carver;ws_carpenter_yard,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,"Разметка у плотников, костерезов, ювелиров."
tl_plumb_line,отвес,plumb line,carpentry,cat_item_object_plumb_line_v1,proposed_new,,,CRF0138,mt_cordage;mt_lead;mt_fieldstone,light,soft_goods,M1,50–300 г,estimated_physical,"отвес с небольшим грузом, тонкий шнур, оценочно ок. 100 г",,,pc_log_building,nov_occ_carpenter,ws_carpenter_yard,town_courtyard,serviceable;worn;frayed_or_torn;wet;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_workhorse,"козлы, колода-верстак",sawhorse / work block,carpentry,cat_item_object_workhorse_v1,proposed_new,,,CRF0089;CRF0090,mt_wood_generic,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,pc_board_hewing;pc_cooperage,nov_occ_cooper,ws_cooper;ws_carpenter_yard,town_courtyard,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_lathe,токарный станок (лучковый или пружинный привод),pole/bow lathe,woodworking_fine,cat_item_object_lathe_v1,proposed_new,,,CRF0103,mt_wood_generic;mt_cordage;mt_iron,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,pc_wood_turning,,ws_turner,ordinary_workshop,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:kolchin1957-city;src:kolchin1968-wood,B,candidate,"Колчин 1957: «мощные, технически совершенные токарные станки»; тип привода — реконструкция."
tl_turning_hook,токарный резец (крючок),turning hook tool,woodworking_fine,cat_item_object_carving_knife_v1,existing_v5,item_tpl_nov_carving_knife_v1,,,mt_iron;mt_steel;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,100,M1,pc_wood_turning,,ws_turner,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1957-city,B,candidate,Токарные резцы в перечне Колчина 1957.
tl_carving_knife,"резец, нож-косяк резчика",carving knife,woodworking_fine,cat_item_object_carving_knife_v1,existing_v5,item_tpl_nov_carving_knife_v1,wk:material_culture:cutting-tool,,mt_iron;mt_steel;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,100,M1,pc_nonferrous_casting;pc_lost_wax_casting;pc_wood_turning;pc_net_making;pc_bark_float;pc_self_bow;pc_ownership_mark,,ws_turner;ws_net_shore,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,claim:population-bark-cut;src:kolchin1957-city,A,candidate,
tl_cooper_croze,уторник и скобель бондаря,cooper croze and scraper,cooperage,cat_item_object_cooper_croze_v1,proposed_new,,,,mt_iron;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_cooperage,nov_occ_cooper,ws_cooper,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1957-city,B,candidate,«Бондарные скобельки и уторные пилки» в перечне Колчина 1957.
tl_caulking_iron,конопатка (инструмент),caulking iron,boatbuilding,cat_item_object_caulking_iron_v1,proposed_new,,,CRF0011,mt_iron;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_plank_boat;pc_boat_repair;wk:craft_technology:plank-gap-caulking,nov_occ_boatbuilder;nov_occ_landing_worker,ws_boatyard,river_wharf,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:construction-tarred-tow-caulking;src:matcult-catalog-v1,B,candidate,
tl_pitch_pot,котёл или горшок для варки смолы,pitch pot,boatbuilding,cat_item_object_cooking_pot_v1,existing_v5,item_tpl_nov_cooking_pot_v1,,CRF0007,mt_ceramic;mt_iron,clay,long_hand,M3,"1,5–5 кг",rule:clayxlong_hand,,2500,M3,pc_pine_pitch;pc_plank_boat;pc_boat_repair,nov_occ_boatbuilder;nov_occ_pitch_tar_worker;nov_occ_boatman,ws_boatyard;ws_tar_kiln,river_wharf,intact;chipped;cracked;broken,wear_pattern,,claim:household-tar-pot;claim:macro-b20-heated-pitch-is-a-burn-and-fume-exposure-hazard-that-needs-cautious-handling;src:matcult-catalog-v1,B,candidate,
tl_boat_stocks,"стапель, подпорки",boat stocks,boatbuilding,cat_item_object_boat_stocks_v1,proposed_new,,,CRF0008,mt_wood_generic,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,pc_plank_boat,nov_occ_boatbuilder,ws_boatyard,riverbank,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_forge_hearth,кузнечный горн,forge hearth,smithing,cat_item_object_forge_hearth_v1,proposed_new,,,CRF0121;CRF0006,mt_clay_refractory;mt_fieldstone;mt_charcoal,clay,fixture,M5,>25 кг,rule:clayxfixture,,,,pc_smith_forging;pc_welded_steel_edge;pc_carburizing;pc_nail_forging;pc_iron_repair;pc_seal_matrix,nov_occ_blacksmith,ws_smithy_town,smithy,intact;chipped;cracked;broken,wear_pattern,,claim:ordinary-life-smith-forge-and-bellows;claim:reconstructed-place-work-smithy-can-conditionally-link-forge-bellows-anvil-and-quench;src:kolchin1959-iron,A,candidate,
tl_bellows,кузнечные мехи,bellows,smithing,cat_item_object_bellows_v1,proposed_new,,,CRF0037;CRF0038,mt_leather_veg;mt_wood_generic,light,fixture,M3,"1,5–5 кг",rule:lightxfixture,,,,pc_bloomery_iron;pc_smith_forging;pc_welded_steel_edge;pc_carburizing;pc_nail_forging;pc_iron_repair;pc_nonferrous_casting;pc_lost_wax_casting;pc_glass_bracelet,nov_occ_blacksmith,ws_smithy_town;ws_bloomery_site;ws_jeweler_caster;ws_glass_bead,smithy,serviceable;worn;frayed_or_torn;wet;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:ordinary-life-smith-forge-and-bellows;src:matcult-catalog-v1,B,candidate,Конструкция мехов — реконструкция (matcult C).
tl_tuyere,глиняное сопло горна,clay tuyere,smithing,cat_item_object_tuyere_v1,proposed_new,,,CRF0117,mt_clay_refractory,clay,hand,M1,50–300 г,rule:clayxhand,,,,pc_bloomery_iron,,ws_smithy_town;ws_bloomery_site,smithy,intact;chipped;cracked;broken,wear_pattern,,src:matcult-catalog-v1;src:kolchin1953-metallurgy,B,candidate,
tl_anvil,наковальня,anvil,smithing,cat_item_object_anvil_v1,proposed_new,,wk:material_culture:anvil,CRF0120;CRF0123,mt_iron;mt_steel,metal,fixture,M4,5–25 кг,rule:metalxfixture,,,,pc_bloomery_iron;pc_smith_forging;pc_welded_steel_edge;pc_nail_forging;pc_iron_repair;pc_lead_seal;pc_seal_matrix,nov_occ_blacksmith,ws_smithy_town,smithy,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:occupation-smith-anvil;claim:ordinary-life-smith-anvil-hammer-tongs;src:kolchin1959-iron,A,candidate,Кузнечные наковальни — класс; ювелирная рогатая наковальня XII в. 1460 г выделена отдельно.
tl_anvil_block,колода под наковальню,anvil stump,smithing,cat_item_object_anvil_block_v1,proposed_new,,,CRF0002,mt_wood_oak,wood,fixture,M4,5–25 кг,rule:woodxfixture,,,,,nov_occ_blacksmith,ws_smithy_town,smithy,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,
tl_smith_hammer,ручной кузнечный молоток,smith hand hammer,smithing,cat_item_object_hammer_v1,existing_v5,item_tpl_nov_hammer_v1,wk:material_culture:smith-hammer,CRF0079,mt_iron;mt_steel;mt_wood_birch,metal,long_hand,M2,"300 г–1,5 кг",attested_head_only;rule_for_whole,"головки 210–290 г, длина 100–102 мм (2 экз.)",800,M2,pc_smith_forging;pc_welded_steel_edge;pc_nail_forging;pc_iron_repair;pc_lead_seal;pc_seal_matrix,nov_occ_blacksmith,ws_smithy_town,smithy,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:occupation-smith-hammer;src:kolchin1959-iron,B,candidate,Масса по Колчину через конспект (B до сверки).
tl_sledgehammer,кувалда,sledgehammer,smithing,cat_item_object_hammer_v1,existing_v5,item_tpl_nov_hammer_v1,wk:material_culture:smith-hammer,CRF0080,mt_iron;mt_wood_birch,metal,long,M3,"1,5–5 кг",rule:metalxlong,,800,M2,pc_bloomery_iron;pc_smith_forging,nov_occ_blacksmith,ws_smithy_town;ws_bloomery_site,smithy,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:occupation-smith-hammer;src:kolchin1959-iron,A,candidate,Кувалды названы в WK; масса не выписана.
tl_smith_tongs,кузнечные клещи,smith tongs,smithing,cat_item_object_smithing_tongs_v1,existing_v5,item_tpl_nov_smithing_tongs_v1,wk:material_culture:smith-tongs,CRF0081;CRF0082,mt_iron,metal,long_hand,M2,"300 г–1,5 кг",attested,до 1350 г при длине 550 мм (3 экз.),900,M2,pc_bloomery_iron;pc_smith_forging;pc_welded_steel_edge;pc_carburizing;pc_nail_forging;pc_iron_repair,nov_occ_blacksmith,ws_smithy_town;ws_bloomery_site,smithy,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:occupation-smith-tongs;src:kolchin1959-iron,B,candidate,
tl_smith_chisel,кузнечное зубило,smith chisel / hot set,smithing,cat_item_object_smith_chisel_v1,proposed_new,,,CRF0078,mt_steel;mt_iron,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_smith_forging;pc_welded_steel_edge;pc_nail_forging,nov_occ_blacksmith,ws_smithy_town,smithy,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1957-city;src:matcult-catalog-v1,B,candidate,
tl_punch,"пробойник, бородок",punch / drift,smithing,cat_item_object_punch_v1,proposed_new,,,CRF0124,mt_steel,metal,hand,M1,50–300 г,rule:metalxhand,длина 100–106 мм (2 экз. «pritchels»),,,pc_smith_forging,nov_occ_blacksmith,ws_smithy_town,smithy,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1959-iron,B,candidate,
tl_nail_header,гвоздильня,nail header,smithing,cat_item_object_nail_header_v1,proposed_new,,,,mt_iron,metal,hand,M2,"300 г–1,5 кг",attested,"730 г, длина 215 мм, 4 отверстия под гвозди 4–7 мм",,,pc_nail_forging,nov_occ_blacksmith,ws_smithy_town,smithy,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1959-iron,B,candidate,
tl_file,напильник,file,smithing,cat_item_object_file_v1,existing_v5,item_tpl_nov_file_v1,,CRF0035;CRF0016,mt_steel,metal,hand,M1,50–300 г,rule:metalxhand,длина 115–194 мм (4 экз. X–XIV вв.),300,M2,pc_welded_steel_edge;pc_iron_repair;pc_nonferrous_casting;pc_lost_wax_casting;pc_sheet_embossing;pc_seal_matrix;pc_bone_comb,nov_occ_blacksmith,ws_smithy_town;ws_jeweler_caster;ws_bone_carver,smithy,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1959-iron,B,candidate,
tl_quench_tub,кадка с водой для закалки,quench tub,smithing,cat_item_object_trough_v1,existing_v5,item_tpl_nov_trough_v1,,CRF0039,mt_wood_generic;mt_water,wood,fixture,M4,5–25 кг,rule:woodxfixture,,8000,M4,pc_smith_forging;pc_welded_steel_edge,nov_occ_blacksmith,ws_smithy_town,smithy,serviceable;worn;cracked;warped;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,claim:reconstructed-place-work-smithy-can-conditionally-link-forge-bellows-anvil-and-quench;src:matcult-catalog-v1,B,candidate,
tl_grinding_wheel,точильный круг,grindstone,smithing,cat_item_object_grinding_wheel_v1,proposed_new,,wk:material_culture:stone,CRF0044,mt_slate_whetstone;mt_wood_generic,stone,fixture,M5,>25 кг,rule:stonexfixture,,,,pc_welded_steel_edge;pc_iron_repair,nov_occ_blacksmith,ws_smithy_town,smithy,serviceable;chipped;worn_groove;broken,wear_pattern,,claim:stone-grinding-metal-use;src:kolchin1959-iron,A,candidate,
tl_whetstone,оселок,whetstone,general,cat_item_object_whetstone_v1,proposed_new,,wk:material_culture:stone,CRF0113,mt_slate_whetstone,stone,hand,M0,<50 г,estimated_physical,"личный носимый оселок, малый, оценочно ок. 40 г",,,pc_welded_steel_edge;pc_bone_comb,nov_occ_princely_service_agent;nov_occ_druzhina_warrior;nov_occ_blacksmith;nov_occ_leatherworker;nov_occ_shoemaker;nov_occ_cart_driver;nov_occ_haymaker,ws_shoemaker;ws_bone_carver,town_courtyard,serviceable;chipped;worn_groove;broken,wear_pattern,,claim:stone-whetstone-edge-maintenance,B,candidate,"Носимый личный оселок — у многих занятий; WK claim выведен косвенно (inferred), поэтому B, не A."
tl_bloomery_furnace,сыродутный горн,bloomery furnace,metallurgy,cat_item_object_bloomery_furnace_v1,proposed_new,,,,mt_clay_refractory;mt_fieldstone,clay,fixture,M5,>25 кг,rule:clayxfixture,,,,pc_bloomery_iron,,ws_bloomery_site,forest_edge,intact;chipped;cracked;broken,wear_pattern,,src:kolchin1953-metallurgy,B,candidate,"Сельская металлургия; в городе, по WK, работали с готовым железом."
tl_ore_basket,короб и лопата для руды,ore basket and shovel,metallurgy,cat_item_object_wooden_shovel_v1,existing_v5,item_tpl_nov_wooden_shovel_v1,wk:material_culture:shovel,,mt_birch_bark;mt_wood_generic,light,long,M2,"300 г–1,5 кг",rule:lightxlong,,1800,M3,pc_bloomery_iron,,ws_bloomery_site,bog,serviceable;worn;frayed_or_torn;wet;rotten;broken,owner_sign_carved;repair_trace;wear_pattern,,src:kolchin1953-metallurgy;src:ethno-analogy,C,candidate,
tl_carburizing_pot,глиняный сосуд для цементации,carburizing clay vessel,smithing,cat_item_object_carburizing_pot_v1,proposed_new,,,,mt_clay_refractory,clay,hand,M1,50–300 г,rule:clayxhand,,,,pc_carburizing,,ws_smithy_town,smithy,intact;chipped;cracked;broken,wear_pattern,,src:kolchin1959-iron,C,candidate,Колчин: науглероживание в глиняных сосудах с углём и солью (через конспект); форма сосуда не выписана.
tl_crucible,литейный тигель,casting crucible,casting_jewelry,cat_item_object_crucible_v1,proposed_new,,wk:material_culture:casting-crucible,CRF0152,mt_clay_refractory,clay,tiny,M0,<50 г,rule:clayxtiny,,,,pc_nonferrous_casting;pc_lost_wax_casting;pc_wire_filigree;pc_lead_seal,,ws_jeweler_caster,ordinary_workshop,intact;chipped;cracked;broken,wear_pattern,,claim:casting-casting-crucible;src:iaran-desyatinny,A,candidate,
tl_crucible_tongs,клещи для крицы или тигля,bloom or crucible tongs,casting_jewelry,cat_item_object_smithing_tongs_v1,existing_v5,item_tpl_nov_smithing_tongs_v1,,,mt_iron,metal,long_hand,M2,"300 г–1,5 кг",rule:metalxlong_hand,,900,M2,pc_nonferrous_casting;pc_lost_wax_casting,,ws_jeweler_caster,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:kolchin1959-iron,B,candidate,"У Колчина — «кричные клещи»: по форме годятся и для крицы, и для тигля, у металлургов и укладников. Здесь применены к литейным операциям (тигель); извлечение крицы в pc_bloomery_iron делает tl_smith_tongs. 5 экз. XII–XV вв. (Колчин через конспект)."
tl_ladle_pouring,льячка,pouring ladle,casting_jewelry,cat_item_object_ladle_pouring_v1,proposed_new,,wk:material_culture:pouring-ladle,CRF0146,mt_clay_refractory;mt_iron,clay,hand,M1,50–300 г,rule:clayxhand,,,,pc_nonferrous_casting;pc_lead_seal,,ws_jeweler_caster,ordinary_workshop,intact;chipped;cracked;broken,wear_pattern,,claim:casting-pouring-ladle;src:iaran-desyatinny,A,candidate,
tl_mould_stone,"каменная литейная форма (створки, покрышка)",stone casting mould,casting_jewelry,cat_item_object_mould_stone_v1,proposed_new,,wk:material_culture:casting-mould,CRF0023,mt_slate_ovruch;mt_limestone,stone,hand,M2,"300 г–1,5 кг",rule:stonexhand,,,,pc_nonferrous_casting,,ws_jeweler_caster,ordinary_workshop,serviceable;chipped;worn_groove;broken,wear_pattern,,claim:casting-casting-mould;src:sedova1981-jewelry,A,candidate,"Сланец, реже известняк; покрышки из известняка."
