rec_id,owner_kind,mark_distinctiveness,who_can_recognize,knowledge_owner,decision_owner,source_refs,confidence,status
rec_trader__common,trader,common,"owner(class match only, not proof)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_trader__none,trader,none,"nobody_by_marks; circumstantial_only(place,container,timing,witnessed_handling)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_church__unique,church,unique,clergy;church_warden;regular_parishioners_or_brethren,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_church__rare,church,rare,clergy;church_warden;regular_parishioners_or_brethren,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_church__common,church,common,"owner(class match only, not proof)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_church__none,church,none,"nobody_by_marks; circumstantial_only(place,container,timing,witnessed_handling)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_authority__unique,authority,unique,officials;guards;regular_users,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_authority__rare,authority,rare,officials;guards;regular_users,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_authority__common,authority,common,"owner(class match only, not proof)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_authority__none,authority,none,"nobody_by_marks; circumstantial_only(place,container,timing,witnessed_handling)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_lost_unknown__unique,lost_unknown,unique,owner_only_after_commit,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_lost_unknown__rare,lost_unknown,rare,owner_only_after_commit,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_lost_unknown__common,lost_unknown,common,owner_only_after_commit,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_lost_unknown__none,lost_unknown,none,owner_only_after_commit,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_ownerless__unique,ownerless,unique,none,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_ownerless__rare,ownerless,rare,none,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_ownerless__common,ownerless,common,none,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_ownerless__none,ownerless,none,none,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
