ipf_id,ref_kind,item_or_category_ref,category_id,item_group,name_ru,pf_id,pf_class,frequency_class,weight,count_limit_rule,allowed_seasons,refresh_class,find_context,owner_rule_ref,derivation_rule,wk_check,superseded_by,source_refs,confidence,status
ipf_it_hh_wooden_dish__dwelling_interior,it,it_hh_wooden_dish,cat_item_object_wooden_dish_v1,HH_TABLEWARE,Деревянное блюдо,dwelling_interior,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0007,C,candidate
ipf_it_hh_wooden_dish__market_square,it,it_hh_wooden_dish,cat_item_object_wooden_dish_v1,HH_TABLEWARE,Деревянное блюдо,market_square,public_market,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_market_square__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0007,C,candidate
ipf_it_hh_wooden_dish__ordinary_workshop,it,it_hh_wooden_dish,cat_item_object_wooden_dish_v1,HH_TABLEWARE,Деревянное блюдо,ordinary_workshop,workplace_master,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_ordinary_workshop__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0007,C,candidate
ipf_it_hh_kovsh__bathhouse,it,it_hh_kovsh,cat_item_object_ladle_v1,HH_TABLEWARE,Деревянный ковш,bathhouse,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_bathhouse__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010288,B,candidate
ipf_it_hh_kovsh__dwelling_interior,it,it_hh_kovsh,cat_item_object_ladle_v1,HH_TABLEWARE,Деревянный ковш,dwelling_interior,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_tableware,R_SPAWN_PROFILE,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010285;master_link:ILO010286;master_spawn:SPN001:HOU0010;master_spawn:SPN017:HOU0010,B,candidate
ipf_it_hh_kovsh__peasant_homestead,it,it_hh_kovsh,cat_item_object_ladle_v1,HH_TABLEWARE,Деревянный ковш,peasant_homestead,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_peasant_homestead__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010287,B,candidate
ipf_it_hh_kovsh__town_courtyard,it,it_hh_kovsh,cat_item_object_ladle_v1,HH_TABLEWARE,Деревянный ковш,town_courtyard,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_courtyard__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010287,B,candidate
ipf_it_hh_dipper__cellar_granary,it,it_hh_dipper,cat_item_object_dipper_v1,HH_TABLEWARE,Деревянный черпак,cellar_granary,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_cellar_granary__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0009,C,candidate
ipf_it_hh_dipper__dwelling_interior,it,it_hh_dipper,cat_item_object_dipper_v1,HH_TABLEWARE,Деревянный черпак,dwelling_interior,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0009,C,candidate
ipf_it_hh_dipper__market_square,it,it_hh_dipper,cat_item_object_dipper_v1,HH_TABLEWARE,Деревянный черпак,market_square,public_market,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_market_square__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0009,C,candidate
ipf_it_hh_dipper__ordinary_workshop,it,it_hh_dipper,cat_item_object_dipper_v1,HH_TABLEWARE,Деревянный черпак,ordinary_workshop,workplace_master,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_ordinary_workshop__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0009,C,candidate
ipf_it_hh_vessel_lid_wood__ordinary_workshop,it,it_hh_vessel_lid_wood,cat_item_object_vessel_lid_v1,HH_TABLEWARE,Деревянная крышка сосуда,ordinary_workshop,workplace_master,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_ordinary_workshop__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO001142,B,candidate
ipf_it_hh_vessel_lid_wood__peasant_homestead,it,it_hh_vessel_lid_wood,cat_item_object_vessel_lid_v1,HH_TABLEWARE,Деревянная крышка сосуда,peasant_homestead,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_peasant_homestead__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO001143;master_link:ILO001146,B,candidate
ipf_it_hh_vessel_lid_wood__town_courtyard,it,it_hh_vessel_lid_wood,cat_item_object_vessel_lid_v1,HH_TABLEWARE,Деревянная крышка сосуда,town_courtyard,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_courtyard__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO001143;master_link:ILO001146,B,candidate
ipf_it_hh_vessel_lid_wood__town_street,it,it_hh_vessel_lid_wood,cat_item_object_vessel_lid_v1,HH_TABLEWARE,Деревянная крышка сосуда,town_street,public_street,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_street__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO001145,B,candidate
ipf_it_hh_chopping_board__cellar_granary,it,it_hh_chopping_board,cat_item_object_chopping_board_v1,HH_COOKWARE,Разделочная доска,cellar_granary,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_cellar_granary__in_use_or_stored__hh_cookware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0010,C,candidate
ipf_it_hh_chopping_board__dwelling_interior,it,it_hh_chopping_board,cat_item_object_chopping_board_v1,HH_COOKWARE,Разделочная доска,dwelling_interior,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_cookware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0010,C,candidate
ipf_it_hh_chopping_board__market_square,it,it_hh_chopping_board,cat_item_object_chopping_board_v1,HH_COOKWARE,Разделочная доска,market_square,public_market,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_market_square__in_use_or_stored__hh_cookware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0010,C,candidate
ipf_it_hh_chopping_board__ordinary_workshop,it,it_hh_chopping_board,cat_item_object_chopping_board_v1,HH_COOKWARE,Разделочная доска,ordinary_workshop,workplace_master,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_ordinary_workshop__in_use_or_stored__hh_cookware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0010,C,candidate
ipf_it_hh_pot_stand__bathhouse,it,it_hh_pot_stand,cat_item_object_pot_stand_v1,HH_COOKWARE,Деревянная подставка под горячий горшок,bathhouse,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_bathhouse__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010218,B,candidate
ipf_it_hh_pot_stand__dwelling_interior,it,it_hh_pot_stand,cat_item_object_pot_stand_v1,HH_COOKWARE,Деревянная подставка под горячий горшок,dwelling_interior,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010215;master_link:ILO010216,B,candidate
ipf_it_hh_pot_stand__peasant_homestead,it,it_hh_pot_stand,cat_item_object_pot_stand_v1,HH_COOKWARE,Деревянная подставка под горячий горшок,peasant_homestead,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_peasant_homestead__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010217,B,candidate
ipf_it_hh_pot_stand__town_courtyard,it,it_hh_pot_stand,cat_item_object_pot_stand_v1,HH_COOKWARE,Деревянная подставка под горячий горшок,town_courtyard,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_courtyard__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010217,B,candidate
ipf_it_hh_stirring_paddle__bathhouse,it,it_hh_stirring_paddle,cat_item_object_stirring_paddle_v1,HH_COOKWARE,Деревянная мешалка,bathhouse,settled_private,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_bathhouse__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010123;master_link:ILO010128;master_link:ILO010133;master_link:ILO010138,B,candidate
ipf_it_hh_stirring_paddle__dwelling_interior,it,it_hh_stirring_paddle,cat_item_object_stirring_paddle_v1,HH_COOKWARE,Деревянная мешалка,dwelling_interior,settled_private,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010120;master_link:ILO010121;master_link:ILO010125;master_link:ILO010126;master_link:ILO010130;master_link:ILO010131;master_link:ILO010135;master_link:ILO010136,B,candidate
ipf_it_hh_stirring_paddle__peasant_homestead,it,it_hh_stirring_paddle,cat_item_object_stirring_paddle_v1,HH_COOKWARE,Деревянная мешалка,peasant_homestead,settled_private,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_peasant_homestead__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010122;master_link:ILO010127;master_link:ILO010132;master_link:ILO010137,B,candidate
ipf_it_hh_stirring_paddle__town_courtyard,it,it_hh_stirring_paddle,cat_item_object_stirring_paddle_v1,HH_COOKWARE,Деревянная мешалка,town_courtyard,settled_private,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_courtyard__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010122;master_link:ILO010127;master_link:ILO010132;master_link:ILO010137,B,candidate
ipf_it_hh_kitchen_spatula__bathhouse,it,it_hh_kitchen_spatula,cat_item_object_kitchen_spatula_v1,HH_COOKWARE,Деревянная кухонная лопаточка,bathhouse,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_bathhouse__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010143;master_link:ILO010148;master_link:ILO010153,B,candidate
ipf_it_hh_kitchen_spatula__dwelling_interior,it,it_hh_kitchen_spatula,cat_item_object_kitchen_spatula_v1,HH_COOKWARE,Деревянная кухонная лопаточка,dwelling_interior,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010140;master_link:ILO010141;master_link:ILO010145;master_link:ILO010146;master_link:ILO010150;master_link:ILO010151;master_spawn:SPN017:OMI01773,B,candidate
ipf_it_hh_kitchen_spatula__peasant_homestead,it,it_hh_kitchen_spatula,cat_item_object_kitchen_spatula_v1,HH_COOKWARE,Деревянная кухонная лопаточка,peasant_homestead,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_peasant_homestead__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010142;master_link:ILO010147;master_link:ILO010152,B,candidate
ipf_it_hh_kitchen_spatula__town_courtyard,it,it_hh_kitchen_spatula,cat_item_object_kitchen_spatula_v1,HH_COOKWARE,Деревянная кухонная лопаточка,town_courtyard,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_courtyard__in_use_or_stored__hh_cookware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010142;master_link:ILO010147;master_link:ILO010152,B,candidate
ipf_it_hh_salt_cup__bathhouse,it,it_hh_salt_cup,cat_item_object_salt_cup_v1,HH_TABLEWARE,Деревянная чашечка для соли или жира,bathhouse,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_bathhouse__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO010188;master_link:ILO010208,B,candidate
