rl_id,kind,name_ru,roles,pf_ids,calendar_refs,items_refs,sensory_cues,source_refs,confidence,period,status,note
rl_017,practice,женщины у волхвов,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶368",B,c1230,candidate,period=c1230. Новгород | Епископ Илья (1166) велел запрещать женам ходить к волхвам
rl_018,belief,любовная магия: омовение водой,[],[],"[""time/calendar_1230_1250.csv#cal_mv_easter_* (movable, per year)""]",[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶368",B,c1230,candidate,"period=c1230. Вопрошание Кирика, Новгород | Жёны омывали тело водой и давали её мужьям для любви; Нифонт: епитимья от 6 недель до года без причастия"
rl_019,institution,больных детей к волхвам,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶368",B,c1230,candidate,"period=c1230. Вопрошание Кирика | За то, что несут больных детей к волхвам, а не к попу на молитву — 3–6 недель епитимьи, молодым 3 недели"
rl_020,practice,пища: всё можно есть без сомнения,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶370",B,c1230,candidate,"period=c1230. | Нифонт: можно есть всё, и рыбу и мясо, если сам не сомневаешься и не гнушаешься"
rl_021,rite,исповедь мужа и жены у одного духовника,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶371",B,c1230,candidate,period=c1230. | Муж и жена должны каяться у одного духовного отца (Заповеди митр. Георгия; к XII в. в практике)
rl_022,rite,ведение исповеди,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶372",B,c1230,candidate,"period=c1230. Поучение Ильи, Новгород 1166 | Епископ Илья: чаще призывать покаяльных детей, на исповеди спрашивать самому, тихо, не давать тяжких заповедей"
rl_023,rite,поучение исповедающемуся: записать грехи,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶373",B,c1230,candidate,period=c1230. | Поучение XIII в. советует в отлучке записывать грехи и показать духовнику
rl_024,rite,рвота после причастия,[],[],"[""time/calendar_1230_1250.csv#cal_mv_easter_* (movable, per year)""]",[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶374",B,c1230,candidate,"period=c1230. Вопрошание Кирика | Нифонт: если вырвет после причастия от объедения или пьянства — 40 дней епитимьи, от брезгливости — 20"
rl_025,practice,брак попа и икона в клети,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶375",B,c1230,candidate,"period=c1230. | Нифонт разрешал попу жить с женой в клети, где иконы и крест: «ни в грех положена своя жена»"
rl_026,institution,просвирня,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶379",B,medieval_general,candidate,"period=medieval_general. | Церковный устав Ярослава называет проскурницу (просвирню) среди церковных людей, чьи проступки судит епископ"
rl_027,rite,епитимья за продажу челядина язычникам,[],[],"[""time/calendar_1230_1250.csv#cal_mv_easter_* (movable, per year)""]",[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава вторая Феодальная «челядь» ¶106",B,medieval_general,candidate,period=medieval_general. | Продажа челядина «поганым»: лишение причастия на год и по дюжине поклонов на каждой заутрене и вечерне
rl_028,institution,голод 1230 г. в Новгороде,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶325",B,c1230,candidate,"period=c1230. НПЛ 1230 | В голод 1230 г. ели конину, псину, кошек, мох, сосну, липовую кору; продавали детей"
rl_029,practice,вечерние молитвы,[],[],[],[],[],"book:375645 (Шокарев Сергей Юрьевич, Повседневная жизнь средневековой Москвы, 2012) §ЧАСТЬ ТРЕТЬЯ. ЖИЛИ-БЫЛИ МОСКВИЧИ > Дневной круг ¶968",B,medieval_general,candidate,"period=medieval_general. Домострой XVI в.; колотушки сторожей | Благочестивые молились вечером: вечерня, повечерница, полунощница; после правила не есть и не пить"
rl_030,practice,било,[],[],[],[],"[""звон/удар в било или клепало""]","book:230944 (Горохов Владислав Андреевич, Повседневная жизнь России под звон колоколов, 2007) §КОЛОКОЛ-БЛАГОВЕСТ > Била, клепала, первые русские колокола ¶111",B,c1230,candidate,period=c1230. | В домонгольской Руси на богослужение созывали ударами колотушек в била или клепала
rl_031,practice,колокола в XII–XIII вв.,[],[],[],[],"[""звон/удар в било или клепало""]","book:230944 (Горохов Владислав Андреевич, Повседневная жизнь России под звон колоколов, 2007) §КОЛОКОЛ-БЛАГОВЕСТ > Била, клепала, первые русские колокола ¶112",B,c1230,candidate,"period=c1230. | В XII — 1-й пол. XIII в. колокола были во многих селениях, в том числе в деревянных посадских церквах"
rl_032,practice,клепало железное,[],[],[],[],"[""звон/удар в било или клепало""]","book:230944 (Горохов Владислав Андреевич, Повседневная жизнь России под звон колоколов, 2007) §КОЛОКОЛ-БЛАГОВЕСТ > Била, клепала, первые русские колокола ¶114",B,medieval_general,candidate,period=medieval_general. | Железное клепало били молотками; деревянные била на Руси делали из разных пород дерева
rl_033,institution,колокола Софии Новгородской,[],[],[],[],"[""звон/удар в било или клепало""]","book:230944 (Горохов Владислав Андреевич, Повседневная жизнь России под звон колоколов, 2007) §КОЛОКОЛ-БЛАГОВЕСТ > Била, клепала, первые русские колокола ¶137",B,medieval_general,candidate,period=medieval_general. НПЛ под 1066 (XI в.); колокола на Софии были уже в XI в. | В 1066 г. Всеслав Полоцкий снял колокола со Св. Софии в Новгороде
rl_034,practice,звонница-перекладина,[],[],[],[],"[""звон/удар в било или клепало""]","book:230944 (Горохов Владислав Андреевич, Повседневная жизнь России под звон колоколов, 2007) §УСТРЕМЛЕННЫЕ В НЕБО > Первые звонницы и колокольни ¶294",B,c1230,candidate,"period=c1230. | Первые звонницы — перекладина на опорах, колокола раскачивали звонари с земли; колоколен в домонгольское время не строили"
rl_035,practice,отсутствие колоколен до XIV в.,[],[],[],[],"[""звон/удар в било или клепало""]","book:230944 (Горохов Владислав Андреевич, Повседневная жизнь России под звон колоколов, 2007) §УСТРЕМЛЕННЫЕ В НЕБО > Первые звонницы и колокольни ¶291",B,medieval_general,candidate,"period=medieval_general. Предположение автора («можно предположить») | Специальных колоколен в домонгольский период, вероятно, не строили — отсутствуют в 1230 г.; звонница в Новгороде известна к 1437 г."
rl_036,practice,звон колоколом раскачиванием,[],[],[],[],"[""звон/удар в било или клепало""]","book:814112 (Якеменко Борис Григорьевич, Культура Древней и Средневековой Руси, 2024) §Звоны (Колокола и колокольный звон) ¶351",B,c1230,candidate,"period=c1230. | В Киевской Руси звонили, раскачивая сам колокол, а не язык"
rl_037,practice,било на столбе,[],[],[],[],"[""звон/удар в било или клепало""]","book:814112 (Якеменко Борис Григорьевич, Культура Древней и Средневековой Руси, 2024) §Звоны (Колокола и колокольный звон) ¶356",B,medieval_general,candidate,"period=medieval_general. Датированные примеры абзаца — XV–XVII вв. (Соловки, Троице-Сергиева лавра); для 1230 г. — по аналогии | Било — металлическая, деревянная или каменная доска, подвешенная у храма на столбе, по ней били молотком"
rl_038,practice,функции колокольного звона,[],[],[],[],"[""звон/удар в било или клепало""]","book:814112 (Якеменко Борис Григорьевич, Культура Древней и Средневековой Руси, 2024) §Звоны (Колокола и колокольный звон) ¶337",B,medieval_general,candidate,"period=medieval_general. | Колоколом созывали на службу, на вече, на помощь, на битву, провожали умерших, давали знак заблудившимся"
rl_039,belief,поверья о колокольном звоне,[],[],[],[],"[""звон/удар в било или клепало""]","book:814112 (Якеменко Борис Григорьевич, Культура Древней и Средневековой Руси, 2024) §Звоны (Колокола и колокольный звон) ¶361",B,ethnographic_late,candidate,"period=ethnographic_late. Народные поверья, поздняя фиксация | Звон неведомо откуда — к смерти; звон отгоняет нечистую силу; падение колокола — к беде"
rl_040,belief,бубенчики-обереги,[],[],[],[],"[""звон/удар в било или клепало""]","book:814112 (Якеменко Борис Григорьевич, Культура Древней и Средневековой Руси, 2024) §Звоны (Колокола и колокольный звон) ¶341",B,medieval_general,candidate,period=medieval_general. Археология | Колокольчики и бубенчики в славянских и финно-угорских погребениях — обереги от злых сил
rl_041,rite,удар в било к заутрене,[],[],[],[],"[""звон/удар в било или клепало""]","book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ЖИТИЕ ФЕОДОСИЯ ПЕЧЕРСКОГО > ПЕРЕВОД ¶1557",A,medieval_general,candidate,"period=medieval_general. Киев XI в.; в XIII в. било сосуществовало с колоколами | Пономарь ударял в било, созывая к заутрене; в било били и для сбора братии на погребение"
rl_042,practice,полунощница и вечерня,[],[],[],[],"[""церковное пение""]","book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ЖИТИЕ ФЕОДОСИЯ ПЕЧЕРСКОГО > ПЕРЕВОД ¶1557",A,medieval_general,candidate,period=medieval_general. | В монастыре пели вечерние и полунощные молитвы; ночное пение слышно снаружи
rl_043,practice,монах: запрет бесед после вечерни,[],[],[],[],[],"book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ЖИТИЕ ФЕОДОСИЯ ПЕЧЕРСКОГО > ПЕРЕВОД ¶1539",A,medieval_general,candidate,"period=medieval_general. | После вечерней молитвы не беседовать, не ходить из кельи в келью; работать ремеслом, распевая псалмы"
rl_044,practice,просфоры,[],[],[],[],"[""церковное пение""]","book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ЖИТИЕ ФЕОДОСИЯ ПЕЧЕРСКОГО > ПЕРЕВОД ¶1512",A,medieval_general,candidate,period=medieval_general. Курск XI в. | Без испечённых просфор литургию не служили; юный Феодосий сам молол зерно и пёк просфоры на продажу
rl_045,practice,монастырская богадельня,[],[],[],[],[],"book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ЖИТИЕ ФЕОДОСИЯ ПЕЧЕРСКОГО > ПЕРЕВОД ¶1565",A,medieval_general,candidate,"period=medieval_general. | Феодосий построил у монастыря двор для нищих, слепых, хромых и больных; отдавал им десятую часть монастырского имущества"
rl_046,belief,приметы: встреча и чихание,[],[],[],[],[],"book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ПОВЕСТЬ ВРЕМЕННЫХ ЛЕТ > ПЕРЕВОД ¶1106",A,medieval_general,candidate,period=medieval_general. ПВЛ под 1068 | Летописец осуждает веру во встречу (примету) и чихание как языческую
rl_047,belief,"скоморохи, гусли, русалии",[],[],[],[],"[""звуки гуслей и скоморошьих игрищ""]","book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ПОВЕСТЬ ВРЕМЕННЫХ ЛЕТ > ПЕРЕВОД ¶1106",A,medieval_general,candidate,"period=medieval_general. ПВЛ | Трубы, скоморохи, гусли и русалии осуждались как бесовские; игрища многолюдны, церкви пусты"
rl_048,belief,волхвы и женщины,[],[],[],[],[],"book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ПОВЕСТЬ ВРЕМЕННЫХ ЛЕТ > ПЕРЕВОД ¶1115",A,medieval_general,candidate,"period=medieval_general. | По летописцу, больше всего волхвуют женщины — чародейством и отравой"
rl_049,institution,волхв в Новгороде при Глебе,[],[],[],[],[],"book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ПОВЕСТЬ ВРЕМЕННЫХ ЛЕТ > ПЕРЕВОД ¶1116",A,medieval_general,candidate,period=medieval_general. ПВЛ под 1071 (XI в.); Новгород; для 1230 — фон | В Новгороде волхв собрал почти весь город против епископа; князь Глеб зарубил его топором
rl_050,institution,волхвы в голод,[],[],[],[],[],"book:641342 (Коллектив авторов, Том 1 (XI-XII века), 1997) §ПОВЕСТЬ ВРЕМЕННЫХ ЛЕТ > ПЕРЕВОД ¶1113",A,medieval_general,candidate,"period=medieval_general. Ростовская земля, 1071; вероятная реакция на голод и в Новгороде | В неурожай волхвы обвиняли знатных женщин в удержании урожая, «вынимали» из-за плеч жито, рыбу, белку"
rl_051,institution,Николо-Дворищенский собор,[],[],[],[],[],"book:724385 (Кушнир Илья Иосифович, Новгород, ) §ЗОДЧЕСТВО «ГОСПОДИНА ВЕЛИКОГО НОВГОРОДА» ¶56",B,c1230,candidate,period=c1230. | Каменный Николо-Дворищенский собор заложен князем Мстиславом в 1113 г. у Вечевой площади
rl_052,institution,Юрьев монастырь,[],[],[],[],[],"book:724385 (Кушнир Илья Иосифович, Новгород, ) §ЗОДЧЕСТВО «ГОСПОДИНА ВЕЛИКОГО НОВГОРОДА» ¶68",B,c1230,candidate,"period=c1230. Престол — св. Георгий (23 апр, 26 ноя) | Георгиевский собор Юрьева монастыря начат в 1119 г. на берегу Волхова у Ильменя"
rl_053,institution,Юрьев монастырь и князь,[],[],[],[],[],"book:724385 (Кушнир Илья Иосифович, Новгород, ) §ЗОДЧЕСТВО «ГОСПОДИНА ВЕЛИКОГО НОВГОРОДА» ¶72",B,c1230,candidate,period=c1230. | Юрьев монастырь связан с княжеской резиденцией на Городище
rl_054,institution,Антониев монастырь,[],[],[],[],[],"book:724385 (Кушнир Илья Иосифович, Новгород, ) §ЗОДЧЕСТВО «ГОСПОДИНА ВЕЛИКОГО НОВГОРОДА» ¶64",B,c1230,candidate,period=c1230. Престол — Рождество Богородицы 8 сент | Собор Рождества Богородицы — главный храм Антониева монастыря вниз по Волхову
rl_055,institution,церкви конца XII в. у Новгорода,[],[],[],[],[],"book:724385 (Кушнир Илья Иосифович, Новгород, ) §ЗОДЧЕСТВО «ГОСПОДИНА ВЕЛИКОГО НОВГОРОДА» ¶79",B,c1230,candidate,"period=c1230. Престолы: Преображение 6 авг, Благовещение 25 мар, Петр и Павел 29 июня, Илья 20 июля | Спас-Нередица 1198, Благовещение в Аркажах 1179, Петр и Павел на Синичьей горе 1185, Кирилловский собор 1196, Илья на Славне 1198–1202"
rl_056,institution,Кириллов монастырь,[],[],[],[],[],"book:724385 (Кушнир Илья Иосифович, Новгород, ) §ЗОДЧЕСТВО «ГОСПОДИНА ВЕЛИКОГО НОВГОРОДА» ¶88",B,c1230,candidate,period=c1230. | Церковь Кирилла в Кирилловском монастыре на островке Малого Волховца построена в 1196 г.; строитель Коров Яковлевич с Лубяной
rl_057,practice,церковь Параскевы Пятницы на Торгу,[],[],[],[],[],"book:724385 (Кушнир Илья Иосифович, Новгород, ) §ЗОДЧЕСТВО «ГОСПОДИНА ВЕЛИКОГО НОВГОРОДА» ¶89",B,c1230,candidate,period=c1230. Пятница — покровительница торговли; престол 28 окт | Церковь Параскевы-Пятницы на Торговой стороне построена в 1207 г.; 15 раз горела
rl_058,institution,Хутынский монастырь,[],[],[],[],[],"book:378072 (Лаушкин Алексей Владимирович; Галкина Елена Сергеевна; Перевезенцев Сергей Вячеславович; Колыванова Мария Олеговна; Королев Александр Сергеевич; Куксина Елена Ипполитовна; Петрова Наталья Георгиевна; Волков Владимир Алексеевич; Смолин Михаил Борисович; Ганичева Марина Валерьевна; Кошелева Вера Леонидовна; Аксенова Галина Владимировна; Воронин Всеволод Евгеньевич; Карев Владислав Михайлович; Колиненко Юлия Владиславовна; Конюхов Кирилл Рудольфович; Карев Дмитрий Владимирович; Щенникова Людмила Александровна, Русь и монголы. XIII в., 2010) §Русская православная Церковь и культура > Архитектура, храмы и монастыри ¶615",B,c1230,candidate,period=c1230. | Варлаамов Хутынский монастырь основан в 1192 г. в 10 км от Новгорода
rl_059,rite,Варлаам Хутынский,[],[],[],[],[],"book:378072 (Лаушкин Алексей Владимирович; Галкина Елена Сергеевна; Перевезенцев Сергей Вячеславович; Колыванова Мария Олеговна; Королев Александр Сергеевич; Куксина Елена Ипполитовна; Петрова Наталья Георгиевна; Волков Владимир Алексеевич; Смолин Михаил Борисович; Ганичева Марина Валерьевна; Кошелева Вера Леонидовна; Аксенова Галина Владимировна; Воронин Всеволод Евгеньевич; Карев Владислав Михайлович; Колиненко Юлия Владиславовна; Конюхов Кирилл Рудольфович; Карев Дмитрий Владимирович; Щенникова Людмила Александровна, Русь и монголы. XIII в., 2010) §Русская православная Церковь и культура > Церковные иерархи, святые ¶568",B,c1230,candidate,"period=c1230. Почитание в Новгороде с кон. XIII в. | Сын новгородских бояр, постригся в Антониевом монастыре, жил отшельником в Хутыни на правом берегу Волхова; память 6 ноября"
rl_060,institution,Антониев монастырь: собор и келья,[],[],[],[],[],"book:378072 (Лаушкин Алексей Владимирович; Галкина Елена Сергеевна; Перевезенцев Сергей Вячеславович; Колыванова Мария Олеговна; Королев Александр Сергеевич; Куксина Елена Ипполитовна; Петрова Наталья Георгиевна; Волков Владимир Алексеевич; Смолин Михаил Борисович; Ганичева Марина Валерьевна; Кошелева Вера Леонидовна; Аксенова Галина Владимировна; Воронин Всеволод Евгеньевич; Карев Владислав Михайлович; Колиненко Юлия Владиславовна; Конюхов Кирилл Рудольфович; Карев Дмитрий Владимирович; Щенникова Людмила Александровна, Русь и монголы. XIII в., 2010) §Русская православная Церковь и культура > Архитектура, храмы и монастыри ¶610",B,c1230,candidate,period=c1230. | Собор Рождества Богородицы заложен Антонием Римлянином в 1117 г.; в его цилиндрической башне была келья Антония; фрески 1125 г.
rl_061,practice,Кирик — математик Антониева монастыря,[],[],[],[],[],"book:378072 (Лаушкин Алексей Владимирович; Галкина Елена Сергеевна; Перевезенцев Сергей Вячеславович; Колыванова Мария Олеговна; Королев Александр Сергеевич; Куксина Елена Ипполитовна; Петрова Наталья Георгиевна; Волков Владимир Алексеевич; Смолин Михаил Борисович; Ганичева Марина Валерьевна; Кошелева Вера Леонидовна; Аксенова Галина Владимировна; Воронин Всеволод Евгеньевич; Карев Владислав Михайлович; Колиненко Юлия Владиславовна; Конюхов Кирилл Рудольфович; Карев Дмитрий Владимирович; Щенникова Людмила Александровна, Русь и монголы. XIII в., 2010) §Русская православная Церковь и культура > Архитектура, храмы и монастыри ¶610",B,c1230,candidate,period=c1230. fact_type=other | В 1136/1137 г. диакон Кирик Новгородец написал в Антониевом монастыре первое русское математическое сочинение
rl_062,institution,правила Владимирского собора 1274 г.,[],[],[],[],[],"book:378072 (Лаушкин Алексей Владимирович; Галкина Елена Сергеевна; Перевезенцев Сергей Вячеславович; Колыванова Мария Олеговна; Королев Александр Сергеевич; Куксина Елена Ипполитовна; Петрова Наталья Георгиевна; Волков Владимир Алексеевич; Смолин Михаил Борисович; Ганичева Марина Валерьевна; Кошелева Вера Леонидовна; Аксенова Галина Владимировна; Воронин Всеволод Евгеньевич; Карев Владислав Михайлович; Колиненко Юлия Владиславовна; Конюхов Кирилл Рудольфович; Карев Дмитрий Владимирович; Щенникова Людмила Александровна, Русь и монголы. XIII в., 2010) §Русская православная Церковь и культура > Церковные иерархи, святые ¶530",B,c1230,candidate,period=c1230. Чуть позже игрового периода | В 1274 г. при митрополите Кирилле Владимирский собор утвердил 12 правил о церковных делах
rl_063,institution,выборы новгородского владыки,[],[],[],[],[],"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Борьба бояр за власть на фоне княжеских усобиц середины XII века ¶166",B,c1230,candidate,"period=c1230. | С 1156 г. новгородцы на вече избирали епископа, затем митрополит его рукополагал"
rl_064,institution,Антониев и Юрьев: основание по Янину,[],[],[],[],[],"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Успехи боярства в борьбе за власть в конце XI – начале XII вв. ¶137",B,c1230,candidate,period=c1230. | 1117–1119 собор Антониева монастыря (роспись 1125); 1119 Всеволод и игумен Кирьяк основали Юрьев монастырь; 1127 каменная трапезная
rl_065,practice,церкви 1144–1146 гг.,[],[],[],[],[],"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Борьба бояр за власть на фоне княжеских усобиц середины XII века ¶157",B,c1230,candidate,"period=c1230. | 1144 — Успения на Торговище; 1146 — Бориса и Глеба в Детинце, Ильи и Петра-Павла на Славне, Козьмы и Демьяна"
rl_066,institution,владыка Митрофан как миротворец,[],[],[],[],[],"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Новгородские бояре и князья в первой трети XIII века ¶313",B,c1230,candidate,period=c1230. ок. 1220 | Архиепископ Митрофан мирил князя с посадником Твердиславом; владыка — посол к князьям
rl_067,institution,низложение владыки Арсения 1229,[],[],[],[],[],"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Новгородские бояре и князья в первой трети XIII века ¶334",B,c1230,candidate,"period=c1230. | В восстании 1229 г. владыка Арсений лишён кафедры, обвинён в незаконном избрании и сговоре с князем"
rl_068,institution,владычный стольник,[],[],[],[],[],"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Новгородские бояре и князья в первой трети XIII века ¶334",B,c1230,candidate,period=c1230. | При владыке служили стольник (Андрейц) и «софийские» люди; их дворы грабили в 1229 г.
rl_069,institution,формула «благословение от владыки»,[],[],[],[],[],"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Новгород во времена Александра Невского ¶405",B,c1230,candidate,"period=c1230. XIII–XIV вв. | Договоры Новгорода с князьями открывались формулой: благословение от владыки, поклон от посадника и тысяцкого"
rl_070,institution,убежище у владыки,[],[],[],[],[],"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Укрепление боярской власти во второй половине XIII века ¶448",B,c1230,candidate,"period=c1230. Конец XIII в. | В 1287 г. посадник Семен бежал к владыке, и тот провёл его в Святую Софию — укрытие от толпы"
rl_071,institution,иконописец Олисей Гречин и поп Мина,[],[],[],[],[],"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Мирошка Несдинич и Олисей-Гречин ¶276",B,c1230,candidate,"period=c1230. Берестяные грамоты, кон. XII – нач. XIII в. | Поп Мина заказывал Олисею Гречину храмовые иконы, в т.ч. шестикрылых ангелов для алтарной преграды"
