rc_id,kind,name_ru,facts_summary,notes,anachronism_flag,period,fact_count,source_refs,confidence,status
rec_032,instrument_or_sound,гусли,"quantity: В Новгороде найдено 14 гуслей (фрагменты): 13 крыловидных, 1 шлемовидные | material: Струны гуслей — из конского волоса, жильные или из цветного металла | dating: Обломки больших сосновых гуслей (8–9 струн) из слоя 40–60-х гг. XIII в., Неревский раскоп | material: Маленькие семиструнные гусли рубежа XII–XIII вв.: берёзовый корпус, сосновая полочка | description: Шестиструнные еловые гусельки с резными зверями, 1-я пол. XII в., Тихвинский раскоп | quantity: В Новгороде не найдено гуслей с числом струн меньше пяти",очень близко к 1230,,c1230,6,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1760;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1761;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1765;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1766;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1764;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1771,B,candidate
rec_033,instrument_or_sound,гусли «Словиша»,"dimensions: Пятиструнные гусли сер. XI в. с надписью «СЛОВИША»; сосновый корпус 84 см, дубовая полочка без голосника",XI в.,,medieval_general,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1761,B,candidate
rec_034,instrument_or_sound,гусли с игровым окном,technique: Струны настраивали вращающимися шпеньками; через «окно» в окрылке касались струн с тыльной стороны,,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1761,B,candidate
rec_035,instrument_or_sound,гусли шлемовидные,"social_rule: Шлемовидные гусли — инструмент профессионалов, рядовые обыватели играли на малострунных крыловидных (мнение Верткова)",,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1757,B,candidate
rec_036,performer_role,скоморохи,"description: На браслетах XII в. музыканты в скоморошьих платьях и шутовских колпаках играют на крыловидных гуслях | social_rule: У скоморохов были оба типа гуслей — шлемовидные и крыловидные | description: Скоморохи ходили по городам и сёлам, представляли «действа» с песнями и музыкой: гусли, сопели, свирели, бубны | presence_in_region: В новгородском крае скоморохов, по-видимому, было больше, чем в других землях | social_rule: Пиры и игрища не обходились без скоморохов; ПВЛ называет скоморохов с трубами, гуслями и русалиями «дьявольскими лестьми» | description: Найдены кожаные раскрашенные скоморошьи маски | taboo_or_custom: Умение играть на инструментах считалось полученным от нечистой силы; музыкант приравнивался к колдуну | dating: Дрессированные медведи у скоморохов — явление XVII в.; древние скоморохи вряд ли их водили","Костомаров: историография XIX в., реалии XIV–XV вв.; не использовать как c1230 | для 1230 — без медведей","источник (историография XIX в., реалии XIV–XV вв.) не подтверждает эту реалию для 1230 г.; не использовать как достоверную для c1230",c1230;medieval_general,8,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1756;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1759;book:185868 §ГЛАВА СЕДЬМАЯ. Общественная жизнь и нравы Великого Новгорода и Пскова > X. Частная жизнь ¶934;book:681899 §Скоморохи ¶668;book:681899 §Скоморохи ¶675;book:681899 §Скоморохи ¶672,C,candidate
rec_037,instrument_or_sound,смык-гудок,"description: Смык-гудок — смычковый инструмент; «смыки» в источниках с 1068 г.; «гудение лучцом» в Кормчей 2-й пол. XIII в. | technique: Три жильные струны под конским волосом, натёртым сосновой смолой; одна мелодическая, две бурдонные | material: Большинство гудков делали из ели; гудочек XIV в. длиной 30 см | social_rule: Судя по грубой выделке некоторых находок, гудки делали и на них играли подростки",строй — по данным XVIII в.,,c1230;medieval_general,4,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1776;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1783;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1780;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1782,B,candidate
rec_038,other,колки (шпеньки),"dimensions: В Новгороде 15 колков из ели и можжевельника, диаметр 5–7 мм; конец струны зажимали в расколе",,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1783,B,candidate
rec_039,instrument_or_sound,волынка (козица),dating: Древнейшее изображение волынки-козицы с козлиной головой — литейная форма 2-й пол. XII — 1-й трети XIII в. из Серенска,цитата только о месте — см. value,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1787,B,candidate
rec_040,instrument_or_sound,сопель,"dating: В Новгороде три сопели: конец XI, сер. XII, нач. XV в.; 4, 5 и 3 игровых отверстия | material: Сопели из веток ясеня или ивы, сердцевину высверливали буравом | description: Звучание сопелей в нижнем регистре негромкое, полное; в верхнем — пронзительно яркое","находки конца XI, сер. XII и нач. XV в.; 1230 г. — в пределах диапазона",,c1230,3,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1790;book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1792,B,candidate
rec_041,instrument_or_sound,сопец,"description: Сопец — музыкант с сопелью, вожак ритуальных игрищ; «человек скача с сопельми» и за ним множество народа",,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1788,B,candidate
rec_042,instrument_or_sound,глиняная свистулька,dating: Глиняные свистульки с двумя отверстиями (более 20 в Новгороде) — в основном XIV–XV вв.,для 1230 г. — редки,,medieval_general,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1796,B,candidate
rec_043,instrument_or_sound,бубен,"dating: Первое упоминание бубнов — ПВЛ под 1074 г.: «Взъмъте сопъли, бубны и гусли»",,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1801,B,candidate
rec_044,instrument_or_sound,бубен ратный,description: Ратный бубен на ремне через плечо с колотушкой — шахматная фигурка XII в. из Волковыска,,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1801,B,candidate
rec_045,instrument_or_sound,варган,"description: Варган — подковка со стальным язычком; пять новгородских находок XIII–XV вв., наибольший 8 см",диапазон XIII–XV вв.; для 1230 г. — на нижней границе,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1806,B,candidate
rec_046,instrument_or_sound,шумящие подвески,"taboo_or_custom: Звяканье привесок, колокольчиков, звон металла считали оберегом, отгоняющим злые силы",,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1803,B,candidate
rec_047,instrument_or_sound,ботало (колоколка),dating: Ботало («колоколка») скоту от потери и зверя — в Новгороде в слоях XII–XIV вв.,диапазон XII–XIV вв.; 1230 г. — внутри/на границе диапазона,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1811,B,candidate
rec_048,instrument_or_sound,церковный звон,dating: Берестяная грамота 605 (2-я четв. XII в.) — ранее всего сообщает о церковных звонах: «оли звонили»,,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1813,B,candidate
rec_049,feast_occasion,пир,"social_rule: Пир — выражение радушия; зажиточный новгородец считал обязанностью устраивать пиры для множества гостей | taboo_or_custom: После пиров было в обычае дарить гостей; встречали и провожали с хлебом, вином и мёдом | social_rule: Изборник 1076 г. «О меде»: избранный старшиной стола не должен возноситься; не умничать на пиру | description: Пиры и народные празднества — общественный институт с языческими корнями; «умение пить» — богатырское качество","Костомаров: историография XIX в., реалии XIV–XV вв.; не использовать как c1230; обобщение по источникам XII–XV вв. | Костомаров: историография XIX в., реалии XIV–XV вв.; не использовать как c1230","источник (историография XIX в., реалии XIV–XV вв.) не подтверждает эту реалию для 1230 г.; не использовать как достоверную для c1230",medieval_general;c1230,4,"book:185868 §ГЛАВА СЕДЬМАЯ. Общественная жизнь и нравы Великого Новгорода и Пскова > X. Частная жизнь ¶927;book:185868 §ГЛАВА СЕДЬМАЯ. Общественная жизнь и нравы Великого Новгорода и Пскова > X. Частная жизнь ¶928;book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶257;book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶258",C,candidate
rec_050,feast_occasion,братчина,"social_rule: Братчины — товарищеские пиры с общественным значением: пировали и толковали о делах; имели самосуд | season: Братчины собирались улицами или в храмовые праздники: братчина-никольщина, братчина-покровщина | description: На братчинах иногда были и женщины, после пира начиналась пляска","Костомаров: историография XIX в., реалии XIV–XV вв.; не использовать как c1230; самосуд — по Псковской судной грамоте XV в. | Костомаров: историография XIX в., реалии XIV–XV вв.; не использовать как c1230","источник (историография XIX в., реалии XIV–XV вв.) не подтверждает эту реалию для 1230 г.; не использовать как достоверную для c1230",medieval_general,3,book:185868 §ГЛАВА СЕДЬМАЯ. Общественная жизнь и нравы Великого Новгорода и Пскова > X. Частная жизнь ¶929,C,candidate
rec_051,feast_occasion,свадебный пир («каша»),"season: Свадьбы — обычно зимой, в зимний мясоед; свадебные пиры называли «кашей» | event: Александр Невский, женившись (1239), учредил одну «кашу» в Торопце, другую в Новгороде","Костомаров: историография XIX в., реалии XIV–XV вв.; не использовать как c1230; пример: свадьба Александра Невского 1239 г. | Костомаров: историография XIX в., реалии XIV–XV вв.; не использовать как c1230","источник (историография XIX в., реалии XIV–XV вв.) не подтверждает эту реалию для 1230 г.; не использовать как достоверную для c1230",medieval_general,2,book:185868 §ГЛАВА СЕДЬМАЯ. Общественная жизнь и нравы Великого Новгорода и Пскова > X. Частная жизнь ¶931,C,candidate
rec_052,physical_contest,"кулачный бой, драка палками",description: Обычная забава новгородцев — примерная драка палками и борьба; князья и бояре тешились охотой,"Костомаров: историография XIX в., реалии XIV–XV вв.; не использовать как c1230","источник (историография XIX в., реалии XIV–XV вв.) не подтверждает эту реалию для 1230 г.; не использовать как достоверную для c1230",medieval_general,1,book:185868 §ГЛАВА СЕДЬМАЯ. Общественная жизнь и нравы Великого Новгорода и Пскова > X. Частная жизнь ¶933,C,candidate
rec_053,church_disapproved_practice,бесовские игры,"event: В 1357 г. новгородцы крестным целованием обязались «бесовских игр не играти, и бочек не бити»","Костомаров: историография XIX в., реалии XIV–XV вв.; не использовать как c1230; XIV в.; языческие игрища (Купала, Радуница) — и в 1230","источник (историография XIX в., реалии XIV–XV вв.) не подтверждает эту реалию для 1230 г.; не использовать как достоверную для c1230",medieval_general,1,book:185868 §ГЛАВА СЕДЬМАЯ. Общественная жизнь и нравы Великого Новгорода и Пскова > X. Частная жизнь ¶933,C,candidate
rec_054,church_disapproved_practice,народный праздник,"description: Поучение XII в. рисует праздник: пьют, играют, пляшут, поют, «в сопели сопете», дерутся",,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶266",B,candidate
rec_055,feast_occasion,священник на пиру,"social_rule: Священник может быть на мирском пиру, но при «игранье и плясанье и гуденье» должен встать и уйти",,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶267",B,candidate
rec_056,board_or_dice_game,тавлеи (кости),"name_form: В «Пчеле»: «Тавлеи и шахы въ многых васъ обретаемеми суть, а книгъ ни въ кого же» — тавлеи и шахматы рядом, осуждаются",в Новгороде надёжно датированные фигуры — со 2-й пол. XIII в.; для 1230 г. редкость,"для Новгорода 1230 г. — редкость/сомнительно, не типичная реалия",c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶285",B,candidate
rec_057,board_or_dice_game,"бабки, игральные кости",description: В кургане Черная Могила — более сотни бабок с бронзовыми битками и кости с очками 1–6,"X в., Чернигов",,medieval_general,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶268",B,candidate
rec_058,literacy_leisure,чтение,"description: Для досуга читали переводные повести: «Повесть об Акире Премудром», «Девгениево деяние», «Повесть о Китоврасе»",,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶285",B,candidate
rec_059,hunting_leisure,охота (ловы),social_rule: Охота — досуг и воинская выучка знати; ранее слово «ловы»,,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶286",B,candidate
rec_060,hunting_leisure,соколиная охота,"social_rule: Соколиная охота с соколами и ястребами — дорогая, знаковая для знати",,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶289",B,candidate
rec_061,calendar_festival,зимние святки,"season: Зимние святки — 12-дневный комплекс (25 дек.–6 янв.): исполнение эпических сказаний, заклинания на год, гадания о замужестве",реконструкция по этнографии,,c1230,1,book:122328 §Часть третья. Двоеверие (XI-XIII вв.) > Глава 13. Языческие обряды и празднества XI - XIII вв. ¶3662,B,candidate
rec_062,calendar_festival,коляда,"season: Коляда — на сочельник/святки; по Новгородской Кормчей 1280 г. коляды праздновали и 1 марта, по уставу 1193 г. — и на Пасху",,,c1230,1,book:122328 §Часть третья. Двоеверие (XI-XIII вв.) > Глава 13. Языческие обряды и празднества XI - XIII вв. ¶3634,B,candidate
rec_063,calendar_festival,русалии,"season: «Русалии» так вошли в быт XII в., что церковные тексты определяли сроки поста «по русалиях» (после Троицы) | description: Летние русалии X–XIII вв.: ритуальные жезлы, серебряные браслеты княжеских и боярских кладов с изображениями русалий",диапазон X–XIII вв.; 1230 г. — внутри/на границе диапазона,,c1230,2,book:122328 §Часть третья. Двоеверие (XI-XIII вв.) > Глава 13. Языческие обряды и празднества XI - XIII вв. ¶3721;book:122328 §Часть третья. Двоеверие (XI-XIII вв.) > Глава 13. Языческие обряды и празднества XI - XIII вв. ¶3745,B,candidate
rec_064,calendar_festival,купальский праздник,season: Праздник Купала — 24 июня (по реконструкции земледельческого календаря),даты по реконструкции Рыбакова,,medieval_general,1,book:122328 §Часть третья. Двоеверие (XI-XIII вв.) > Глава 13. Языческие обряды и празднества XI - XIII вв. ¶3626,B,candidate
rec_065,calendar_festival,масленица,"description: Масленица: катание огненного колеса, езда с бубенцами, сожжение чучела зимы, ряженые, кулачные бои — «игрища межю селы»",реконструкция по этнографии; для XIII в. — масленица ещё без поздних черт (балаганы и т.п.),,ethnographic_late,1,"book:122328 §Часть первая. Язычники 'троянских веков' > Глава 3. Святилища, идолы и игрища ¶662",B,candidate
rec_066,calendar_festival,весенние и летние гулянья,"description: Весенний и купальский циклы проходили на природе: поля, «красные горки», берега рек, берёзовые рощи",,,ethnographic_late,1,"book:122328 §Часть первая. Язычники 'троянских веков' > Глава 3. Святилища, идолы и игрища ¶662",B,candidate
