link_id,item_id,location_archetype,spawn_frequency,reason
ILO000166,OMI00028,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000172,OMI00029,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000178,OMI00030,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000184,OMI00031,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000190,OMI00032,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000196,OMI00033,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000202,OMI00034,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000208,OMI00035,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000214,OMI00036,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000220,OMI00037,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000226,OMI00038,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000232,OMI00039,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000238,OMI00040,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000244,OMI00041,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000250,OMI00042,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000256,CRF0087,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000262,OMI00044,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000268,OMI00045,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000274,OMI00046,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000280,OMI00047,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000286,OMI00048,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000292,OMI00049,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000298,OMI00050,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000304,OMI00051,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000310,OMI00052,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000315,OMI00053,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000320,OMI00054,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000325,OMI00055,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000330,OMI00056,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000335,OMI00057,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO000340,OMI00058,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000345,OMI00059,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000350,OMI00060,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000355,OMI00061,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000360,OMI00062,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000365,OMI00063,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000370,OMI00064,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000375,OMI00065,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000380,OMI00066,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000385,OMI00067,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000390,OMI00068,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000395,OMI00069,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000400,OMI00070,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000405,OMI00071,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000410,OMI00072,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000415,OMI00073,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000420,OMI00074,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000425,OMI00075,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000430,OMI00076,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000435,OMI00077,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000440,OMI00078,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000445,OMI00079,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000450,OMI00080,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000455,OMI00081,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000460,OMI01504,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000465,OMI00083,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000470,OMI00084,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000475,OMI00085,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000480,OMI00086,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000485,OMI00087,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000490,OMI00088,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000495,OMI00089,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000500,HOU0014,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000505,OMI00091,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000510,OMI00092,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000515,OMI00093,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000520,OMI00094,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000525,OMI00095,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000530,INT0023,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000535,OMI00097,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000540,OMI00098,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000545,OMI00099,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000550,OMI00100,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000555,OMI00101,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000560,OMI00102,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000565,OMI00103,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000570,OMI00104,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000575,OMI00105,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000580,OMI00106,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000585,OMI00107,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000590,OMI00108,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000595,OMI00109,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000812,OMI00145,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000813,OMI00145,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO000819,OMI00146,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000820,OMI00146,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000826,OMI00147,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000827,OMI00147,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000833,OMI00148,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000834,OMI00148,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000840,OMI00149,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000841,OMI00149,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO000847,OMI00150,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000848,OMI00150,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000854,OMI00151,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000855,OMI00151,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO000858,OMI00151,military_camp,ubiquitous,no WK place family for military camp (gap for military_security / place_families)
ILO000864,OMI00152,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000865,OMI00152,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000871,OMI00153,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000872,OMI00153,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000878,OMI00154,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000879,OMI00154,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000885,OMI00155,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000886,OMI00155,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000892,OMI00156,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000893,OMI00156,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000899,OMI00157,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000900,OMI00157,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000906,OMI00158,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000907,OMI00158,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000913,OMI00159,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000914,OMI00159,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000920,OMI00160,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000921,OMI00160,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000927,OMI00161,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000928,OMI00161,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000934,OMI00162,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000935,OMI00162,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000941,OMI00163,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000942,OMI00163,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000948,OMI00164,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000949,OMI00164,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000955,OMI00165,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000956,OMI00165,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000962,OMI00166,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000963,OMI00166,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO000969,OMI00167,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000970,OMI00167,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000976,OMI00168,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000977,OMI00168,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000983,OMI00169,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000984,OMI00169,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO000990,OMI00170,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000991,OMI00170,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000997,OMI00171,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO000998,OMI00171,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001004,OMI00172,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001005,OMI00172,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001011,OMI00173,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001012,OMI00173,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001018,OMI00174,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001019,OMI00174,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001025,OMI00175,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001026,OMI00175,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001029,OMI00176,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001034,OMI00177,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001039,OMI00178,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001044,OMI00179,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001049,OMI00180,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001054,OMI00181,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001059,OMI00182,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001064,OMI00183,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001069,OMI00184,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001074,OMI00185,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001079,OMI00186,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001084,OMI00187,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001089,OMI00188,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001094,OMI00189,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001099,OMI00190,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001104,CON0009,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001114,OMI00193,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001119,OMI00194,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001124,OMI00195,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001129,POT0002,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001134,OMI00197,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001139,OMI00198,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001144,POT0001,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001149,OMI00200,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001154,OMI00201,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001159,OMI00202,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001164,OMI00203,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001169,OMI00204,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001174,OMI00205,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001179,OMI00206,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001184,OMI00207,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001189,OMI00208,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001194,OMI00209,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001199,OMI00210,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001204,OMI00211,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001209,OMI00212,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001214,OMI00213,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO001219,OMI00214,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO001224,OMI00215,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO001702,OMI00300,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001703,OMI00300,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001709,OMI00301,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001710,OMI00301,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001716,OMI00302,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001717,OMI00302,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001723,OMI00303,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001724,OMI00303,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001730,OMI00304,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001731,OMI00304,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001737,OMI00305,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001738,OMI00305,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001744,OMI00306,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001745,OMI00306,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001751,OMI00307,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001752,OMI00307,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001758,OMI00308,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001759,OMI00308,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001765,OMI00309,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001766,OMI00309,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001772,OMI00310,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001773,OMI00310,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001779,OMI00311,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001780,OMI00311,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001786,OMI00312,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001787,OMI00312,military_camp,ubiquitous,no WK place family for military camp (gap for military_security / place_families)
ILO001793,OMI00313,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001794,OMI00313,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001800,OMI00314,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001801,OMI00314,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001807,OMI00315,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001808,OMI00315,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001814,OMI00316,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001815,OMI00316,military_camp,ubiquitous,no WK place family for military camp (gap for military_security / place_families)
ILO001821,OMI00317,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001822,OMI00317,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001828,OMI00318,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001829,OMI00318,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001835,OMI00319,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001836,OMI00319,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001842,OMI00320,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001843,OMI00320,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001849,OMI00321,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001850,OMI00321,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001856,OMI00322,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001857,OMI00322,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001863,OMI00323,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001864,OMI00323,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001870,OMI00324,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001871,OMI00324,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001877,OMI00325,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001878,OMI00325,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001884,OMI00326,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001885,OMI00326,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001891,TRD0027,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001892,TRD0027,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001898,OMI00328,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001899,OMI00328,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001905,OMI00329,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001906,OMI00329,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001912,OMI00330,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001913,OMI00330,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001919,OMI00331,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001920,OMI00331,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001926,OMI00332,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001927,OMI00332,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001933,OMI00333,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001934,OMI00333,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001940,OMI00334,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001941,OMI00334,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001947,OMI00335,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001948,OMI00335,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001954,OMI00336,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001955,OMI00336,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001961,OMI00337,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001962,OMI00337,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001968,OMI00338,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001969,OMI00338,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO001975,OMI00339,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001976,OMI00339,military_camp,ubiquitous,no WK place family for military camp (gap for military_security / place_families)
ILO001982,OMI00340,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001983,OMI00340,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001989,OMI00341,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001990,OMI00341,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO001996,OMI00342,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO001997,OMI00342,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO002001,OMI00343,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO002003,OMI00343,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO002005,OMI00343,military_camp,ubiquitous,no WK place family for military camp (gap for military_security / place_families)
ILO002009,OMI00344,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO002011,OMI00344,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO002013,OMI00344,military_camp,ubiquitous,no WK place family for military camp (gap for military_security / place_families)
ILO002017,OMI00345,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO002019,OMI00345,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO002021,OMI00345,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO002025,OMI00346,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO002027,OMI00346,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO002029,OMI00346,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO002033,OMI00347,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO002035,OMI00347,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO002037,OMI00347,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO002041,OMI00348,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO002043,OMI00348,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO002045,OMI00348,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
ILO002049,OMI00349,boat,contextual,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO002051,OMI00349,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO002053,OMI00349,military_camp,contextual,no WK place family for military camp (gap for military_security / place_families)
ILO002057,OMI00350,boat,ubiquitous,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO002059,OMI00350,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO002061,OMI00350,military_camp,ubiquitous,no WK place family for military camp (gap for military_security / place_families)
ILO002065,OMI00351,boat,common,"vehicle/container context, not a place family (belongs to containers_contents / transport_travel)"
ILO002067,OMI00351,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO002069,OMI00351,military_camp,common,no WK place family for military camp (gap for military_security / place_families)
