id,region_id,garment_category_id,slot_key,gm_id,constraints,status,source_refs,confidence
rcp_nov_gm_gm011,region_novgorod_land,garment.kind.cloak,cloak,gm_gm011,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""middle"", ""high""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM011|costume:SRC015,A
rcp_nov_gm_gm012,region_novgorod_land,garment.kind.cloak,cloak,gm_gm012,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM012|costume:SRC007|costume:SRC008|costume:SRC015,B
rcp_nov_gm_gm013,region_novgorod_land,garment.kind.hood,headwear,gm_gm013,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM013|costume:SRC025|costume:SRC027|costume:SRC034,C
rcp_nov_gm_gm014,region_novgorod_land,garment.kind.apron,apron,gm_gm014,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM014|costume:SRC001|costume:SRC002|costume:SRC018|costume:SRC031,C
rcp_nov_gm_gm015,region_novgorod_land,garment.kind.apron,apron,gm_gm015,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM015|costume:SRC002|costume:SRC031,C
rcp_nov_gm_gm016,region_novgorod_land,garment.kind.wool_tunic,outer_garment,gm_gm016,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM016|costume:SRC008|costume:SRC010|costume:SRC029|costume:SRC043|claim:clothing-rank-material-not-cut,B
rcp_nov_gm_gm018,region_novgorod_land,garment.kind.blanket_wrap,cloak,gm_gm018,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM018|costume:SRC007|costume:SRC008|costume:SRC034,B
rcp_nov_gm_gf001,region_novgorod_land,garment.kind.tunic_shirt,base_garment,gm_gf001,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF001|costume:SRC006|costume:SRC008|costume:SRC019|wk:material_culture:tunic-shirt|claim:clothing-linen-shirt,B
rcp_nov_gm_gf002,region_novgorod_land,garment.kind.tunic_shirt,base_garment,gm_gf002,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF002|costume:SRC008|costume:SRC034|wk:material_culture:tunic-shirt|claim:clothing-hemp,B
rcp_nov_gm_gf003,region_novgorod_land,garment.kind.long_wool_garment,outer_garment,gm_gf003,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF003|costume:SRC007|costume:SRC008|costume:SRC025|costume:SRC043,B
rcp_nov_gm_gf004,region_novgorod_land,garment.kind.long_wool_garment,outer_garment,gm_gf004,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF004|costume:SRC007|costume:SRC008|costume:SRC034,B
rcp_nov_gm_gf005,region_novgorod_land,garment.kind.long_wool_garment,outer_garment,gm_gf005,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF005|costume:SRC008|costume:SRC010|costume:SRC016|costume:SRC032|costume:SRC043|claim:clothing-rank-material-not-cut,B
rcp_nov_gm_gf006,region_novgorod_land,garment.kind.cloak,cloak,gm_gf006,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF006|costume:SRC015|costume:SRC025|costume:SRC043,B
rcp_nov_gm_gf007,region_novgorod_land,garment.kind.sheepskin_coat_kozhukh,over_garment_winter,gm_gf007,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF007|costume:SRC016|costume:SRC020,B
rcp_nov_gm_gf008,region_novgorod_land,garment.kind.sheepskin_coat_kozhukh,over_garment_winter,gm_gf008,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF008|costume:SRC016|costume:SRC034|wk:material_culture:kozhukh|claim:clothing-sheepskin-kozhukh,B
rcp_nov_gm_gf009,region_novgorod_land,garment.kind.apron,apron,gm_gf009,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF009|costume:SRC003|costume:SRC006|costume:SRC034,C
rcp_nov_gm_gf014,region_novgorod_land,garment.kind.cloak,cloak,gm_gf014,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GF014|costume:SRC007|costume:SRC008|costume:SRC015,B
rcp_nov_gm_gc001,region_novgorod_land,garment.kind.tunic_shirt,base_garment,gm_gc001,"{""sex"": [""male"", ""female""], ""age"": [""child""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GC001|costume:SRC003|costume:SRC008|costume:SRC013|wk:material_culture:tunic-shirt|claim:clothing-linen-shirt,B
rcp_nov_gm_gc002,region_novgorod_land,garment.kind.wool_tunic,outer_garment,gm_gc002,"{""sex"": [""male"", ""female""], ""age"": [""child""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GC002|costume:SRC003|costume:SRC007|costume:SRC008,B
rcp_nov_gm_gc003,region_novgorod_land,garment.kind.trousers_porty,lower_garment,gm_gc003,"{""sex"": [""male"", ""female""], ""age"": [""child""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GC003|costume:SRC006|costume:SRC034|wk:material_culture:porty-trousers,B
rcp_nov_gm_gc004,region_novgorod_land,garment.kind.cloak,cloak,gm_gc004,"{""sex"": [""male"", ""female""], ""age"": [""child""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GC004|costume:SRC003|costume:SRC015,C
rcp_nov_gm_gc005,region_novgorod_land,garment.kind.sheepskin_coat_kozhukh,over_garment_winter,gm_gc005,"{""sex"": [""male"", ""female""], ""age"": [""child""], ""season"": [""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GC005|costume:SRC013|costume:SRC016|costume:SRC020|claim:clothing-sheepskin-kozhukh,B
rcp_nov_gm_gc006,region_novgorod_land,garment.kind.belt,waist,gm_gc006,"{""sex"": [""male"", ""female""], ""age"": [""child""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GC006|costume:SRC003|costume:SRC006,B
rcp_nov_gm_gc007,region_novgorod_land,garment.kind.mittens,handwear,gm_gc007,"{""sex"": [""male"", ""female""], ""age"": [""child""], ""season"": [""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GC007|costume:SRC001|costume:SRC007|costume:SRC034,C
rcp_nov_gm_hw001,region_novgorod_land,garment.kind.soft_cap,headwear,gm_hw001,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW001|costume:SRC019|costume:SRC025|costume:SRC043,B
rcp_nov_gm_hw002,region_novgorod_land,garment.kind.felt_cap,headwear,gm_hw002,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW002|costume:SRC001|costume:SRC007|costume:SRC034|wk:material_culture:pointed-cap|claim:clothing-pointed-cap-xii-depiction,C
rcp_nov_gm_hw003,region_novgorod_land,garment.kind.fur_cap,headwear,gm_hw003,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW003|costume:SRC019|costume:SRC020|costume:SRC034,B
rcp_nov_gm_hw004,region_novgorod_land,garment.kind.fur_trimmed_cap,headwear,gm_hw004,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""autumn"", ""winter""], ""status_band"": [""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW004|costume:SRC010|costume:SRC019|costume:SRC043,C
rcp_nov_gm_hw005,region_novgorod_land,garment.kind.headcloth,headwear,gm_hw005,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer""], ""status_band"": [""low"", ""middle""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW005|costume:SRC008|costume:SRC031,C
rcp_nov_gm_hw006,region_novgorod_land,garment.kind.under_cap_povoi,head_under,gm_hw006,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""married"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW006|costume:SRC016|costume:SRC025|costume:SRC043|costume:SRC049|wk:material_culture:povoi-headcover|claim:clothing-povoi-headcover,C
rcp_nov_gm_hw007,region_novgorod_land,garment.kind.head_veil_ubrus,headwear,gm_hw007,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""married"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW007|costume:SRC016|costume:SRC025|costume:SRC043|wk:material_culture:povoi-headcover|claim:clothing-povoi-headcover,B
rcp_nov_gm_hw008,region_novgorod_land,garment.kind.headband_ochelye,headband,gm_hw008,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW008|costume:SRC005|costume:SRC016|costume:SRC032,B
rcp_nov_gm_hw010,region_novgorod_land,garment.kind.maiden_band,headwear,gm_hw010,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""unmarried"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW010|costume:SRC016|costume:SRC032,B
rcp_nov_gm_hw011,region_novgorod_land,garment.kind.fur_cap,headwear,gm_hw011,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""married"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW011|costume:SRC016|costume:SRC020|costume:SRC034,B
rcp_nov_gm_hw012,region_novgorod_land,garment.kind.soft_cap,headwear,gm_hw012,"{""sex"": [""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""autumn""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW012|costume:SRC025|costume:SRC043,C
rcp_nov_gm_hw013,region_novgorod_land,garment.kind.monastic_hood,headwear,gm_hw013,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW013|costume:SRC025|costume:SRC027|costume:SRC043,C
rcp_nov_gm_hw016,region_novgorod_land,garment.kind.soft_cap,headwear,gm_hw016,"{""sex"": [""male"", ""female""], ""age"": [""child""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW016|costume:SRC003|costume:SRC013,C
rcp_nov_gm_hw017,region_novgorod_land,garment.kind.fur_cap,headwear,gm_hw017,"{""sex"": [""male"", ""female""], ""age"": [""child""], ""season"": [""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:HW017|costume:SRC013|costume:SRC016|costume:SRC020,B
rcp_nov_gm_fw001,region_novgorod_land,garment.kind.porshni,footwear,gm_fw001,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:FW001|costume:SRC001|costume:SRC044|wk:material_culture:footwear|claim:population-leather-shoes,A
rcp_nov_gm_fw002,region_novgorod_land,garment.kind.low_shoe,footwear,gm_fw002,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:FW002|costume:SRC001|costume:SRC012|costume:SRC039|costume:SRC044|wk:material_culture:footwear|claim:population-leather-shoes|claim:ordinary-life-shoes-protect-feet,A
rcp_nov_gm_fw003,region_novgorod_land,garment.kind.low_shoe,footwear,gm_fw003,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""autumn""], ""status_band"": [""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:FW003|costume:SRC001|costume:SRC012|costume:SRC039|costume:SRC044|claim:population-leather-shoes,B
rcp_nov_gm_fw004,region_novgorod_land,garment.kind.ankle_shoe,footwear,gm_fw004,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:FW004|costume:SRC001|costume:SRC039|costume:SRC044|claim:population-leather-shoes,B
rcp_nov_gm_fw005,region_novgorod_land,garment.kind.low_shoe,footwear,gm_fw005,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""autumn""], ""status_band"": [""middle"", ""high""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:FW005|costume:SRC001|costume:SRC039|costume:SRC044|claim:population-leather-shoes,A
rcp_nov_gm_fw006,region_novgorod_land,garment.kind.low_shoe,footwear,gm_fw006,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""autumn""], ""status_band"": [""high""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:FW006|costume:SRC001|costume:SRC028,B
rcp_nov_gm_fw007,region_novgorod_land,garment.kind.boot,footwear,gm_fw007,"{""sex"": [""male"", ""female""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""middle"", ""high""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:FW007|costume:SRC001|costume:SRC013|costume:SRC019|costume:SRC044|claim:population-leather-shoes,A
rcp_nov_gm_fw008,region_novgorod_land,garment.kind.boot,footwear,gm_fw008,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:FW008|costume:SRC001|costume:SRC044|claim:population-leather-shoes,A
