category_id,domain,layer,region_id,parent_category_id,equipment_slots,instance_count_novgorod,novgorod_gm_ids,source_refs,status
garment.kind.burial_shoe,garment,universal,,garment.kind,footwear,1,gm_fw012,rule:build.py SUB map from costume subcategory,candidate
garment.kind.insole,garment,universal,,garment.kind,insole,2,gm_fw013|gm_fw014,rule:build.py SUB map from costume subcategory,candidate
garment.kind.sock,garment,universal,,garment.kind,foot_layer,1,gm_fw015,rule:build.py SUB map from costume subcategory,candidate
garment.kind.foot_wrap_onucha,garment,universal,,garment.kind,foot_layer,1,gm_fw016,rule:build.py SUB map from costume subcategory,candidate
garment.kind.overshoe_porshni,garment,universal,,garment.kind,over_footwear,1,gm_fw017,rule:build.py SUB map from costume subcategory,candidate
garment.kind.ice_cleat,garment,universal,,garment.kind,footwear_attachment,1,gm_fw018,rule:build.py SUB map from costume subcategory,candidate
garment.kind.spur,garment,universal,,garment.kind,footwear_attachment,1,gm_fw020,rule:build.py SUB map from costume subcategory,candidate
garment.kind.woven_belt,garment,universal,,garment.kind,waist,1,gm_ac002,rule:build.py SUB map from costume subcategory,candidate
garment.kind.belt_set,garment,universal,,garment.kind,waist,1,gm_ac005,rule:build.py SUB map from costume subcategory,candidate
garment.kind.clergy_long_robe,garment,universal,,garment.kind,outer_garment,2,gm_cl001|gm_fr011,rule:build.py SUB map from costume subcategory,candidate
garment.kind.monastic_tunic,garment,universal,,garment.kind,outer_garment,1,gm_cl002,rule:build.py SUB map from costume subcategory,candidate
garment.kind.monastic_mantle,garment,universal,,garment.kind,cloak,1,gm_cl003,rule:build.py SUB map from costume subcategory,candidate
garment.kind.sticharion,garment,universal,,garment.kind,vestment_base,1,gm_cl004,rule:build.py SUB map from costume subcategory,candidate
garment.kind.epitrachelion,garment,universal,,garment.kind,vestment_stole,1,gm_cl005,rule:build.py SUB map from costume subcategory,candidate
garment.kind.phelonion,garment,universal,,garment.kind,vestment_outer,1,gm_cl006,rule:build.py SUB map from costume subcategory,candidate
garment.kind.epimanikia,garment,universal,,garment.kind,vestment_cuffs,1,gm_cl007,rule:build.py SUB map from costume subcategory,candidate
garment.kind.orarion,garment,universal,,garment.kind,vestment_stole,1,gm_cl008,rule:build.py SUB map from costume subcategory,candidate
garment.kind.omophorion,garment,universal,,garment.kind,vestment_omophorion,1,gm_cl009,rule:build.py SUB map from costume subcategory,candidate
garment.kind.hose_chausses,garment,universal,,garment.kind,lower_garment,1,gm_fr002,rule:build.py SUB map from costume subcategory,candidate
garment.kind.wrap_dress_regional,garment,universal,,garment.kind,outer_garment,1,gm_fr005,rule:build.py SUB map from costume subcategory,candidate
garment.kind.gloves,garment,universal,,garment.kind,handwear,1,gm_ar038,rule:build.py SUB map from costume subcategory,candidate
garment.kind.votola,garment,universal,,garment.kind,cloak,1,gm_new_votola,rule:build.py SUB map from costume subcategory,candidate
garment.kind.korzno,garment,universal,,garment.kind,cloak,1,gm_new_korzno,rule:build.py SUB map from costume subcategory,candidate
garment.kind.bast_shoes,garment,universal,,garment.kind,footwear,1,gm_new_lapti,rule:build.py SUB map from costume subcategory,candidate
garment.component.trim,garment,universal,,garment.component,trim,2,gm_gm017|gm_gf010,rule:build.py SUB map from costume subcategory,candidate
garment.component.shoe_lace,garment,universal,,garment.component,component,1,gm_fw021,rule:build.py SUB map from costume subcategory,candidate
garment.component.belt_buckle,garment,universal,,garment.component,component,2,gm_ac003|gm_ac004,rule:build.py SUB map from costume subcategory,candidate
garment.component.belt_fitting,garment,universal,,garment.component,component,1,gm_ac006,rule:build.py SUB map from costume subcategory,candidate
garment.component.belt_strap,garment,universal,,garment.component,component,1,gm_ac007,rule:build.py SUB map from costume subcategory,candidate
