row_id,season_period,wx_state_id,slot_fraction,frequency_class,class_weight,persistence_days,entry_weight,rule,basis,source_refs,confidence,status
wxc_spring__partly_cloudy,spring,wx_partly_cloudy,0.493,ubiquitous,8,3,16,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",remainder 1 - Σ(other states),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",C,candidate
wxc_spring__overcast,spring,wx_overcast,0.122,contextual,2,1,12,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","overcast days 11.2/30 minus precipitation, fog, windy-precip shares (Mar–Apr интерполировано, May 8–9)","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_spring__fog,spring,wx_fog,0.035,rare,1,1,4,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","fog days 3.2/30 x occupancy 0.33 (Mar 4.7, Apr–May 2–3)","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_spring__precip_light,spring,wx_precip_light,0.117,contextual,2,1,12,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","precip days 13/30 x 0.5 x (1 - steady share 38.8%); steady share = mm_per_precip_day/(mm_per_precip_day+4), mm/day=2.5","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_spring__precip_steady,spring,wx_precip_steady,0.074,contextual,2,1,7,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",precip slots x steady share 38.8%,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_spring__convective_storm,spring,wx_convective_storm,0.009,rare,1,1,1,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",thunder days 1.1/30 x 0.25 (май; годовые 24),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_spring__windy_dry,spring,wx_windy_dry,0.008,rare,1,1,1,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",windy days 2/30 x 0.25 x 0.5 (C),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",C,candidate
wxc_spring__windy_precip,spring,wx_windy_precip,0.025,rare,1,1,2,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",blizzard days 1.5/30 x 0.33 + half of windy (март (C)),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",C,candidate
wxc_summer__clear,summer,wx_clear,0.133,contextual,2,1,13,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",clear days 4/30 (год 31),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_summer__partly_cloudy,summer,wx_partly_cloudy,0.523,ubiquitous,8,3,17,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",remainder 1 - Σ(other states),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",C,candidate
wxc_summer__overcast,summer,wx_overcast,0.062,contextual,2,1,6,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","overcast days 8.5/30 minus precipitation, fog, windy-precip shares (May–Aug 8–9)","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_summer__fog,summer,wx_fog,0.041,rare,1,1,4,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","fog days 3.7/30 x occupancy 0.33 (Jun–Jul 2–3, Aug остаток годовых 50)","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_summer__precip_light,summer,wx_precip_light,0.078,contextual,2,1,8,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","precip days 13.7/30 x 0.5 x (1 - steady share 55.4%); steady share = mm_per_precip_day/(mm_per_precip_day+4), mm/day=5","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_summer__precip_steady,summer,wx_precip_steady,0.096,contextual,2,1,10,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",precip slots x steady share 55.4%,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_summer__convective_storm,summer,wx_convective_storm,0.054,rare,1,1,5,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",thunder days 6.5/30 x 0.25 (летом 5–8/мес),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_summer__windy_dry,summer,wx_windy_dry,0.006,rare,1,1,1,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",windy days 1.5/30 x 0.25 x 0.5 (C),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",C,candidate
