npm_id,member_ref,member_kind,season_period,channel,clear_text,partial_text,loudness,render_condition,source_refs,confidence,status
npm_pinus__autumn__visual,Pinus (pine),flora,autumn,visual,Сосна среди облетевших деревьев выделяется тёмной хвоей.,Различима сосна.,,member selected for this G4 and season,wk:claim:residual-tree-pinus-sylvestris-evergreen-needles|wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_pinus__autumn__acoustic,Pinus (pine),flora,autumn,acoustic,Ветер шумит в сосновой хвое.,Доносится шум хвои.,1,member selected; audible within propagation limits,wk:claim:residual-tree-pinus-sylvestris-evergreen-needles|wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_salix__winter__visual,Salix (willow),flora,winter,visual,Ивовые кусты торчат из снега красноватыми прутьями.,Различимы ивовые прутья.,,member selected for this G4 and season,wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_salix__winter__acoustic,Salix (willow),flora,winter,acoustic,Ветер свистит в голых ивовых прутьях.,Доносится свист.,1,member selected; audible within propagation limits,wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_salix__spring__visual,Salix (willow),flora,spring,visual,На иве распушились серебристые почки.,Различимы ивовые ветки.,,member selected for this G4 and season,wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_salix__summer__visual,Salix (willow),flora,summer,visual,Ива свешивает к воде узкие серебристые листья.,Различимы ивовые ветки.,,member selected for this G4 and season,wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_salix__summer__acoustic,Salix (willow),flora,summer,acoustic,Ивовые листья шелестят у воды.,Доносится шелест.,1,member selected; audible within propagation limits,wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_salix__autumn__visual,Salix (willow),flora,autumn,visual,"Ива пожелтела, узкие листья плывут по воде.",Различимы ивовые ветки.,,member selected for this G4 and season,wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_schoenoplectus_scirpus__winter__visual,Schoenoplectus/Scirpus (bulrush),flora,winter,visual,Сухой камыш торчит изо льда бурыми стеблями.,Различимы сухие стебли.,,member selected for this G4 and season,world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_schoenoplectus_scirpus__winter__acoustic,Schoenoplectus/Scirpus (bulrush),flora,winter,acoustic,Камыш шуршит на ветру.,Доносится шорох.,1,member selected; audible within propagation limits,world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_schoenoplectus_scirpus__spring__visual,Schoenoplectus/Scirpus (bulrush),flora,spring,visual,Из воды поднимаются молодые стебли камыша.,Различимы стебли.,,member selected for this G4 and season,world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_schoenoplectus_scirpus__summer__visual,Schoenoplectus/Scirpus (bulrush),flora,summer,visual,У воды стоит высокий тёмно-зелёный камыш.,Различим камыш.,,member selected for this G4 and season,world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_schoenoplectus_scirpus__summer__acoustic,Schoenoplectus/Scirpus (bulrush),flora,summer,acoustic,Камыш шелестит.,Доносится шелест.,1,member selected; audible within propagation limits,world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_schoenoplectus_scirpus__autumn__visual,Schoenoplectus/Scirpus (bulrush),flora,autumn,visual,Камыш побурел и клонится к воде.,Различим камыш.,,member selected for this G4 and season,world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_schoenoplectus_scirpus__autumn__acoustic,Schoenoplectus/Scirpus (bulrush),flora,autumn,acoustic,Камыш шуршит на ветру.,Доносится шорох.,1,member selected; audible within propagation limits,world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sphagnum__winter__visual,Sphagnum (peat moss),flora,winter,visual,Моховые кочки спрятаны под снегом.,Различимы кочки.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sphagnum__spring__visual,Sphagnum (peat moss),flora,spring,visual,"Мох на кочках напитан талой водой, зелёный и рыжий.",Различим мох.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sphagnum__spring__acoustic,Sphagnum (peat moss),flora,spring,acoustic,Мох хлюпает под ногой.,Доносится хлюпанье.,1,member selected; audible within propagation limits,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sphagnum__summer__visual,Sphagnum (peat moss),flora,summer,visual,"Землю покрывает мягкий мох, зелёный, с рыжими и красноватыми пятнами.",Различим мох.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sphagnum__summer__acoustic,Sphagnum (peat moss),flora,summer,acoustic,Мох хлюпает под ногой.,Доносится хлюпанье.,1,member selected; audible within propagation limits,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_sphagnum__autumn__visual,Sphagnum (peat moss),flora,autumn,visual,Мох набух от дождей и потемнел.,Различим мох.,,member selected for this G4 and season,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json|world_db.world_base.landscape_templates.dominant_vegetation (draft)|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
