row_id,g4_ref,g4_short,member_ref,taxon_words,source,frequency_category,seasons,source_refs,confidence,status
hab_channel_split_islet__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,C,candidate
hab_channel_split_islet__castor,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,C,candidate
hab_driftwood_bar__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,driftwood_bar,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,C,candidate
hab_driftwood_bar__castor,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,driftwood_bar,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,C,candidate
hab_driftwood_bar__salix,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,driftwood_bar,Salix (willow),ив|ивняк|ивов|лоз,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_low_alluvial_riverbank.dominant_vegetation,C,candidate
hab_driftwood_bar__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar,driftwood_bar,wet-ground grass and sedge guild (unidentified),осок,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_low_alluvial_riverbank.dominant_vegetation,C,candidate
hab_dry_island_ridge__betula,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,dry_island_ridge,Betula (birch),берёз|берез|березняк,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,C,candidate
hab_dry_island_ridge__grass,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,dry_island_ridge,grass and shrub cover (unidentified),,successor_member,common,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,C,candidate
hab_dry_island_ridge__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,dry_island_ridge,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,C,candidate
hab_dry_island_ridge__alces,g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,dry_island_ridge,Alces (elk),лос|сохат,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge,C,candidate
hab_dry_pine_ridge__pinus,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,dry_pine_ridge,Pinus (pine),сосн|сосняк,successor_member,common,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,C,candidate
hab_dry_pine_ridge__picea,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,dry_pine_ridge,Picea (spruce),ель|ели|елов|еловы,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,C,candidate
hab_dry_pine_ridge__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,dry_pine_ridge,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,C,candidate
hab_dry_pine_ridge__alces,g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,dry_pine_ridge,Alces (elk),лос|сохат,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge,C,candidate
hab_east_flood_bypass__salix,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,east_flood_bypass,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,C,candidate
hab_east_flood_bypass__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,east_flood_bypass,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,C,candidate
hab_east_flood_bypass__castor,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,east_flood_bypass,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,C,candidate
hab_east_flood_bypass__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass,east_flood_bypass,wet-ground grass and sedge guild (unidentified),осок,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_low_alluvial_riverbank.dominant_vegetation,C,candidate
hab_east_side_channel__salix,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,east_side_channel,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,C,candidate
hab_east_side_channel__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,east_side_channel,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,C,candidate
hab_east_side_channel__castor,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,east_side_channel,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,C,candidate
hab_east_side_channel__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel,east_side_channel,wet-ground grass and sedge guild (unidentified),осок,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_low_alluvial_riverbank.dominant_vegetation,C,candidate
hab_flooded_interior_basin__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,flooded_interior_basin,wet-ground grass and sedge guild (unidentified),осок,successor_member,common,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,C,candidate
hab_flooded_interior_basin__salix,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,flooded_interior_basin,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,C,candidate
hab_flooded_interior_basin__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,flooded_interior_basin,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,C,candidate
hab_flooded_interior_basin__castor,g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,flooded_interior_basin,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin,C,candidate
hab_floodplain_ridge_route__betula,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,floodplain_ridge_route,Betula (birch),берёз|берез|березняк,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,C,candidate
hab_floodplain_ridge_route__grass,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,floodplain_ridge_route,grass and shrub cover (unidentified),,successor_member,common,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,C,candidate
hab_floodplain_ridge_route__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,floodplain_ridge_route,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,C,candidate
hab_floodplain_ridge_route__alces,g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,floodplain_ridge_route,Alces (elk),лос|сохат,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route,C,candidate
hab_forest_stream_route__picea,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,forest_stream_route,Picea (spruce),ель|ели|елов|еловы,successor_member,common,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,C,candidate
hab_forest_stream_route__sphagnum,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,forest_stream_route,Sphagnum (peat moss),сфагн|мох|мха|мхи|мхом,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,C,candidate
hab_forest_stream_route__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,forest_stream_route,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,C,candidate
hab_forest_stream_route__alces,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,forest_stream_route,Alces (elk),лос|сохат,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,C,candidate
hab_forest_stream_route__alnus,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,forest_stream_route,Alnus (alder),ольх|ольшаник,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_wet_lowland_forest.dominant_vegetation,C,candidate
hab_forest_stream_route__betula,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,forest_stream_route,Betula (birch),берёз|берез|березняк,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_wet_lowland_forest.dominant_vegetation,C,candidate
hab_forest_stream_route__salix,g4v3__gn_nov_g3_xp017_yp026_r2_forest_stream_route,forest_stream_route,Salix (willow),ив|ивняк|ивов|лоз,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_wet_lowland_forest.dominant_vegetation,C,candidate
hab_large_island_head__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,large_island_head,wet-ground grass and sedge guild (unidentified),осок,successor_member,common,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,C,candidate
hab_large_island_head__salix,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,large_island_head,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,C,candidate
hab_large_island_head__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,large_island_head,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,C,candidate
hab_large_island_head__castor,g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,large_island_head,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_large_island_head,C,candidate
hab_mixing_reach__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,mixing_reach,wet-ground grass and sedge guild (unidentified),осок,successor_member,common,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,C,candidate
hab_mixing_reach__salix,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,mixing_reach,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,C,candidate
hab_mixing_reach__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,mixing_reach,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,C,candidate
hab_mixing_reach__castor,g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,mixing_reach,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_mixing_reach,C,candidate
hab_north_exposed_turn__salix,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,north_exposed_turn,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,C,candidate
hab_north_exposed_turn__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,north_exposed_turn,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,C,candidate
hab_north_exposed_turn__castor,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,north_exposed_turn,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,C,candidate
hab_north_exposed_turn__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_north_exposed_turn,north_exposed_turn,wet-ground grass and sedge guild (unidentified),осок,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_low_alluvial_riverbank.dominant_vegetation,C,candidate
hab_north_outflow_reach__salix,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,north_outflow_reach,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,C,candidate
hab_north_outflow_reach__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,north_outflow_reach,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,C,candidate
hab_north_outflow_reach__castor,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,north_outflow_reach,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,C,candidate
hab_north_outflow_reach__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_north_outflow_reach,north_outflow_reach,wet-ground grass and sedge guild (unidentified),осок,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_low_alluvial_riverbank.dominant_vegetation,C,candidate
hab_old_channel_pool__horsetail,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,old_channel_pool,horsetail and wetland herb guild (unidentified),хвощ,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,C,candidate
hab_old_channel_pool__phragmites,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,old_channel_pool,Phragmites (common reed),тростник,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,C,candidate
hab_old_channel_pool__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,old_channel_pool,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,C,candidate
hab_old_channel_pool__castor,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,old_channel_pool,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,C,candidate
hab_old_channel_pool__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,old_channel_pool,wet-ground grass and sedge guild (unidentified),осок,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_freshwater_marsh.dominant_vegetation,C,candidate
hab_old_channel_pool__schoenoplectusscirpus,g4v3__gn_nov_g3_xp017_yp026_r2_old_channel_pool,old_channel_pool,Schoenoplectus/Scirpus (bulrush),камыш,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_freshwater_marsh.dominant_vegetation,C,candidate
hab_outer_exposed_approach__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,outer_exposed_approach,wet-ground grass and sedge guild (unidentified),осок,successor_member,common,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,C,candidate
hab_outer_exposed_approach__salix,g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,outer_exposed_approach,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,C,candidate
hab_outer_exposed_approach__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,outer_exposed_approach,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,C,candidate
hab_outer_exposed_approach__castor,g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,outer_exposed_approach,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_outer_exposed_approach,C,candidate
hab_reed_backwater__horsetail,g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,reed_backwater,horsetail and wetland herb guild (unidentified),хвощ,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,C,candidate
hab_reed_backwater__phragmites,g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,reed_backwater,Phragmites (common reed),тростник,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,C,candidate
hab_reed_backwater__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,reed_backwater,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,C,candidate
hab_reed_backwater__castor,g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,reed_backwater,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,C,candidate
hab_reed_backwater__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,reed_backwater,wet-ground grass and sedge guild (unidentified),осок,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_freshwater_marsh.dominant_vegetation,C,candidate
hab_reed_backwater__schoenoplectusscirpus,g4v3__gn_nov_g3_xp017_yp026_r2_reed_backwater,reed_backwater,Schoenoplectus/Scirpus (bulrush),камыш,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_freshwater_marsh.dominant_vegetation,C,candidate
hab_sheltered_inner_reach__salix,g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_inner_reach,sheltered_inner_reach,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_sheltered_inner_reach,C,candidate
