cp_id,ct_id,pf_ids,bt_ids,empty_allowed,first_open_rule,source_refs,confidence,status
cp_dwelling_basket,ct_basket_woven,dwelling_interior|town_courtyard|peasant_homestead,bt_izba_heated_single|bt_seni,1,containers/first_open_rule.json#d3_first_open_v1,master:spawn:SPN015|master:spawn:SPN001,C,candidate
cp_dwelling_barkbox,ct_birchbark_box,dwelling_interior,bt_izba_heated_single|bt_klet_dwelling,1,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0021|rus13tpl:container:korob,C,candidate
cp_dwelling_tues,ct_tues,dwelling_interior|cellar_granary,bt_izba_heated_single|bt_seni|bt_podklet,1,containers/first_open_rule.json#d3_first_open_v1,matcult:TRD0022|wk:claim:household-bark-tues,C,candidate
cp_dwelling_shelf,ct_shelf_storage,dwelling_interior|ordinary_workshop,bt_izba_heated_single|bt_pyatistenok|bt_workshop_yard,0,containers/first_open_rule.json#d3_first_open_v1,matcult:INT0013|matcult_scene:SCN001|matcult:INT0005,B,candidate
cp_dwelling_trough,ct_trough_dugout,dwelling_interior|ordinary_workshop,bt_izba_heated_single,1,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0019|matcult_scene:SCN019,B,candidate
cp_dwelling_keg,ct_keg_small,dwelling_interior|cellar_granary,bt_izba_heated_single|bt_podklet,1,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0025|matcult:FOD0059,C,candidate
cp_dwelling_jug,ct_jug_ceramic,dwelling_interior,bt_izba_heated_single|bt_horomy,1,containers/first_open_rule.json#d3_first_open_v1,matcult:POT0020,C,candidate
cp_dwelling_sack,ct_sack_cloth,dwelling_interior|cellar_granary,bt_izba_heated_single|bt_seni|bt_podklet,1,containers/first_open_rule.json#d3_first_open_v1,master:spawn:SPN002|matcult:HOU0015,C,candidate
cp_dwelling_lar_dugout,ct_lar_dugout,dwelling_interior|cellar_granary,bt_seni|bt_podklet|bt_klet_ambar,1,containers/first_open_rule.json#d3_first_open_v1,matcult:FUR0003|rus13tpl:container:lar,C,candidate
cp_storehouse_lar,ct_lar_plank,cellar_granary|monastery_yard,bt_klet_ambar|bt_podklet,1,containers/first_open_rule.json#d3_first_open_v1,matcult:FUR0006|rus13tpl:container:lar|rus13tpl:container:monastery_klet,C,candidate
cp_yard_woodpile,ct_woodpile,town_courtyard|peasant_homestead|monastery_yard|dwelling_interior,bt_light_shed,0,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0044|matcult_scene:SCN002,A,candidate
cp_yard_ushat,ct_ushat,town_courtyard|peasant_homestead,bt_well_log,1,containers/first_open_rule.json#d3_first_open_v1,matcult:POT0025,C,candidate
cp_washing_lokhan,ct_lokhan,dwelling_interior|bathhouse|town_courtyard,bt_izba_heated_single|bt_bathhouse,1,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0040|master:spawn:SPN021,B,candidate
cp_workshop_box,ct_box_wooden_small,ordinary_workshop,bt_workshop_yard,1,containers/first_open_rule.json#d3_first_open_v1,master:spawn:SPN012|master:spawn:SPN013|master:spawn:SPN010,C,candidate
cp_workshop_basket,ct_basket_woven,ordinary_workshop,bt_workshop_yard|bt_tannery_edge,1,containers/first_open_rule.json#d3_first_open_v1,matcult_scene:SCN010|matcult:MSC0003|master:spawn:SPN011,C,candidate
cp_workshop_tub,ct_kad,ordinary_workshop|smithy,bt_smithy|bt_tannery_edge|bt_workshop_yard,1,containers/first_open_rule.json#d3_first_open_v1,matcult:CRF0039|matcult:CRF0110,B,candidate
cp_smithy_crate,ct_box_plank_crate,smithy,bt_smithy,1,containers/first_open_rule.json#d3_first_open_v1,master:spawn:SPN009|master:spawn:SPN008,C,candidate
cp_smithy_charcoal_sack,ct_sack_cloth,smithy,bt_smithy,1,containers/first_open_rule.json#d3_first_open_v1,matcult:MSC0036,A,candidate
cp_workshop_shelf,ct_shelf_storage,ordinary_workshop|smithy,bt_workshop_yard|bt_pottery_workshop|bt_smithy,0,containers/first_open_rule.json#d3_first_open_v1,matcult:CRF0063|master:workshop:potter_yard,C,candidate
cp_market_cargo_barrel,ct_barrel_cargo,market_square|river_wharf,bt_market_stall|bt_wharf_vymol,0,containers/first_open_rule.json#d3_first_open_v1,matcult:TRD0005|matcult:TRD0047|matcult:TRD0048|master:spawn:SPN006|master:spawn:SPN022,A,candidate
cp_market_basket,ct_basket_cargo,market_square|river_wharf,bt_market_stall,1,containers/first_open_rule.json#d3_first_open_v1,master:spawn:SPN006|matcult:TRD0026,C,candidate
cp_market_grain_sack,ct_sack_grain,market_square,bt_market_stall,1,containers/first_open_rule.json#d3_first_open_v1,matcult:TRD0009|matcult:TRD0025|matcult_scene:SCN060,A,candidate
cp_market_merchant_chest,ct_chest_merchant,market_square|cellar_granary|dwelling_interior,bt_market_stall|bt_klet_ambar|bt_pyatistenok,1,containers/first_open_rule.json#d3_first_open_v1,matcult:TRD0030|matcult_scene:SCN055|matcult:TRD0032|matcult:TRD0037,A,candidate
cp_boat_cargo,ct_boat_hold,river_channel|river_wharf|ferry_landing,,1,containers/first_open_rule.json#d3_first_open_v1,wk:claim:transport-boat-cargo-dispatch|master:spawn:SPN023|matcult_scene:SCN027,B,candidate
cp_wharf_tar_pot,ct_tar_pot,river_wharf|riverbank|fishing_camp,bt_wharf_vymol|bt_fishing_camp_shelter,1,containers/first_open_rule.json#d3_first_open_v1,matcult:WTR0019|master:spawn:SPN024,A,candidate
cp_cart_load,ct_cart_body,road|town_street|village_lane|winter_ice_crossing,,1,containers/first_open_rule.json#d3_first_open_v1,rus13tpl:container:cart|rus13tpl:container:sledge|wk:claim:settlement-cart-transport,C,candidate
cp_fishing_basket,ct_basket_fish,fishing_camp|riverbank|lake_shore|river_wharf,bt_fishing_camp_shelter,1,containers/first_open_rule.json#d3_first_open_v1,matcult:FSH0024|matcult_scene:SCN029,A,candidate
cp_fishing_tub,ct_fish_tub,fishing_camp|river_wharf,bt_fishing_camp_shelter,1,containers/first_open_rule.json#d3_first_open_v1,matcult:FSH0017|master:spawn:SPN026,A,candidate
cp_stable_manger,ct_feed_manger,outbuildings|peasant_homestead|town_courtyard,bt_konyushnya|bt_khlev,1,containers/first_open_rule.json#d3_first_open_v1,matcult:ARC0001|matcult:AGR0026,B,candidate
cp_byre_milk_pail,ct_milk_pail,outbuildings|peasant_homestead,bt_khlev,1,containers/first_open_rule.json#d3_first_open_v1,matcult:AGR0001,B,candidate
cp_threshing_grain_basket,ct_basket_grain,threshing_barn|arable_field|cellar_granary,bt_gumno_tok|bt_klet_ambar,1,containers/first_open_rule.json#d3_first_open_v1,matcult:AGR0010|matcult_scene:SCN035,B,candidate
cp_field_seed_basket,ct_lukoshko,arable_field,,1,containers/first_open_rule.json#d3_first_open_v1,matcult:AGR0037,B,candidate
cp_bathhouse_tub,ct_kad,bathhouse,bt_bathhouse,1,containers/first_open_rule.json#d3_first_open_v1,master:spawn:SPN021|wk:claim:bathing-house-heating-before-washing,B,candidate
cp_bathhouse_bucket,ct_bucket_staved,bathhouse,bt_bathhouse,1,containers/first_open_rule.json#d3_first_open_v1,master:spawn:SPN021,B,candidate
cp_church_chest,ct_chest_plank,church_interior|monastery_yard,bt_church_wooden|bt_church_stone|bt_monastery_cell,1,containers/first_open_rule.json#d3_first_open_v1,rus13tpl:container:monastery_klet|matcult_scene:SCN050|matcult:INT0026,C,candidate
cp_church_amphora,ct_korchaga,church_interior|monastery_yard,bt_church_stone,1,containers/first_open_rule.json#d3_first_open_v1,matcult:FOD0056,C,candidate
cp_carried_belt_pouch,ct_belt_pouch,*,,1,containers/first_open_rule.json#d3_first_open_v1,nov1230db:material_culture:пояс|matcult:MIL0021,A,candidate
cp_carried_pouch,ct_pouch_small,*,,1,containers/first_open_rule.json#d3_first_open_v1,rus13tpl:container:purse_koshel|matcult:HOU0041,C,candidate
cp_carried_travel_bag,ct_travel_bag,*,,1,containers/first_open_rule.json#d3_first_open_v1,rus13tpl:container:bundle_uzel|matcult:MIL0025,C,candidate
cp_carried_knife_sheath,ct_knife_sheath,*,,1,containers/first_open_rule.json#d3_first_open_v1,nov1230db:material_culture:пояс|v5:container_content_profile_entries:content_entry_container_tpl_nov_knife_sheath_v1,A,candidate
cp_carried_needle_case,ct_needle_case,*,,1,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0038,B,candidate
cp_carried_quiver,ct_quiver,*,,1,containers/first_open_rule.json#d3_first_open_v1,matcult:MIL0027,B,candidate
cp_carried_scabbard,ct_sword_scabbard,*,,1,containers/first_open_rule.json#d3_first_open_v1,matcult:WPN0055,B,candidate
cp_carried_flask,ct_flask_wooden,*,,1,containers/first_open_rule.json#d3_first_open_v1,matcult:MIL0016,B,candidate
cp_carried_barkcase,ct_birchbark_case,*,,1,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0023,C,candidate
