cp_id,seq,content_category,frequency_class,weight,qty_min_slots,qty_max_slots,example_items,basis_ref,status
cp_dwelling_tub,1,content_water,common,4,6,24,,wk:claim:final-social-household-water-use-depends-on-access-vessels-and-labour,candidate
cp_dwelling_tub,2,content_fermented_liquid,common,4,6,24,FOD0059,matcult:FOD0059,candidate
cp_dwelling_tub,3,content_vegetables,rare,1,6,24,,v5:container_content_category_relations,candidate
cp_dwelling_bucket,1,content_water,common,4,2,6,,matcult_scene:SCN063,candidate
cp_dwelling_bucket_dugout,1,content_water,common,4,2,6,,matcult:HOU0031,candidate
cp_dwelling_basket,1,content_fibre_yarn,contextual,2,1,6,,master:spawn:SPN015,candidate
cp_dwelling_basket,2,content_vegetables,contextual,2,2,12,,master:spawn:SPN001,candidate
cp_dwelling_basket,3,content_fuel,rare,1,2,12,MSC0046,v5:container_content_category_relations,candidate
cp_dwelling_barkbox,1,content_food_dry,contextual,2,1,4,,rus13tpl:container:korob,candidate
cp_dwelling_barkbox,2,content_small_dry_goods,contextual,2,1,4,,rus13tpl:container:korob,candidate
cp_dwelling_barkbox,3,content_personal_small_items,rare,1,1,2,,v5:container_content_category_relations,candidate
cp_dwelling_tues,1,content_honey,contextual,2,1,4,,matcult:TRD0022,candidate
cp_dwelling_tues,2,content_food_dry,contextual,2,1,4,,matcult:TRD0022,candidate
cp_dwelling_tues,3,content_salt,rare,1,1,2,,v5:container_content_category_relations,candidate
cp_dwelling_shelf,1,content_household_goods,common,4,2,12,HOU0014|POT0015|HOU0010,matcult_scene:SCN001,candidate
cp_dwelling_shelf,2,content_ritual_objects,contextual,2,1,2,,matcult:INT0005,candidate
cp_dwelling_shelf,3,content_small_tools,contextual,2,1,4,,master:spawn:SPN001,candidate
cp_dwelling_trough,1,content_flour,common,4,2,12,,matcult_scene:SCN019,candidate
cp_dwelling_trough,2,content_water,contextual,2,2,12,,matcult:HOU0019,candidate
cp_dwelling_keg,1,content_fermented_liquid,contextual,2,2,6,FOD0059,matcult:FOD0059,candidate
cp_dwelling_keg,2,content_honey,rare,1,2,6,,v5:container_content_category_relations,candidate
cp_dwelling_jug,1,content_liquid,contextual,2,1,6,,matcult:POT0020,candidate
cp_dwelling_jug,2,content_water,contextual,2,1,6,,matcult:POT0020,candidate
cp_dwelling_sack,1,content_grain,contextual,2,2,12,,master:spawn:SPN002,candidate
cp_dwelling_sack,2,content_flour,contextual,2,2,12,,master:spawn:SPN002,candidate
cp_dwelling_sack,3,content_textiles,rare,1,1,6,,v5:container_content_category_relations,candidate
cp_dwelling_lar_dugout,1,content_grain,contextual,2,6,24,,rus13tpl:container:lar,candidate
cp_dwelling_lar_dugout,2,content_household_goods,contextual,2,2,12,,rus13tpl:container:lar,candidate
cp_storehouse_lar,1,content_grain,contextual,2,12,48,,rus13tpl:container:lar,candidate
cp_storehouse_lar,2,content_salt,contextual,2,6,24,TRD0004,rus13tpl:container:lar,candidate
cp_storehouse_lar,3,content_household_goods,contextual,2,2,12,,rus13tpl:container:lar,candidate
cp_yard_woodpile,1,content_fuel,ubiquitous,8,12,96,MSC0046|HOU0044,matcult_scene:SCN002,candidate
cp_yard_ushat,1,content_water,contextual,2,2,12,,matcult:POT0025,candidate
cp_washing_lokhan,1,content_water,contextual,2,2,12,,master:spawn:SPN021,candidate
cp_washing_lokhan,2,content_textiles,rare,1,1,6,,v5:container_content_category_relations,candidate
cp_workshop_box,1,content_small_tools,contextual,2,1,4,HOU0049|HOU0034,master:spawn:SPN012,candidate
cp_workshop_box,2,content_needles,contextual,2,1,2,HOU0034|HOU0035,master:spawn:SPN016,candidate
cp_workshop_box,3,content_personal_small_items,rare,1,1,2,,v5:container_content_category_relations,candidate
cp_workshop_basket,1,content_leather,contextual,2,1,12,MSC0003,matcult_scene:SCN010,candidate
cp_workshop_basket,2,content_waste,contextual,2,1,12,MSC0003|HOU0039,master:spawn:SPN011,candidate
cp_workshop_basket,3,content_fibre_yarn,contextual,2,1,6,,master:spawn:SPN016,candidate
cp_workshop_tub,1,content_water,common,4,6,24,CRF0039,matcult:CRF0039,candidate
cp_workshop_tub,2,content_wet_bulk,contextual,2,6,24,CRF0110,matcult:CRF0110,candidate
cp_smithy_crate,1,content_metal_stock,contextual,2,2,12,TRD0011|TRD0049,master:spawn:SPN009,candidate
cp_smithy_crate,2,content_small_tools,contextual,2,1,6,CON0010|CON0011|HOU0032,master:spawn:SPN009,candidate
cp_smithy_charcoal_sack,1,content_fuel,common,4,4,12,MSC0036,matcult:MSC0036,candidate
cp_workshop_shelf,1,content_household_goods,contextual,2,2,12,CRF0091,matcult:CRF0063,candidate
cp_workshop_shelf,2,content_small_tools,contextual,2,1,6,,master:workshop:urban_yard_general,candidate
cp_market_cargo_barrel,1,content_fish,common,4,12,24,TRD0005,matcult:TRD0005,candidate
cp_market_cargo_barrel,2,content_honey,common,4,12,24,TRD0047,matcult:TRD0047,candidate
cp_market_cargo_barrel,3,content_salt,common,4,12,24,TRD0048,matcult:TRD0048,candidate
cp_market_cargo_barrel,4,content_wax,contextual,2,6,24,TRD0003,master:spawn:SPN006,candidate
cp_market_basket,1,content_fish,contextual,2,2,12,,master:spawn:SPN006,candidate
cp_market_basket,2,content_vegetables,contextual,2,2,12,,master:spawn:SPN006,candidate
cp_market_basket,3,content_food_dry,contextual,2,2,12,,master:spawn:SPN006,candidate
cp_market_grain_sack,1,content_grain,common,4,6,12,TRD0009,matcult:TRD0009,candidate
cp_market_grain_sack,2,content_flour,common,4,6,12,TRD0025,matcult:TRD0025,candidate
cp_market_merchant_chest,1,content_weights,common,4,1,4,TRD0037|TRD0040|TRD0041|TRD0055,matcult_scene:SCN055,candidate
cp_market_merchant_chest,2,content_folded_documents,common,4,1,2,TRD0032,matcult:TRD0032,candidate
cp_market_merchant_chest,3,content_coins,contextual,2,1,2,TRD0016|TRD0043|TRD0046,rus13tpl:container:chest_sunduk,candidate
cp_market_merchant_chest,4,content_trade_goods,contextual,2,2,12,,master:spawn:SPN007,candidate
cp_boat_cargo,1,content_leather,common,4,6,24,TRD0052,wk:claim:transport-boat-cargo-dispatch,candidate
cp_boat_cargo,2,content_wax,common,4,6,24,TRD0003,wk:claim:transport-boat-cargo-dispatch,candidate
cp_boat_cargo,3,content_trade_goods,common,4,6,24,HOU0021,wk:claim:transport-boat-cargo-dispatch,candidate
cp_boat_cargo,4,content_fishing_gear,contextual,2,1,6,WTR0031,master:spawn:SPN023,candidate
cp_boat_cargo,5,content_rope_cordage,contextual,2,1,6,HOU0018,master:spawn:SPN023,candidate
cp_boat_cargo,6,content_fish,contextual,2,2,12,,rus13tpl:container:boat_cargo,candidate
cp_wharf_tar_pot,1,content_liquid,common,4,1,4,WTR0019,matcult:WTR0019,candidate
cp_cart_load,1,content_grain,contextual,2,12,48,,rus13tpl:container:cart,candidate
cp_cart_load,2,content_fuel,contextual,2,12,48,,rus13tpl:container:sledge,candidate
cp_cart_load,3,content_trade_goods,contextual,2,6,48,,rus13tpl:container:cart,candidate
cp_cart_load,4,content_fodder,rare,1,6,24,,v5:container_content_category_relations,candidate
cp_fishing_basket,1,content_fish,common,4,2,12,,matcult:FSH0024,candidate
cp_fishing_basket,2,content_fishing_gear,contextual,2,1,4,,master:spawn:SPN025,candidate
cp_fishing_tub,1,content_fish,common,4,6,24,,matcult:FSH0017,candidate
cp_fishing_tub,2,content_salt,contextual,2,2,6,TRD0004,master:spawn:SPN026,candidate
cp_fishing_tub,3,content_water,contextual,2,6,24,,matcult:FSH0017,candidate
cp_stable_manger,1,content_fodder,common,4,2,12,MSC0027,matcult:ARC0001,candidate
cp_byre_milk_pail,1,content_liquid,common,4,2,6,,matcult:AGR0001,candidate
cp_threshing_grain_basket,1,content_grain,common,4,2,12,,matcult_scene:SCN035,candidate
cp_field_seed_basket,1,content_grain,common,4,1,4,,matcult:AGR0037,candidate
cp_bathhouse_tub,1,content_water,common,4,6,24,,master:spawn:SPN021,candidate
cp_bathhouse_bucket,1,content_water,common,4,2,6,,master:spawn:SPN021,candidate
cp_church_chest,1,content_ritual_objects,contextual,2,1,6,,rus13tpl:container:monastery_klet,candidate
cp_church_chest,2,content_wax,contextual,2,1,6,INT0026,matcult:INT0026,candidate
cp_church_chest,3,content_textiles,contextual,2,1,12,,rus13tpl:container:monastery_klet,candidate
cp_church_chest,4,content_folded_documents,rare,1,1,2,,v5:container_content_category_relations,candidate
cp_church_amphora,1,content_fermented_liquid,contextual,2,6,24,FOD0056,matcult:FOD0056,candidate
cp_carried_belt_pouch,1,content_personal_small_items,common,4,1,3,HOU0012|HOU0011|HOU0005,nov1230db:material_culture:пояс,candidate
cp_carried_belt_pouch,2,content_coins,contextual,2,1,1,TRD0016,rus13tpl:container:purse_koshel,candidate
cp_carried_belt_pouch,3,content_small_tools,contextual,2,1,2,HOU0049,rus13tpl:container:purse_koshel,candidate
cp_carried_pouch,1,content_personal_small_items,contextual,2,1,3,,rus13tpl:container:purse_koshel,candidate
cp_carried_pouch,2,content_coins,contextual,2,1,2,TRD0016|TRD0043,rus13tpl:container:purse_koshel,candidate
cp_carried_pouch,3,content_weights,rare,1,1,1,TRD0040,v5:container_content_category_relations,candidate
cp_carried_travel_bag,1,content_food_dry,contextual,2,1,3,,rus13tpl:container:bundle_uzel,candidate
cp_carried_travel_bag,2,content_textiles,contextual,2,1,2,,rus13tpl:container:bundle_uzel,candidate
cp_carried_knife_sheath,1,content_knife_fitted,common,4,1,1,HOU0013,nov1230db:material_culture:пояс,candidate
cp_carried_needle_case,1,content_needles,common,4,1,2,HOU0034|HOU0035,matcult:HOU0038,candidate
cp_carried_quiver,1,content_arrows,common,4,1,2,,matcult:MIL0027,candidate
cp_carried_scabbard,1,content_sword_fitted,common,4,1,1,,matcult:WPN0055,candidate
cp_carried_flask,1,content_water,common,4,1,2,,matcult:MIL0016,candidate
cp_carried_flask,2,content_fermented_liquid,rare,1,1,2,,v5:container_content_category_relations,candidate
cp_carried_barkcase,1,content_small_tools,contextual,2,1,2,,matcult:HOU0023,candidate
