pf_id,ct_id,frequency_class,weight,basis_ref,status
dwelling_interior,ct_bale_wrapped,common,4,matcult_scene:SCN004|matcult_scene:SCN015,candidate
dwelling_interior,ct_bucket_dugout,common,4,content_profile:cp_dwelling_bucket_dugout,candidate
dwelling_interior,ct_bucket_staved,common,4,content_profile:cp_dwelling_bucket,candidate
dwelling_interior,ct_chest_merchant,common,4,content_profile:cp_market_merchant_chest,candidate
dwelling_interior,ct_chest_plank,common,4,content_profile:cp_dwelling_chest|master:spawn:SPN003|matcult_scene:SCN004,candidate
dwelling_interior,ct_kad,common,4,content_profile:cp_dwelling_tub,candidate
dwelling_interior,ct_lar_plank,common,4,matcult_scene:SCN004|matcult_scene:SCN049|matcult_scene:SCN058,candidate
dwelling_interior,ct_pot_cooking,common,4,content_profile:cp_dwelling_cooking_pot,candidate
dwelling_interior,ct_pot_fat,common,4,content_profile:cp_dwelling_fat_pot,candidate
dwelling_interior,ct_pot_small,common,4,content_profile:cp_dwelling_small_pot|matcult_scene:SCN001|matcult_scene:SCN002|matcult_scene:SCN049|matcult_scene:SCN058,candidate
dwelling_interior,ct_shelf_storage,common,4,content_profile:cp_dwelling_shelf,candidate
dwelling_interior,ct_trough_dugout,common,4,content_profile:cp_dwelling_trough,candidate
dwelling_interior,ct_barrel_oak,contextual,2,master:spawn:SPN003|master:spawn:SPN018,candidate
dwelling_interior,ct_basket_woven,contextual,2,content_profile:cp_dwelling_basket|master:spawn:SPN002|matcult_scene:SCN001|matcult_scene:SCN002|matcult_scene:SCN003|matcult_scene:SCN015|matcult_scene:SCN058,candidate
dwelling_interior,ct_birchbark_box,contextual,2,content_profile:cp_dwelling_barkbox,candidate
dwelling_interior,ct_box_wooden_small,contextual,2,master:spawn:SPN003,candidate
dwelling_interior,ct_casket_small,contextual,2,content_profile:cp_dwelling_casket,candidate
dwelling_interior,ct_chest_domed,contextual,2,content_profile:cp_dwelling_chest_domed,candidate
dwelling_interior,ct_jug_ceramic,contextual,2,content_profile:cp_dwelling_jug,candidate
dwelling_interior,ct_keg_small,contextual,2,content_profile:cp_dwelling_keg,candidate
dwelling_interior,ct_lar_dugout,contextual,2,content_profile:cp_dwelling_lar_dugout,candidate
dwelling_interior,ct_lokhan,contextual,2,content_profile:cp_washing_lokhan,candidate
dwelling_interior,ct_pot_storage_large,contextual,2,content_profile:cp_dwelling_storage_pot,candidate
dwelling_interior,ct_sack_cloth,contextual,2,content_profile:cp_dwelling_sack|master:spawn:SPN002|master:spawn:SPN043|matcult_scene:SCN001,candidate
dwelling_interior,ct_tues,contextual,2,content_profile:cp_dwelling_tues,candidate
ferry_landing,ct_boat_hold,common,4,content_profile:cp_boat_cargo,candidate
ferry_landing,ct_barrel_cargo,contextual,2,matcult_scene:SCN026,candidate
ferry_landing,ct_sack_grain,contextual,2,matcult_scene:SCN026,candidate
fishing_camp,ct_basket_fish,common,4,content_profile:cp_fishing_basket,candidate
fishing_camp,ct_fish_tub,common,4,content_profile:cp_fishing_tub,candidate
fishing_camp,ct_kad_pressed,common,4,content_profile:cp_cellar_pressed_tub,candidate
fishing_camp,ct_tar_pot,common,4,content_profile:cp_wharf_tar_pot,candidate
forest_edge,ct_knife_sheath,ubiquitous,8,matcult_scene:SCN045,candidate
forest_edge,ct_quiver,ubiquitous,8,matcult_scene:SCN045,candidate
lake_shore,ct_basket_fish,common,4,content_profile:cp_fishing_basket,candidate
market_square,ct_bale_wrapped,common,4,content_profile:cp_warehouse_bale|matcult_scene:SCN021|matcult_scene:SCN022|matcult_scene:SCN066,candidate
market_square,ct_barrel_cargo,common,4,content_profile:cp_market_cargo_barrel|master:spawn:SPN006|matcult_scene:SCN022,candidate
market_square,ct_chest_merchant,common,4,content_profile:cp_market_merchant_chest,candidate
market_square,ct_sack_grain,common,4,content_profile:cp_market_grain_sack,candidate
market_square,ct_trade_bin,common,4,content_profile:cp_granary_trade_bin,candidate
market_square,ct_basket_cargo,contextual,2,content_profile:cp_market_basket|master:spawn:SPN044,candidate
market_square,ct_basket_woven,contextual,2,master:spawn:SPN006,candidate
market_square,ct_box_plank_crate,contextual,2,master:spawn:SPN006,candidate
market_square,ct_jug_ceramic,contextual,2,matcult_scene:SCN066,candidate
market_square,ct_sack_cloth,contextual,2,master:spawn:SPN006|master:spawn:SPN044,candidate
mill,ct_milk_pail,ubiquitous,8,matcult_scene:SCN020,candidate
mill,ct_sack_grain,common,4,content_profile:cp_granary_sack,candidate
monastery_yard,ct_woodpile,ubiquitous,8,content_profile:cp_yard_woodpile,candidate
monastery_yard,ct_lar_plank,common,4,content_profile:cp_storehouse_lar|matcult_scene:SCN049,candidate
monastery_yard,ct_barrel_oak,contextual,2,master:spawn:SPN032,candidate
monastery_yard,ct_bucket_staved,contextual,2,matcult_scene:SCN049,candidate
monastery_yard,ct_chest_plank,contextual,2,content_profile:cp_church_chest,candidate
monastery_yard,ct_korchaga,contextual,2,content_profile:cp_church_amphora,candidate
monastery_yard,ct_pot_small,contextual,2,matcult_scene:SCN049,candidate
monastery_yard,ct_sack_cloth,contextual,2,master:spawn:SPN032,candidate
ordinary_workshop,ct_kad,common,4,content_profile:cp_workshop_tub,candidate
ordinary_workshop,ct_pot_small,common,4,matcult_scene:SCN013,candidate
ordinary_workshop,ct_shelf_storage,common,4,content_profile:cp_dwelling_shelf|content_profile:cp_workshop_shelf,candidate
ordinary_workshop,ct_trough_dugout,common,4,content_profile:cp_dwelling_trough,candidate
ordinary_workshop,ct_bale_wrapped,contextual,2,matcult_scene:SCN015|matcult_scene:SCN037,candidate
ordinary_workshop,ct_barrel_oak,contextual,2,master:spawn:SPN018,candidate
ordinary_workshop,ct_basket_woven,contextual,2,content_profile:cp_workshop_basket|matcult_scene:SCN003|matcult_scene:SCN010|matcult_scene:SCN015,candidate
ordinary_workshop,ct_box_wooden_small,contextual,2,content_profile:cp_workshop_box,candidate
ordinary_workshop,ct_bucket_dugout,contextual,2,matcult_scene:SCN016,candidate
ordinary_workshop,ct_needle_case,contextual,2,master:spawn:SPN013,candidate
ordinary_workshop,ct_sack_cloth,contextual,2,matcult_scene:SCN010,candidate
ordinary_workshop,ct_tar_pot,contextual,2,master:spawn:SPN024,candidate
outbuildings,ct_chest_plank,common,4,authored_scene:sc_x003_podklet_cold_store|matcult_scene:SCN005,candidate
outbuildings,ct_feed_manger,common,4,content_profile:cp_stable_manger,candidate
outbuildings,ct_kad,common,4,authored_scene:sc_x003_podklet_cold_store,candidate
outbuildings,ct_lar_plank,common,4,authored_scene:sc_x003_podklet_cold_store,candidate
outbuildings,ct_milk_pail,common,4,content_profile:cp_byre_milk_pail,candidate
outbuildings,ct_barrel_oak,contextual,2,authored_scene:sc_x003_podklet_cold_store,candidate
outbuildings,ct_bucket_dugout,contextual,2,matcult_scene:SCN031,candidate
outbuildings,ct_pot_storage_large,contextual,2,authored_scene:sc_x003_podklet_cold_store,candidate
outbuildings,ct_sack_cloth,contextual,2,authored_scene:sc_x003_podklet_cold_store,candidate
outbuildings,ct_trough_dugout,contextual,2,matcult_scene:SCN031|matcult_scene:SCN032,candidate
outbuildings,ct_tues,contextual,2,authored_scene:sc_x003_podklet_cold_store,candidate
peasant_homestead,ct_woodpile,ubiquitous,8,content_profile:cp_yard_woodpile,candidate
peasant_homestead,ct_bucket_dugout,common,4,content_profile:cp_dwelling_bucket_dugout,candidate
peasant_homestead,ct_bucket_staved,common,4,content_profile:cp_dwelling_bucket,candidate
peasant_homestead,ct_feed_manger,common,4,content_profile:cp_stable_manger,candidate
peasant_homestead,ct_kad,common,4,content_profile:cp_dwelling_tub,candidate
peasant_homestead,ct_milk_pail,common,4,content_profile:cp_byre_milk_pail,candidate
peasant_homestead,ct_basket_woven,contextual,2,content_profile:cp_dwelling_basket,candidate
peasant_homestead,ct_cellar_pit,contextual,2,content_profile:cp_cellar_pit,candidate
peasant_homestead,ct_ushat,contextual,2,content_profile:cp_yard_ushat,candidate
river_channel,ct_bale_wrapped,common,4,matcult_scene:SCN027|matcult_scene:SCN028,candidate
river_channel,ct_barrel_cargo,common,4,matcult_scene:SCN026|matcult_scene:SCN027,candidate
river_channel,ct_boat_hold,common,4,content_profile:cp_boat_cargo,candidate
river_channel,ct_basket_woven,contextual,2,master:spawn:SPN023,candidate
river_channel,ct_sack_cloth,contextual,2,master:spawn:SPN023,candidate
river_channel,ct_sack_grain,contextual,2,matcult_scene:SCN026,candidate
river_channel,ct_tar_pot,contextual,2,master:spawn:SPN024,candidate
river_wharf,ct_bale_wrapped,ubiquitous,8,content_profile:cp_warehouse_bale|matcult_scene:SCN007|matcult_scene:SCN025|matcult_scene:SCN027,candidate
river_wharf,ct_barrel_cargo,ubiquitous,8,content_profile:cp_market_cargo_barrel|master:spawn:SPN022|matcult_scene:SCN007|matcult_scene:SCN025|matcult_scene:SCN027|matcult_scene:SCN061,candidate
river_wharf,ct_basket_fish,common,4,content_profile:cp_fishing_basket,candidate
river_wharf,ct_boat_hold,common,4,content_profile:cp_boat_cargo,candidate
river_wharf,ct_fish_tub,common,4,content_profile:cp_fishing_tub,candidate
river_wharf,ct_tar_pot,common,4,content_profile:cp_wharf_tar_pot,candidate
river_wharf,ct_basket_cargo,contextual,2,content_profile:cp_market_basket,candidate
river_wharf,ct_basket_woven,contextual,2,master:spawn:SPN023,candidate
river_wharf,ct_box_plank_crate,contextual,2,content_profile:cp_warehouse_crate,candidate
river_wharf,ct_sack_cloth,contextual,2,master:spawn:SPN023,candidate
riverbank,ct_basket_fish,common,4,content_profile:cp_fishing_basket,candidate
riverbank,ct_tar_pot,common,4,content_profile:cp_wharf_tar_pot,candidate
riverbank,ct_barrel_cargo,contextual,2,master:spawn:SPN022|matcult_scene:SCN061,candidate
riverbank,ct_bucket_dugout,contextual,2,matcult_scene:SCN016,candidate
road,ct_knife_sheath,ubiquitous,8,matcult_scene:SCN045,candidate
road,ct_quiver,ubiquitous,8,matcult_scene:SCN045,candidate
road,ct_cart_body,contextual,2,content_profile:cp_cart_load|master:spawn:SPN035,candidate
road,ct_sack_cloth,contextual,2,master:spawn:SPN034,candidate
road,ct_travel_bag,contextual,2,master:spawn:SPN034|master:spawn:SPN036,candidate
smithy,ct_kad,common,4,content_profile:cp_workshop_tub,candidate
smithy,ct_sack_cloth,common,4,content_profile:cp_smithy_charcoal_sack,candidate
smithy,ct_box_plank_crate,contextual,2,content_profile:cp_smithy_crate,candidate
smithy,ct_bucket_dugout,contextual,2,matcult_scene:SCN011,candidate
smithy,ct_shelf_storage,contextual,2,content_profile:cp_workshop_shelf,candidate
threshing_barn,ct_milk_pail,ubiquitous,8,matcult_scene:SCN035,candidate
threshing_barn,ct_basket_grain,common,4,content_profile:cp_threshing_grain_basket,candidate
threshing_barn,ct_sack_grain,common,4,content_profile:cp_granary_sack,candidate
town_courtyard,ct_woodpile,ubiquitous,8,content_profile:cp_yard_woodpile,candidate
town_courtyard,ct_bale_wrapped,common,4,matcult_scene:SCN004|matcult_scene:SCN007|matcult_scene:SCN066,candidate
town_courtyard,ct_barrel_cargo,common,4,matcult_scene:SCN007|matcult_scene:SCN061,candidate
town_courtyard,ct_bucket_dugout,common,4,content_profile:cp_dwelling_bucket_dugout|matcult_scene:SCN006|matcult_scene:SCN063,candidate
town_courtyard,ct_bucket_staved,common,4,content_profile:cp_dwelling_bucket,candidate
town_courtyard,ct_chest_plank,common,4,matcult_scene:SCN004|matcult_scene:SCN005,candidate
town_courtyard,ct_feed_manger,common,4,content_profile:cp_stable_manger,candidate
town_courtyard,ct_kad,common,4,content_profile:cp_dwelling_tub,candidate
town_courtyard,ct_lar_plank,common,4,matcult_scene:SCN004,candidate
town_courtyard,ct_pot_small,common,4,matcult_scene:SCN001|matcult_scene:SCN002,candidate
town_courtyard,ct_basket_woven,contextual,2,content_profile:cp_dwelling_basket|master:spawn:SPN030|master:spawn:SPN038|matcult_scene:SCN001|matcult_scene:SCN002,candidate
town_courtyard,ct_cart_body,contextual,2,master:spawn:SPN035,candidate
town_courtyard,ct_cellar_pit,contextual,2,content_profile:cp_cellar_pit,candidate
town_courtyard,ct_fish_tub,contextual,2,master:spawn:SPN026,candidate
town_courtyard,ct_jug_ceramic,contextual,2,matcult_scene:SCN066,candidate
town_courtyard,ct_kad_pressed,contextual,2,master:spawn:SPN026,candidate
town_courtyard,ct_lokhan,contextual,2,content_profile:cp_washing_lokhan,candidate
town_courtyard,ct_sack_cloth,contextual,2,master:spawn:SPN038|matcult_scene:SCN001,candidate
town_courtyard,ct_trough_dugout,contextual,2,matcult_scene:SCN006,candidate
town_courtyard,ct_ushat,contextual,2,content_profile:cp_yard_ushat,candidate
town_street,ct_barrel_oak,contextual,2,matcult_scene:SCN040,candidate
town_street,ct_cart_body,contextual,2,content_profile:cp_cart_load,candidate
village_lane,ct_cart_body,contextual,2,content_profile:cp_cart_load,candidate
winter_ice_crossing,ct_cart_body,contextual,2,content_profile:cp_cart_load,candidate
