role_id,role_title,social_rank,combat_likelihood,weight,weight_rule,occupations,violence_risk_of_occupations,attitude_to_violence,weapon_rights_class,basis,source_refs,confidence,status
nov_role_junior_druzhinnik,младший дружинник,middle,medium_high,8,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_druzhina_warrior | nov_occ_junior_retainer,high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_druzhina_warrior",tsv:occ:nov_occ_druzhina_warrior#combat_likelihood | tsv:occ:nov_occ_junior_retainer#combat_likelihood,B,candidate
nov_role_bishop_man,владычный человек,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_toll_dues_collector | nov_occ_court_clerk_service | nov_occ_bishop_court_service | nov_occ_monastery_steward | nov_occ_scribe,medium | high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_toll_dues_collector",tsv:occ:nov_occ_toll_dues_collector#combat_likelihood | tsv:occ:nov_occ_court_clerk_service#combat_likelihood | tsv:occ:nov_occ_bishop_court_service#combat_likelihood | tsv:occ:nov_occ_monastery_steward#combat_likelihood | tsv:occ:nov_occ_scribe#combat_likelihood,B,candidate
nov_role_boyar_man,боярский человек,low,medium_high,8,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_gate_guard | nov_occ_posadnik_household_service | nov_occ_boyar_yard_manager | nov_occ_messenger_runner,high | medium | medium_high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_gate_guard",tsv:occ:nov_occ_gate_guard#combat_likelihood | tsv:occ:nov_occ_posadnik_household_service#combat_likelihood | tsv:occ:nov_occ_boyar_yard_manager#combat_likelihood | tsv:occ:nov_occ_messenger_runner#combat_likelihood,B,candidate
nov_role_boyar,боярин,elite,medium,4,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),,,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_elite,авторская оценка: дружинное вооружение у части мужчин; смуты 1230 г.,sqlite:social_groups:бояре | sqlite:events:1230-лето,B,candidate
nov_role_boyar_house_mistress,хозяйка боярского двора,high,unknown,,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),,,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_status,нет занятия и источника — пробел,,,candidate
nov_role_merchant_guest,гость-купец,high,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_long_distance_merchant,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_status,"максимум combat_likelihood занятий, допускающих роль: nov_occ_long_distance_merchant",tsv:occ:nov_occ_long_distance_merchant#combat_likelihood,B,candidate
nov_role_local_merchant,местный купец,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_long_distance_merchant | nov_occ_local_trader,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_long_distance_merchant",tsv:occ:nov_occ_long_distance_merchant#combat_likelihood | tsv:occ:nov_occ_local_trader#combat_likelihood,B,candidate
nov_role_merchant_clerk,купеческий приказчик,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_merchant_clerk | nov_occ_measurer_weigher | nov_occ_storehouse_keeper | nov_occ_debt_account_keeper | nov_occ_scribe,medium | high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_merchant_clerk",tsv:occ:nov_occ_merchant_clerk#combat_likelihood | tsv:occ:nov_occ_measurer_weigher#combat_likelihood | tsv:occ:nov_occ_storehouse_keeper#combat_likelihood | tsv:occ:nov_occ_debt_account_keeper#combat_likelihood | tsv:occ:nov_occ_scribe#combat_likelihood,B,candidate
nov_role_trader,торговец,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_local_trader | nov_occ_market_stall_seller | nov_occ_merchant_clerk | nov_occ_measurer_weigher,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_local_trader",tsv:occ:nov_occ_local_trader#combat_likelihood | tsv:occ:nov_occ_market_stall_seller#combat_likelihood | tsv:occ:nov_occ_merchant_clerk#combat_likelihood | tsv:occ:nov_occ_measurer_weigher#combat_likelihood,B,candidate
nov_role_foreign_guest,иноземный гость,high,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_long_distance_merchant,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_status,"максимум combat_likelihood занятий, допускающих роль: nov_occ_long_distance_merchant",tsv:occ:nov_occ_long_distance_merchant#combat_likelihood,B,candidate
nov_role_craftsman_master,мастер-ремесленник,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_blacksmith | nov_occ_carpenter | nov_occ_cooper | nov_occ_leatherworker | nov_occ_shoemaker | nov_occ_potter | nov_occ_weaver_cloth_worker | nov_occ_tailor_mender | nov_occ_boatbuilder,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_blacksmith",tsv:occ:nov_occ_blacksmith#combat_likelihood | tsv:occ:nov_occ_carpenter#combat_likelihood | tsv:occ:nov_occ_cooper#combat_likelihood | tsv:occ:nov_occ_leatherworker#combat_likelihood | tsv:occ:nov_occ_shoemaker#combat_likelihood | tsv:occ:nov_occ_potter#combat_likelihood | tsv:occ:nov_occ_weaver_cloth_worker#combat_likelihood | tsv:occ:nov_occ_tailor_mender#combat_likelihood | tsv:occ:nov_occ_boatbuilder#combat_likelihood,B,candidate
nov_role_journeyman,подмастерье,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_blacksmith | nov_occ_carpenter | nov_occ_cooper | nov_occ_leatherworker | nov_occ_shoemaker | nov_occ_potter | nov_occ_weaver_cloth_worker | nov_occ_tailor_mender,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_blacksmith",tsv:occ:nov_occ_blacksmith#combat_likelihood | tsv:occ:nov_occ_carpenter#combat_likelihood | tsv:occ:nov_occ_cooper#combat_likelihood | tsv:occ:nov_occ_leatherworker#combat_likelihood | tsv:occ:nov_occ_shoemaker#combat_likelihood | tsv:occ:nov_occ_potter#combat_likelihood | tsv:occ:nov_occ_weaver_cloth_worker#combat_likelihood | tsv:occ:nov_occ_tailor_mender#combat_likelihood,B,candidate
nov_role_apprentice,ученик,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_blacksmith | nov_occ_leatherworker | nov_occ_shoemaker | nov_occ_potter,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_blacksmith",tsv:occ:nov_occ_blacksmith#combat_likelihood | tsv:occ:nov_occ_leatherworker#combat_likelihood | tsv:occ:nov_occ_shoemaker#combat_likelihood | tsv:occ:nov_occ_potter#combat_likelihood,B,candidate
nov_role_householder,хозяин двора,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_boyar_yard_manager | nov_occ_local_trader | nov_occ_miller,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_boyar_yard_manager",tsv:occ:nov_occ_boyar_yard_manager#combat_likelihood | tsv:occ:nov_occ_local_trader#combat_likelihood | tsv:occ:nov_occ_miller#combat_likelihood,B,candidate
nov_role_household_mistress,хозяйка двора,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_market_stall_seller | nov_occ_weaver_cloth_worker | nov_occ_cook_baker | nov_occ_midwife_birth_helper,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_market_stall_seller",tsv:occ:nov_occ_market_stall_seller#combat_likelihood | tsv:occ:nov_occ_weaver_cloth_worker#combat_likelihood | tsv:occ:nov_occ_cook_baker#combat_likelihood | tsv:occ:nov_occ_midwife_birth_helper#combat_likelihood,B,candidate
nov_role_servant,слуга,low,medium_high,8,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_junior_retainer | nov_occ_boyar_yard_manager | nov_occ_merchant_clerk | nov_occ_storehouse_keeper | nov_occ_tailor_mender | nov_occ_porter | nov_occ_herder | nov_occ_cook_baker | nov_occ_household_servant | nov_occ_stable_worker | nov_occ_cattle_keeper,high | medium | medium_high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_junior_retainer",tsv:occ:nov_occ_junior_retainer#combat_likelihood | tsv:occ:nov_occ_boyar_yard_manager#combat_likelihood | tsv:occ:nov_occ_merchant_clerk#combat_likelihood | tsv:occ:nov_occ_storehouse_keeper#combat_likelihood | tsv:occ:nov_occ_tailor_mender#combat_likelihood | tsv:occ:nov_occ_porter#combat_likelihood | tsv:occ:nov_occ_herder#combat_likelihood | tsv:occ:nov_occ_cook_baker#combat_likelihood | tsv:occ:nov_occ_household_servant#combat_likelihood | tsv:occ:nov_occ_stable_worker#combat_likelihood | tsv:occ:nov_occ_cattle_keeper#combat_likelihood,B,candidate
nov_role_hired_worker,наёмный работник,low,medium,4,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_market_stall_seller | nov_occ_carpenter | nov_occ_pitch_tar_worker | nov_occ_cart_driver | nov_occ_porter | nov_occ_landing_worker | nov_occ_portage_worker | nov_occ_forest_worker | nov_occ_saltworker | nov_occ_pogost_service_worker | nov_occ_day_laborer | nov_occ_stable_worker,medium | medium_high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_pitch_tar_worker",tsv:occ:nov_occ_market_stall_seller#combat_likelihood | tsv:occ:nov_occ_carpenter#combat_likelihood | tsv:occ:nov_occ_pitch_tar_worker#combat_likelihood | tsv:occ:nov_occ_cart_driver#combat_likelihood | tsv:occ:nov_occ_porter#combat_likelihood | tsv:occ:nov_occ_landing_worker#combat_likelihood | tsv:occ:nov_occ_portage_worker#combat_likelihood | tsv:occ:nov_occ_forest_worker#combat_likelihood | tsv:occ:nov_occ_saltworker#combat_likelihood | tsv:occ:nov_occ_pogost_service_worker#combat_likelihood | tsv:occ:nov_occ_day_laborer#combat_likelihood | tsv:occ:nov_occ_stable_worker#combat_likelihood,B,candidate
nov_role_port_worker,работник пристани,low,medium,4,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_porter | nov_occ_landing_worker | nov_occ_fish_weir_keeper,medium_high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_porter",tsv:occ:nov_occ_porter#combat_likelihood | tsv:occ:nov_occ_landing_worker#combat_likelihood | tsv:occ:nov_occ_fish_weir_keeper#combat_likelihood,B,candidate
nov_role_smerd_householder,смерд-домохозяин,low,medium,4,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_ploughman | nov_occ_haymaker | nov_occ_fisher | nov_occ_saltworker,medium | medium_high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_fisher",tsv:occ:nov_occ_ploughman#combat_likelihood | tsv:occ:nov_occ_haymaker#combat_likelihood | tsv:occ:nov_occ_fisher#combat_likelihood | tsv:occ:nov_occ_saltworker#combat_likelihood,B,candidate
nov_role_dependent_peasant,зависимый крестьянин,dependent,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_ploughman | nov_occ_monastic_laborer,medium | high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_order,"максимум combat_likelihood занятий, допускающих роль: nov_occ_ploughman",tsv:occ:nov_occ_ploughman#combat_likelihood | tsv:occ:nov_occ_monastic_laborer#combat_likelihood,B,candidate
nov_role_ploughman,пахарь,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_ploughman,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_ploughman",tsv:occ:nov_occ_ploughman#combat_likelihood,B,candidate
nov_role_pastoral_worker,скотник,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_herder | nov_occ_cattle_keeper,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_herder",tsv:occ:nov_occ_herder#combat_likelihood | tsv:occ:nov_occ_cattle_keeper#combat_likelihood,B,candidate
nov_role_fisher,рыбак,low,medium,4,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_fisher | nov_occ_fish_weir_keeper,medium_high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_fisher",tsv:occ:nov_occ_fisher#combat_likelihood | tsv:occ:nov_occ_fish_weir_keeper#combat_likelihood,B,candidate
nov_role_hunter,охотник,low,medium,4,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_route_guide | nov_occ_hunter_trapper | nov_occ_forest_worker,medium_high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_route_guide",tsv:occ:nov_occ_route_guide#combat_likelihood | tsv:occ:nov_occ_hunter_trapper#combat_likelihood | tsv:occ:nov_occ_forest_worker#combat_likelihood,B,candidate
nov_role_bortnik,бортник,low,medium,4,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_bortnik,medium_high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_bortnik",tsv:occ:nov_occ_bortnik#combat_likelihood,B,candidate
nov_role_forest_promyslovik,лесной промысловик,low,medium,4,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_pitch_tar_worker | nov_occ_route_guide | nov_occ_hunter_trapper | nov_occ_bortnik | nov_occ_forest_worker | nov_occ_healer_herbal_helper,medium_high | medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_pitch_tar_worker",tsv:occ:nov_occ_pitch_tar_worker#combat_likelihood | tsv:occ:nov_occ_route_guide#combat_likelihood | tsv:occ:nov_occ_hunter_trapper#combat_likelihood | tsv:occ:nov_occ_bortnik#combat_likelihood | tsv:occ:nov_occ_forest_worker#combat_likelihood | tsv:occ:nov_occ_healer_herbal_helper#combat_likelihood,B,candidate
nov_role_senokos_worker,сенокосец,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_haymaker,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_haymaker",tsv:occ:nov_occ_haymaker#combat_likelihood,B,candidate
nov_role_miller,мельник,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_miller,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_miller",tsv:occ:nov_occ_miller#combat_likelihood,B,candidate
nov_role_monastery_worker,работник монастырского хозяйства,low,medium,4,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_saltworker | nov_occ_miller | nov_occ_monastic_laborer | nov_occ_novice_work | nov_occ_cook_baker,medium_high | medium | high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_saltworker",tsv:occ:nov_occ_saltworker#combat_likelihood | tsv:occ:nov_occ_miller#combat_likelihood | tsv:occ:nov_occ_monastic_laborer#combat_likelihood | tsv:occ:nov_occ_novice_work#combat_likelihood | tsv:occ:nov_occ_cook_baker#combat_likelihood,B,candidate
nov_role_widow_householder,вдова-хозяйка,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_midwife_birth_helper | nov_occ_healer_herbal_helper,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_midwife_birth_helper",tsv:occ:nov_occ_midwife_birth_helper#combat_likelihood | tsv:occ:nov_occ_healer_herbal_helper#combat_likelihood,B,candidate
nov_role_youth_helper,подросток-помощник,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_haymaker | nov_occ_herder | nov_occ_household_servant | nov_occ_cattle_keeper,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_haymaker",tsv:occ:nov_occ_haymaker#combat_likelihood | tsv:occ:nov_occ_herder#combat_likelihood | tsv:occ:nov_occ_household_servant#combat_likelihood | tsv:occ:nov_occ_cattle_keeper#combat_likelihood,B,candidate
nov_role_old_household_member,старик на дворе,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_midwife_birth_helper | nov_occ_healer_herbal_helper,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_midwife_birth_helper",tsv:occ:nov_occ_midwife_birth_helper#combat_likelihood | tsv:occ:nov_occ_healer_herbal_helper#combat_likelihood,B,candidate
nov_role_archbishop,владыка новгородский,elite,very_low,1,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),,,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_elite,авторская оценка: посредник; насилие у церкви крайне рискованно,tsv:occ:nov_occ_bishop_court_service#combat_likelihood | sqlite:institutions:I06,C,candidate
nov_role_igumen,игумен,high,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_monastery_steward,high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_status,"максимум combat_likelihood занятий, допускающих роль: nov_occ_monastery_steward",tsv:occ:nov_occ_monastery_steward#combat_likelihood,B,candidate
nov_role_priest,поп,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_parish_priest_service,high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_parish_priest_service",tsv:occ:nov_occ_parish_priest_service#combat_likelihood,B,candidate
nov_role_deacon,дьякон,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_deacon_service | nov_occ_ponomar,high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_deacon_service",tsv:occ:nov_occ_deacon_service#combat_likelihood | tsv:occ:nov_occ_ponomar#combat_likelihood,B,candidate
nov_role_monk,монах,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_monastery_steward | nov_occ_monk_service,high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_monastery_steward",tsv:occ:nov_occ_monastery_steward#combat_likelihood | tsv:occ:nov_occ_monk_service#combat_likelihood,B,candidate
nov_role_novice,послушник,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_monastic_laborer | nov_occ_novice_work,high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_monastic_laborer",tsv:occ:nov_occ_monastic_laborer#combat_likelihood | tsv:occ:nov_occ_novice_work#combat_likelihood,B,candidate
nov_role_ponomar,пономарь,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_church_guard | nov_occ_ponomar,high_social_risk,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_church_guard",tsv:occ:nov_occ_church_guard#combat_likelihood | tsv:occ:nov_occ_ponomar#combat_likelihood,B,candidate
nov_role_church_guard,церковный сторож,low,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_bishop_court_service | nov_occ_pogost_service_worker | nov_occ_church_guard,high_social_risk | medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_bishop_court_service",tsv:occ:nov_occ_bishop_court_service#combat_likelihood | tsv:occ:nov_occ_pogost_service_worker#combat_likelihood | tsv:occ:nov_occ_church_guard#combat_likelihood,B,candidate
