id,label,title,source_file,source_location,file_type,scale_level,node_type,parent_node_id,region_cell_code,root_g1_id,macro_zone,g1_type,place_template_id,evidence_status,status,confidence_project,degree,in_degree,out_degree,community,community_name,norm_label,color,grid_x,grid_y
gn_nov_g1_01_03,"Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_01_03)","Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_01_03)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L12,G1 region_cell,G1,region_cell,,nov_g1_01_03,gn_nov_g1_01_03,ilmen_shore_and_deltas,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,"приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_01_03)",#e15759,1,3
gn_nov_g1_01_04,"Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_01_04)","Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_01_04)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L13,G1 region_cell,G1,region_cell,,nov_g1_01_04,gn_nov_g1_01_04,poozerie_rural_food_belt,dense_river_road,,source_backed_rural_zone,usable_with_caution,medium,62,22,40,0,G1 regional cells,"поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_01_04)",#e15759,1,4
gn_nov_g1_01_05,"Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_01_05)","Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_01_05)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L14,G1 region_cell,G1,region_cell,,nov_g1_01_05,gn_nov_g1_01_05,poozerie_rural_food_belt,dense_river_road,,source_backed_rural_zone,usable_with_caution,medium,62,22,40,0,G1 regional cells,"поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_01_05)",#e15759,1,5
gn_nov_g1_01_06,Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_01_06),Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_01_06),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L15,G1 region_cell,G1,region_cell,,nov_g1_01_06,gn_nov_g1_01_06,northern_forest_volkhov_hinterland,dense_river_road,,regional_typological,usable_with_caution,medium_low,60,21,39,0,G1 regional cells,северная лесная ячейка между волховом и внутренними промысловыми зонами (nov_g1_01_06),#e15759,1,6
gn_nov_g1_02_00,Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_02_00),Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_02_00),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L16,G1 region_cell,G1,region_cell,,nov_g1_02_00,gn_nov_g1_02_00,lovat_pola_south_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium_low,60,21,39,0,G1 regional cells,ловатско-полистская лесо-речная ячейка южного приильменья (nov_g1_02_00),#e15759,2,0
gn_nov_g1_02_01,Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_02_01),Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_02_01),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L17,G1 region_cell,G1,region_cell,,nov_g1_02_01,gn_nov_g1_02_01,lovat_pola_south_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium_low,62,22,40,0,G1 regional cells,ловатско-полистская лесо-речная ячейка южного приильменья (nov_g1_02_01),#e15759,2,1
gn_nov_g1_02_02,"Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_02_02)","Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_02_02)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L18,G1 region_cell,G1,region_cell,,nov_g1_02_02,gn_nov_g1_02_02,ilmen_shore_and_deltas,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,"приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_02_02)",#e15759,2,2
gn_nov_g1_02_03,Западный Ильмень и шелонское устьевое побережье,Западный Ильмень и шелонское устьевое побережье,tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L19,G1 region_cell,G1,region_cell,,nov_g1_02_03,gn_nov_g1_02_03,ilmen_west_shelon_mouth,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,западный ильмень и шелонское устьевое побережье,#e15759,2,3
gn_nov_g1_02_04,"Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_02_04)","Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_02_04)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L20,G1 region_cell,G1,region_cell,,nov_g1_02_04,gn_nov_g1_02_04,poozerie_rural_food_belt,dense_river_road,,source_backed_rural_zone,usable_with_caution,medium,62,22,40,0,G1 regional cells,"поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_02_04)",#e15759,2,4
gn_nov_g1_02_05,"Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_02_05)","Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_02_05)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L21,G1 region_cell,G1,region_cell,,nov_g1_02_05,gn_nov_g1_02_05,poozerie_rural_food_belt,dense_river_road,,source_backed_rural_zone,usable_with_caution,medium,62,22,40,0,G1 regional cells,"поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_02_05)",#e15759,2,5
gn_nov_g1_02_06,Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_02_06),Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_02_06),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L22,G1 region_cell,G1,region_cell,,nov_g1_02_06,gn_nov_g1_02_06,northern_forest_volkhov_hinterland,dense_river_road,,regional_typological,usable_with_caution,medium_low,60,21,39,0,G1 regional cells,северная лесная ячейка между волховом и внутренними промысловыми зонами (nov_g1_02_06),#e15759,2,6
gn_nov_g1_03_00,Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_03_00),Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_03_00),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L23,G1 region_cell,G1,region_cell,,nov_g1_03_00,gn_nov_g1_03_00,lovat_pola_south_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium_low,60,21,39,0,G1 regional cells,ловатско-полистская лесо-речная ячейка южного приильменья (nov_g1_03_00),#e15759,3,0
gn_nov_g1_03_01,Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_03_01),Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_03_01),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L24,G1 region_cell,G1,region_cell,,nov_g1_03_01,gn_nov_g1_03_01,lovat_pola_south_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium_low,62,22,40,0,G1 regional cells,ловатско-полистская лесо-речная ячейка южного приильменья (nov_g1_03_01),#e15759,3,1
gn_nov_g1_03_02,Руса (Старая Русса): южное Приильменье и соляной узел,Руса (Старая Русса): южное Приильменье и соляной узел,tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L25,G1 region_cell,G1,region_cell,,nov_g1_03_02,gn_nov_g1_03_02,rusa_polist_salt,urban_town,,source_backed_anchor,usable_with_caution,medium,74,26,48,0,G1 regional cells,руса (старая русса): южное приильменье и соляной узел,#e15759,3,2
gn_nov_g1_03_03,Северный Ильмень и исток Волхова,Северный Ильмень и исток Волхова,tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L26,G1 region_cell,G1,region_cell,,nov_g1_03_03,gn_nov_g1_03_03,ilmen_north_outflow,dense_river_road,,source_backed_anchor,usable_with_caution,medium_high,62,22,40,0,G1 regional cells,северный ильмень и исток волхова,#e15759,3,3
gn_nov_g1_03_04,Новгородская ячейка: исток Волхова и городская округа,Новгородская ячейка: исток Волхова и городская округа,tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L27,G1 region_cell,G1,region_cell,,nov_g1_03_04,gn_nov_g1_03_04,novgorod_volkhov_core,urban_novgorod,,source_backed_anchor,usable_with_caution,medium_high,110,38,72,0,G1 regional cells,новгородская ячейка: исток волхова и городская округа,#e15759,3,4
gn_nov_g1_03_05,"Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_03_05)","Поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_03_05)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L28,G1 region_cell,G1,region_cell,,nov_g1_03_05,gn_nov_g1_03_05,poozerie_rural_food_belt,dense_river_road,,source_backed_rural_zone,usable_with_caution,medium,62,22,40,0,G1 regional cells,"поозерская сельская ячейка: луга, пашни и окологородская сельская сеть (nov_g1_03_05)",#e15759,3,5
gn_nov_g1_03_06,Волховская северная речная ячейка (nov_g1_03_06),Волховская северная речная ячейка (nov_g1_03_06),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L29,G1 region_cell,G1,region_cell,,nov_g1_03_06,gn_nov_g1_03_06,volkhov_north_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium,60,21,39,0,G1 regional cells,волховская северная речная ячейка (nov_g1_03_06),#e15759,3,6
gn_nov_g1_04_00,Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_04_00),Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_04_00),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L30,G1 region_cell,G1,region_cell,,nov_g1_04_00,gn_nov_g1_04_00,southern_wet_forest_hinterland,empty_wild,,regional_typological,usable_with_caution,medium_low,27,10,17,0,G1 regional cells,южная лесо-болотная и сельско-промысловая ячейка (nov_g1_04_00),#e15759,4,0
gn_nov_g1_04_01,Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_04_01),Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_04_01),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L31,G1 region_cell,G1,region_cell,,nov_g1_04_01,gn_nov_g1_04_01,southern_wet_forest_hinterland,empty_wild,,regional_typological,usable_with_caution,medium_low,29,11,18,0,G1 regional cells,южная лесо-болотная и сельско-промысловая ячейка (nov_g1_04_01),#e15759,4,1
gn_nov_g1_04_02,"Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_04_02)","Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_04_02)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L32,G1 region_cell,G1,region_cell,,nov_g1_04_02,gn_nov_g1_04_02,ilmen_shore_and_deltas,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,"приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_04_02)",#e15759,4,2
gn_nov_g1_04_03,Восточный Ильмень и мстинское устьевое побережье,Восточный Ильмень и мстинское устьевое побережье,tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L33,G1 region_cell,G1,region_cell,,nov_g1_04_03,gn_nov_g1_04_03,ilmen_east_msta_mouth,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,восточный ильмень и мстинское устьевое побережье,#e15759,4,3
gn_nov_g1_04_04,Восточная окологородская ячейка Волхова и монастырской округи,Восточная окологородская ячейка Волхова и монастырской округи,tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L34,G1 region_cell,G1,region_cell,,nov_g1_04_04,gn_nov_g1_04_04,volkhov_outflow_east_bank,dense_river_road,,source_backed_anchor,usable_with_caution,medium,62,22,40,0,G1 regional cells,восточная окологородская ячейка волхова и монастырской округи,#e15759,4,4
gn_nov_g1_04_05,Волховская северная речная ячейка (nov_g1_04_05),Волховская северная речная ячейка (nov_g1_04_05),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L35,G1 region_cell,G1,region_cell,,nov_g1_04_05,gn_nov_g1_04_05,volkhov_north_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,волховская северная речная ячейка (nov_g1_04_05),#e15759,4,5
gn_nov_g1_04_06,Волховская северная речная ячейка (nov_g1_04_06),Волховская северная речная ячейка (nov_g1_04_06),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L36,G1 region_cell,G1,region_cell,,nov_g1_04_06,gn_nov_g1_04_06,volkhov_north_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium,60,21,39,0,G1 regional cells,волховская северная речная ячейка (nov_g1_04_06),#e15759,4,6
gn_nov_g1_05_00,Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_05_00),Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_05_00),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L37,G1 region_cell,G1,region_cell,,nov_g1_05_00,gn_nov_g1_05_00,southern_wet_forest_hinterland,empty_wild,,regional_typological,usable_with_caution,medium_low,27,10,17,0,G1 regional cells,южная лесо-болотная и сельско-промысловая ячейка (nov_g1_05_00),#e15759,5,0
gn_nov_g1_05_01,Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_05_01),Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_05_01),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L38,G1 region_cell,G1,region_cell,,nov_g1_05_01,gn_nov_g1_05_01,southern_wet_forest_hinterland,empty_wild,,regional_typological,usable_with_caution,medium_low,29,11,18,0,G1 regional cells,южная лесо-болотная и сельско-промысловая ячейка (nov_g1_05_01),#e15759,5,1
gn_nov_g1_05_02,Центральная лесо-луговая сельская ячейка (nov_g1_05_02),Центральная лесо-луговая сельская ячейка (nov_g1_05_02),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L39,G1 region_cell,G1,region_cell,,nov_g1_05_02,gn_nov_g1_05_02,central_rural_forest_meadow,ordinary_rural,,regional_typological,usable_with_caution,medium_low,44,16,28,0,G1 regional cells,центральная лесо-луговая сельская ячейка (nov_g1_05_02),#e15759,5,2
gn_nov_g1_05_03,"Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_05_03)","Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_05_03)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L40,G1 region_cell,G1,region_cell,,nov_g1_05_03,gn_nov_g1_05_03,ilmen_shore_and_deltas,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,"приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_05_03)",#e15759,5,3
gn_nov_g1_05_04,Мстинская речная и сухопутная коридорная ячейка (nov_g1_05_04),Мстинская речная и сухопутная коридорная ячейка (nov_g1_05_04),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L41,G1 region_cell,G1,region_cell,,nov_g1_05_04,gn_nov_g1_05_04,msta_east_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,мстинская речная и сухопутная коридорная ячейка (nov_g1_05_04),#e15759,5,4
gn_nov_g1_05_05,Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_05_05),Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_05_05),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L42,G1 region_cell,G1,region_cell,,nov_g1_05_05,gn_nov_g1_05_05,northern_forest_bog_margin,empty_wild,,regional_typological,usable_with_caution,medium_low,29,11,18,0,G1 regional cells,северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_05_05),#e15759,5,5
gn_nov_g1_05_06,Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_05_06),Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_05_06),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L43,G1 region_cell,G1,region_cell,,nov_g1_05_06,gn_nov_g1_05_06,northern_forest_bog_margin,empty_wild,,regional_typological,usable_with_caution,medium_low,27,10,17,0,G1 regional cells,северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_05_06),#e15759,5,6
gn_nov_g1_06_00,Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_06_00),Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_06_00),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L44,G1 region_cell,G1,region_cell,,nov_g1_06_00,gn_nov_g1_06_00,southern_wet_forest_hinterland,empty_wild,,regional_typological,usable_with_caution,medium_low,27,10,17,0,G1 regional cells,южная лесо-болотная и сельско-промысловая ячейка (nov_g1_06_00),#e15759,6,0
gn_nov_g1_06_01,Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_06_01),Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_06_01),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L45,G1 region_cell,G1,region_cell,,nov_g1_06_01,gn_nov_g1_06_01,southern_wet_forest_hinterland,empty_wild,,regional_typological,usable_with_caution,medium_low,29,11,18,0,G1 regional cells,южная лесо-болотная и сельско-промысловая ячейка (nov_g1_06_01),#e15759,6,1
gn_nov_g1_06_02,Центральная лесо-луговая сельская ячейка (nov_g1_06_02),Центральная лесо-луговая сельская ячейка (nov_g1_06_02),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L46,G1 region_cell,G1,region_cell,,nov_g1_06_02,gn_nov_g1_06_02,central_rural_forest_meadow,ordinary_rural,,regional_typological,usable_with_caution,medium_low,44,16,28,0,G1 regional cells,центральная лесо-луговая сельская ячейка (nov_g1_06_02),#e15759,6,2
gn_nov_g1_06_03,Мстинская речная и сухопутная коридорная ячейка (nov_g1_06_03),Мстинская речная и сухопутная коридорная ячейка (nov_g1_06_03),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L47,G1 region_cell,G1,region_cell,,nov_g1_06_03,gn_nov_g1_06_03,msta_east_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,мстинская речная и сухопутная коридорная ячейка (nov_g1_06_03),#e15759,6,3
gn_nov_g1_06_04,Мстинская речная и сухопутная коридорная ячейка (nov_g1_06_04),Мстинская речная и сухопутная коридорная ячейка (nov_g1_06_04),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L48,G1 region_cell,G1,region_cell,,nov_g1_06_04,gn_nov_g1_06_04,msta_east_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,мстинская речная и сухопутная коридорная ячейка (nov_g1_06_04),#e15759,6,4
gn_nov_g1_06_05,Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_06_05),Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_06_05),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L49,G1 region_cell,G1,region_cell,,nov_g1_06_05,gn_nov_g1_06_05,northern_forest_bog_margin,empty_wild,,regional_typological,usable_with_caution,medium_low,29,11,18,0,G1 regional cells,северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_06_05),#e15759,6,5
gn_nov_g1_06_06,Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_06_06),Северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_06_06),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L50,G1 region_cell,G1,region_cell,,nov_g1_06_06,gn_nov_g1_06_06,northern_forest_bog_margin,empty_wild,,regional_typological,usable_with_caution,medium_low,27,10,17,0,G1 regional cells,северо-восточная лесо-болотная ячейка промысловой периферии (nov_g1_06_06),#e15759,6,6
gn_nov_g1_07_00,Юго-восточная дорожная ячейка к Торжку и верхневолжским путям (nov_g1_07_00),Юго-восточная дорожная ячейка к Торжку и верхневолжским путям (nov_g1_07_00),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L51,G1 region_cell,G1,region_cell,,nov_g1_07_00,gn_nov_g1_07_00,torzhok_msta_valdai_route,dense_river_road,,regional_typological,usable_with_caution,medium_low,60,21,39,0,G1 regional cells,юго-восточная дорожная ячейка к торжку и верхневолжским путям (nov_g1_07_00),#e15759,7,0
gn_nov_g1_07_01,Юго-восточная дорожная ячейка к Торжку и верхневолжским путям (nov_g1_07_01),Юго-восточная дорожная ячейка к Торжку и верхневолжским путям (nov_g1_07_01),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L52,G1 region_cell,G1,region_cell,,nov_g1_07_01,gn_nov_g1_07_01,torzhok_msta_valdai_route,dense_river_road,,regional_typological,usable_with_caution,medium_low,62,22,40,0,G1 regional cells,юго-восточная дорожная ячейка к торжку и верхневолжским путям (nov_g1_07_01),#e15759,7,1
gn_nov_g1_07_02,Центральная лесо-луговая сельская ячейка (nov_g1_07_02),Центральная лесо-луговая сельская ячейка (nov_g1_07_02),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L53,G1 region_cell,G1,region_cell,,nov_g1_07_02,gn_nov_g1_07_02,central_rural_forest_meadow,ordinary_rural,,regional_typological,usable_with_caution,medium_low,44,16,28,0,G1 regional cells,центральная лесо-луговая сельская ячейка (nov_g1_07_02),#e15759,7,2
gn_nov_g1_07_03,Мстинская речная и сухопутная коридорная ячейка (nov_g1_07_03),Мстинская речная и сухопутная коридорная ячейка (nov_g1_07_03),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L54,G1 region_cell,G1,region_cell,,nov_g1_07_03,gn_nov_g1_07_03,msta_east_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,мстинская речная и сухопутная коридорная ячейка (nov_g1_07_03),#e15759,7,3
