fl_id,name_ru,name_lat,name_en,group,life_form,region_id,universal_taxon,category_ref,habitat_classes,habitat_presence,visible_months,flowering_months,fruiting_months,phenology_by_season,winter_look,perceptual_cues,uses,medicinal_practice_epoch,toxicity,lookalike_ids,lookalikes,edibility,yield_unit,yield_note,evidence_1230,source_refs,confidence,gbif_usage_key,gbif_nw_count,status,notes
fl_hb_phleum_pratense,тимофеевка луговая,Phleum pratense,timothy,grass,perennial_grass,,true,proposed:flora/grass,MEADOW:4 PASTURE:2,"floodplain_meadow:common; hay_meadow:common; pasture:contextual | seasons: spring,summer,autumn",5 6 7 8 9 10,6 7,7 8,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",,плотный цилиндрический колос-«султан» на высоком стебле,"корм;сено",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код","современный ареал; луговые злаки как класс — WK","https://www.gbif.org/species/9014945 ; https://en.wikipedia.org/wiki/Phleum_pratense ; wk:claim:harvest-sickle-crops-grasses ; wk:claim:livestock-rumen-forage-digestion",C,9014945,929,candidate,
fl_hb_anthoxanthum_odoratum,душистый колосок,Anthoxanthum odoratum,sweet vernal grass,grass,perennial_grass,,true,proposed:flora/grass,MEADOW:4 PASTURE:2,"floodplain_meadow:common; hay_meadow:common; pasture:contextual | seasons: spring,summer,autumn",4 5 6 7 8 9 10,5 6,6 7,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",,"низкий злак; скошенное сено пахнет кумарином («запах свежего сена»)","корм;сено",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2705975 ; https://en.wikipedia.org/wiki/Anthoxanthum_odoratum",C,2705975,344,candidate,запах сена — ощущение сенокоса
fl_hb_nardus_stricta,белоус торчащий,Nardus stricta,mat-grass,grass,perennial_grass,,true,proposed:flora/grass,PASTURE:2,"pasture:contextual | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,6 7,7 8,"{""winter"":""жёсткие белёсые пучки под тонким снегом"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",жёсткие белёсые пучки под тонким снегом,"жёсткие щетинистые пучки на бедных вытоптанных выгонах; скот его не ест",плохой корм,не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2702717 ; https://en.wikipedia.org/wiki/Nardus_stricta",C,2702717,51,candidate,
fl_hb_elymus_repens,пырей ползучий,Elymus repens,couch grass,grass,perennial_grass,,true,proposed:flora/grass,RUDERAL:4 MARGIN:4 GARDEN:2,"churchyard:common; field_margin:common; forest_track:common; monastery_yard:common; orchard_garden:contextual; outbuildings:common; peasant_homestead:common; road:common; rural_yard:common; town_courtyard:common; town_street:common; town_wall_edge:common; village_lane:common | seasons: spring,summer,autumn",4 5 6 7 8 9 10,6 7,7 8,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",,"сизые листья, длинные белые корневища в пахотной земле","корм;сорняк огорода",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/5290299 ; https://en.wikipedia.org/wiki/Elymus_repens",C,5290299,955,candidate,корневища трудно выполоть
fl_hb_phalaris_arundinacea,двукисточник тростниковидный,Phalaris arundinacea,reed canary-grass,grass,perennial_grass,,true,proposed:flora/grass,BANK:4 WETMEADOW:4 SHORE:2,"bridge_crossing:common; ferry_landing:common; fishing_camp:common; floodplain_meadow:common; lake_shore:common; marshy_stream:common; riverbank:common | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,6 7,7 8,"{""winter"":""сухие стебли у кромки льда"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",сухие стебли у кромки льда,высокие стебли с широкими листьями по заливным берегам,"корм;подстилка",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/5289756 ; https://en.wikipedia.org/wiki/Phalaris_arundinacea",C,5289756,384,candidate,
fl_hb_glyceria_maxima,манник большой,Glyceria maxima,reed sweet-grass,grass,perennial_grass,,true,proposed:flora/grass,SHORE:4 BANK:2,"bridge_crossing:contextual; ferry_landing:contextual; fishing_camp:common; lake_shore:common; marshy_stream:common; riverbank:common | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,6 7 8,8 9,"{""winter"":""полёгшие жёлтые листья на льду"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VIII); плодоносит/спороносит (VIII)"",""autumn"":""плодоносит/спороносит (IX)""}",полёгшие жёлтые листья на льду,"высокие сочные заросли у воды, широкая метёлка",корм,не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2705484 ; https://en.wikipedia.org/wiki/Glyceria_maxima",C,2705484,149,candidate,
fl_hb_molinia_caerulea,молиния голубая,Molinia caerulea,purple moor-grass,grass,perennial_grass,,true,proposed:flora/grass,FEN:2 BOG:1,"bog:contextual; marshy_stream:contextual | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,7 8,8 9,"{""winter"":""рыжие сухие кочки"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VII–VIII); плодоносит/спороносит (VIII)"",""autumn"":""плодоносит/спороносит (IX)""}",рыжие сухие кочки,кочки с тёмно-фиолетовыми метёлками по сырым окраинам болот,подстилка,не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/5289877 ; https://en.wikipedia.org/wiki/Molinia_caerulea",C,5289877,164,candidate,
fl_hb_melica_nutans,перловник поникающий,Melica nutans,mountain melick,grass,perennial_grass,,true,proposed:flora/grass,BROADLEAF:2 MIXED:2,"broadleaf_woodland:contextual; hunting_ground:contextual; mixed_woodland:contextual | seasons: spring,summer,autumn",5 6 7 8 9,5 6,6 7,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",,"редкие поникшие колоски, похожие на бусины",,не засвидетельствовано для Новгорода XIII в.,,,,not_food,пучок,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/4118973 ; https://en.wikipedia.org/wiki/Melica_nutans",C,4118973,264,candidate,
fl_hb_milium_effusum,бор развесистый,Milium effusum,wood millet,grass,perennial_grass,,true,proposed:flora/grass,BROADLEAF:2 MIXED:2,"broadleaf_woodland:contextual; hunting_ground:contextual; mixed_woodland:contextual | seasons: spring,summer,autumn",5 6 7 8 9,6 7,7 8,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",,ажурная широкая метёлка в тенистых лиственных лесах,,не засвидетельствовано для Новгорода XIII в.,,,,not_food,пучок,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2706196 ; https://en.wikipedia.org/wiki/Milium_effusum",C,2706196,161,candidate,
fl_hb_briza_media,трясунка средняя,Briza media,quaking grass,grass,perennial_grass,,true,proposed:flora/grass,MEADOW:2,"floodplain_meadow:contextual; hay_meadow:contextual | seasons: spring,summer,autumn",5 6 7 8 9,6 7,7 8,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",,сердцевидные колоски дрожат на ветру,сено,не засвидетельствовано для Новгорода XIII в.,,,,not_food,пучок,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2702789 ; https://en.wikipedia.org/wiki/Briza_media",C,2702789,402,candidate,
fl_hb_carex_nigra,осока обыкновенная (чёрная),Carex nigra,common sedge,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,FEN:8 WETMEADOW:4,"bog:ubiquitous; floodplain_meadow:common; marshy_stream:ubiquitous | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,5 6,6 7,"{""winter"":""жёлтые сухие листья под снегом по кочкам"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",жёлтые сухие листья под снегом по кочкам,"тёмные колоски на трёхгранном стебле, сизые листья","грубый корм;подстилка",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2724925 ; https://en.wikipedia.org/wiki/Carex_nigra",C,2724925,347,candidate,осока режет руки
fl_hb_carex_acuta,осока острая,Carex acuta,slender tufted-sedge,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,SHORE:8 WETMEADOW:4 BANK:4,"bridge_crossing:common; ferry_landing:common; fishing_camp:ubiquitous; floodplain_meadow:common; lake_shore:ubiquitous; marshy_stream:ubiquitous; riverbank:ubiquitous | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,5 6,6 7,"{""winter"":""полёглые соломенные листья у берега"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",полёглые соломенные листья у берега,"высокие острые листья по разливам, режут ладонь","грубый корм;подстилка;кровля (грубая)",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2722833 ; https://en.wikipedia.org/wiki/Carex_acuta",C,2722833,263,candidate,
fl_hb_carex_rostrata,осока вздутая,Carex rostrata,bottle sedge,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,FEN:4 SHORE:4,"bog:common; fishing_camp:common; lake_shore:common; marshy_stream:common; riverbank:common | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,6 7,7 8,"{""winter"":""сухие стебли в прибрежном льду"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",сухие стебли в прибрежном льду,"сизые заросли по сплавинам, вздутые мешочки плодов",подстилка,не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2726725 ; https://en.wikipedia.org/wiki/Carex_rostrata",C,2726725,254,candidate,
fl_hb_carex_lasiocarpa,осока волосистоплодная,Carex lasiocarpa,slender sedge,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,FEN:4 BOG:2,"bog:common; marshy_stream:common | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,5 6,7 8,"{""winter"":""бурая щётка листьев над снегом"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",бурая щётка листьев над снегом,тонкие нитевидные листья сплошной щёткой на топких местах,,не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код","Валдай, верховые болота (совр.)","src:VALDAY_BOG2023 ; https://www.gbif.org/species/2728531 ; https://en.wikipedia.org/wiki/Carex_lasiocarpa",B,2728531,114,candidate,
fl_hb_carex_limosa,осока топяная,Carex limosa,bog-sedge,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,BOG:2,"bog:contextual | seasons: spring,summer,autumn",5 6 7 8 9 10,5 6,6 7,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",,"сизые листья и поникшие колоски на мочажинах, где нога проваливается",,не засвидетельствовано для Новгорода XIII в.,,,,not_food,пучок,"ед. сбора для материализации; количество задаёт код","Валдай, верховые болота (совр.)","src:VALDAY_BOG2023 ; https://www.gbif.org/species/2725881 ; https://en.wikipedia.org/wiki/Carex_limosa",B,2725881,98,candidate,указывает на топкое место
fl_hb_carex_pauciflora,осока малоцветковая,Carex pauciflora,few-flowered sedge,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,BOG:2,"bog:contextual | seasons: spring,summer,autumn",5 6 7 8 9,5 6,6 7,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",,крошечная осока по сфагновому ковру,,не засвидетельствовано для Новгорода XIII в.,,,,not_food,пучок,"ед. сбора для материализации; количество задаёт код","Валдай, верховые болота (совр.)","src:VALDAY_BOG2023 ; https://www.gbif.org/species/2727907 ; https://en.wikipedia.org/wiki/Carex_pauciflora",B,2727907,72,candidate,
fl_hb_carex_digitata,осока пальчатая,Carex digitata,fingered sedge,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,BROADLEAF:2 MIXED:2,"broadleaf_woodland:contextual; hunting_ground:contextual; mixed_woodland:contextual | seasons: winter,spring,summer,autumn",3 4 5 6 7 8 9 10 11,4 5,5 6,"{""winter"":""зимний облик: см. perceptual_cues"",""spring"":""цветёт/колосится (IV–V); плодоносит/спороносит (V)"",""summer"":""плодоносит/спороносит (VI)"",""autumn"":""вегетирует""}",,ранние бурые колоски растопыркой в лиственном лесу,,не засвидетельствовано для Новгорода XIII в.,,,,not_food,пучок,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2727038 ; https://en.wikipedia.org/wiki/Carex_digitata",C,2727038,211,candidate,
fl_hb_carex_globularis,осока шаровидная,Carex globularis,globular sedge,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,CONIFER:2,"conifer_woodland:contextual; hunting_ground:contextual | seasons: spring,summer,autumn",5 6 7 8 9 10,5 6,6 7,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",,тонкая осока в сыром ельнике-черничнике,,не засвидетельствовано для Новгорода XIII в.,,,,not_food,пучок,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2724517 ; https://en.wikipedia.org/wiki/Carex_globularis",C,2724517,92,candidate,
fl_hb_eriophorum_vaginatum,пушица влагалищная,Eriophorum vaginatum,hare's-tail cottongrass,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,BOG:8 FEN:2,"bog:ubiquitous; marshy_stream:contextual | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,4 5,5 6,"{""winter"":""плотные кочки с сухими листьями торчат из снега"",""spring"":""цветёт/колосится (IV–V); плодоносит/спороносит (V)"",""summer"":""плодоносит/спороносит (VI)"",""autumn"":""вегетирует""}",плотные кочки с сухими листьями торчат из снега,"кочки на болоте; весной белые пуховые головки, иногда ещё при снеге","пух (набивка, трут — реконструкция);корм оленям (не для Новгорода)",не засвидетельствовано для Новгорода XIII в.,,,,not_food,горсть,"ед. сбора для материализации; количество задаёт код","Валдай: цветёт весной при неполном сходе снега (WFM-03, research only)","src:VALDAY_BOG2023 ; main:data/world-catalogs/novgorod/world-knowledge/research/population-wild-flora-modern.md#WFM-03 ; https://www.gbif.org/species/2730185 ; https://en.wikipedia.org/wiki/Eriophorum_vaginatum",B,2730185,364,candidate,использование пуха в XIII в. не засвидетельствовано
fl_hb_eriophorum_angustifolium,пушица узколистная,Eriophorum angustifolium,common cottongrass,sedge_rush,perennial_sedge,,true,proposed:flora/sedge_rush,FEN:4 BOG:2,"bog:common; marshy_stream:common | seasons: spring,summer,autumn",4 5 6 7 8 9 10,5 6,6 7,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",,"белые пуховые кисти, развевающиеся над мочажинами",,не засвидетельствовано для Новгорода XIII в.,,,,not_food,горсть,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2730127 ; https://en.wikipedia.org/wiki/Eriophorum_angustifolium",C,2730127,80,candidate,
