fl_id,name_ru,name_lat,name_en,kind,subkind,life_form,region_id,universal_taxon,category_ref,habitat_classes,habitat_presence,ripening_months,ripening_period,allowed_seasons,refresh_class,visible_months,flowering_months,phenology_by_season,winter_look,perceptual_cues,uses,medicinal_practice_epoch,edibility,toxicity,lookalike_ids,lookalikes,preparation_needed,yield_unit,yield_note,food_ingredient_ref,evidence_1230,source_refs,confidence,gbif_usage_key,gbif_nw_count,gbif_nw_obs_months,status,notes
fl_br_vaccinium_myrtillus,черника,Vaccinium myrtillus,bilberry,berry,berry,dwarf_shrub,,true,proposed:flora/berry,CONIFER:8 MIXED:4 PINEDRY:2 BOG:1,"bog:rare; conifer_woodland:ubiquitous; hunting_ground:ubiquitous; mixed_woodland:common | seasons: winter,spring,summer,autumn",7 8,VII–VIII,summer,season,1 2 3 4 5 6 7 8 9 10 11 12,5 6,"{""winter"":""зелёные ребристые веточки без листьев торчат из снега"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VII–VIII)"",""autumn"":""вегетирует""}",зелёные ребристые веточки без листьев торчат из снега,"сплошной черничник под елями и соснами; сизо-чёрные ягоды красят пальцы и губы","свежая ягода;сушка (MASTER B)",не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_hb_paris_quadrifolia fl_hb_solanum_nigrum fl_br_vaccinium_uliginosum,"fl_hb_paris_quadrifolia,fl_hb_solanum_nigrum,fl_br_vaccinium_uliginosum: ядовитый вороний глаз, паслён; сходная голубика",нет,"лукошко;горсть","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0061,"Троицкий раскоп (WK); ул. Боркова, сер. XIII в.","wk:claim:troitsky-bilberry-incidence-indicates-northern-heath-clearing-exploitation ; src:BORKOVA2024 ; src:NEWS53_BORKOVA ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0061 ; https://www.gbif.org/species/2882833 ; https://en.wikipedia.org/wiki/Vaccinium_myrtillus",A,2882833,1233,5 6 7 8,candidate,
fl_br_empetrum_nigrum,водяника чёрная (шикша),Empetrum nigrum,crowberry,berry,berry,evergreen_dwarf_shrub,,true,proposed:flora/berry,BOG:2 PINEDRY:1,"bog:contextual; conifer_woodland:rare | seasons: winter,spring,summer,autumn",8 9,VIII–IX,summer autumn,season,1 2 3 4 5 6 7 8 9 10 11 12,5,"{""winter"":""игольчатые вечнозелёные веточки под снегом"",""spring"":""цветёт/колосится (V)"",""summer"":""ягоды созревают (VIII)"",""autumn"":""ягоды созревают (IX)""}",игольчатые вечнозелёные веточки под снегом,вересковидные веточки и водянистые чёрные ягоды на моховых кочках,свежая ягода (водянистая),не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,нет,горсть,"ед. сбора для материализации; количество задаёт код",,современный ареал,"https://www.gbif.org/species/8925249 ; https://en.wikipedia.org/wiki/Empetrum_nigrum",C,8925249,235,5 6 7 8,candidate,
fl_br_arctostaphylos_uva_ursi,толокнянка обыкновенная,Arctostaphylos uva-ursi,bearberry,berry,berry,evergreen_dwarf_shrub,,true,proposed:flora/berry,PINEDRY:1,"conifer_woodland:rare | seasons: winter,spring,summer,autumn",8 9,VIII–IX,summer autumn,season,1 2 3 4 5 6 7 8 9 10 11 12,5 6,"{""winter"":""кожистые листья под снегом"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VIII)"",""autumn"":""ягоды созревают (IX)""}",кожистые листья под снегом,"кожистые листья без точек снизу, мучнистые красные ягоды на сухих песках",,не засвидетельствовано для Новгорода XIII в.,not_food,"в больших количествах может быть опасна (WFM-09, research only)",fl_br_vaccinium_vitis_idaea,fl_br_vaccinium_vitis_idaea: брусника,,горсть,"ед. сбора для материализации; количество задаёт код",,WK: двойник брусники,"wk:claim:bearberry-lingonberry-resemblance-not-identification ; main:data/world-catalogs/novgorod/world-knowledge/research/population-wild-flora-modern.md#WFM-09 ; https://www.gbif.org/species/2882580 ; https://en.wikipedia.org/wiki/Arctostaphylos_uva-ursi",B,2882580,151,5 6 8,candidate,
fl_fu_boletus_edulis,белый гриб (боровик),Boletus edulis,porcini,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,CONIFER:4 MIXED:4 BROADLEAF:2 PINEDRY:2,"broadleaf_woodland:contextual; conifer_woodland:common; hunting_ground:common; mixed_woodland:common | seasons: summer,autumn",7 8 9 10,VII–X,summer autumn,season,7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"толстая бочковидная ножка с белой сеточкой, бурая шляпка, белая мякоть не синеет","еда: варка, сушка (MASTER: грибы безопасно определённого вида)",не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_fu_tylopilus_felleus,"fl_fu_tylopilus_felleus: желчный гриб (горький, розовая трубчатка)",варка или сушка,"корзина;лукошко","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., VII–X, часто","src:KALININA2020 ; wk:claim:wild-mushroom-resemblance-not-edibility ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058 ; https://www.gbif.org/species/5954958 ; https://en.wikipedia.org/wiki/Boletus_edulis",B,5954958,239,7 8 9,candidate,"в широколиственных лесах; в хвойных — по общей экологии"
fl_fu_leccinum_scabrum,подберёзовик обыкновенный,Leccinum scabrum,birch bolete,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,MIXED:8 BROADLEAF:4 EDGE:4 BOG:2,"bog:contextual; broadleaf_woodland:common; forest_edge:common; forest_track:common; hunting_ground:ubiquitous; mixed_woodland:ubiquitous | seasons: summer,autumn",6 7 8 9,VI–IX,summer autumn,season,6 7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VI–VIII)"",""autumn"":""плодовые тела (IX)""}",,"серо-бурая шляпка, ножка в чёрных чешуйках; всегда рядом с берёзой","еда: варка, сушка",не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_fu_tylopilus_felleus,fl_fu_tylopilus_felleus: желчный гриб,варка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., VI–IX, часто","src:KALININA2020 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058 ; https://www.gbif.org/species/9141390 ; https://en.wikipedia.org/wiki/Leccinum_scabrum",B,9141390,132,6 7 8 9 10,candidate,
fl_fu_leccinum_aurantiacum,подосиновик красный,Leccinum aurantiacum,red-capped scaber stalk,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,MIXED:4 BROADLEAF:4 EDGE:2,"broadleaf_woodland:common; forest_edge:contextual; forest_track:contextual; hunting_ground:common; mixed_woodland:common | seasons: summer,autumn",7 8 9,VII–IX,summer autumn,season,7 8 9,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX)""}",,"яркая оранжево-красная шляпка, мякоть на срезе синеет и чернеет; под осинами","еда: варка, сушка",не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,варка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., VII–IX, часто","src:KALININA2020 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058 ; https://www.gbif.org/species/2524513 ; https://en.wikipedia.org/wiki/Leccinum_aurantiacum",B,2524513,73,7 8 9,candidate,
fl_fu_leccinum_versipelle,подосиновик жёлто-бурый,Leccinum versipelle,orange birch bolete,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,MIXED:2 CONIFER:2,"conifer_woodland:contextual; hunting_ground:contextual; mixed_woodland:contextual | seasons: summer,autumn",7 8 9,VII–IX,summer autumn,season,7 8 9,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX)""}",,"оранжево-бурая шляпка с бахромой, ножка в чёрных чешуйках, под берёзой",еда: варка,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,варка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: СЗ России, редко (в широколиственных)","src:KALININA2020 ; https://www.gbif.org/species/2524490 ; https://en.wikipedia.org/wiki/Leccinum_versipelle",B,2524490,31,7 8 9,candidate,месяцы — по GBIF (gbif-months)
fl_fu_imleria_badia,польский гриб (моховик каштановый),Imleria badia,bay bolete,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,CONIFER:4 MIXED:2,"conifer_woodland:common; hunting_ground:common; mixed_woodland:contextual | seasons: summer,autumn",7 8 9,VII–IX,summer autumn,season,7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX)""}",,"каштановая липкая шляпка, жёлтые трубочки синеют от нажатия",еда: варка,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_fu_tylopilus_felleus,fl_fu_tylopilus_felleus: желчный гриб,варка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., VII–IX, нередко","src:KALININA2020 ; https://www.gbif.org/species/7832732 ; https://en.wikipedia.org/wiki/Imleria_badia",B,7832732,79,7 8 9 10,candidate,
fl_fu_xerocomus_subtomentosus,моховик зелёный,Xerocomus subtomentosus,suede bolete,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,MIXED:2 BROADLEAF:2 EDGE:2,"broadleaf_woodland:contextual; forest_edge:contextual; forest_track:contextual; hunting_ground:contextual; mixed_woodland:contextual | seasons: summer,autumn",7 8 9,VII–IX,summer autumn,season,7 8 9,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX)""}",,"бархатистая оливковая шляпка, жёлтые крупные поры",еда: варка,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,варка,лукошко,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., редко (широколиств.)","src:KALININA2020 ; https://www.gbif.org/species/2519457 ; https://en.wikipedia.org/wiki/Xerocomus_subtomentosus",B,2519457,4,,candidate,
fl_fu_suillus_luteus,маслёнок поздний,Suillus luteus,slippery jack,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,PINEDRY:4 EDGE:2,"conifer_woodland:common; forest_edge:contextual; forest_track:contextual | seasons: summer,autumn",8 9 10,VIII–X,summer autumn,season,8 9 10 11,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"слизистая коричневая шляпка, плёнчатое кольцо на ножке; в молодых соснах",еда: варка (кожицу снимают),не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,варка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,современный ареал,"https://www.gbif.org/species/7777157 ; https://en.wikipedia.org/wiki/Suillus_luteus",C,7777157,68,8 9 10 11,candidate,
fl_fu_suillus_bovinus,козляк,Suillus bovinus,Jersey cow mushroom,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,PINEDRY:4 BOG:1,"bog:rare; conifer_woodland:common | seasons: summer,autumn",8 9 10,VIII–X,summer autumn,season,8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"рыжеватая шляпка, крупные угловатые поры; упругая, «резиновая» мякоть в сухих борах",еда: варка,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,варка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,современный ареал,"https://www.gbif.org/species/7623986 ; https://en.wikipedia.org/wiki/Suillus_bovinus",C,7623986,23,8 9 10,candidate,
fl_fu_suillus_variegatus,моховик пёстрый (маслёнок пёстрый),Suillus variegatus,velvet bolete,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,PINEDRY:2,"conifer_woodland:contextual | seasons: summer,autumn",8 9 10,VIII–X,summer autumn,season,7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"оливково-жёлтая шершавая шляпка, мякоть слегка синеет; в борах",еда: варка,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,варка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,современный ареал,"https://www.gbif.org/species/9043861 ; https://en.wikipedia.org/wiki/Suillus_variegatus",C,9043861,29,7 8 9 10,candidate,
fl_fu_tylopilus_felleus,желчный гриб (горчак),Tylopilus felleus,bitter bolete,fungus,fungus_bolete,mycorrhizal,,true,proposed:flora/fungus_bolete,CONIFER:2 MIXED:2,"conifer_woodland:contextual; hunting_ground:contextual; mixed_woodland:contextual | seasons: summer,autumn",7 8 9 10,VII–X,summer autumn,season,7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"похож на белый, но трубчатка розовеет, а ножка в тёмной сетке; мякоть очень горькая",,не засвидетельствовано для Новгорода XIII в.,not_food,несъедобен из-за горечи,fl_fu_boletus_edulis fl_fu_leccinum_scabrum fl_fu_imleria_badia,"fl_fu_boletus_edulis,fl_fu_leccinum_scabrum,fl_fu_imleria_badia: съедобные трубчатые грибы",,,,,современный ареал,"https://www.gbif.org/species/2524910 ; https://en.wikipedia.org/wiki/Tylopilus_felleus",C,2524910,63,7 8,candidate,один гриб портит всё варево горечью
fl_fu_cantharellus_cibarius,лисичка обыкновенная,Cantharellus cibarius,chanterelle,fungus,fungus_agaric,mycorrhizal,,true,proposed:flora/fungus_agaric,CONIFER:4 MIXED:4,"conifer_woodland:common; hunting_ground:common; mixed_woodland:common | seasons: summer,autumn",6 7 8 9 10,VI–X,summer autumn,season,6 7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VI–VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"желтковые воронки с толстыми складками вместо пластинок, группами во мху",еда: варка,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,варка,лукошко,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,современный ареал (в выборке Калининой нет — широколиственные),"https://www.gbif.org/species/5249504 ; https://en.wikipedia.org/wiki/Cantharellus_cibarius",C,5249504,220,6 7 8,candidate,
fl_fu_lactarius_resimus,груздь настоящий,Lactarius resimus,true milk-cap,fungus,fungus_milkcap,mycorrhizal,,true,proposed:flora/fungus_milkcap,MIXED:4 BROADLEAF:2,"broadleaf_woodland:contextual; hunting_ground:common; mixed_woodland:common | seasons: summer,autumn",7 8 9,VII–IX,summer autumn,season,7 8 9,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX)""}",,"белая воронковидная шляпка с мохнатым подвёрнутым краем, едкий белый сок; прячется под листвой","засолка после вымачивания (традиционная; для 1230 реконструкция)",не засвидетельствовано для Новгорода XIII в.,edible_after_processing,едкий млечный сок: сырым не едят,fl_fu_paxillus_involutus,"fl_fu_paxillus_involutus: свинушка тонкая (нет млечного сока, пластинки буреют)","вымачивание, отваривание или засолка",корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., единственная находка в широколиств.","src:KALININA2020 ; https://www.gbif.org/species/8959060 ; https://en.wikipedia.org/wiki/Lactarius_resimus",B,8959060,0,,candidate,
fl_fu_lactarius_necator,груздь чёрный (чернушка),Lactarius necator,ugly milk-cap,fungus,fungus_milkcap,mycorrhizal,,true,proposed:flora/fungus_milkcap,MIXED:4 CONIFER:2 EDGE:2,"conifer_woodland:contextual; forest_edge:contextual; forest_track:contextual; hunting_ground:common; mixed_woodland:common | seasons: summer,autumn",7 8 9 10,VII–X,summer autumn,season,7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"оливково-чёрная липкая шляпка, едкий белый сок; у берёз по лесным дорогам",засолка после вымачивания (реконструкция),не засвидетельствовано для Новгорода XIII в.,edible_after_processing,"едкий сок; сырым ядовит (раздражение ЖКТ)",fl_fu_paxillus_involutus,"fl_fu_paxillus_involutus: свинушка тонкая (нет млечного сока, пластинки буреют)",вымачивание и засолка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., редко (широколиств.)","src:KALININA2020 ; https://www.gbif.org/species/5248670 ; https://en.wikipedia.org/wiki/Lactarius_necator",B,5248670,1,,candidate,
fl_fu_lactarius_torminosus,волнушка розовая,Lactarius torminosus,woolly milk-cap,fungus,fungus_milkcap,mycorrhizal,,true,proposed:flora/fungus_milkcap,MIXED:4 EDGE:4,"forest_edge:common; forest_track:common; hunting_ground:common; mixed_woodland:common | seasons: summer,autumn",7 8 9 10,VII–X,summer autumn,season,7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"розовая шляпка с кругами и мохнатым бахромчатым краем, горько-едкий сок; у старых берёз",засолка после вымачивания (реконструкция),не засвидетельствовано для Новгорода XIII в.,edible_after_processing,сырой и недовымоченный — тяжёлое расстройство ЖКТ,,,длительное вымачивание и засолка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., редко (широколиств.)","src:KALININA2020 ; https://www.gbif.org/species/8122710 ; https://en.wikipedia.org/wiki/Lactarius_torminosus",B,8122710,35,8 9 10,candidate,
fl_fu_lactarius_deterrimus,рыжик еловый,Lactarius deterrimus,false saffron milkcap,fungus,fungus_milkcap,mycorrhizal,,true,proposed:flora/fungus_milkcap,CONIFER:4,"conifer_woodland:common; hunting_ground:common | seasons: summer,autumn",7 8 9 10,VII–X,summer autumn,season,7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"оранжевая шляпка с кругами, оранжевый сок зеленеет на воздухе; в молодых ельниках",засолка (реконструкция),не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,можно солить без вымачивания,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: СЗ России (Ленинградская обл.), редко в широколиств.","src:KALININA2020 ; https://www.gbif.org/species/7925734 ; https://en.wikipedia.org/wiki/Lactarius_deterrimus",B,7925734,13,,candidate,
fl_fu_lactarius_rufus,горькушка,Lactarius rufus,rufous milkcap,fungus,fungus_milkcap,mycorrhizal,,true,proposed:flora/fungus_milkcap,CONIFER:8 PINEDRY:4 BOG:2,"bog:contextual; conifer_woodland:ubiquitous; hunting_ground:ubiquitous | seasons: summer,autumn",7 8 9 10,VII–X,summer autumn,season,7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"красно-бурая шляпка с бугорком в центре, жгуче-горький сок; массово в сосняках и ельниках",засолка после вымачивания (реконструкция),не засвидетельствовано для Новгорода XIII в.,edible_after_processing,"сырой — жгуче-горький, раздражает ЖКТ",,,вымачивание и засолка,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,современный ареал,"https://www.gbif.org/species/5248684 ; https://en.wikipedia.org/wiki/Lactarius_rufus",C,5248684,9,,candidate,
fl_fu_russula_vesca,сыроежка пищевая,Russula vesca,bare-toothed russula,fungus,fungus_russula,mycorrhizal,,true,proposed:flora/fungus_russula,MIXED:4 BROADLEAF:2 CONIFER:2,"broadleaf_woodland:contextual; conifer_woodland:contextual; hunting_ground:common; mixed_woodland:common | seasons: summer,autumn",7 8 9,VII–IX,summer autumn,season,7 8 9,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX)""}",,"розовато-коричневая шляпка, кожица не доходит до края, хрупкие белые пластинки",еда: варка,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_fu_russula_emetica fl_fu_amanita_phalloides fl_fu_amanita_virosa fl_fu_amanita_pantherina,"fl_fu_russula_emetica,fl_fu_amanita_phalloides,fl_fu_amanita_virosa,fl_fu_amanita_pantherina: жгучая сыроежка и ядовитые мухоморы (у мухоморов кольцо и вольва)",варка,лукошко,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,современный ареал,"https://www.gbif.org/species/2551415 ; https://en.wikipedia.org/wiki/Russula_vesca",C,2551415,1,,candidate,
fl_fu_russula_emetica,сыроежка жгучеедкая,Russula emetica,sickener,fungus,fungus_russula,mycorrhizal,,true,proposed:flora/fungus_russula,BOG:4 CONIFER:2,"bog:common; conifer_woodland:contextual; hunting_ground:contextual | seasons: summer,autumn",7 8 9 10,VII–X,summer autumn,season,7 8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VII–VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"ярко-красная шляпка, белые пластинки, жгучая мякоть; по сфагновым местам",,не засвидетельствовано для Новгорода XIII в.,not_food,вызывает рвоту в сыром виде,fl_fu_russula_vesca,fl_fu_russula_vesca: съедобная сыроежка,,,,,современный ареал,"https://www.gbif.org/species/2551213 ; https://en.wikipedia.org/wiki/Russula_emetica",C,2551213,0,,candidate,
fl_fu_armillaria_borealis,опёнок осенний,Armillaria borealis,honey fungus,fungus,fungus_agaric,wood_decay,,true,proposed:flora/fungus_agaric,DEADWOOD:8 BROADLEAF:4 EDGE:2,"broadleaf_woodland:ubiquitous; conifer_woodland:ubiquitous; forest_edge:ubiquitous; forest_track:contextual; mixed_woodland:ubiquitous | seasons: summer,autumn",8 9 10,VIII–X,summer autumn,season,8 9 10,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VIII)"",""autumn"":""плодовые тела (IX–X)""}",,"массовые медово-бурые гроздья на пнях и стволах, плёнчатое кольцо на ножке",еда: только хорошо отваренный,не засвидетельствовано для Новгорода XIII в.,edible_after_processing,,fl_fu_hypholoma_fasciculare fl_fu_galerina_marginata,"fl_fu_hypholoma_fasciculare,fl_fu_galerina_marginata: ложноопёнок и смертельно ядовитая галерина на той же древесине",обязательное отваривание,корзина,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., VIII–X, нередко","src:KALININA2020 ; https://www.gbif.org/species/2536906 ; https://en.wikipedia.org/wiki/Armillaria_borealis",B,2536906,18,,candidate,
fl_fu_kuehneromyces_mutabilis,опёнок летний,Kuehneromyces mutabilis,sheathed woodtuft,fungus,fungus_agaric,wood_decay,,true,proposed:flora/fungus_agaric,DEADWOOD:4,"broadleaf_woodland:common; conifer_woodland:common; forest_edge:common; mixed_woodland:common | seasons: summer,autumn",6 7 8,VI–VIII,summer,season,6 7 8 9,,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""надземной части не видно (ещё не появилась или отмерла)"",""summer"":""плодовые тела (VI–VIII)"",""autumn"":""вегетирует""}",,"двухцветные гигрофанные шляпки пучками на лиственных пнях, чешуйчатая ножка ниже кольца",еда: варка,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_fu_galerina_marginata,fl_fu_galerina_marginata: смертельно ядовитая галерина — почти неотличима,варка,лукошко,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0058,"Калинина 2020: Новгородская обл., VI–VIII, часто","src:KALININA2020 ; https://www.gbif.org/species/2533962 ; https://en.wikipedia.org/wiki/Kuehneromyces_mutabilis",B,2533962,82,6 7 8 9,candidate,
